"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","imagecode","identifiedBy","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"12","2021-03-15 16:37:00-03","NY","NYBG","00918090","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"H. S. Irwin","17726","1966","06","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918090","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Goiás","Piranhas","Ca. 75 km. S. of Aragarças. Drainage of the Upper Rio Araguaia.","-52.02","-16.43","700","NY00918090_01","J. G. Rohwer","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","469059","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"J. C. Lindeman","1666","1966","06","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469059","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Paraná","Altônia","Forest S of Pto. Byington near airstrip","-53.9017","-23.8744","225","NY00469059_01","J. G. Rohwer","225",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-10-19 10:01:00-02","NY","NYBG","00918092","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"E. P. Heringer","7024","1981","06","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918092","Magnoliophyta","Laurales",NA,"Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,"NY00918092_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","01194880","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"B. V. Rabelo","2793","1984","09","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409535' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194880","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Amapá","Mazagão","Estrada de Mazagão entre o rio Matapi e o rio Vila nova.","-51.2893981933594","-0.115000002086163",NA,"NY01194880_01","J. G. Rohwer",NA,"195641","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","00918089","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"D. R. Hunt","6102","1966","06","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918089","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Goiás","Piranhas","Caiaponia-Aragarças road, about 75 km. from Araguarças.","-51.8219","-16.4269","600","NY00918089_01","J. G. Rohwer","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01194877","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"B. A. Krukoff","5170","1933","07","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409532' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194877","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Amazonas",NA,"Basin of Rio Jurua. near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,"NY01194877_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 17:09:00-03","NY","NYBG","469063","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"E. M. Zardini","39763","1994","06","30","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678233' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469063","Magnoliophyta","Laurales",NA,"Concepción",NA,"Arroyo Tagatiyá-Guazú","-57.4394","-22.7572",NA,NA,"H. H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 17:09:00-03","NY","NYBG","469062","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"J. L. Clark","4381","1997","04","12","South America","Ecuador","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678234' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469062","Magnoliophyta","Laurales",NA,"Manabí",NA,"Chone. Recinto. Hojas Blanca. Carretera Pedernales-Carmen Mandarino, entrada el Mono. Famalia Cornejo Loor. Rio Mongolla","-79.85","-0.15","150",NA,"H. H. van der Werff","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01194882","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"J. M. Pires","12284","1970","06","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409538' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194882","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Pará",NA,NA,NA,NA,NA,"NY01194882_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01194878","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"B. A. Krukoff","5170","1933","07","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409533' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194878","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Amazonas",NA,"Basin of Rio Jurua. near mouth of Rio Embira (tributary of Rio Tarauaca).","-70.25","-7.5",NA,"NY01194878_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","865033","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"P. J. M. Maas","P12988","1971","05","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678239' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865033","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Acre","Porto Walter","Porangaba, Rio Juruá-Mirim","-72.7439","-8.2686",NA,"NY00865033_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00918091","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"H. S. Irwin","17726","1966","06","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985939' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918091","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Goiás","Piranhas","Ca. 75 km. S. of Aragarças. Drainage of the Upper Rio Araguaia.","-52.02","-16.43","700","NY00918091_01","J. G. Rohwer","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00918075","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985741' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918075","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Mato Grosso",NA,NA,NA,NA,NA,"NY00918075_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","50526","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"S. A. Mori","24212","1995","09","25","South America","French Guiana","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=678240' target='other'> <mi>dwc_moreinfo</mi></a>","NY00050526","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Saint-Laurent-du-Maroni",NA,"Saül and vicinity. Route de Bélizon, S of Eaux Claires.","-53.2","3.62",NA,NA,"H. H. van der Werff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01194881","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"B. V. Rabelo","2030","1983","04","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194881","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Amapá","Macapá","Rio Vila Nova","-51.6458273","0.2836264",NA,"NY01194881_01","J. G. Rohwer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01194879","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"U. N. Maciel","758","1982","08","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1303890' target='other'> <mi>dwc_moreinfo</mi></a>","NY01194879","Magnoliophyta","Laurales","(Ruiz & Pav.) Rohwer","Pará","Marabá","Carajás, Serra Norte. estrada PA-275, Paranapanema, 48 km do acampamento","-50.2485788","-6.0744109",NA,"NY01194879_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","355464","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha attenuata","isotype","G. Gardner","5150",NA,NA,NA,"South America","Brazil","sheet",NA,"Shuttl. 1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355464","Magnoliophyta","Laurales","Meisn.","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,"NY00355464_01",NA,NA,NA,NA,"attenuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","355463","PreservedSpecimen","Plantae","Lauraceae","Nectandra","leucantha","Nectandra leucantha attenuata","isotype","G. Gardner","5150","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355463","Magnoliophyta","Laurales","Meisn.","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,"NY00355463_01",NA,NA,NA,NA,"attenuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-10-19 09:50:00-02","NY","NYBG","355506","PreservedSpecimen","Plantae","Lauraceae","Nectandra","schomburgkii","Nectandra schomburgkii","holotype","R. Schomburgk","568",NA,NA,NA,"South America","Guyana","sheet",NA,"Com. am DC. 1862 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355506","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,"NY00355506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-10-19 09:50:00-02","NY","NYBG","355507","PreservedSpecimen","Plantae","Lauraceae","Nectandra","schomburgkii","Nectandra schomburgkii","isotype","R. Schomburgk","568",NA,NA,NA,"South America","Guyana","sheet",NA,"Com. am DC. 1862 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=465169' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355507","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,"NY00355507_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:39:15-03","EAO","IAN","174002","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"Brito, JM de","151","2000","10","11","Southern America","Brasil",NA,NA,"Flores brancas, inflorescência terminal.","IAN174002","Dicotiledônea",NA,"(Ruiz & Pav.) Rohwer","Amazonas",NA,"Estação Ecológica Mamirauá.",NA,NA,NA,NA,"Souza, MAD de",NA,NA,NA,NA,"1901","12",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:39:15-03","EAO","IAN","173993","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"Brito, JM de; Assunção, PACL","155","2000","10","12","Southern America","Brasil",NA,NA,"Inflorescência com flores brancas.","IAN173993","Dicotiledônea",NA,"(Ruiz & Pav.) Rohwer","Amazonas",NA,NA,NA,NA,NA,NA,"Souza, MAD de",NA,NA,NA,NA,"1901","12",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:39:15-03","EAO","IAN","173994","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"Souza, MAD de","1884","2000","01","21","Southern America","Brasil",NA,NA,"Aprox. 3m de altura acima d' gua. Pec¡olo e nervura central abaxial amarelo-claros, amarelada na adaxial. Ramos jovens angulosos no  pice, verdes. Odor adocicado. Frutos imaturos verdes.","IAN173994","Dicotiledônea",NA,"(Ruiz & Pav.) Rohwer","Amazonas",NA,"Esta¦Æo Ecol¢gica Mamirau . Pr¢x. a PanelÆo.",NA,NA,NA,NA,"Souza, MAD de",NA,NA,NA,NA,"1901","01",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:39:15-03","EAO","IAN","174000","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"Souza, MAD de; Hopkins, MJG","908","2000","05","06","Southern America","Brasil",NA,NA,"Planta toda glabra. Pec¡olo sub-alado. Folhas lenceoladas, com nervuras amarelas, proeminentes em ambas as faces. Inflorescência marrom-escura. C lice cinza-esverdeado; frutos imaturos verde-escuro pintalgados de branco.","IAN174000","Dicotiledônea",NA,"(Ruiz & Pav.) Rohwer","Amazonas",NA,NA,NA,NA,NA,NA,"Souza, MAD de",NA,NA,NA,NA,"1901","12",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:39:15-03","EAO","IAN","174001","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"Procópio, LC; Hopkins, MJG","266","2000","05","04","Southern America","Brasil",NA,NA,"Ramos marrons-escuros (acinzentado), bem lisos, opacos; ped£nculos da mesma cor. Fruto imaturo verde-escuro, liso, brilhante com pintas amarelas, min£sculas. C lice verde-escuro com algumas lenticelas marrons, min£sculas.","IAN174001","Dicotiledônea",NA,"(Ruiz & Pav.) Rohwer","Amazonas",NA,"Esta¦Æo Ecol¢gica Mamirau .",NA,NA,NA,NA,"Souza, MAD de",NA,NA,NA,NA,"1901","12",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:39:15-03","EAO","IAN","174003","PreservedSpecimen","Plantae","Lauraceae","Nectandra","hihua","Nectandra hihua",NA,"Brito, JM de","150","2000","10","11","Southern America","Brasil",NA,NA,"Flores brancas.","IAN174003","Dicotiledônea",NA,"(Ruiz & Pav.) Rohwer","Amazonas",NA,NA,NA,NA,NA,NA,"Souza, MAD de",NA,NA,NA,NA,"1901","12",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:39:15-03","EAO","IAN","104722","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lucida","Nectandra lucida",NA,"Magalhães, MG","6049","1954","08","08","Southern America","Brasil",NA,NA,NA,"IAN104722","Dicotiledônea",NA,"Nees",NA,NA,"Nos locais de vasante, 1km do rio S. Francisco, Bacia Hidrográfica do São francisco.",NA,NA,NA,NA,"Teixeira, BC",NA,NA,NA,NA,"1985","02",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:39:15-03","EAO","IAN","142267","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lucida","Nectandra lucida",NA,"Schunke-Vigo, J","2044","1967","06","06","Southern America","Peru",NA,NA,NA,"IAN142267","Dicotiledônea",NA,"Nees",NA,NA,"Al borde del río en el Caserío Miel de Abejas.",NA,NA,"400",NA,"Lamlein, SJ","400",NA,NA,NA,"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:39:15-03","EAO","IAN","145939","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lucida","Nectandra lucida",NA,"Rosa, NA","225","1974","10","16","Southern America","Brasil",NA,NA,NA,"IAN145939","Dicotiledônea",NA,"Nees","Pará",NA,"Sub-base Marapí, margem do Rio Marapí.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:39:15-03","EAO","IAN","42687","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lucida","Nectandra lucida",NA,"Fróes, RL","23743","1948","12","18","Southern America","Brasil",NA,NA,NA,"IAN042687","Dicotiledônea",NA,"Nees","Amazonas",NA,"Rio Solimões, Igarapé Belém.",NA,NA,NA,NA,"Teixeira, BC",NA,NA,NA,NA,"1965","05",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:39:15-03","EAO","IAN","50247","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lucida","Nectandra lucida",NA,"Pires, JM; Black, GA","1665a","1949","08","02","Southern America","Brasil",NA,NA,NA,"IAN050247","Dicotiledônea",NA,"Nees","Goiás",NA,"Tocantinópolis, cerrado.",NA,NA,NA,NA,"Teixeira, BC",NA,NA,NA,NA,"1985","02",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-08 17:38:44-03","EAO","IAN","XILO1583","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lucida","Nectandra lucida",NA,"Rosa, NA","225","1974","10","16","Southern America","Brasil",NA,NA,NA,"IANXILO1583","Dicotiledônea",NA,"Nees","Pará",NA,"Sub-base Marapí, margem do Rio Marapí.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:39:15-03","EAO","IAN","160468","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lucida","Nectandra lucida",NA,"Silva, MF da; Rosa, NA","1347","1983","05","30","Southern America","Brasil",NA,NA,NA,"IAN160468","Dicotiledônea",NA,"Nees","Pará","Marabá","Carajás, Serra Norte, área sob influência da mina de ferro N-2, mata disturbada ao longo da estrada.","-49.1178016662598","-5.36860990524292",NA,NA,NA,NA,"262883","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:39:15-03","EAO","IAN","163171","PreservedSpecimen","Plantae","Lauraceae","Nectandra","lucida","Nectandra lucida",NA,"Maciel, UN; Santos, MR dos","758","1982","08","06","Southern America","Brasil",NA,NA,NA,"IAN163171","Dicotiledônea",NA,"Nees","Pará","Marabá","Carajás, Serra Norte. Estrada PA 275, Paranapanema, 48 km do acampamento.","-49.1178016662598","-5.36860990524292",NA,NA,"Rosário, CS",NA,"262883","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
