"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","identifiedBy","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","typeStatus","individualCount","sex"
"22","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2842590","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Pedersen TM",NA,"1962","04","03","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2842590 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2842590",NA,NA,"Plantae Argentinenses. Estancia,,La Yela'. Dep. Empedrado. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-L2842590",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2842591","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Pedersen TM",NA,"1969","02","19","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2842591 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2842591",NA,NA,"Plantae Argentinae. Grassland on 'black earth'. Paso Pucu. Dep. Concepcion. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-L2842591",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-02-08 09:29:50-03","NBC","NL-BOTANY","L.2842592","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Fiebrig K",NA,"1903","02","01","Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2842592 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2842592",NA,NA,"Plantae paraguayenses. Bordlich von Tobati.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-L2842592",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-08 09:29:50-03","NBC","NL-BOTANY","U.1056921","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Herter WGF",NA,"1924","03","01","Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1056921 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1056921",NA,NA,"Uruguayenses, dict. Atahualpa-Sayago, departamento de Montevideo, república Oriental del Uruguay.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-U1056921",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:29:50-03","NBC","NL-BOTANY","WAG.1236574","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Pedersen TM",NA,"1962","04","03","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1236574 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1236574",NA,NA,"Plantae Argentinenses. Estancia,,La Yela'. Dep. Empedrado. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-WAG1236574",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-02-08 09:29:50-03","NBC","NL-BOTANY","WAG.1236575","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Pedersen TM",NA,"1969","02","19","Southern America","Argentina",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1236575 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1236575",NA,NA,"Plantae Argentinae. Grassland on 'black earth'. Paso Pucu. Dep. Concepcion. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,NA,"Lamiales","Nees","NL-WAG1236575",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 10:58:47-03","ESALQ","ESA","103298","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","7405.0","2007","01","18",NA,"Argentina",NA,NA,"Erva acaule, flores róseas","ESA103298","Corrientes","Ituzaingó","Ruta 34, 12km do Destacamento Policial Santo Tomás em direção à ruta 12. Solo rochoso com vegetação graminosa com ilhas de arvoretas e arbustos, mata de galeria adjacente",NA,NA,NA,NA,NA,NA,"Magnoliophyta",NA,NA,NA,"Peichoto, C.",NA,"2009",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-01-14 15:18:47-03","MN","R","11267","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Glaziou, A.F.M.","21873","1894","11","24",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000011267","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nees","R000011267_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-08-27 13:32:58-03","IAP","PACA-AGP","26115","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Rambo, B.",NA,"1945","01",NA,NA,"Brasil",NA,NA,"Bestimmung sicher, 30.04.1954; fl.; SEM MATERIAL Habitat: in siccis graminosis","PACA026115","RS","Quaraí","Faz. do Jarau","-56.4514007568359","-30.3875007629395",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","Nees",NA,"Emrich-Rambo","Magnoliatae",NA,"74636","auto",NA,NA,NA,NA,NA,NA
"31","2019-08-27 13:32:58-03","IAP","PACA-AGP","2041","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Rambo, B.",NA,"1935","04","24",NA,"Brasil",NA,NA,"Bestimmung sicher.&nf;fr. ornata Habitat: in siccis graminosis Fenofase: fruto","PACA002041","RS","Montenegro","Estação Azevedo","-51.4611015319824","-29.6886005401611",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","(Cav.) Nees",NA,"Emrich-Rambo","Magnoliatae","1954","21601","auto","04","30",NA,NA,NA,NA
"32","2019-08-27 13:32:58-03","IAP","PACA-AGP","2881","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Rambo, B.",NA,"1938","02","10",NA,"Brasil",NA,NA,"Habitat: in siccis graminosis","PACA002881","RS","Jaguarão",NA,"-53.3758010864258","-32.5661010742188",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","(Cav.) Nees",NA,"C. Ezcurra","Magnoliatae","1991","49890","auto",NA,NA,NA,NA,NA,NA
"33","2019-08-27 13:32:58-03","IAP","PACA-AGP","29025","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Rambo, B.",NA,"1945","08","24",NA,"Brasil",NA,NA,"Bestimmung sicher. Habitat: in siccis graminosis Fenofase: flor","PACA029025","RS","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","(Cav.) Nees",NA,"V. Silva, M. F. Parode & M. S. Marchioretto","Magnoliatae","2015","29946","auto","03",NA,NA,NA,NA,NA
"34","2019-08-27 13:32:58-03","IAP","PACA-AGP","34167","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Rambo, B.",NA,"1946","10","16",NA,"Brasil",NA,NA,"Bestimmung sicher, 30.04.1954. Habitat: in siccis graminosis Fenofase: flor","PACA034167","RS","Porto Alegre","Morro da Polícia","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","(Cav.) Nees",NA,"V. Silva, M. F. Parode & M. S. Marchioretto","Magnoliatae","2015","29946","auto","03",NA,NA,NA,NA,NA
"35","2019-08-27 13:32:58-03","IAP","PACA-AGP","40082","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Rambo, B.",NA,"1949","01","22",NA,"Brasil",NA,NA,"Habitat: in siccis graminosis Fenofase: flor","PACA040082","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","(Cav.) Nees",NA,"C. Ezcurra","Magnoliatae","1991","29946","auto",NA,NA,NA,NA,NA,NA
"36","2019-08-27 13:32:58-03","IAP","PACA-AGP","31646","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Rambo, B.",NA,"1945","12","12",NA,"Brasil",NA,NA,"Bestimmung sicher. Habitat: in siccis graminosis Fenofase: flor","PACA031646","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","(Cav.) Nees",NA,"V. Silva, M. F. Parode & M. S. Marchioretto","Magnoliatae","2015","29946","auto","03",NA,NA,NA,NA,NA
"37","2019-08-27 13:32:58-03","IAP","PACA-AGP","25563","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","Rambo, B.",NA,"1944","01",NA,NA,"Brasil",NA,NA,"Habitat: in siccis graminosis Fenofase: flor","PACA025563","RS","São Gabriel","Faz. Santa Cecilia","-54.3199996948242","-30.3363990783691",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","(Cav.) Nees",NA,"V. Silva, M. F. Parode & M. S. Marchioretto","Magnoliatae","2015","56206","auto","03",NA,NA,NA,NA,NA
"38","2019-08-27 13:32:58-03","IAP","PACA-AGP","63127","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","A. Spies",NA,"1957",NA,NA,NA,"Brasil",NA,NA,"Habitat: in campestribus Fenofase: flor","PACA063127","RS","Uruguaiana",NA,"-57.0882987976074","-29.7546997070312",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","(Cav.) Nees",NA,"V. Silva, M. F. Parode & M. S. Marchioretto","Magnoliatae","2015","93142","auto","03",NA,NA,NA,NA,NA
"39","2019-08-27 13:32:58-03","IAP","PACA-AGP","59197","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","trinerve","Stenandrium trinerve","Rambo, B.",NA,"1956","01","29",NA,"Brasil",NA,NA,"sicher, 16,05,1957; fl. fr.; SEM MATERIAL Habitat: in siccis herbosis","PACA059197","RS","Canoas","Esteio","-51.1836013793945","-29.9178009033203",NA,NA,NA,NA,"Magnoliophyta","Scrophulariales","Nees",NA,"Emrich-Rambo","Magnoliatae",NA,"8037","auto",NA,NA,NA,NA,NA,NA
"40","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0001486","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","L. R. Landrum;","3371","1978","3","19",NA,"Chile",NA,NA,"1486; Pink flowered herb on beach.",NA,"Biobio",NA,"Ca 1-2 km north of Laraquete on road to Lota","-73.1667","-37.1667",NA,NA,NA,NA,"Magnoliophyta","Lamiales","(Cav.) Nees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0001490","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","G. Hatschbach; M. Hatschbach, J. M. Silva","74038","2002","11","10",NA,"Brazil",NA,NA,"ASU0001490; Flor rosada. Cerrado locais abertos solo arenoso.",NA,"Mato Grosso do Sul",NA,"Rodovia Bonito—Campo dos Indies, entre km 80-85 (Mun. Porto Murtinho) Mato Grosso do Sul","-57.866667","-21.7",NA,NA,NA,NA,"Magnoliophyta","Lamiales","(Cav.) Nees",NA,"D. Wasshausen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-07 11:40:27-03","UFMS","CGMS","76098","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","diphyllum","Stenandrium diphyllum","Moreira, S.N.; Pott, V.J., Pott, A.","869","2012","06","12",NA,"Brasil",NA,NA,"Flor rosa-esbranquiçado. Habitat: Campo de vazante em meio a Brachiaria humidicola. Habito: Erva escandente.","CGMS1109053","Mato Grosso do Sul","Rio Verde de Mato Grosso",NA,"-54.8442001342773","-18.9181003570557",NA,NA,NA,NA,NA,NA,"Nees",NA,NA,NA,NA,"87429","auto",NA,NA,NA,NA,NA,NA
"43","2021-04-07 11:40:27-03","UFMS","CGMS","66812","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","C.R. Stritar; L.S. Savala; T.D. Barbosa; A. Pott","9","2017","10","16",NA,"Brasil",NA,NA,"Flor lilás.Folha roxa na face abaxial. Habitat: Cerradão em Regeneração. Solo arenoso. Habito: Erva.","CGMS1099773","Mato Grosso do Sul","Alcinópolis","Monumento Natural Serra do Bom Jardim. Trilha atrás da Casa Parque.","-53.6805556","-18.1280556","-53,6805556","-18,1280556","631","631",NA,NA,"(Cav.) Nees",NA,NA,NA,"2020",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-04-07 11:40:27-03","UFMS","CGMS","65110","PreservedSpecimen","Plantae","Acanthaceae","Stenandrium","dulce","Stenandrium dulce","T.S.G. Botelho; A. Pott; K.C.B.S. Santos; A.C. Rodrigues","50","2017","10","19",NA,"Brasil",NA,NA,"Flor rosa com estrias vermelha. Habitat: Cerrado rupestre. Afloramento rochoso. Habito: Erva. 5 - 7 cm de altura.","CGMS1098071","Mato Grosso do Sul","Alcinópolis","Monumento Natural Serra do Bom Jardim, Parque Municipal Templo dos Pilares. Trilha Templo dos Pilares.","-53.6786111","-18.1491666","-53,6786111","-18,1491666","627","627",NA,NA,"(Cav.) Nees",NA,NA,NA,"2020",NA,NA,NA,NA,NA,NA,NA,NA
