"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","relatedCatalogItem"
"11","2020-09-02 16:29:16-03","Cenargen","CEN","104118","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","M. Simon","Anderson Cássio Sevilha","6939","2017","03","27",NA,"Brasil","MG","INDAIABIRA","Sítio 22. Ponto 2.","-42.088611","-15.465","755","755","Exsicatas","Botão floral ferrugíneo. Terraço de rio. Projeto Bem Diverso.","CEN00104118","CEN00104118",NA,"2017",NA,NA,"04",NA,"-42.088611","-15.465","4",NA,NA
"12","2020-09-02 16:29:16-03","Cenargen","CEN","104200","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","L.S. B. Jordão","Anderson Cássio Sevilha","7024","2017","06","23",NA,"Brasil","MG","RIO PARDO DE MINAS","Serra Nova. Sítio 25. Ponto 3. Próximo da ponte.","-42.676388","-15.646388","784","784","Exsicatas","Área antrópica. Projeto Bem Diverso.","CEN00104200","CEN00104200",NA,"2018",NA,NA,"04",NA,"-42.676388","-15.646388","4",NA,NA
"13","2020-09-02 16:29:16-03","Cenargen","CEN","103757","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","M. Simon","Anderson Cássio Sevilha","6809","2017","03","23",NA,"Brasil","MG","VARGEM GRANDE DO RIO PARDO","Sítio 17. Ponto 7.","-42.318333","-15.455833","798","798","Exsicatas","Beira de riacho. Projeto Bem Diverso.","CEN00103757","CEN00103757",NA,"2017",NA,NA,"04",NA,"-42.318333","-15.455833","4",NA,NA
"14","2020-09-02 16:29:16-03","Cenargen","CEN","102839","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","M. Simon","Anderson Cássio Sevilha","6227","2016","12","05",NA,"Brasil","MG","TAIOBEIRAS","Sitio 7.","-42.093055","-15.8175","829","829","Exsicatas","Projeto Bem Diverso.","CEN00102839","CEN00102839",NA,"2019",NA,NA,"03",NA,"-42.093055","-15.8175","4",NA,NA
"15","2020-09-02 16:29:16-03","Cenargen","CEN","102788","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","M. Simon","Anderson Cássio Sevilha","6125","2016","12","03",NA,"Brasil","MG","SANTA CRUZ DE SALINAS","Sítio 6. Ponto 1.","-41.7625","-16.021944","965","965","Exsicatas","Projeto Bem Diverso.","CEN00102788","CEN00102788",NA,"2017",NA,NA,"08",NA,"-41.7625","-16.021944","5",NA,NA
"16","2020-09-02 16:29:16-03","Cenargen","CEN","106067","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","M. Simon","Anderson Cássio Sevilha","7195","2018","03","05",NA,"Brasil","MG","BERIZAL","Serra do Anastácio.","-41.791111","-15.755833","1221","1221","Exsicatas",NA,"CEN00106067","CEN00106067",NA,"2018",NA,NA,"09",NA,"-41.791111","-15.755833","4",NA,NA
"17","2020-09-02 16:29:16-03","Cenargen","CEN","106124","PreservedSpecimen","Plantae",NA,NA,"Fabaceae Mimosoideae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","M. Simon","Anderson Cássio Sevilha","7251","2018","03","06",NA,"Brasil","MG","BERIZAL","Topo da Serra do Anastácio.","-41.781111","-15.758611","1418","1418","Exsicatas",NA,"CEN00106124","CEN00106124",NA,"2018",NA,NA,"09",NA,"-41.781111","-15.758611","4",NA,NA
"18","2020-05-08 11:10:45-03","UEFS","HUEFS","43369","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Mimosa","pabstiana","Mimosa pabstiana","Barneby","L.S.B.Jordão","Silva, M.M.da","345","2000","02","28",NA,"Brasil","Bahia","Contendas do Sincorá","Ca. 2 km em direção a Pé de Serra.","-41.0410995483398","-13.7628002166748",NA,NA,NA,"Mata na Beira da estrada","HUEFS0043369","HUEFS0043369",NA,"2017","27330","auto","06",NA,NA,NA,NA,"Rosanae",NA
"19","2020-07-23 12:14:34-03","CEPLAC","CEPEC","89965","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Mimosa","pabstiana","Mimosa pabstiana",NA,"L. S. B. Jordão","A. G. da Silva","120",NA,NA,NA,NA,"Brasil","Pernambuco","brejo da madre de deus",NA,"-36.3711013793945","-8.14583015441895",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,"34231","auto",NA,NA,NA,NA,NA,NA,"12/6/2017"
"20","2021-03-05 16:10:02-03","MN","R-TIPOS","116072a","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","Barneby, R.","Pabst, G.F.J.; Pereira, E.","8306","1965","01","15",NA,"Brasil","Minas Gerais",NA,"BR4",NA,NA,NA,NA,NA,NA,"R000116072a","R000116072a_001","Isotypus de Mimosa pabstiana Barneby","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-05 16:10:02-03","MN","R-TIPOS","116072","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","pabstiana","Mimosa pabstiana","Barneby","Barneby, R.","Pabst, G.F.J.; Pereira, E.","8306","1965","01","15",NA,"Brasil","Minas Gerais",NA,"BR4",NA,NA,NA,NA,NA,NA,"R000116072","R000116072_001","Holotypus de Mimosa pabstiana Barneby","1988",NA,NA,NA,NA,NA,NA,NA,NA,NA
