"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters"
"11","2020-12-21 16:36:36-03","MBM","MBM","304419","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","ISOTYPE","Soares-Silva, L.H.","563","1995","12","08","Southern America","Brazil","Paraná","Sapopema","Margem direita do Rio Lageado","-50.5802993774414","-23.9108009338379",NA,"Árvore 3,0m alt.; botões florais branco-esverdeados.; Árvore 3m alt.; botões florais branco-esverdeados.","MBM304419","MBM304419",NA,NA,NA,NA,NA,NA,"21990","auto",NA,NA
"12","2020-12-11 11:39:12-03","UFMG","BHCB","92917","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Isotypus","Soares-Silva, LH","563","1995","12","08","Southern America","Brasil","Paraná","Sapopema","Margem direita do Rio Lageado","-50.5802993774414","-23.9108009338379",NA,"Árvore 3,0 m alt. Botões florais branco-esverdeados.","BHCB000330","BHCB000330",NA,NA,NA,"2004",NA,NA,"21990","auto",NA,NA
"13","2020-12-11 11:39:12-03","UFMG","BHCB","109809","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Paratypus","Medri, C","744","1998","10","31","Southern America","Brasil","Paraná","Sapopema","Salto das Orquídeas","-50.5802993774414","-23.9108009338379",NA,"Árvore 4 m. Botões verdes.; Beira do rio","BHCB000329","BHCB000329 BHCB000329_01",NA,NA,NA,"2004",NA,NA,"21990","auto",NA,NA
"14","2020-12-11 11:39:12-03","UFMG","BHCB","109808","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Paratypus","Pavão, OC; et al.","s.n.","1999","12","09","Southern America","Brasil","Paraná","Sapopema","Salto das Orquídeas, Vila Rural. Trilha da mata","-50.5802993774414","-23.9108009338379",NA,"Árvore 4 m. Botões florais e verdes.","BHCB000328","BHCB000328",NA,NA,NA,"2004",NA,NA,"21990","auto",NA,NA
"15","2021-02-11 17:20:40-03","UFPR","UPCB","50852","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","L.H.Soares-Silva & M.Sobral","Paratype","Chagas e Silva, F.","2056","1996","11","05",NA,"Brasil","Paraná","Sapopema","Arredores","-50.5802993774414","-23.9108009338379",NA,"Árvore 3,5m, botões jovens verde, floresta ciliar..","UPCB0002315","UPCB0002315",NA,NA,"Soares-Silva, L.H. & Sobral, M.","2004","01","01","21990","auto",NA,NA
"16","2021-02-11 17:20:40-03","UFPR","UPCB","50853","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","L.H.Soares-Silva & M.Sobral","Isotype","Soares e Silva, L.H.","563","1995","12","08",NA,"Brasil","Paraná","Sapopema","Margem direita do Rio Lageado","-50.5802993774414","-23.9108009338379",NA,"Árvore 3m, botões florais branco-esverdeados..","UPCB0002314","UPCB0002314",NA,NA,"Soares-Silva, L.H. & Sobral, M.","2004","01","01","21990","auto",NA,NA
"17","2017-11-27 05:22:00-02","MO","MOBOT","2483385","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva",NA,"L.H. Soares-Silva","Soares-Silva 563","1995","12","8","South America","Brazil","Paraná",NA,"Sapopema, Salto das Orquídeas, margem direita do rio Lageado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-08-31 09:07:40-03","INPA","INPA","240890","S","Plantae","Dicotyledon Com-Clade","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","paratype","Soares e Silva, LH","420","1995","09","21","Southern America","Brasil","Paraná","Sapopema","Salto das Orquídeas - margem direita do Rio Lageado.","-50.5802993774414","-23.9108009338379",NA,NA,"INPA0240890","INPA0240890 INPA0240890_e",NA,NA,"Soares-Silva, LH","1995",NA,NA,"21990","auto",NA,NA
"19","2017-11-24 14:11:43-02","UFLA","ESAL","20602","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral",NA,"Silva, AC da","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","São Sebastião da Bela Vista",NA,"-45.7541999816895","-22.159200668335",NA,"árvore; ; ;; floresta",NA,NA,NA,NA,"M.Sobral",NA,NA,NA,"13705","auto",NA,NA
"20","2017-11-24 14:11:43-02","UFLA","ESAL","20601","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral",NA,"Silva, AC da","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","São Sebastião da Bela Vista",NA,"-45.7541999816895","-22.159200668335",NA,"árvore; ; ;; floresta",NA,NA,NA,NA,"M.Sobral",NA,NA,NA,"13705","auto",NA,NA
"21","2017-11-24 14:11:43-02","UFLA","ESAL","20600","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral",NA,"Silva, AC da","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","São Sebastião da Bela Vista",NA,"-45.7541999816895","-22.159200668335",NA,"árvore; ; ;; floresta",NA,NA,NA,NA,"Marcos Sobral",NA,NA,NA,"13705","auto",NA,NA
"22","2019-12-09 10:46:05-03","UFSJ","HUFSJ","8175","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","paratype","Pavão, OC; et al.","s.n.","1999","12","09",NA,"Brasil","Paraná","Sapopema","Vila Rural. Salto das Orquideas: Salto das Orquideas. Trilha da mata.","-50.5802993774414","-23.9108009338379",NA,"Árvore de 4m. Botões florais e verdes.","HUFSJ008175","HUFSJ008175",NA,NA,"Soares-Silva","2004","02",NA,"21990","auto",NA,NA
"23","2020-11-04 17:29:59-03","UEM","HUEM","16912","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral",NA,"Soares-Silva, LH","563","1995","12","08",NA,"Brasil","Paraná","Sapopema","Margem direita do Rio Lageado","-50.5802993774414","-23.9108009338379",NA,"Árvore; 3m alt.; botões florais branco-esverdeados",NA,NA,NA,NA,"Soares-Silva, LH","1995",NA,NA,"21990","auto",NA,NA
"24","2020-11-12 17:01:54-03","UEL","FUEL","16097","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","paratype","Soares-Silva, LH; et al.","570","1995","12","09",NA,"Brasil","Paraná","Curiúva","Margem do Rio Lageado","-50.4583015441895","-24.0324993133545",NA,NA,"FUEL016097",NA,NA,NA,"Soares-Silva, LH","1995",NA,NA,"23566","auto",NA,NA
"25","2020-11-12 17:01:54-03","UEL","FUEL","18927","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","paratype","Francisco das Chagas e Silva; Francisco, EM","2127","1996","11","07",NA,"Brasil","Paraná","Sapopema","Arredores de Sapopema","-50.5802993774414","-23.9108009338379",NA,NA,"FUEL018927",NA,NA,NA,NA,NA,NA,NA,"21990","auto",NA,NA
"26","2020-11-12 17:01:54-03","UEL","FUEL","15005","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","paratype","Soares-Silva, LH; et al.","441","1995","10","04",NA,"Brasil","Paraná","Sapopema","Beira do Rio Lageado","-50.5802993774414","-23.9108009338379",NA,NA,"FUEL015005",NA,NA,NA,"Soares-Silva, LH","1995",NA,NA,"21990","auto",NA,NA
"27","2020-11-12 17:01:54-03","UEL","FUEL","16090","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","isotype","Soares-Silva, LH","563","1995","12","08",NA,"Brasil","Paraná","Sapopema","margem direita do Rio Lageado","-50.5802993774414","-23.9108009338379",NA,NA,"FUEL016090",NA,NA,NA,"Soares-Silva, LH","1995",NA,NA,"21990","auto",NA,NA
"28","2020-11-12 17:01:54-03","UEL","FUEL","26676","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","paratype","Medri, C","744","1998","10","31",NA,"Brasil","Paraná","Sapopema","Salto das Orquídeas","-50.5802993774414","-23.9108009338379",NA,NA,"FUEL026676",NA,NA,NA,"Sobral, M","2009","07","31","21990","auto",NA,NA
"29","2020-11-12 17:01:54-03","UEL","FUEL","17198","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral",NA,"Soares-Silva, LH; Francisco das Chagas e Silva","420","1995","09","21",NA,"Brasil","Paraná","Sapopema","Salto das Orquídeas, Margem direita do Rio Lageado.","-50.5802993774414","-23.9108009338379",NA,NA,"FUEL010272",NA,NA,NA,NA,NA,NA,NA,"21990","auto",NA,NA
"30","2020-11-12 17:01:54-03","UEL","FUEL","27498","PreservedSpecimen","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","paratype","Pavão, OC; et al.","s.n.","1999","12","09",NA,"Brasil","Paraná","Sapopema","Vila Rural - Salto das Orquideas, Salto das Orquideas","-50.5802993774414","-23.9108009338379",NA,NA,"FUEL027498",NA,NA,NA,"Soares-Silva, LH","2004","02",NA,"21990","auto",NA,NA
"31","2019-12-05 14:48:38-03","UFSCar","SORO","7871","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Parátipo","Pavão, O.C.; et al.","27498","1999","12","09",NA,"Brasil","Paraná","Sapopema","Vila Rural - Salto das Orquideas: Salto das Orquideas.","-50.5802993774414","-23.9108009338379",NA,"Árvore 4m; botões floras e verdes. Trilha da mata.",NA,NA,NA,NA,"L.H. Soares-Silva","2004","02",NA,"21990","auto",NA,NA
"32","2019-05-06 12:00:59-03","UFU","HUFU","46597","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Paratype","Soares-Silva, L.H.; et al.","441","1995","10","04",NA,"Brasil","Paraná","Sapopema","Beira do Rio Lageado","-50.5802993774414","-23.9108009338379",NA,"Paratype.; Arvoreta 2,5 m alt. Botões florais esverdeados.; Margem de rio.","HUFU00070266",NA,NA,NA,"Soares-Silva, L.H.","1995",NA,NA,"21990","auto",NA,NA
"33","2019-05-06 12:00:59-03","UFU","HUFU","40580","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Paratype","Soares-Silva, L.H.; et al.","570","1995","12","09",NA,"Brasil","Paraná","Curiuva","Margem do rio Lageado.","-50.4583015441895","-24.0324993133545",NA,"Paratype.; Arvoreta 3,0 m. alt. Botões florais esbranquiçados.; Margem de rio.","HUFU00070267",NA,NA,NA,NA,NA,NA,NA,"23566","auto",NA,NA
"34","2021-03-04 15:45:24-03","IF","SPSF","45528","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral",NA,"C.Medri","744","1998","10","31","América do Sul","Brasil","PR","Sapopema","Salto das Orquídeas","-50.5802993774414","-23.9108009338379",NA,"COLETA: Beira de rio&nf;Árvore 4m altura; botões verdes.; GEOGRAFIA: EX-FUEL;",NA,NA,"Magnoliopsida",NA,"M.Sobral","2009","07","31","21990","auto",NA,NA
"35","2021-03-04 15:45:24-03","IF","SPSF","33800","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Parátipo","F.Chagas e Silva & E.M.Fracisco","2056","1996","11","05","América do Sul","Brasil","PR","Sapopema","arredores do município","-50.5802993774414","-23.9108009338379",NA,"COLETA: Mata ciliar&nf;Árvore 3,5m altura; botões jovens verdes.;",NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,"21990","auto",NA,NA
"36","2019-11-21 10:11:35-03","IBt","SP","386551","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Paratype","Soares Silva, LH; et al.","441","1995","10","04",NA,"Brasil","Paraná","Sapopema","Beira do rio Lageado","-50.5802993774414","-23.9108009338379",NA,"Arvoreta 2,5 m alt., botões florais esverdeados","SP001335","SP001335",NA,NA,"Soares; Silva, LH","2004",NA,NA,"21990","auto",NA,NA
"37","2019-11-21 10:11:35-03","IBt","SP","373564","S","Plantae",NA,NA,"Myrtaceae","Eugenia","myrciariifolia","Eugenia myrciariifolia","Soares-Silva & Sobral","Paratype","Chagas Silva, F; Francisco, EM","2056","1996","11","05",NA,"Brasil","Paraná","Sapopema","Em floresta ciliar","-50.5802993774414","-23.9108009338379",NA,"Árvore 3,5 m alt., botões verdes","SP001336","SP001336",NA,NA,"Sobral, M","2004",NA,NA,"21990","auto",NA,NA
