"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"11","2019-12-19 08:15:24-03","FPS","FPS","3292","MachineObservation","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Schwirkowski, P.","2718","2018","03","24",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Linha férrea, próximo à igreja de Rio Natal","-49.303748","-26.34687",NA,NA,NA,"<ll>dwc_commonname:</ll> Orquídea","FPS03292,FURB59220","FPS03292_v02 FPS03292_v03 FPS03292_v04 FPS03292_v05 FPS03292_v06 FURB59220","Medeiros, A.","-49.303748","-26.34687","2018","06","17",NA,NA,NA,"voucher","FURB 59220",NA,NA,NA
"12","2019-12-19 08:15:24-03","FPS","FPS","1924","MachineObservation","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Schwirkowski, P.",NA,"2014","03","09",NA,"Brasil","Santa Catarina","São Bento do Sul","Sertãozinho - Propr. de Leonardo Pilz","-49.380737","-26.320252",NA,NA,NA,"<ll>dwc_commonname:</ll> Orquídea","FPS01924","FPS01924_v01 FPS01924_v02 FPS01924_v03","Schwirkowski, P.","-49.380737","-26.320252","2014","03","09",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-28 12:17:08-03","IPA","IPA","26390","S","Plantae","Plantae",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb. f.) M.W. Chase & N.H.Williams","Caldasso, A.","304","1978","12","08","Southern America","Brasil","Pernambuco","Triunfo","Sítio de Café, na sombra de um cafezal. Sobre árvore viva.","-38.166667","-7.833333","1000","1000",NA,"Epífita. Isolada. Flor castanho-amarela.; Mata de altitude (brejo), devastada.","IPA0026390",NA,"Moreira, L.H.L.","-38.166667","-7.833333","2019","05","06",NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-07-05 11:14:19-03","FFCLRP","LBMBP","798","S","Plantae",NA,NA,"Orchidaceae","Oncidium","gravesianum","Oncidium gravesianum","Rolfe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-07-05 11:14:19-03","FFCLRP","LBMBP","248","S","Plantae",NA,NA,"Orchidaceae","Oncidium","praetextum","Oncidium praetextum","Rchb.f.","E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","São Paulo","Jundiaí",NA,"-46.883333","-23.183333",NA,NA,NA,NA,NA,NA,"E.R. Pansarin","46°53'W","23°11'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-07-05 11:14:19-03","FFCLRP","LBMBP","614","S","Plantae",NA,NA,"Orchidaceae","Oncidium","praetextum","Oncidium praetextum","Rchb.f.","E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","São Paulo","Jundiaí",NA,"-46.883333","-23.183333",NA,NA,NA,NA,NA,NA,"E.R. Pansarin","46°53'W","23°11'S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-24 17:09:42-03","UFES","SAMES","7450","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brasilidium","praetextum","Brasilidium praetextum","(Rchb.f.) Campacci","Korte,A.; Kniess,A.","1834","2010","02","18",NA,"Brasil","Santa Catarina","Taió","Fazenda Tarumã. Coleta no interior do fragmento.","-49.9981002807617","-27.1163997650146","802","802",NA,"Com flores marrom e amarelo no centro. Habitat: Floresta Ombrófila Densa Habito: Epífita","SAMES07450",NA,"Barros,F.de","-501305556.0","-270002778.0","2011","12","06","32258","auto",NA,NA,NA,NA,NA,NA
"18","2020-06-30 18:32:38-03","UFJF","CESJ","26509","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Oncidium","gravesianum","Oncidium gravesianum","Rolfe","R.C. Forzza","s.n.","1993","05","01","América do Sul","Brasil","Minas Gerais",NA,"Parque Estadual do Ibitipoca, Trilha para a Portaria.",NA,NA,NA,NA,NA,"Perigônio com tépalas marrons. Labelo com borda marrom e centro amarelo. Coluna amarela. Com tubérculos marrons.","CESJ026509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 14:40:53-03","UFJF","CESJ","71885","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Oncidium","gravesianum","Oncidium gravesianum","Rolfe","D.E.F. Barbosa; G.A. Basilio","373","2017","04","08","América do Sul","Brasil","Minas Gerais","Descoberto","Serra do Relógio, Floresta semidecidual montana","-42.935833","-21.387778","1200","1200",NA,"Epífita entre 50cm e 4m. Sépalas e pétalas castanhas, labelo amarelo com base maculada de castanho e ápice castanho. Interior e borda de floresta.","CESJ071885",NA,"D.E.F. Barbosa","-42.935833","-21.387778","2017","04","08",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:40:53-03","UFJF","CESJ","67852","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Oncidium","gravesianum","Oncidium gravesianum","Rolfe","D.E.F. Barbosa; G.A. Basilio; S.G. Furtado; L. Menini Neto","237","2015","03","29","América do Sul","Brasil","Minas Gerais","Lima Duarte","Conceição de Ibitipoca, Fazenda do Tanque, Floresta semidecidual montana","-43.913333","-21.698611","1300","1300",NA,"Epífita a 15m. Sépalas e pétalas castanhas, labelo amarelo com base maculada de castanho e ápice castanho. Borda de mata.","CESJ067852",NA,"L. Menini Neto","-43.913333","-21.698611","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:40:57-03","UFJF","CESJ","67743","PreservedSpecimen","Plantae","Angiosperma",NA,"Orchidaceae","Oncidium","praetextum","Oncidium praetextum","Rchb.f.","E. Caglioni; et al.","559","2015","02","17","América do Sul","Brasil","Santa Catarina","Luiz Alves","Braço Paula Ramos, Floresta Ombrófila Densa","-48.997636","-26.762081","215","215",NA,"Epífito com flores de coloração marrom com amarelo; Floresta em estágio médio de regeneração.","CESJ067743",NA,"E. Caglioni","-48.997636","-26.762081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-20 10:00:46-03","UNICAMP","UEC","139006","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Singer, RB","99/15","1999","08","13",NA,"Brazil","Minas Gerais","Carrancas","Serra de Bicas","-44.6425018310547","-21.4874992370605",NA,NA,NA,NA,"UEC001867","UEC001867","Meneguzzo, TEC",NA,NA,"2015",NA,NA,"21143","auto",NA,NA,NA,NA,NA,NA
"23","2019-08-20 10:00:46-03","UNICAMP","UEC","140313","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Faria, AD","s.n.",NA,NA,NA,NA,"Brazil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,"Cultivado na casa de vegetação da Unicamp.","UEC001865","UEC001865","Meneguzzo, TEC",NA,NA,"2015",NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:20:15-03","UNICAMP","UEC","63171","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Bernacci, LC","28435",NA,NA,NA,NA,"Brazil","São Paulo","Atibaia","Parque Municipal da Grota Funda.","-46.5499992370605","-23.1100006103516","900","1400",NA,"Epífita ca. 0,3 - 0,5 m alt., flores amarelo-ferrugíneas.; Mata mesófila de altitude com afloramentos rochosos no interior ou expostos.","UEC017574","UEC017574","Meneguzzo, TEC",NA,NA,"2015",NA,NA,"21675","auto",NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:20:15-03","UNICAMP","UEC","63173","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Bernacci, LC","28436",NA,NA,NA,NA,"Brazil","São Paulo","Atibaia","Parque Municipal da Grota Funda.","-46.5499992370605","-23.1100006103516","900","1400",NA,"Epífita ca. 0,3 - 0,5 m alt., flores amarelo-ferrugíneas.; Mata mesófila de altitude com afloramentos rochosos no interior ou expostos. Ocorrente no interior da mata mesófila de altitude.","UEC017573","UEC017573","Meneguzzo, TEC",NA,NA,"2015",NA,NA,"21675","auto",NA,NA,NA,NA,NA,NA
"26","2019-08-20 10:00:46-03","UNICAMP","UEC","140325","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Faria, AD","s.n.",NA,NA,NA,NA,"Brazil","São Paulo","Cotia",NA,"-46.9099998474121","-23.6000003814697",NA,NA,NA,"Cultivado na casa de vegetação da Unicamp.","UEC001866","UEC001866","Meneguzzo, TEC",NA,NA,"2015",NA,NA,"23869","auto",NA,NA,NA,NA,NA,NA
"27","2019-08-20 10:00:46-03","UNICAMP","UEC","137624","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","s/ coletor","s.n.","2005","01",NA,NA,"Brazil","São Paulo","Jundiaí","Orquidário do Vico","-46.8800010681152","-23.1800003051758",NA,NA,NA,"Data de floração: 1.2005. Material coletado para extração de DNA.","UEC076029","UEC076029","Meneguzzo, TEC",NA,NA,"2015",NA,NA,"17840","auto",NA,NA,NA,NA,NA,NA
"28","2021-03-01 16:20:15-03","UNICAMP","UEC","199980","S","Plantae","Liliopsida",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Freitas, L; Gajardo, ISM","500","1998","12","29",NA,"Brazil","São Paulo","São José do Barreiro",NA,"-44.5699996948242","-22.6399993896484",NA,NA,NA,"Erva epífita, 75cm, flor amarelo vivo e marrom avermelhado.; Campo de altitude.","UEC154861","UEC154861","Vieira, TL",NA,NA,"2018","07",NA,"30784","auto",NA,NA,NA,NA,NA,NA
"29","2020-04-22 16:26:37-03","UFPB","JPB","58651","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.) M.W.Chase & N.H. Williams","Silva, GS; Souza, RS","269","2014","03","26","Southern America","Brasil","Bahia","Jequié","Oriente Novo., Fazenda Orixás.","-40.161917","-14.217556",NA,NA,NA,"; HABITAT: Mata Atlântica.; DESC: Epífita. Folhas simples, crassas, paralelinérveas, verde arroxeado. Flores amarelo e marrom, zigomorfas, dialipétalas, corola pentâmera. Fruto imaturo, verde.","JPB0058651",NA,"Vilaça, M.","-40.161917","-14.217556","2017","08","15",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-04-22 16:26:37-03","UFPB","JPB","58701","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.) M.W.Chase & N.H. Williams","Souza, RS; Moreira, RS; Silva, GS","361","2014","04","04","Southern America","Brasil","Bahia","Jequié","Oriente Novo.","-40.159056","-14.217806",NA,NA,NA,"; DESC: Herbácea. Folhas simples, lanceoladas, paralelinérvias. Flores com corola amarelo e marrom, nectário.","JPB0058701",NA,"Vilaça, M.","-40.159056","-14.217806","2017","08","15",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-04-22 16:26:37-03","UFPB","JPB","33131","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.) M.W.Chase & N.H. Williams","Gadelha Neto, PC; Dantas, DHM; Emeri, WWS","1125","2004","04","24","Southern America","Brasil","Paraíba","Maturéia","Pico do Jabre","-37.3513984680176","-7.26694011688232",NA,NA,NA,"; DESC: Epífita. Em local úmido, sombreado; Pétalas variegadas com tonalidades de amarelo à marrom; Bulbo marrom.",NA,NA,"Vilaça, M.",NA,NA,"2017","08","15","10167","auto",NA,NA,NA,NA,NA,NA
"32","2020-04-22 16:26:37-03","UFPB","JPB","35856","PreservedSpecimen","Plantae","Angiosperma","Monocotyledon","Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.) M.W.Chase & N.H. Williams","Gadelha Neto, PC; Pontes, RA","1543","2006","05","25","Southern America","Brasil","Paraíba","São João do Tigre","APA das Onças, Lajedo do Coelho. Rochoso.","-36.8478012084961","-8.07917022705078",NA,NA,NA,"; DESC: Erva rupícola de bulbo suculento, vináceo; raízes esbranquiçadas; folhas dísticas de coloração verde oliva; haste floral com cerca de 40cm com flores variegadas marrom-amarelo.",NA,NA,"Vilaça, M.",NA,NA,"2017","08","15","29531","auto",NA,NA,NA,NA,NA,NA
"33","2020-10-14 10:03:57-03","FURB","FURB","19694","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brasilidium","praetextum","Brasilidium praetextum","(Rchb.f.) Campacci","Korte, A.; Kniess, A.","1834","2010","02","18",NA,"Brasil","Santa Catarina","Taió","Fazenda Tarumã.","-50.1305556","-27.0002778","802","802",NA,"Florística IFFSC 625 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor marrom e amarelo no centro","FURB02697","FURB02697","Barros, F de","-50.1305556","-27.0002778","2011","12","06",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-10-14 10:03:57-03","FURB","FURB","20231","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brasilidium","praetextum","Brasilidium praetextum","(Rchb.f.) Campacci","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1519","2010","02","24",NA,"Brasil","Santa Catarina","Taió","Fazenda Tarumã.","-50.1294445","-27.0002778","812","812",NA,"Epífita IFFSC e625b (Acima de 4m) - forófito 4 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; flor labelo amarelo","FURB34540","FURB34540","Barros, F de","-50.1294445","-27.0002778","2011","12","06",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-10-14 10:03:57-03","FURB","FURB","20289","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brasilidium","praetextum","Brasilidium praetextum","(Rchb.f.) Campacci","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","1356","2010","02","17",NA,"Brasil","Santa Catarina","Rio do Sul","Fazenda Mirador.","-49.59","-27.09","787","787",NA,"Epífita IFFSC e573a (Acima de 4m) Habitat: Ecótono Floresta O. Densa e F.O. Mista; Estágio Avançado Habito: epífita de arbórea; flor marrom","FURB34539","FURB34539","Barros, F de","-49.5900000","-27.0900000","2011","12","06",NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-10-14 10:04:09-03","FURB","FURB","20784","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","1372","2010","02","23",NA,"Brasil","Santa Catarina","Florianópolis","Morro da Lagoa.","-48.4755556","-27.5766667","444","444",NA,"Forófito 1. Epífita IFFSC e8004a (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","FURB34541","FURB34541","Meneguzzo, T.E.C.","-48.4755556","-27.5766667","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-10-14 10:04:09-03","FURB","FURB","53443","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Funez, L.A.; E. Caglioni, A.V. Rodrigues, A. Schneiders, F.L.V. Bones","6207","2017","03","28",NA,"Brasil","Santa Catarina","Ilhota","Baú.","-48.9302778","-26.8013889","758","758",NA,"Flores amarrozadas Habitat: Floresta Habito: Epífita","FURB53443","FURB53443_1 FURB53443_2","L.A. Funez","-48.9302778","-26.8013889","2017","03","28",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-10-14 10:04:09-03","FURB","FURB","58607","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Kassner-Filho, A.","2192","2018","02","09",NA,"Brasil","Santa Catarina","Guaramirim","Jaqua-açu.","-49.0416666","-26.5336111","553","553",NA,"flor castanho e amarelo Habitat: interior do fragmento florestal Habito: epífita","FURB58607","FURB58607","Kassner-Filho, A.","-49.0416666","-26.5336111","2018","02","09",NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-10-14 10:04:09-03","FURB","FURB","59220","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Schwirkowski, P.","2718","2018","03","24",NA,"Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Linha férrea, próximo à igreja de Rio Natal.","-49.3038889","-26.3469444","450","450",NA,"Flores amarelo-marrom Habitat: Heliófita Habito: Epífita","FURB59220","FURB59220","Mederios, A.","-49.3038889","-26.3469444","2018","06","17",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-12-09 14:47:24-03","FURB","FURB","63820","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Kassner-Filho, A.; Santos, D; Bollmann, G; Althoff, L.F.","4892","2019","03","06",NA,"Brasil","Santa Catarina","Chapadão do Lageado","Rio Saltinho.","-49.59","-27.63","890","890",NA,"Flor castanha e amarela Habitat: Borda de fragmento forestal; Ecótono entre Floresta Ombrófila Densa e Floresta Ombrófila Mista; Estágio Médio; Habito: Epífita","FURB63820","FURB63820","Kassner-Filho, A","-49.5900000","-27.6300000","2019","03","06",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-10-14 10:04:09-03","FURB","FURB","64176","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W.Chase & N.H.Williams","Kassner-Filho, A.","5149","2019","03","14",NA,"Brasil","Santa Catarina","Angelina","Linha do Chaves.","-48.96","-27.54","722","722",NA,"flor castanho-amarelado. Coletada em 28/07/2018, cultivada em casa de vegetação com floração em 14/03/2019 Habitat: interior do fragmento Habito: epífita","FURB64176","FURB64176","Kassner-Filho, A.","-48.9600000","-27.5400000","2019","03","14",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-21 19:40:16-03","UFC","EAC","60963","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Brasilidium","gravesianum","Brasilidium gravesianum","(Rolfe) Campacci","Lima-Verde, L.W.","3397","2005","12","12","Southern America","Brasil","Ceará","Pacoti","Sítio Olho d'Água dos Tangarás","-38.9233016967773","-4.22499990463257","820","820",NA,"Erva epífita; flor castanho-lilás; planta em cultivo, oriunda de mata seca de altitude, Itatira-CE.; Mata ombrófila.","EAC0060963","EAC0060963","Lima-Verde, L.W.",NA,NA,"2016","01","13","9622","auto",NA,NA,NA,NA,NA,NA
"43","2021-03-21 19:40:16-03","UFC","EAC","60964","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Brasilidium","gravesianum","Brasilidium gravesianum","(Rolfe) Campacci","Thiers, P.","s.n.","2005","06","06","Southern America","Brasil","Ceará","Monsenhor Tabosa","Serra Branca, Pico do IBGE.","-40.131944","-4.781944",NA,NA,NA,"Erva; flor castanho-lilás.; Mata seca de altitude.","EAC0060964","EAC0060964","Lima-Verde, L.W.","-40.131944","-4.781944","2016","01","13",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-21 19:40:17-03","UFC","EAC","56118","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Gomesa","praetexta","Gomesa praetexta","(Rchb.f.) M.W. Chase & N.H. Williams","Castro, A.S.F.","2801","2014","04","19","Southern America","Brasil","Ceará","Ipueiras","matriz, Serra da Ibiapada","-40.7188987731934","-4.54166984558105",NA,NA,NA,"Epífita; flor amarela.; Mata úmida.","EAC0056118","EAC0056118","Lima-Verde, L.W.",NA,NA,"2017","12","12","37673","auto",NA,NA,NA,NA,NA,NA
