"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","locality","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","class","order","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","continentOcean","fieldNumber","preparationType","individualCount"
"11","2020-12-21 16:15:45-03","MBM","MBM","242182","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Cristóbal, C.L.",NA,NA,NA,"Tressens, S.G.; et al.; et al.","6409","1999","09",NA,"Argentina",NA,NA,NA,NA,NA,"MBM242182","MBM242182",NA,"(Cabrera) C. Jeffrey","Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"12","2020-12-21 16:15:45-03","MBM","MBM","190817","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","24527","1970","08","07","Brazil","Paraná","Ortigueira","-50.9494018554688","-24.2082996368408","46016","MBM190817",NA,"auto","(Cabrera) C. Jeffrey","Barra dos Mulatos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"13","2020-12-21 16:15:45-03","MBM","MBM","15894","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Matzenbacher, N.I.",NA,NA,NA,"Hatschbach, G.","24527","1970","08","07","Brazil","Paraná","Ortigueira","-50.9494018554688","-24.2082996368408","46016","MBM015894","MBM015894","auto","(Cabrera) C. Jeffrey","Serra do Mulatos",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"14","2020-12-21 16:15:45-03","MBM","MBM","138444","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Matzenbacher, N.I.",NA,NA,NA,"Hatschbach, G.; Kummrow, R.; Kummrow, R.","54411","1990","09","04","Brazil","Paraná","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","37352","MBM138444","MBM138444","auto","(Cabrera) C. Jeffrey","Bica D'Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"15","2020-12-21 16:15:45-03","MBM","MBM","190816","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Barroso, G.M.",NA,NA,NA,"Hatschbach, G.","49342","1958","08","03","Brazil","Paraná","Rio Branco do Sul","-49.3142013549805","-25.1900005340576","37352","MBM190816",NA,"auto","(Cabrera) C. Jeffrey","Represa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"16","2020-12-21 16:15:45-03","MBM","MBM","133442","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Matzenbacher, N.I.",NA,NA,NA,"Wasum, R.; et al.; et al.","6175","1989","10","01","Brazil","Rio Grande do Sul","Flores da Cunha","-51.1817016601562","-29.0289001464844","18321","MBM133442","MBM133442","auto","(Cabrera) C. Jeffrey","Flores da Cunha",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"17","2020-12-21 16:15:45-03","MBM","MBM","212526","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Jarenkow, J.A.",NA,NA,NA,"Jarenkow, J.A.","3155","1996","08","28","Brazil","Santa Catarina","Campos Novos","-51.2249984741211","-27.4016990661621","43319","MBM212526","MBM212526","auto","(Cabrera) C. Jeffrey","Rio Canoas",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"18","2015-09-04 07:22:52-03","MNHN","RECOLNAT_MNHN_P","P03730443","PreservedSpecimen",NA,NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Teles",NA,NA,NA,"Sellow",NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,"P03730443","P03730443_01 P03730443_02",NA,"(Cabrera) C.Jeffrey","Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03730443' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"4257","hb",NA
"19","2020-06-25 16:06:07-03","FUVATES","HVAT","4200","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","M. Grings","2011","09","18","M. Grings","1482","2011","09","18","Brasil","Rio Grande do Sul","Santa Maria do Herval","-50.992778","-29.498056",NA,"HVAT00004200",NA,NA,"(Cabrera) C.Jeffrey","Rio Loch.","-50º59'34''W","-29º29'53''S",NA,NA,NA,NA,"Duplicata de registro ICN: 184577; arbusto de 2,8m de altura, flores amarelas; em borda de mata de encosta com resquícios primários",NA,NA,NA,NA,NA,NA
"20","2021-01-26 14:12:22-03","CPACT","ECT","2543","PreservedSpecimen","Plantae","Embryophyta","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","L.L.Nunes","2020","11","06","M.Sobral; C.Miró","7668","1993","09",NA,"Brasil","Rio Grande do Sul","Veranópolis","-51.549167","-28.936389",NA,"ECT0002543","ECT0002543",NA,"(Cabrera) C.Jeffrey","Coordenadas geográficas obtidas secundariamente. Sede do município.","51º32'57''W","28º56'11''S",NA,NA,NA,NA,NA,"680","680",NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","3245659","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum",NA,NA,NA,NA,"J. C. Solomon","11059","1983","10","4","Bolivia","Tarija",NA,"-63.22","-21.48",NA,"US01847002",NA,NA,"(Cabrera) C. Jeffrey","Dpto. Tarija. Prov. O'Connor. 23.7 km E of Narvaez on road to Entre Rios (5.4 km W of Entre Rios).",NA,NA,NA,NA,"Dicotyledonae","Asterales",NA,"1300",NA,"South America - Neotropics",NA,NA,"1"
"22","2019-10-07 09:11:22-03","UEFS","HUEFS","46146","PreservedSpecimen","Plantae","Angiospermae","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","D.J.N.Hind & H.P.Bautista","2000","09",NA,"Tressens, S.G.","6364","1999","09","01","Argentina","Corrientes","Misiones","-54.2","-26.9",NA,"HUEFS0046146","HUEFS0046146",NA,"(Cabrera) C.Jeffrey","Dep. Guaraní. Prédio Guaraní. Camino al ayo. Soberbio. Interior de selva.","54W12'","26S54'",NA,NA,"Asteranae","Asterales",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-12 16:58:20-03","UEL","FUEL","39321","PreservedSpecimen","Plantae","Tracheophyta","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Teles, AM","2009","08",NA,"Hatschbach, G; Barbosa, E; Costa, EF","78983","2005","03","10","Brasil","Santa Catarina","Grão Pará","-49.2146987915039","-28.1849994659424","24844",NA,NA,"auto","(Cabrera) C.Jeffrey","Serra do Corvo Branco, município de Grão Pará",NA,NA,NA,NA,NA,"Asterales",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-01 14:53:44-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Teles, AM","2008","11",NA,"Hatschbach, G; et al.","78983","2005","03","10","Brasil","Santa Catarina","Grão Pará ","-49.2146987915039","-28.1849994659424","24844",NA,NA,"auto","(Cabrera) C. Jeffrey","Serra do Corvo Branco",NA,NA,NA,NA,NA,NA,"Arbusto 2,5m. Capítulo amarelo; Paredão rochoso",NA,NA,"Southern America",NA,NA,NA
"25","2020-08-20 14:55:05-03","UFSC","FLOR","27419","PreservedSpecimen","Plantae",NA,"Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Freitas, F.S.","2013","12","02","Jarenkow, J.A.","3155","1996","08","28","Brasil","Santa Catarina","Campos Novos","-51.2249984741211","-27.4016990661621","43319","FLOR0027419","FLOR0027419","auto","(Cabrera) C.Jeffrey","Vale do Rio Canoas.",NA,NA,NA,NA,NA,"Asterales","arbusto, flor capítulos com filárias verdes; flores liguladas e tubulosas amarelas, 3m altura. Com caule verde e flexível, encurvado.",NA,NA,NA,NA,NA,NA
"26","2021-02-08 12:36:15-03","UFRGS","ICN","184577","S","Plantae","Dicotyledon","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Bordignon, SAL",NA,NA,NA,"Grings, M","1482","2011","09","18","Brasil","RS","Santa Maria do Herval","-50.9928016662598","-29.4981002807617","10918",NA,NA,"auto","(Cabrera) C. Jeffrey","rio Loch",NA,NA,NA,NA,NA,NA,"arbusto de 2,8 m de altura; flores amarelas; em borda de mata de encosta com resquícios primários",NA,NA,"América do Sul",NA,NA,NA
"27","2021-02-08 12:36:15-03","UFRGS","ICN","111395","S","Plantae","Dicotyledon","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Mondin, C",NA,NA,NA,"Nilson, A","s.n.","1996","08","23","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715",NA,NA,"auto","(Cabrera) C. Jeffrey","Serra do umbu",NA,NA,NA,NA,NA,NA,"Arbusto com 5m de altura; Beira de estrada",NA,NA,"América do Sul",NA,NA,NA
"28","2021-02-08 12:36:15-03","UFRGS","ICN","087429","S","Plantae","Dicotyledon","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Matzenbacher, NI","1994","04","15","Brack, P","1147",NA,NA,NA,"Brasil","RS","Tenente Portela","-53.75830078125","-27.3710994720459","14404",NA,NA,"auto","(Cabrera) C. Jeffrey","Parque Estadual do Turvo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"América do Sul",NA,NA,NA
"29","2021-02-08 12:36:15-03","UFRGS","ICN","110391","S","Plantae","Dicotyledon","Asteraceae","Dendrophorbium","pluricephalum","Dendrophorbium pluricephalum","Matzenbacher, NI","1995","12","15","Sobral, M; Miro, C","s.n.",NA,NA,NA,"Brasil","RS","Veranópolis","-51.5494003295898","-28.9361000061035","16670",NA,NA,"auto","(Cabrera) C. Jeffrey",NA,NA,NA,NA,NA,NA,NA,"Arbusto 2m, capítulos amarelos; Beira de estrada",NA,NA,"América do Sul",NA,NA,NA
