"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","preparationType","phylum","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","typeStatus"
"14","2020-12-11 11:44:26-03","UFMG","BHCB","64320","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Barreto, HLM","1937","11","03","Southern America","Brasil","Arranca Rabo","Pouco frequente, herbácea 0,30. Flor amarela-esverdeada.; Campo","BHCB028157","BHCB028157",NA,NA,NA,"9419","Minas Gerais","Diamantina","-43.6002998352051","-18.2493991851807","101169","auto",NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,NA,NA
"15","2021-02-11 17:20:55-03","UFPR","UPCB","6090","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G.","1965","11","08",NA,"Brasil","Parque Estadual de Vila Velha","Flor amarela com máculas castanhas, campo seco..",NA,NA,"Pabst, G.",NA,NA,"13105","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2683031","PreservedSpecimen","Plantae","Monocotyledonae","Orchidales","Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii",NA,"G. Hatschbach","1965","11","8","South America","Brazil",NA,NA,"US00475820","US00475820_01",NA,NA,NA,"13105","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"17","2020-09-02 16:34:43-03","Cenargen","CEN","18212","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","João Aguiar Nogueira Batista","1992","09","07",NA,"Brasil","Área abaixo do reservatório de água do Lago Norte. Mais ou menos na parte mediana entre este e o ribeirão do Torto.","Muito pouco frequente, só observados 4 exemplares para uma área bastante extensa. Área extensa, queimada durante a seca.","CEN00018212","CEN00018212","J. A. N. Batista","1992","09","325","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"18","2020-09-02 16:34:43-03","Cenargen","CEN","14915","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Luciano de Bem Bianchetti","1990","09","17",NA,"Brasil","Setor de Mansões do Lago Norte, a 1,4 Km da ponte sobre o córrego Urubu, beira de estrada.","Sépalas e pétalas com base creme amarelada e extremidade amarronzada vinola; labelo amarelo vivo com borda marrom vináceo escuro e expanão laterais da mesma cor. Pseudo-bulbos enterrados.","CEN00014915","CEN00014915","L. B. Bianchetti","1990","09","953","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"19","2020-09-02 16:34:43-03","Cenargen","CEN","14916","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","João Aguiar Nogueira Batista","1990","10","08",NA,"Brasil","Lago Norte. Terreno vazio à esquerda do clube do Congresso.","Sépalas amarronzadas. Pétalas com base amarelada. Labelo marrom com centro amarelo.","CEN00014916","CEN00014916","L. B. Bianchetti","1990","10","122","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"20","2020-09-02 16:34:43-03","Cenargen","CEN","14911","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","João Aguiar Nogueira Batista","1991","10","01",NA,"Brasil","Península Norte. Terreno vazio entre a QL-7 e QL-9.","Pseudo-bulbos completamente enterrados. Sépalas marrom-vinho escuro. Pétalas com base e ápice escuros. Labelo com expansões laterais escuras. Lóbulo meiano amarelo. Tentou-se registrar a variação morfológica desta população.","CEN00014911","CEN00014911","J. A. N. Batista","1991","10","208","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"21","2020-09-02 16:34:43-03","Cenargen","CEN","14914","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Luciano de Bem Bianchetti","1990","08","26",NA,"Brasil","Reserva Ecológica do Guará.","Próximo de murunduns; estacionalmente seco; solo mal drenado.&nf;Sépalas e pétalas com base e parte média creme e ápice marrom avermelhado; labelo com base creme; expansão laterais marrom vináceo; labelo amarelo ovo com borda marrom vináceo; calosidfade rosada; escapo floral todo escuro como a cor das pétalas e sépalas.","CEN00014914","CEN00014914","L. B. Bianchetti","1990","08","950","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"22","2020-09-02 16:34:43-03","Cenargen","CEN","18217","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","João Aguiar Nogueira Batista","1992","09","13",NA,"Brasil","Reserva Ecológica do Guará.",NA,"CEN00018217","CEN00018217","J. A. N. Batista","1992","09","330","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"23","2020-09-02 16:34:43-03","Cenargen","CEN","14913","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Luciano de Bem Bianchetti","1991","10","06",NA,"Brasil","Setor de mansões do Lago Norte. Próximo ao MI-7","Pétalas e sépalas com a extremidade marron vinho; labelo amarelo com expansães laterais e margem do lóbulo mediano marron vinho. Pseudo-bulbos enterrados.","CEN00014913","CEN00014913","L. B. Bianchetti","1991","10","1168","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"24","2020-09-02 16:34:43-03","Cenargen","CEN","14912","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Luciano de Bem Bianchetti","1991","10","20",NA,"Brasil","Setor de mansões do Lago Norte. Trecho 2","Sépalas marrom vinho escuro; pétalas com base creme e ápice marrom vinho; labelo amarelo vivo com expansões laterais vinho escuro e pequena margem vinho no lóbulo central. Algumas flores não tinham a margem vinho no lóbulo central. Pseudo-bulbos enterrados.","CEN00014912","CEN00014912","L. B. Bianchetti","1991","10","1176","DF","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"25","2020-09-02 16:34:43-03","Cenargen","CEN","39727","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","João Aguiar Nogueira Batista","2001","10","28",NA,"Brasil","Mun. de Ponta Grossa, Parque Estadual de Vila Velha, área de campo a esquerda e um pouco abaixo da pista, próximo ao final dos arenitos, em direção a piscina.","Área não queimada, rara, observado dois exemplares em floração e outros seis sem flores, pseudobulbos completamentes enerraddosocasionamente com ápice expostos, demais informações na exsicata, Flora do Brasil - Estado do Paraná","CEN00039727","CEN00039727","J. A. N. Batista & L. B. Bianchetti","2001","11","1268","PR","PONTA GROSSA","-50.1618995666504","-25.0949993133545","46557","auto",NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA
"26","2020-09-02 16:34:43-03","Cenargen","CEN","94677","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","João Aguiar Nogueira Batista","2007","11","14",NA,"Brasil","APE Manancial Pau de Fruta, área da COPASA, área a esquerda da pista cerca de 7 km Oeste de Diamantina em direção a Gouveia.","Área anteriormente queimada. Doação Herbário do Departamento de Botânica ICB - UFMG - Plantas do Brasil - BHCB 119914.","CEN00094677","CEN00094677","J. A. N. Batista","2007","11","2233","MG","DIAMANTINA","-43.6002998352051","-18.2493991851807","101169","auto",NA,"Exsicatas",NA,NA,NA,"1359","1359",NA,"1",NA
"27","2020-09-02 16:34:43-03","Cenargen","CEN","94669","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","João Aguiar Nogueira Batista","2007","11","13",NA,"Brasil","Área à esquerda da BR 259 cerca de 7 km NE de Gouveia em direção a Diamantina, cerca de 200-300m antes do trevo Gouveia/Datas/Diamantina.","Solo cinza claro. Área anteriormente queimada. Doação Herbário do Departamento de Botânica ICB - UFMG - Plantas do Brasil - BHCB 119905.","CEN00094669","CEN00094669","J. A. N. Batista","2007","11","2224","MG","GOUVEIA","-43.7407989501953","-18.4543991088867","37970","auto",NA,"Exsicatas",NA,NA,NA,"1333","1333",NA,"1",NA
"28","2019-07-09 12:43:04-03","F","FMNH-SEEDPLANTS","V0436137F","PreservedSpecimen","Plantae","Monocotyledoneae",NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii",NA,"G. Hatschbach","1965","11","8","South America","Brazil",NA,NA,"V0436137F","V0436137F_01",NA,NA,NA,"13105",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 10:13:05-03","IBt","SP","69650","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Hatschbach, G","1951","11","11",NA,"Brasil","Lago",NA,NA,NA,"Handro, O","1952","08","2656","Paraná","Palmeira","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 10:13:05-03","IBt","SP","65475","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schltr.","Kuhlmann, M","1957","10","30",NA,"Brasil","Fazenda Campininha, Reserva Florestal",NA,NA,NA,"Barros, F","1983","06","4268","São Paulo","Mogi Guaçu","-46.9421997070312","-22.372200012207","39309","auto",NA,NA,NA,NA,NA,NA,NA,"17",NA,NA
"31","2018-10-25 13:27:53-03","AMES","HU-HERB","AMES 00085649","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schlechter","P. K. H. Dusén","1915","3","24","South America","Brazil","Villa Velha",NA,NA,NA,NA,NA,NA,"15691","Paraná",NA,NA,NA,NA,NA,"15691","Jar,Sheet",NA,NA,NA,"875",NA,NA,NA,"Type material"
"32","2018-10-25 13:27:53-03","AMES","HU-HERB","AMES 00287769","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","dusenii","Cyrtopodium dusenii","Schlechter","P. K. H. Dusén","1915","3","24","South America","Brazil","Villa Velha",NA,NA,NA,NA,NA,NA,"15691","Paraná",NA,NA,NA,NA,NA,"15691","Jar,Sheet",NA,NA,NA,"875",NA,NA,NA,"Isotype"
