"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","relationshipType","fieldNumber","individualCount","sex"
"11","2020-09-23 10:38:32-03","E","E","153186","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Fiebrig, K.","4316",NA,NA,NA,"PY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153186",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-09-23 10:38:32-03","E","E","153182","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Davis, P.H. & Shepherd, G.J.",NA,"1976","07","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153182 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153182",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:38:32-03","E","E","153189","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Harley, R.M.","17986","1977","01","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153189 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153189",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:38:32-03","E","E","153184","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Davis, P.H. & Shepherd, G.J.",NA,"1976","09","09","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153184",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:38:32-03","E","E","153191","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Argent, G.","6466","1968","07","16","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153191 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153191",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:38:32-03","E","E","153192","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Ratter, J.A.; de Santos, R.R.; Souza, R. & Ferreira, A.",NA,"1968","05","12","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153192 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153192",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:38:32-03","E","E","153190","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Harley, R.M.","19898","1977","03","24","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153190 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153190",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:38:32-03","E","E","153194","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Harley, R.M.","10686","1968","10","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153194 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153194",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-23 10:38:32-03","E","E","153193","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Harley, R.M.","10683","1968","10","17","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153193 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153193",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-23 10:38:32-03","E","E","153188","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Davis, P., Gibbs, P., Kinoshita, L.S., Semir, J. & Andrade, J.B.","2312","1976","07","27","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153188 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153188",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-09-23 10:38:32-03","E","E","153185","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Gibbs, P.E. & Leitao Filho, H.F.","3369","1976","10","18","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153185",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-09-23 10:38:32-03","E","E","153183","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Davis, P.H. & Coelho, D.F.",NA,"1976","08","25","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153183 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153183",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-09-23 10:38:32-03","E","E","153197","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Saltzmann",NA,"1905","01","04","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153197 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153197",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-23 10:38:32-03","E","E","153180","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan",NA,NA,"Harley, R.M.","19213","1977","03","01","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00153180 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00153180",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:160445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00919038","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","H. S. Irwin","12576","1966","02","11","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 20 km W. of Alto Paraíso de Goiás (formerly Veadeiros).","-47.70192","-14.1167",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919038","NY00919038_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","798901","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","W. W. Thomas","12701","2001","11","02","Brazil","Bahia","Una","Fazenda Bolandeira, ca. 3 km N of Comandatuba on fazenda road paralleling canal between mainland and Ilha de Comandatuba","-39.000567","-15.309567",NA,NA,"5","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798901","NY00798901_01",NA,NA,NA,"South America",NA,NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00919090","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.",NA,"A. M. Giulietti","7347","1981","06","30","Brazil","Minas Gerais","Santana do Riacho","Km 121 ao longo da rodovia Belo Horizonte - Conceição do Mato Dentro.","-43.7142","-19.1692",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995627' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919090","NY00919090_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00919031","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","H. S. Irwin","7646","1964","10","31","Brazil","Goiás","Caiapônia","Ca. 40 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.78","-17.27",NA,NA,"800","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995236' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919031","NY00919031_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00919110","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.",NA,"F. Chagas e Silva","111","1979","11","02","Brazil","Mato Grosso do Sul","Camapuã","Fazenda Imperio.","-54.0439","-19.5317",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919110","NY00919110_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00919092","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","T. M. Koyama","R. M. Harley","10683","1968","10","17","Brazil","Mato Grosso",NA,"Correga do Gato c. 51 km along road S. from base camp.","-51.77","-12.82",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919092","NY00919092_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","01806001","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","W. W. Thomas","C. S. Dias de Souza","130","2007","02","28","Brazil","Bahia","Maraú","Beira da Estrada Ubaitaba-Maraú, dos lados esquerdo e direito, cerca de 4 km do fim do desvio para Itacaré","-39.0217","-14.1781",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2126866' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806001","NY01806001_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01175477","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","T. M. Koyama","E. Fromm Trinta","313",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396914' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175477","NY01175477_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00919088","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","G. J. Shepherd","3753","1976","11","28","Brazil","Goiás","Teresina de Goiás","Estrada Alto Paraíso a Campo Belo. Km 38.","-47.2644","-13.7767",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995622' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919088","NY00919088_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00919053","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.",NA,"H. S. Irwin","27174","1970","03","08","Brazil","Minas Gerais",NA,"Middle slopes of Serra do Cabral, ca. 2 km W. of Cantoni","-44.13","-17.57",NA,NA,"850","850","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919053","NY00919053_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","645275","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","W. W. Thomas","10008","1993","10","20","Brazil","Bahia","Prado","8 km west of Cumuruxatiba on road to Itamaraju","-39.25","-17.25",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00645275","NY00645275_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00919080","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","R. C. de Mendonça","368","1984","10","24","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE. Córrego Roncador, chácara no. II.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995598' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919080","NY00919080_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01195871","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","J. G. Jardim","2029",NA,NA,NA,"Brazil","Bahia","Una","Rod. BA-001 Ilhéus/Una, ca 38 km S de Ilhéus","-39.0083","-15.1056",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137351' target='other'> <mi>dwc_moreinfo</mi></a>","NY01195871","NY01195871_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","192424","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.",NA,"B. C. Bennett","3445","1988","09","25","Ecuador","Morona-Santiago",NA,"Centro Shuar Yukutais. 10km S Sucua, Rio Upano, playa on W side of river","-78.15","-2.52",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499482' target='other'> <mi>dwc_moreinfo</mi></a>","NY00192424",NA,NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00919064","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","T. M. Koyama","W. R. Anderson","8396","1973","04","09","Brazil","Minas Gerais",NA,"12 km by road W of Diamantina on road to Curvelo. Serra do Espinhaço.","-43.68024","-18.32666",NA,NA,"1450","1450","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919064","NY00919064_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01175470","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","G. T. Prance","2680","1966","10","18","Brazil","Amazonas","Manaus","Cachoeira alta do Tarumã. Disturbed forest beside stream.","-60.0962609","-2.8743255",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396662' target='other'> <mi>dwc_moreinfo</mi></a>","NY01175470","NY01175470_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00919091","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","T. M. Koyama","G. C. G. Argent","6466","1968","07","16","Brazil","Mato Grosso",NA,"Xavantina, Near pantanal transect.","-52.23","-14.63",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995631' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919091","NY00919091_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00919028","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","G. C. Tucker","H. S. Irwin","5791","1964","08","31","Brazil","Distrito Federal","Brasília","Parque Municipal do Gama, ca. 20 km S of Brasília.","-48.0638","-16.01719",NA,NA,"700","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919028","NY00919028_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","622648","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.",NA,"R. Reitz","12452","1962","02","25","Brazil","Santa Catarina","Irineópolis","Valoes.","-50.7994","-26.2386",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622648","NY00622648_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","00919109","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","A. A. Reznicek","P. I. Oliveira","486","1982","03","01","Brazil","Goiás","Alto Paraíso de Goiás","Alto Paraíso, 11 km N.","-47.5097","-14.1325",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919109","NY00919109_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","00919069","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","haspan","Cyperus haspan","L.","T. M. Koyama","W. R. Anderson","10348","1973","05","15","Brazil","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 10 km (straight line) NE of Corumbá de Goiás; at base of waterfall on Rio Corumbá","-48.74256","-15.8597",NA,NA,"1050","1050","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995327' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919069","NY00919069_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
