"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","barcode","imagecode","scientificNameAuthorship","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","class","order","identifiedBy","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","continentOcean","typeStatus","individualCount","fieldNumber","sex","preparationType"
"11","2021-02-11 17:17:57-03","UFPR","UPCB","55071","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Oxypetalum","confusum","Oxypetalum confusum","Schwarz, E.A.","758","2000","01","21","Brasil","Paraná","Palmeira",NA,NA,"Malme","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,"Schwarz, E.A.","2000","01","23","Fazenda Baronesa","Lacínias da corola verdes, corona rósea com a base vinácea, ginostégio vináceo, folhas com as margens onduladas. Campo sujo, próximo à área de desmanche, solo arenoso marrom avermelhado..",NA,NA,NA,NA,NA,NA
"12","2021-02-11 17:17:57-03","UFPR","UPCB","55072","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Oxypetalum","confusum","Oxypetalum confusum","Schwarz, E.A.","790","2000","01","21","Brasil","Paraná","Palmeira",NA,NA,"Malme","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,"Schwarz, E.A.","2000","01","23","Fazenda Baronesa","Lacínias da corola verdes, corona rósea com a base vinácea, ginostégio vináceo, folhas com as margens onduladas. Campo sujo, próximo à área de desmanche, solo arenoso marrom avermelhado..",NA,NA,NA,NA,NA,NA
"13","2010-08-11 11:59:00-03","MO","MOBOT","100296246","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","G. Malme","Malme 772","1893","4",NA,"Brazil","Rio Grande do Sul",NA,NA,NA,"Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In viciniis oppidi Cruz Alta",NA,"South America","Syntype","1",NA,NA,NA
"14","2010-08-11 12:04:00-03","MO","MOBOT","100296250","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","G. Malme","Malme 1107","1902","1",NA,"Brazil","Rio Grande do Sul",NA,NA,NA,"Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"In viciniis oppidi Cruz Alta",NA,"South America","Syntype","1",NA,NA,NA
"15","2011-03-30 20:38:00-03","MO","MOBOT","2194741","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Sara G. Tressens|et al.","Tressens 1859","1981","12","9","Argentina","Corrientes","Santo Tomé",NA,NA,"Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arroyo Chimiray y Ruta 40",NA,"South America",NA,NA,NA,NA,NA
"16","2010-04-30 10:27:00-03","MO","MOBOT","2455847","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","C.L. Spegazzini","Spegazzini s.n.101","1907",NA,NA,"Argentina","Misiones","Capital",NA,NA,"Malme","-55.9","-27.38333",NA,NA,NA,NA,NA,NA,NA,NA,"Posadas",NA,"South America",NA,NA,NA,NA,NA
"17","2009-07-21 23:34:00-03","MO","MOBOT","2458862","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Per Dusén","Dusén 3074","1904","1","7","Brazil","Paraná",NA,NA,NA,"Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ponta Grossa. Ponta Grossa ad Flumen Rio Tibagi",NA,"South America",NA,NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","1473850","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Oxypetalum","confusum","Oxypetalum confusum","G. O. A. Malme","II 1107","1902",NA,NA,"Brazil","Rio Grande do Sul",NA,"US00112367","US00112367_01","Malme",NA,NA,NA,NA,"Dicotyledonae","Gentianales",NA,NA,NA,NA,"Cruz Altao.",NA,"South America","Type collection","1",NA,NA,NA
"19","2019-09-04 20:07:51-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asclepiadaceae","Oxypetalum","confusum","Oxypetalum confusum","A. F. Regnell","II: 1107","1902","1",NA,"Brazil",NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,"G. O. A. Malme",NA,NA,NA,NA,NA,"South America","Syntype",NA,NA,NA,NA
"20","2019-07-09 14:14:28-03","F","FMNH-SEEDPLANTS","V0059670F","PreservedSpecimen","Plantae","Spermatophyta","Asclepiadaceae","Oxypetalum","confusum","Oxypetalum confusum","A. F. Regnell","II: 1107","1902","1",NA,"Brazil",NA,NA,"V0059670F","V0059670F_01",NA,"-52.8731","-10.8339",NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,"South America","Isosyntype",NA,NA,NA,NA
"21","2019-07-09 14:16:45-03","F","FMNH-SEEDPLANTS","V0420171F","PreservedSpecimen","Plantae","Spermatophyta","Asclepiadaceae","Oxypetalum","confusum","Oxypetalum confusum","J. I. Lima","s.n.","1950","1","31","Brazil","São Paulo",NA,"V0420171F","V0420171F_01 V0420171F_02",NA,"-49","-22",NA,NA,"Dicotyledoneae",NA,"RRC ID Flag",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA
"22","2019-07-02 15:54:56-03","UEM","HUEM","14302","S","Plantae",NA,"Asclepiadaceae","Oxypetalum","confusum","Oxypetalum confusum","E.A.Schwarz","770","2000","01","21","Brasil","Paraná","Palmeira","HUEM000005013","HUEM000005013","Malme","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,"Fazenda Baronesa, Campo sujo, próximo à área de desmanche. Solo arenoso marrom avermelhado.","Lacínas de corola verde, corona rósea com a base vinácea; ginostégio vináceo; folhas com as margens onduladas",NA,NA,NA,NA,NA,NA
"23","2021-02-23 13:21:49-03","MN","R-TIPOS","20435","PreservedSpecimen","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Malme, G.O.A.","1107","1902","01",NA,"Brasil","Rio Grande do Sul","Cruz Alta","R000020435","R000020435_001","Malme","-53.6063995361328","-28.638599395752","44498","auto",NA,NA,"Schwarz, E.A.","1988","10","03",NA,NA,NA,"Isosyntypus",NA,NA,NA,NA
"24","2021-02-08 12:33:04-03","UFRGS","ICN","031850","S","Plantae","Dicotyledon","Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Irm. Januário.","s.n.","1950","06",NA,"Brasil","RS","Carazinho","ICN00011500","ICN00011500","Malme.","-52.7863998413086","-28.283899307251","35233","auto",NA,NA,"Schwarz, EA","2010","12","28",NA,NA,"América do Sul",NA,NA,NA,NA,NA
"25","2020-12-03 09:40:44-03","IBt","SP","398149","S","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Schwarz, EA","763","2000","01","21","Brasil","Paraná","Palmeira",NA,NA,"Malme","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,NA,NA,NA,NA,"Fazenda Baronesa",NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 09:58:54-03","IBt","SP","398148","S","Plantae",NA,"Apocynaceae","Oxypetalum","confusum","Oxypetalum confusum","Schwarz, EA","761","2000","01","21","Brasil","Paraná","Palmeira",NA,NA,"Malme","-50.0064010620117","-25.4293994903564","35166","auto",NA,NA,"Schwarz, EA","2000","01","21","Fazenda Baronesa",NA,NA,NA,NA,NA,NA,NA
"27","2010-08-16 16:41:18-03","GH","HU-HERB","GH 00076631","PreservedSpecimen","Plantae",NA,"Asclepiadaceae","Oxypetalum","confusum","Oxypetalum confusum","G. O. A. Malme","1107","1902","1",NA,"Brazil","Rio Grande do Sul",NA,NA,NA,"Malme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cruz Altao",NA,"South America","Isotype",NA,"1107","undetermined","Sheet"
