"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","relationshipType","infraspecificEpithet","fieldNumber","typeStatus","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","01174572","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"N. T. da Silva",NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395973' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174572",NA,"1063","South America","sheet",NA,"Magnoliophyta","Poales","NY01174572_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","602440","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"S. Ferreira","1966","09","09","Brazil","Rio de Janeiro",NA,"Guanabara, Estrada dos Bandeirantes, Km 22.",NA,NA,NA,"Instituto de Conservaçao da Natureza Tijuca - Rio de Janeiro Guanabara <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531127' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602440",NA,"79","South America","sheet",NA,"Magnoliophyta","Poales","NY00602440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","602441","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","W. Hoehne",NA,NA,NA,"F. C. Hoehne","1932","03","08","Brazil","São Paulo",NA,"S.Paulo. Capital. Parque do Est. de S.Paulo.","-46.621883","-23.654505",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531135' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602441",NA,"s.n.","South America","sheet",NA,"Magnoliophyta","Poales","NY00602441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","602438","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","G. C. Tucker",NA,NA,NA,"T. M. Koyama","1970","03","10","Brazil","São Paulo",NA,"Around Butantan.","-46.724373","-23.565521",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602438",NA,"13858","South America","sheet",NA,"Magnoliophyta","Poales","NY00602438_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","602433","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"R. M. Harley","1974","02","06","Brazil","Bahia",NA,"9 km. S.W. of Mucugé, on road from Cascavel. Waste ground by Rio Paraguacú with secondary woodland, damp grassland. Serra do Sincorá.","-41.42","-13.03",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531132' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602433",NA,"16088","South America","sheet",NA,"Magnoliophyta","Poales","NY00602433_01","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","585583","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","G. C. Tucker",NA,NA,NA,"A. C. Araújo","2000","01","27","Brazil","Bahia","Mucugê","10 km na rodovia Mucugê-Andaraí, campo próximo à Torre de Energia","-41.318067","-12.9596",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531140' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585583",NA,"1224","South America","sheet",NA,"Magnoliophyta","Poales","NY00585583_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","602444","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","H. T. O'Neill",NA,NA,NA,"G. Gardner","1838",NA,NA,"Brazil",NA,NA,"In Brasilia ad Montes Organ.","-43.073169","-22.496706",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531124' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602444",NA,"859","South America","sheet",NA,"Magnoliophyta","Poales","NY00602444_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01174568","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","H. T. O'Neill",NA,NA,NA,"E. A. Goeldi",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395963' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174568",NA,"s.n.","South America","sheet",NA,"Magnoliophyta","Poales","NY01174568_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","602436","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.",NA,NA,NA,NA,"T. S. dos Santos","1973","05","30","Brazil","Bahia",NA,"Ilhéus Cepec -,Q. I junto ao Posto de Metereologia.","-39.2273659","-14.771874",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531142' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602436",NA,"2602","South America","sheet",NA,"Magnoliophyta","Poales","NY00602436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-10-19 09:55:00-02","NY","NYBG","668411","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,"G. C. Tucker",NA,NA,NA,"G. Davidse","1979","04","27","Venezuela","Amazonas","Mun. Atures","Near Capuana, eastern bank of the Río Orinoco.","-67.82","4.78",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668411",NA,"16805","South America","sheet",NA,"Magnoliophyta","Poales",NA,"90","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01174571","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"N. T. da Silva",NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395970' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174571",NA,"1063","South America","sheet",NA,"Magnoliophyta","Poales","NY01174571_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","602443","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"J. P. P. Carauta","1976","05","19","Brazil","Rio de Janeiro","Silva Jardim","Canal do Rio Sao Joao.","-42.25922","-22.586838",NA,"FEEMA Departmento de Conservaçao Ambiental Tijuca Rio de Janeiro <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602443",NA,"2045","South America","sheet",NA,"Magnoliophyta","Poales","NY00602443_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","668410","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"F. Ayala","1982","04","25","Peru",NA,NA,"Caballo Cocha (Sacarita do Caballo Cocha) Zona inundable (Isla).",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531133' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668410",NA,"3399","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","01174570","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"B. V. Rabelo","1985","12","14","Brazil","Amapá","Macapá","Estrada Perimetral Norte, loc. Cupixi.","-51.7679644","0.6118753",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395969' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174570",NA,"3302","South America","sheet",NA,"Magnoliophyta","Poales","NY01174570_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","684382","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","G. C. Tucker",NA,NA,NA,"W. W. Thomas","2002","03","10","Brazil","Bahia","Morro do Chapéu","Cachoeira de Ferro Doido, 29.1 km E of Morro do Chapéu on road to Mundo Novo","-41.001517","-11.625",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200499' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684382",NA,"12787","South America","sheet",NA,"Magnoliophyta","Poales","NY00684382_01","920","920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","602437","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.",NA,NA,NA,NA,"J. Almeida","1969","01","06","Brazil","Bahia",NA,"Saida de Santa Cruz de Vitória a Itajú. Km. 7.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531143' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602437",NA,"339","South America","sheet",NA,"Magnoliophyta","Poales","NY00602437_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01174567","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"L. Coradin",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1395960' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174567",NA,"86","South America","sheet",NA,"Magnoliophyta","Poales","NY01174567_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00919281","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","G. C. Tucker",NA,NA,NA,"T. M. Koyama","1970","02","07","Brazil","Minas Gerais",NA,"Road between Varginha to Elói Mendes.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919281",NA,"13711","South America","sheet",NA,"Magnoliophyta","Poales","NY00919281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","602434","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"S. A. Mori","1978","04","13","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesq. do Cacau), Km 22 rodovia Ilhéus/Itabuna - BR 415.","-39.2273659","-14.771874",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602434",NA,"9860","South America","sheet",NA,"Magnoliophyta","Poales","NY00602434_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","03075478","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","S. M. Costa",NA,NA,NA,"G. Martinelli","2012","03","20","Brazil","Roraima","Caracaraí","Rio Branco, margem esquerda, ilhas inundáveis e igapós. Matas de Igapó.","-61.5952777","0.6038889",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3301972' target='other'> <mi>dwc_moreinfo</mi></a>","NY03075478",NA,"17391","South America","sheet",NA,"Magnoliophyta","Poales","NY03075478_01","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","602445","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","H. T. O'Neill",NA,NA,NA,"Martii Herbar. Florae Brasil.",NA,NA,NA,"Brazil",NA,NA,"Prope Sebastianópolis.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602445",NA,"250","South America","sheet",NA,"Magnoliophyta","Poales","NY00602445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00919000","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","H. K. Svenson",NA,NA,NA,"Y. E. J. Mexia","1930","05","17","Brazil","Minas Gerais","Viçosa","Agricultural College lands. Chacha Valley, near Chacha house.","-42.860644","-20.766686",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995152' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919000",NA,"4714","South America","sheet",NA,"Magnoliophyta","Poales","NY00919000_01","675","675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-10-19 09:55:00-02","NY","NYBG","668409","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans",NA,"M. T. Strong",NA,NA,NA,"T. D. McDowell","1990","05","17","Guyana","Cuyuni-Mazaruni",NA,"In and around Paruima village.","-61.07","5.82",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531134' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668409",NA,"2642a","South America","sheet",NA,"Magnoliophyta","Poales",NA,"495","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","602435","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.",NA,NA,NA,NA,"S. A. Mori","1979","03","24","Brazil","Bahia","Ilhéus","CEPEC, km 22 da Rodovia Içhéus/Itabuna. Quadra E'.","-39.2273659","-14.771874",NA,"A coleta é testemunha para um estudo de plantas invasoras. Fotos do hábito e da inflorescência. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602435",NA,"11614","South America","sheet",NA,"Magnoliophyta","Poales","NY00602435_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","602439","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"S. Ferreira","1966","08","14","Brazil","Rio de Janeiro",NA,"Guanabara, Estrada dos Bandeirantes, Km 22.",NA,NA,NA,"Instituto de Conservaçao da Natureza Tijuca - Rio de Janeiro Guanabara <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531126' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602439",NA,"63","South America","sheet",NA,"Magnoliophyta","Poales","NY00602439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01174574","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","T. M. Koyama",NA,NA,NA,"C. C. Berg",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396015' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174574",NA,"BG-640","South America","sheet",NA,"Magnoliophyta","Poales","NY01174574_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00918998","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.",NA,NA,NA,NA,"H. S. Irwin","1969","01","16","Brazil","Minas Gerais",NA,"Ca. 24km SW of Diamantina on road to Gouveia. Serra do Espinhaço.","-43.7","-18.38",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995150' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918998",NA,"22125","South America","sheet",NA,"Magnoliophyta","Poales","NY00918998_01","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","568733","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","G. C. Tucker",NA,NA,NA,"J. P. P. Carauta","1984","11","07","Brazil","Rio de Janeiro",NA,"Barra do Piraí, Ilha dos Amores.",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00568733",NA,"4966","South America","sheet",NA,"Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00836503","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","G. C. Tucker",NA,NA,NA,"W. W. Thomas","2002","03","12","Brazil","Bahia","Bonito","Canario, Mata de Capao das Antas, 7.3 km S of Bonito on road to Utinga","-41.22595","-12.02283",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=200521' target='other'> <mi>dwc_moreinfo</mi></a>","NY00836503",NA,"12959","South America","sheet",NA,"Magnoliophyta","Poales","NY00836503_01","790","820",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","602442","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","W. W. Thomas",NA,NA,NA,"Charudatan","1995","11","22","Brazil","Sergipe",NA,"Norte. Próximo a Itaporanga D'Ajuda.",NA,NA,NA,"CV 13. Amostra Sueli 003 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=531123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00602442",NA,"1","South America","sheet",NA,"Magnoliophyta","Poales","NY00602442_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00918999","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.",NA,NA,NA,NA,"L. H. Bailey","1924","03","03","Brazil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541","13937","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995151' target='other'> <mi>dwc_moreinfo</mi></a>","NY00918999","auto","1192","South America","sheet",NA,"Magnoliophyta","Poales","NY00918999_01","650","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-13 09:19:32-03","UFRJ","RFA","11050","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.","T.M. Pedersen","1971",NA,NA,"G.G. Hatschbach","1967","02","03","Brasil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768","45291",NA,"RFA51656","auto","15946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:51:55-03","EAO","IAN","111636","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","Cordeiro, MR","1982","07",NA,"Bockermann, W","1955","05","16","Brasil","Pará",NA,"Cachimbo.","-54.883333","-9.333333",NA,NA,"IAN111636",NA,"258","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,"-54.883333","-9.333333",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:51:55-03","EAO","IAN","130844","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","Koyama, T","1970",NA,NA,"Irwin, HS; Santos, RR dos","1969","01","16","Brasil","Minas Gerais",NA,"Gallery margin. Gallery forest and adjacent ampo and cerrado, ca. 24 km S.W. of Diamantina on road to Gouveia.",NA,NA,NA,"Culms to ca.1 m tall.","IAN130844",NA,"22125","Southern America",NA,NA,"Monocotiledônea",NA,NA,"1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:51:55-03","EAO","IAN","143554","PreservedSpecimen","Plantae","Cyperaceae","Cyperus","distans","Cyperus distans","L.f.","Cordeiro, MR","1982","07",NA,"Pires, JM; Cavalcante, PB","1974","04","14","Brasil",NA,NA,"Quadrícula SA-20-X-A. Ponto 08 A. Igapó de água preta. Com lago de Molongo. Rio Xeriuini.",NA,NA,NA,NA,"IAN143554",NA,"13899","Southern America",NA,NA,"Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
