"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","infraspecificEpithet"
"11","2020-12-21 16:11:31-03","MBM","MBM","33365","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","Pedersen",NA,"Pereira, E.; Hatschbach, G.; Hatschbach, G.","7917","1963","02","16","Southern America","Brazil","Paraná",NA,"-52.4160995483398","-25.4078006744385",NA,"Arbusto 1m; herbácea, face dorsal da folha avermelhada; flores alvas.; Mata.","MBM033365","MBM033365","Laranjeiras do Sul","28404","auto","Hatschbach, G.","1963",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:11:31-03","MBM","MBM","144878","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","Pedersen",NA,"Sobral, M.","6124","1990","01",NA,"Southern America","Brazil","Rio Grande do Sul","Parque Estadual Turvo","-53.75830078125","-27.3710994720459",NA,"Erva 1m; flores brancas.; Beira de mata.","MBM144878","MBM144878","Tenente Portela","14404","auto","Hatschbach, G.","1963",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:11:31-03","MBM","MBM","382102","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","Pedersen",NA,"Torezan, J.M.D.; Arima, L.I.A.; Pimenta, J.A.; Resende, J.C.F.; Sifuentes, D.V.O; Arima, L.I.A.; Pimenta, J.A.; Resende, J.C.F.; Sifuentes, D.V.O.","641","1997","12","15","Southern America","Brazil","São Paulo","Ca. 2km da Mineração São Judas.","-49.216667","-24.316667",NA,"Erva 1,5m; inflorescências brancas, estames amarelos.; Floresta Ombrófila Mista. Interior da mata.","MBM382102","MBM382102","Bom Sucesso de Itararé",NA,NA,"Marchioretto, M.S.","2008","10",NA,"-49.216667","-24.316667",NA,NA,NA,NA,NA
"14","2021-02-11 17:17:48-03","UFPR","UPCB","9241","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides","Suesseng.",NA,"Stellfeld, C.","1695","1969","12","15",NA,"Brasil","Paraná",NA,"-51.9385986328125","-23.4253005981445",NA,"Formação secundária em estrada de rodagem..",NA,NA,"Maringá","19250","auto","Guimarães, O.A.","1992","08",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-11 17:17:48-03","UFPR","UPCB","16640","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides","Suesseng.",NA,"Pelacani, C.R.",NA,"1988","04","21",NA,"Brasil","Paraná","Campus da UEM","-51.9385986328125","-23.4253005981445",NA,"Planta rasteira. Inflorescência branca sem odor. Folhas mais velhas e coloração roxa..",NA,NA,"Maringá","19250","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:17:48-03","UFPR","UPCB","8835","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides","Suesseng.",NA,"Hatschbach, G.","20590","1968","12","09",NA,"Brasil","Paraná","Rio Iguaçu - próximo barragem do Perdido","-52.4160995483398","-25.4078006744385",NA,"Erva 1m, terreno arenoso, margens do rio..",NA,NA,"Laranjeiras do Sul","28404","auto","Pedersen, T.M.","1971","01","01",NA,NA,NA,NA,NA,NA,NA
"17","2020-08-31 09:17:48-03","INPA","INPA","268738","S","Plantae","Dicotyledon Superasterids","Caryophyllales","Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"Torezan, JMD","641","1997","12","15","Southern America","Brasil","São Paulo","Estrada Bom Sucesso de Itararé 2 km antes da Mineração São Judas.","-49.217778","-24.320278",NA,NA,"INPA0268738",NA,"Bom Sucesso de Itararé",NA,NA,"Marchioretto, MS","2008","10",NA,"-49.217778","-24.320278",NA,NA,NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","209383","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides",NA,NA,"A. Regnell","II228","1864","11","19","South America - Neotropics","Brazil","Minas Gerais","Prov. Minas Geraes",NA,NA,NA,NA,"US01332884","US01332884_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"19","2020-09-12 05:00:02-03","US","US","2705768","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides",NA,NA,"G. Hatschbach & O. A. Guimarães","20590","1968","12","9","South America","Brazil","Paraná","Rio Iguaçu, prox. a barra do Perdido.","-52.4160995483398","-25.4078006744385",NA,NA,"US01332883","US01332883_01","Laranjeiras do Sul","28404","auto",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1",NA
"20","2020-09-12 05:00:02-03","US","US","209382","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides villosissima","Suess.","Type collection","A. F. Regnell","I 228","1847",NA,NA,"South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US00102740","US00102740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,"1","villosissima"
"21","2019-09-04 18:25:08-03","F","FMNH-SEEDPLANTS","V0047634F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides",NA,"Isotype","P. Dusén","7819","1909","2","25","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0047634F","V0047634F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"22","2018-04-06 15:22:52-03","F","FMNH-SEEDPLANTS","V0429233F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides",NA,NA,"J. R. Mattos & et al.","23113","1982","1","12","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,"V0429233F","V0429233F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"23","2020-02-20 14:36:41-03","IAC","IAC","36535","S","Plantae",NA,NA,"Amaranthaceae-06.Gomphrenoideae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"J.M. Torezan et al.","641","1997","12","15",NA,"Brasil","São Paulo","estrada Bom Sucesso a 2 km antes da Mineração São Judas","-49.1439","-24.3178",NA,"Coordenadas do Col.: 24 19 S, 49 13 W.",NA,NA,"Bom Sucesso de Itararé",NA,NA,"M.S. Marchioretto","2008","10","15","-49.1439","-24.3178",NA,NA,NA,NA,NA
"24","2019-07-02 15:54:50-03","UEM","HUEM","1262","S","Plantae",NA,NA,"Amaranthaceae","Pfaffia","glabratoides","Pfaffia glabratoides","Suess",NA,"C. R. Pelacani","s.n.","1988","04","21",NA,"Brasil","Paraná","Campus da UEM","-51.938178","-23.405197",NA,"Rasteira, inflorescência branca, folhas mais velhas, com coloração roxa; sem odor.","HUEM000000305","HUEM000000305","Maringá",NA,NA,"Armando Carlos Cervi",NA,NA,NA,"-51.938178","-23.405197",NA,NA,NA,NA,NA
"25","2020-11-12 16:58:42-03","UEL","FUEL","51774","PreservedSpecimen","Plantae","Tracheophyta","Caryophyllales","Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"Torezan, JMD; Arima, LIA; Pimenta, JA; et al.","641","1997","12","15",NA,"Brasil","São Paulo","Estrada B. Sucesso de Itararé 2Km da Mineração S., Mineração São Judas. Floresta ombrófila mista, interior da mata","-49.217778","-24.320278",NA,NA,NA,NA,"Bom Sucesso de Itararé",NA,NA,"Marchioretto, MS","2015","05",NA,"-49.217778","-24.320278",NA,NA,NA,NA,NA
"26","2019-11-01 14:51:55-03","UnB","UB","188511","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","(Suess.) Pedersen",NA,"Torezan, JM; Arima, LIA; Pimenta, JA; Resende, JCF; Sifuentes, DVO; et al.","641","1997","12","15","Southern America","Brasil","São Paulo","Estrada Bom Sucesso de Itararé 2km antes da Mineração São Judas.","-49.217778","-24.320278",NA,"Erva ate 1,5m.; inflorescências brancas com estames amarelos; Floresta Ombrófila Mista, interior da mata",NA,NA,"Bom Sucesso de Itararé",NA,NA,"Marchioretto, MS","2008","11",NA,"-49.217778","-24.320278",NA,NA,NA,NA,NA
"27","2021-02-08 12:31:38-03","UFRGS","ICN","179495","S","Plantae","Dicotyledon",NA,"Amaranthaceae","Quaternella","glabratoides","Quaternella glabratoides","Pedersen",NA,"Pereira, E; Hatschbach, G","7917","1963","11","16","América do Sul","Brasil","PR",NA,"-52.4160995483398","-25.4078006744385",NA,"Doação Herbário MBM; arbusto de 1-1,5 m, herbácea, face dorsal da folha avermelhada, flores alvas; na mata",NA,NA,"Laranjeiras do Sul","28404","auto","Pedersen, TM","1963","11","16",NA,NA,NA,NA,NA,NA,NA
"28","2020-08-26 10:47:35-03","MCN-FZBRS","HAS","96051","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Amaranthaceae","Cf. Quaternella","glabratoides","Cf. Quaternella glabratoides","(Suess.) Pedersen",NA,"Piovesani, W. S.","91","2019","05",NA,NA,"Brasil","Rio Grande do Sul","Estrada que leva ao Salto do Yucumã, Parque Estadual do Turvo","-53.87987","-27.13741",NA,"Trepadeira apoiante com inflorescências capituliformes brancas axilares; em borda de mata.","HAS0096051",NA,"Derrubadas",NA,NA,"Piovesani, W. S.",NA,NA,NA,"-53,879870","-27,137410",NA,NA,NA,NA,NA
