"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00893426","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. Schaller","152","1978","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893426","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso do Sul","Pantanal. Rio Negro area. Fazenda S. Teresa.","-55.7869","-20.4711","NY00893426_01","Aquidauana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00909326","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","E. P. Heringer","2219","1979","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980175' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909326","Magnoliophyta","Malpighiales","A.Juss.","M. C. H. Mamede","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","NY00909326_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00909324","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","E. P. Heringer","2173","1979","10","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980171' target='other'> <mi>dwc_moreinfo</mi></a>","NY00909324","Magnoliophyta","Malpighiales","A.Juss.","M. C. H. Mamede","Distrito Federal","São Bartolomeu.","-47.9294","-15.7797","NY00909324_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00893431","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","P. Clausen","1291",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893431","Magnoliophyta","Malpighiales","A.Juss.",NA,"Minas Gerais",NA,NA,NA,"NY00893431_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00893432","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","H. S. Irwin","10323","1965","11","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893432","Magnoliophyta","Malpighiales","A.Juss.","H. S. Irwin","Goiás","Serra do Rio Preto, ca.10 km E. of Cabeceiras","-46.89","-15.8","NY00893432_01","Cabeceiras","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 21:23:00-03","NY","NYBG","00893436","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. C. G. Argent","6439","1967","09","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969419' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893436","Magnoliophyta","Malpighiales",NA,"W. R. Anderson","Mato Grosso","c. 6 km S of Xavantina near R. & A. transect.","-52.23","-14.63","NY00893436_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00893428","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. Ramos","R. & S.19","1967","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893428","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Collected near the base camp of the expedition. (Base Camp c. 270 km N of Xavantina.)","-51.87","-12.9","NY00893428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00893731","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","W. W. Thomas","4567","1985","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893731","Magnoliophyta","Malpighiales","A.Juss.",NA,"Mato Grosso","Pantananl, 7-12 km SW of Rio Cassangé on rd to Porto Jofre (MT 060)","-56.95","-16.95","NY00893731_01","Poconé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00893440","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893440","Magnoliophyta","Malpighiales","A.Juss.",NA,"Mato Grosso",NA,NA,NA,"NY00893440_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00893732","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. G. Hatschbach","30475","1972","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=977071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893732","Magnoliophyta","Malpighiales","A.Juss.",NA,"Mato Grosso do Sul","Rio Paraguai, Porto Manga.","-57.6531","-19.0094","NY00893732_01","Corumbá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00893425","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. T. Prance","26183","1979","06","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969329' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893425","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Road to Santa Isabel from Jofre.","-56.92","-17.12","NY00893425_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","885610","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","W. W. Thomas","9661","1993","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885610","Magnoliophyta","Malpighiales","A.Juss.","M. C. H. Mamede","Bahia","Campo Formoso, Morro do Cruzeiro, east of town","-40.33","-10.5","NY00885610_01","Campo Formoso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02282486","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","H. S. Irwin","18620","1968","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2244312' target='other'> <mi>dwc_moreinfo</mi></a>","NY02282486","Magnoliophyta","Malpighiales","A.Juss.","E. P. Queiroz","Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","NY02282486_01","Cocalzinho de Goiás","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","02361152","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","F. Sellow","s.n.",NA,NA,NA,"South America","Brazil","sheet",NA,"Ex Herb. Berol. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2544341' target='other'> <mi>dwc_moreinfo</mi></a>","NY02361152","Magnoliophyta","Malpighiales","A.Juss.",NA,NA,"Rio das Velhas.",NA,NA,"NY02361152_01 NY02361152_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-29 21:23:00-03","NY","NYBG","00893434","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. A. Ratter","R.190","1967","07","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893434","Magnoliophyta","Malpighiales",NA,"W. R. Anderson","Mato Grosso","c. 1.5 km W of Xavantina.","-52.33","-14.73","NY00893434_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-29 21:23:00-03","NY","NYBG","00893435","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. A. Ratter","R.371","1967","08","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893435","Magnoliophyta","Malpighiales",NA,"W. R. Anderson","Mato Grosso","1.5 km S of Xavantina.","-52.33","-14.73","NY00893435_01","Nova Xavantina","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01192911","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. L. Paixão","762","2006","02","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1396574' target='other'> <mi>dwc_moreinfo</mi></a>","NY01192911","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Bahia","Pico das Almas. 25 km do centro de cidade em direção a Ponte do Coronel, ca. de 2 km em direção a distrito de Mato Grosso, após a Ponte do Coronel","-41.8336","-13.5003","NY01192911_01","Rio de Contas","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00893430","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. Ramos","R. & S.193","1967","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893430","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Collected near the base camp of the expedition. (c. 270 km N of Xavantina.)","-51.87","-12.9","NY00893430_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","472595","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","M. H. Nee","39666","1990","10","31","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699733' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472595","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Santa Cruz","4 km N of Buena Vista on road to Laguna Madrejon","-63.67","-17.42",NA,"Ichilo","315","315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00893422","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. T. Prance","18893","1973","10","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969319' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893422","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Cerradão behind Colegio de Buriti.","-55.80725","-15.415111","NY00893422_01","Chapada dos Guimarães","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","472594","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","R. M. Harley","22348","1980","05","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699734' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472594","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Bahia","Serra dos Lençois. Serra do Brejao ca. 14 km N.W. of Lençois","-41.45","-12.45","NY00472594_01","Lençóis","700","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00893439","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","W. R. Anderson","11335","1975","02","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969434' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893439","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","On BR-364 near Corrego Pindaival","-56.0967","-15.5961","NY00893439_01","Cuiabá","350","350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00893427","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","W. W. Thomas","4268","1985","10","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893427","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","W banks of Rio Araguaia on inlet called Lago Inglés","-50.72","-11.57","NY00893427_01","São Felix do Araguaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00893424","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. T. Prance","26163","1979","06","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969322' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893424","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Transpantaneira Highway; 34 km after gateway.",NA,NA,"NY00893424_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00893438","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","C. A. Cid Ferreira","6048","1985","07","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969427' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893438","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","BR 162, Rod. Cuiabá-Sinop a 160 km ao S de Sinop, margens da rodovia.","-56","-13.2","NY00893438_01","Diamantino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00893433","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. Eiten","8676","1968","09","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893433","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Ca. 210 km along new road NNE of village of Xavantina. (ca. 50 km due S of Royal Society - Royal Geographic Society Base Camp.","-51.75","-12.85","NY00893433_01","Barra do Garças","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","472593","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","A. C. Cervi","3988","1992","12","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00472593","Magnoliophyta","Malpighiales","A.Juss.","O. A. Guimarães","Paraná","Guartelá","-48.32","-25.27","NY00472593_01","Tibagi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00893429","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. Ramos","R. & S.152","1967","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893429","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Collected near the base camp of the expedition. (c. 270 km N of Xavantina.)","-51.87","-12.9","NY00893429_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00893423","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. T. Prance","26133","1979","06","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893423","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Vicinity of Acurizal","-57.53","-17.87","NY00893423_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00893437","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","J. R. Pirani","1172","1985","10","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893437","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso","Perto da cidade, em pequena elevação à margem do Rio Araguaia.","-50.5","-10.42","NY00893437_01","Santa Terezinha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00893441","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893441","Magnoliophyta","Malpighiales","A.Juss.",NA,"Mato Grosso",NA,NA,NA,"NY00893441_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00893426","PreservedSpecimen","Plantae","Malpighiaceae","Byrsonima","cydoniifolia","Byrsonima cydoniifolia","G. Schaller","152","1978","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00893426","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","Mato Grosso do Sul","Pantanal. Rio Negro area. Fazenda S. Teresa.","-55.7869","-20.4711","NY00893426_01","Aquidauana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
