"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1027156","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","G. G. Hatschbach","36021","1975","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141627' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027156","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Mato Grosso do Sul","Coxim, 1 km ao Norte","-54.7597","-18.5069","NY01027156_01","J. M. Mendoza F.","Coxim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1065533","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita indivisa","H. S. Irwin","6778","1964","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237968' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065533","Magnoliophyta","Malpighiales","indivisa","Allem","Mato Grosso","Vicinity of Xavantina: ca. 90 km N of Xavantina","-52.33","-14.67","NY01065533_01","A. C. Allem",NA,"300","400","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1549903","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","E. P. Heringer","10883","1966","01","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1801339' target='other'> <mi>dwc_moreinfo</mi></a>","NY01549903","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Goiás","Rod. Brasília, Local Prção Anápolis 120 km",NA,NA,"NY01549903_01","M. L. L. Martins; P. Carvalho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1065247","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","H. S. Irwin","10897","1965","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222322' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065247","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Goiás","Serra dos Pirineus, ca. 11 km N. of Corumbá de Goiás","-48.8086","-15.82419","NY01065247_01","D. J. Rogers; S. G. Appan","Cocalzinho de Goiás","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1065312","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita xavantinensis","B. Maguire","56836","1963","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228343' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065312","Magnoliophyta","Malpighiales","xavantinensis","(D.J.Rogers & Appan) Allem","Mato Grosso","350-440 km east of Vilhena","-57.2296078","-12.744153","NY01065312_01","A. C. Allem",NA,"670","770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1064782","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","M. Barreto","14104","1933","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222445' target='other'> <mi>dwc_moreinfo</mi></a>","NY01064782","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Minas Gerais",NA,"-43.8894","-19.6272","NY01064782_01","D. J. Rogers; S. G. Appan","Lagoa Santa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1027125","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","H. S. Irwin","23697","1969","02","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132337' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027125","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Minas Gerais","Serra do Espinhaço, Serra dos Três Irmãos, ca. 25 km west of Montes Claros, road to Agua Boa.","-43.64425","-16.78765","NY01027125_01","J. M. Mendoza F.",NA,"1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1028372","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","B. Dubs","2239","1996","11","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01028372","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Mato Grosso","Serra das Araras, Vale do Currupira.","-56.83","-15.15","NY01028372_01","J. M. Mendoza F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1018502","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","A. Rapini","742","1999","03","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259896' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018502","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Minas Gerais","Serraria.","-42.92","-16.42","NY01018502_01","J. R. Pirani","Grão Mogol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1064794","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","A. Krapovickas","34427","1979","01","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222506' target='other'> <mi>dwc_moreinfo</mi></a>","NY01064794","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Mato Grosso do Sul","85 km de Campo Grande, camino a Aquidauana","-55.7869","-20.4711","NY01064794_01",NA,"Aquidauana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1065611","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","H. S. Irwin","10480","1965","11","18","South America","Brazil","boxed",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1236519' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065611","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Goiás","Serra do Rio Preto, ca. 5 km E. of Cabeceiras","-46.93663","-15.8","NY01065611_01","D. J. Rogers; S. G. Appan","Cabeceiras","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","818143","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","H. S. Irwin","18671","1968","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818143","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Goiás","15 km N. of Corumbá de Goiás on road to Niquelândia, in valley of Rio Corumbá. Serra dos Pirineus.","-48.77","-15.8","NY00818143_01","D. J. Rogers; S. G. Appan","Cocalzinho de Goiás","1150","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","02431688","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","G. T. Prance","3428","1966","11","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972037' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431688","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Amazonas","Road Humaitá to Porto Velho, Km 20. Open grassy savanna.","-63.1023306","-7.7237124","NY02431688_01",NA,"Humaitá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1064780","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","P. Clausen","752","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222442' target='other'> <mi>dwc_moreinfo</mi></a>","NY01064780","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Minas Gerais","Brésil (Minas-Geraes)",NA,NA,"NY01064780_01","D. J. Rogers; S. G. Appan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","02685206","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita humilis","W. R. Anderson","6320","1973","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972093' target='other'> <mi>dwc_moreinfo</mi></a>","NY02685206","Magnoliophyta","Malpighiales","humilis","(Müll.Arg.) D.J.Rogers & Appan","Goiás","Chapada dos Veadeiros, ca. 1 km E of Alto Paraíso on road to Nova Roma","-47.5103","-14.1103","NY02685206_01",NA,"Alto Paraíso de Goiás","1300","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","885600","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","G. G. Hatschbach","14237","1966","04","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1003815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885600","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Paraná","Fazenda Lagoa.","-52.6047","-23.6633","NY00885600_01","I. Cordeiro","Cianorte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","1065253","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","H. S. Irwin","11195","1965","12","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222334' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065253","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Distrito Federal","Immediately E. of Lagôa Paranoá.","-47.82397","-15.8","NY01065253_01","D. J. Rogers; S. G. Appan","Brasília","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1065575","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","S. G. da Fonsêca","372","1967","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235972' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065575","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Mato Grosso","Acampamento dos ingleses.",NA,NA,"NY01065575_01","J. M. Mendoza F.","Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","263647","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita quinqueloba","P. von Luetzelburg","7209","1917","02",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=56325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00263647","Magnoliophyta","Malpighiales","quinqueloba","Pax & K.Hoffm.","Espírito Santo","Urwald am Rio Mutum, nördl. von Rio Doce",NA,NA,"NY00263647_01","F. A. Pax",NA,NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1027131","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","E. P. Heringer","16635","1977","01","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132617' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027131","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Goiás","Serra de Caldas Novas. Termas do Rio Quente.","-48.7722","-17.7744","NY01027131_01","M. L. L. Martins","Rio Quente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1065512","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","J. Cuatrecasas","26624","1962","10","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1237932' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065512","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","São Paulo","Piraçununga: Cerrado de Cachoeira-Emas.","-47.375621","-21.941912","NY01065512_01","J. M. Mendoza F.","Pirassununga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1065309","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita vestita","C. A. Cid Ferreira","6534","1985","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1228325' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065309","Magnoliophyta","Malpighiales","vestita","(S.Moore) D.J.Rogers & Appan","Mato Grosso","Rio Caxipozinho, próx. a Cachoeira Véu de Noiva. Área da Chapada dos Guimarães.","-55.5","-15.5","NY01065309_01","I. Cordeiro","Cuiabá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","1550667","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","G. G. Hatschbach","64197","1996","01","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1825050' target='other'> <mi>dwc_moreinfo</mi></a>","NY01550667","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Minas Gerais","Estrada Várzea da Palma a Serra do Cabral, subida da serra.","-44.7306","-17.5983","NY01550667_01","A. C. Allem","Várzea da Palma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1065570","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","P. E. Gibbs","2820","1976","09","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235966' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065570","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Goiás",NA,"-49.0992","-17.7311","NY01065570_01","J. M. Mendoza F.","Morrinhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","1027088","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","E. P. Heringer","15318","1976","01","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132132' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027088","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Goiás","Cia Termas do Rio Quente","-48.6247","-17.7419","NY01027088_01","J. M. Mendoza F.","Caldas Novas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1027103","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","E. Pereira","7493","1963","03","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1132200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027103","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Minas Gerais","Horto Florestal de Paraopeba","-44.4042","-19.2744","NY01027103_01","J. M. Mendoza F.","Paraopeba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1065404","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","R. Goodland","161","1965","11","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222617' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065404","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Minas Gerais",NA,"-44.4042","-19.2744","NY01065404_01",NA,"Paraopeba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1027173","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","R. P. Belém","2028","1965","12","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141663' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027173","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Goiás","Margem da Rodovia Brasilia-Anápolis.",NA,NA,"NY01027173_01","J. M. Mendoza F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","1064784","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","G. C. G. Argent","6721B","1967","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222459' target='other'> <mi>dwc_moreinfo</mi></a>","NY01064784","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Mato Grosso","c. 6 km S. of Xavantina (R & A transect).","-52.23","-14.63","NY01064784_01",NA,"Xavantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1065405","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita","T. C. Plowman","8414","1980","02","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222619' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065405","Magnoliophyta","Malpighiales",NA,"(Spreng.) Müll.Arg.","Tocantins","Road from highway BR-153 to Itaporã, 12 km west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","NY01065405_01","G. L. Webster","Presidente Kennedy","400","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","1065251","PreservedSpecimen","Plantae","Euphorbiaceae","Manihot","tripartita","Manihot tripartita tripartita","H. S. Irwin","10480","1965","11","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222330' target='other'> <mi>dwc_moreinfo</mi></a>","NY01065251","Magnoliophyta","Malpighiales","tripartita","(Spreng.) Müll.Arg.","Goiás","Serra do Rio Preto, ca. 5 km E. of Cabeceiras","-46.93663","-15.8","NY01065251_01","D. J. Rogers; S. G. Appan","Cabeceiras","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
