"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","day","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","individualCount","typeStatus","relatedCatalogItem","fieldNumber","sex"
"13","2021-03-15 16:37:00-03","NY","NYBG","788734","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,"L. B. Smith","1965","01","Brazil","Paraná","Ponta Grossa","Vila Velha.","-50.03","-25.22",NA,NA,"890","920","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429841' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788734","14470","14","NY00788734_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","788731","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,"S. M. Silva","1996","01","Brazil","Paraná","Paranaguá","Praia Grande, Ilha do Mel.","-48.35","-25.5",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788731","s.n.","18","NY00788731_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","788729","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,"G. G. Hatschbach","1969","01","Brazil","Paraná","Paranaguá","Balm. Ipanema.","-48.5092","-25.5203",NA,NA,"3","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788729","20854","19","NY00788729_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","788732","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Á. L. Cabrera",NA,NA,NA,"R. Reitz","1954","01","Brazil","Santa Catarina","Araquari","Barra do Sul.","-48.7219","-26.3703",NA,NA,"2","2","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429838' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788732","1481","03","NY00788732_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","788728","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","E. P. dos Santos",NA,NA,NA,"E. P. dos Santos","1996","11","Brazil","Paraná","Guaratuba","Serra de Araçatuba, Morro dos Perdidos.","-48.58","-25.88",NA,NA,"1350","1350","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429835' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788728","298","23","NY00788728_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","788730","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","H. E. Robinson",NA,NA,NA,"R. A. Wasum","1992","01","Brazil","Rio Grande do Sul","Caxias do Sul","Ana Rech - Faxinal.","-51.094927","-29.108528",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788730","8057","16","NY00788730_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","788733","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Á. L. Cabrera",NA,NA,NA,"R. Reitz","1952","02","Brazil","Santa Catarina","Laguna",NA,"-48.781687","-28.480425",NA,NA,"5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788733","228","29","NY00788733_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","788735","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,"L. B. Smith","1965","01","Brazil","Paraná","Jaguariaíva","Lajeado Cinco Reis.","-49.28","-24.28",NA,NA,"860","860","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429842' target='other'> <mi>dwc_moreinfo</mi></a>","NY00788735","14620","16","NY00788735_01","Magnoliophyta","Asterales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:29:21-03","UFRJ","RFA","43760","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","V. Citadini-Zanette","1997","02","19","V. Citadini-Zanette; T.M. Medeiros","1997","02","Brasil","Santa Catarina","Araranguá","Morro dos Conventos","-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,"Subarbustivo","RFA56158",NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:35:10-03","EAO","IAN","61416","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","H.Rob.",NA,NA,NA,NA,"Casaretto, J",NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN061416","193",NA,NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-01-20 14:40:09-03","UPM","MACK","2138","PreservedSpecimen","Plantae","Asteracaee","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","G. Franco",NA,NA,NA,"A. Buccaran","2011","03","Brasil","SP","Campos do Jordão",NA,"-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"A36","26",NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA
"24","2020-01-20 14:40:19-03","UPM","MACK","2155","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","T. Mortale",NA,NA,NA,"T. A. B. Mortale","2013","02","Brasil","SP","Campos do Jordão","Trilha For Seasons","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,NA,NA,"92","16",NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA,NA
"25","2019-12-04 15:24:54-03","PUCPR","HUCP","23920","S","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L. Rob.","Bohrer, P",NA,NA,NA,"Bohrer, P","2012","06","Brasil","Paraná","Pontal do Paraná","Balneário Barrancos","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,"HUCP00008409","147","09","HUCP00008409","Eudicotiledonea",NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
"26","2019-12-04 15:24:54-03","PUCPR","HUCP","23923","S","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L. Rob.","Cordeiro, J; Bohrer, P",NA,NA,NA,"Bohrer, P; Kersten, RA","2012","07","Brasil","Paraná","Pontal do Paraná","Balneário Barrancos","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,"HUCP00008357","062","09","HUCP00008357","Eudicotiledonea",NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
"27","2019-12-04 15:24:54-03","PUCPR","HUCP","23924","S","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L. Rob.","Bohrer, P",NA,NA,NA,"Bohrer, P","2012","07","Brasil","Paraná","Pontal do Paraná","Balneário Barrancos","-48.511100769043","-25.6735992431641",NA,NA,NA,NA,NA,"HUCP00008305","131","09","HUCP00008305","Eudicotiledonea",NA,NA,NA,"19508","auto",NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:11:22-03","UFBA","ALCB","128863","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L. Rob.","Gaio, J","2015","09",NA,"Gonzatti, F","2015","01","Brasil","Rio Grande do Sul","Osório","Próximo à lagoa do Barros","-50.412778","-29.953056","-50.412778","-29.953056","14","14","Capítulos rosados. In conferatum.","ALCB046399","1523","19","ALCB046399","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 21:31:51-03","UFBA","ALCB","128099","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L. Rob.","Ferreira, P","2015",NA,NA,"Macieski, M; et al.","2014","01","Brasil","Santa Catarina","Imbituba","Praia da Vila- Dunas","-48.670278","-28.24","-48.670278","-28.24",NA,NA,"CA. 0,50 M. Heliófito. capítulos amarelados; Solo: Neossolo Quartzenico não Hidromórfico&nf;Relevo: plano&nf;Vegetação: formação pioneira com influencia Marinha (restinga)","ALCB045544","s/n","10","ALCB045544","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 08:51:48-03","NBC","NL-BOTANY","L.3766532","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,"Marchett F","2005","03","Brazil",NA,NA,"RS - Mun. de Torres - Parque da Guarita.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3766532 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3766532",NA,"05","NL-L3766532",NA,"Asterales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"31","2020-11-04 11:02:26-03","ESALQ","ESA","36723","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi",NA,NA,NA,NA,NA,"Ziller, S.R. et al.","1995","01","Brasil","Paraná","Paranaguá",NA,"-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"ESA036723","689.0","18",NA,"Magnoliophyta",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:02:26-03","ESALQ","ESA","9152","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Nakajima, J.N.",NA,NA,NA,"Souza, V.C. et al.","1993","02","Brasil","Paraná","Sengés",NA,"-49.4636001586914","-24.1128005981445",NA,NA,NA,NA,NA,"ESA009152","2216.0","13","ESA009152","Magnoliophyta",NA,NA,NA,"55682","auto",NA,NA,NA,NA,NA,NA
"33","2016-02-02 14:37:57-02","BGBM","B","B 10 0094704","S","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100094704 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100094704",NA,NA,"B100094704",NA,NA,"Middle and South America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-02-15 11:34:34-02","IPA","IPA","62530","S","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L. Rob.","Hatschbach, G.","1998",NA,NA,"Cordeiro, J.; Cruz, J.M.; Cruz, J.M.","1998","01","Brasil","Paraná","Pontal do Sul",NA,NA,NA,NA,NA,NA,NA,"Arbusto 1,20m. capítulo alvacento.; Restinga arbustiva.","IPA0062530","1459","22","IPA0062530","Plantae",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-08-27 13:28:01-03","IAP","PACA-AGP","46779","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","E. K. D. Hattori","2010","02",NA,"Rambo, B.","1950","04","Brasil","RS","Osório","Fazenda do Arroio","-50.2696990966797","-29.8866996765137",NA,NA,NA,NA,"Habitat: in arenosis dumetosis Fenofase: flor","PACA046779",NA,"14",NA,"Magnoliophyta","Asterales",NA,NA,"27350","auto","Magnoliatae",NA,NA,NA,NA,NA
"36","2019-08-27 13:28:01-03","IAP","PACA-AGP","69895","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","G. M. Barroso",NA,NA,NA,"J. C. Sacco","1964","02","Brasil","SC","Bom Abrigo",NA,NA,NA,NA,NA,NA,NA,"Herb PEL 6842","PACA069895","2080","06",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
"37","2019-08-27 13:28:01-03","IAP","PACA-AGP","46172","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","E. K. D. Hattori","2010","02",NA,"Rambo, B.","1950","03","Brasil","RS","Osório","Fazenda do Arroio","-50.2696990966797","-29.8866996765137",NA,NA,NA,NA,"Habitat: in arenosis dumetosis Fenofase: flor","PACA046172",NA,"06",NA,"Magnoliophyta","Asterales",NA,NA,"27350","auto","Magnoliatae",NA,NA,NA,NA,NA
"38","2019-08-27 13:28:01-03","IAP","PACA-AGP","45996","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","E. K. D. Hattori","2010","02",NA,"Rambo, B.","1950","02","Brasil","RS","Torres","Fazenda do Arroio","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Habitat: in dumetosis arenosis Fenofase: flor","PACA045996",NA,"21",NA,"Magnoliophyta","Asterales",NA,NA,"20837","auto","Magnoliatae",NA,NA,NA,NA,NA
"39","2019-08-27 13:28:01-03","IAP","PACA-AGP","98571","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","E.K.O. Hattori","2013","08",NA,"Sehnem, A.","1972","02","Brasil","RS","Tramandaí","aeroporto","-50.1335983276367","-29.9846992492676",NA,NA,NA,NA,"Habitat: erva arbustiva in graminosis","PACA098571","12970","09",NA,"Magnoliophyta","Asterales",NA,NA,"21077","auto","Magnoliatae",NA,NA,NA,NA,NA
"40","2019-08-27 13:28:00-03","IAP","PACA-AGP","31609","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","E. K. D. Hattori","2010","02",NA,"Rambo, B.","1946","02","Brasil","SC","Araranguá","Sombrio","-49.4858016967773","-28.934700012207",NA,NA,NA,NA,"Habitat: in arenosis dumetosis Fenofase: flor","PACA031609",NA,"05",NA,"Magnoliophyta","Asterales",NA,NA,"19353","auto","Magnoliatae",NA,NA,NA,NA,NA
"41","2019-08-27 13:28:01-03","IAP","PACA-AGP","70227","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","E. K. D. Hattori","2010","02",NA,"M. Leonor Souza","1988","02","Brasil","SC","Florianópolis","Pontal do Daniela","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"arb. 2,5m alt. Habitat: solo arenoso seco Ecossistema: Mata Atlântica","PACA070227","906","23",NA,"Magnoliophyta","Asterales",NA,NA,"27000","auto","Magnoliatae",NA,NA,NA,NA,NA
"42","2019-08-27 13:28:01-03","IAP","PACA-AGP","54781","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","E. K. D. Hattori","2010","02",NA,"Rambo, B.","1954","02","Brasil","RS","Torres",NA,"-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Habitat: prope litus in arenosis dumetosis Fenofase: flor","PACA054781",NA,"11",NA,"Magnoliophyta","Asterales",NA,NA,"20837","auto","Magnoliatae",NA,NA,NA,NA,NA
"43","2019-08-27 13:28:00-03","IAP","PACA-AGP","103592","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","Christ, A.L.","2019","05","09","Sehnem, A.","1978","01","Brasil","RS","Tramandaí","Dunas.","-50.1335983276367","-29.9846992492676",NA,NA,NA,NA,"Habitat: Herba in arenosis.","PACA103592","15787","16",NA,"Magnoliophyta","Asterales",NA,NA,"21077","auto","Magnoliatae",NA,NA,NA,NA,NA
"44","2019-08-27 13:28:01-03","IAP","PACA-AGP","65048","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","A. Cabrera","1958",NA,NA,"Reitz, R.","1954","01","Brasil","SC","Araquarí","Barra do Sul","-48.7221984863281","-26.3700008392334",NA,NA,NA,NA,"HBR 8189 Habitat: restinga Ecossistema: Mata Atlântica","PACA065048","1481","03",NA,"Magnoliophyta","Asterales",NA,NA,"25329","auto","Magnoliatae",NA,NA,NA,NA,NA
"45","2019-08-27 13:28:01-03","IAP","PACA-AGP","31935","PreservedSpecimen","Plantae","Compositae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B. L. Rob.","E. K. D. Hattori","2010","02",NA,"Reitz, R.","1945","12","Brasil","SC","Araranguá","Sombrio","-49.4858016967773","-28.934700012207",NA,NA,NA,NA,"Habitat: in arenosis dumetosis Fenofase: flor","PACA031935","1370","28",NA,"Magnoliophyta","Asterales",NA,NA,"19353","auto","Magnoliatae",NA,NA,NA,NA,NA
"46","2019-11-21 14:32:14-03","UFJF","CESJ","64829","PreservedSpecimen","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L. Rob.","E. Barbosa","2012","04",NA,"J.M. Silva; C.B. Poliquesi; L.T. Maranho; R. Ristow","2012","03","Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Subarbusto 80cm, capítulos lilás. Afloramentos rochosos.","CESJ064829","8282","19",NA,"Angiosperma",NA,"América do Sul",NA,"46557","auto",NA,NA,NA,NA,NA,NA
"47","2021-03-01 16:25:23-03","UNICAMP","UEC","161815","S","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Hattori, EKO","2012","08",NA,"Queiroz, MH","1989","01","Brazil","Santa Catarina","Florianópolis","Santo Antônio de Lisboa.","-48.526667","-27.766861","-48.526667","-27.766861","50","50","Arbusto +/-2m. Flor branca.; Capoeirinha.","UEC009589","s.n.","16","UEC009589","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-01 16:25:23-03","UNICAMP","UEC","118644","S","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Hattori, EKO","2012","08",NA,"Silveira, M; et al.","1989","03","Brazil","Paraná","Guaraqueçaba","Ilha de Superagui.","-48.3288993835449","-25.3066997528076",NA,NA,NA,NA,"Arbusto 1m. Flores arroxeadas.; Restinga","UEC048607","101","21","UEC048607","Magnoliopsida",NA,NA,NA,"37295","auto",NA,NA,NA,NA,NA,NA
"49","2021-03-01 16:25:23-03","UNICAMP","UEC","161418","S","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.",NA,NA,NA,NA,"Negrelle, R","1993","01","Brazil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6161003112793","-26.1168994903564",NA,NA,NA,NA,"arbuto ca. 1m, flores roxas e botões brancos","UEC069083","A-661","21","UEC069083","Magnoliopsida",NA,NA,NA,"18121","auto",NA,NA,NA,NA,NA,NA
"50","2021-03-01 16:25:23-03","UNICAMP","UEC","159256","S","Plantae","Asteraceae","Symphyopappus","casarettoi","Symphyopappus casarettoi","B.L.Rob.","Hattori, EKO","2012","08",NA,"Sakane, M","1976","03","Brazil","São Paulo","Cananéia","Ilha do Cardoso, Praia do Marujá.","-47.9199981689453","-25.0100002288818",NA,NA,NA,NA,"Semi-arbustiva 40 a 50cm. Capítulos com brácteas lilás - claro.","UEC032625","454","16","UEC032625","Magnoliopsida",NA,NA,NA,"37574","auto",NA,NA,NA,NA,NA,NA
