"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","typeStatus","class","individualCount","monthIdentified","relatedCatalogItem","dayIdentified"
"11","2020-12-21 16:29:10-03","MBM","MBM","167743","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Hatschbach, G.; Hatschbach, M.; Barboza, E.; Hatschbach, M.; Barboza, E.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM167743",NA,NA,"Wiehler & Chautems","Chautems, A.","56707","Bahia","Rio de Contas","Salto do Fragra","-41.8114013671875","-13.5789003372192",NA,NA,"MBM167743",NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:29:10-03","MBM","MBM","254393","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, R.M.; et al.; et al.","1992","02","20","Southern America","Brazil",NA,NA,NA,"MBM254393",NA,NA,"Wiehler & Chautems","Chautems, A.","51552","Bahia","Abaíra","Estrada Catolés - Barra","-41.6636009216309","-13.2496995925903",NA,NA,"MBM254393",NA,NA,NA,"26531","auto",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:29:10-03","MBM","MBM","150640","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Santos, E.B. dos; et al.; et al.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM150640",NA,NA,"Wiehler & Chautems","Chautems, A.","248","Bahia","Rio de Contas","Cachoeira do Fraga, 3km da cidade, Cacho","-41.8114013671875","-13.5789003372192",NA,NA,"MBM150640",NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"14","2019-08-15 09:03:39-03","UESC","UESC","4179","S","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Ganev, W.","1994","05","08",NA,"Brasil",NA,NA,"Subarbusto de ca. 50 cm.; Planta em floração, pouco comum.","UESC0004179","Angiospermae","Florideophycidae","Wichler & Chautms","L.P. de Queiroz","3229","Bahia","Abaíra",NA,"-41.8","-13.383333","1000","1300",NA,"1998","41W48'","13S23'",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA
"15","2020-12-11 11:36:42-03","UFMG","BHCB","10723","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Hatschbach, G; Barbosa, E","1992","04","06","Southern America","Brasil",NA,NA,NA,NA,"Dicotyledon",NA,"Wiehler & Chautems",NA,"56707","Bahia","Rio de Contas","Rochas próximas ao Salto de Fragra","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","2983257","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley, S. J. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro","1977","2","17","South America - Neotropics","Brazil",NA,NA,NA,"US00320745",NA,"Scrophulariales","Wiehler & Chautems","Chautems, A. P.","19500","Bahia",NA,"Serra das Almas, lower NE slopes of the Pico das Almas, ca 25 km WNW of the vila do Rio de Contas",NA,NA,"1500",NA,"US00320745_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","3233743","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","A. M. Carvalho & A. P. Chautems","1991","2","11","South America - Neotropics","Brazil",NA,NA,NA,"US00409731",NA,"Scrophulariales","Wiehler & Chautems",NA,"3235","Bahia","Rio de Contas","Ca. 5 kms of sede do municipio, Cachoeira do Fraga, Campo Ruprestre e Mata de Galleria. [Ca. 5 kms of headquarters of the municipio, Fraga Waterfall, Campo Ruprestre and Mata de Galleria.].","-41.8114013671875","-13.5789003372192","1000","1000","US00409731_01",NA,NA,NA,"49773","auto","Isotype","Dicotyledonae","1",NA,NA,NA
"18","2020-09-12 05:00:02-03","US","US","2983256","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley, S. J. Mayo, R. M. Storr, T. S. Santos & R. S. Pinheiro","1977","3","28","South America - Neotropics","Brazil",NA,NA,NA,"US00320746",NA,"Scrophulariales","Wiehler & Chautems",NA,"20061","Bahia",NA,"Serra do Rio de Contas, between 2.5 and 5 km S of the vila do Rio de Contas on side road to W of the road to Livramento, ..",NA,NA,"980",NA,"US00320746_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","3341285","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley","1992","2","20","South America - Neotropics","Brazil",NA,NA,NA,"US00590764",NA,"Scrophulariales","Wiehler & Chautems","Skog, L. E.","H 51552","Bahia",NA,"Mun. Abaíra: Estrada Catolés-Barra",NA,NA,"1100","1200","US00590764_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3241579","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","G. Hatschbach, M. M. Hatschbach & E. L. Barbosa","1992","4","6","South America - Neotropics","Brazil",NA,NA,NA,"US00474245",NA,"Scrophulariales","Wiehler & Chautems",NA,"56707","Bahia",NA,"Salto do Fragra",NA,NA,NA,NA,"US00474245_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"21","2019-11-13 11:20:21-03","USP","SPF","119792","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Ganev, W","1994","05","08",NA,"Brasil",NA,NA,NA,"SPF00119792",NA,NA,"Wiehler & Chautems","Chautems, A","3229","Ceará","Abaiara",NA,"-41.8","-13.383333","1000","1300","SPF00119792","2000","-41.8","-13.383333",NA,NA,NA,NA,NA,"07",NA,NA
"22","2019-11-13 11:20:21-03","USP","SPF","37285","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Giulietti, AM","1984","12","14",NA,"Brasil",NA,NA,NA,"SPF00037285",NA,NA,"Wiehler & Chautems","Chautems, A","CFCR6854","Bahia",NA,"Pico das Almas",NA,NA,"1460","1460","SPF00037285","1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-13 11:20:21-03","USP","SPF","90542","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, RM","1992","01","12",NA,"Brasil",NA,NA,NA,"SPF00090542",NA,NA,"Wiehler & Chautems","Chautems, A","H50761","Bahia","Abaíra",NA,"-41.766667","-13.3","1300","1300","SPF00090542","1996","-41.766667","-13.3",NA,NA,NA,NA,NA,"01",NA,NA
"24","2019-11-13 11:20:21-03","USP","SPF","92367","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Queiroz, LP","1992","02","11",NA,"Brasil",NA,NA,NA,"SPF00092367",NA,NA,"Wiehler & Chautems","Chautems, A","H51082","Bahia","Abaíra",NA,"-41.9","-13.233333","1500","1600","SPF00092367","1998","-41.9","-13.233333",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-11-13 11:20:21-03","USP","SPF","95591","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Sano, PT","1994","02","25",NA,"Brasil",NA,NA,NA,"SPF00095591",NA,NA,"Wiehler & Chautems","Anônimo","CFCR14655","Bahia","Rio de Contas",NA,"-41.828611","-13.597778",NA,NA,"SPF00095591",NA,"-41.828611","-13.597778",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-13 11:20:21-03","USP","SPF","91745","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Stannard, BL","1992","02","19",NA,"Brasil",NA,NA,NA,"SPF00091745",NA,NA,"Wiehler & Chautems","Chautems, A","H52127","Bahia","Abaíra",NA,"-41.9","-13.233333","1520","1520","SPF00091745","1996","-41.9","-13.233333",NA,NA,NA,NA,NA,"01",NA,NA
"27","2019-11-13 11:20:21-03","USP","SPF","91237","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, RM","1992","02","20",NA,"Brasil",NA,NA,NA,"SPF00091237",NA,NA,"Wiehler & Chautems","Chautems, A; Skog, LE","H51552","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903","1100","1200","SPF00091237 SPF00091237_1","1997",NA,NA,"26531","auto",NA,NA,NA,NA,NA,NA
"28","2019-11-13 11:20:21-03","USP","SPF","49052","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, RM","1987","02","16",NA,"Brasil",NA,NA,NA,"SPF00049052",NA,NA,"Wiehler & Chautems","Chautems, A","24338","Bahia","Jussiape",NA,"-41.5924987792969","-13.5166997909546",NA,NA,"SPF00049052","1992",NA,NA,"26624","auto",NA,NA,NA,NA,NA,NA
"29","2019-11-13 11:20:21-03","USP","SPF","97861","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Lyra-Lemos, RP","1991","05","19",NA,"Brasil",NA,NA,NA,"SPF00097861",NA,NA,"Wiehler & Chautems","Chautems, A","CFCR1858","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,"SPF00097861","1996",NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"30","2019-11-13 11:20:21-03","USP","SPF","60469","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, RM","1987","02","21",NA,"Brasil",NA,NA,NA,"SPF00060469",NA,NA,"Wiehler & Chautems","Chautems, A","24635","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192",NA,NA,"SPF00060469","1992",NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"31","2019-11-13 11:20:21-03","USP","SPF","135812","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Forzza, RC","1999","04","10",NA,"Brasil",NA,NA,NA,"SPF00135812",NA,NA,"Wiehler & Chautems","Chautems, A","1156","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192",NA,NA,"SPF00135812","1999",NA,NA,"49773","auto",NA,NA,NA,"05",NA,NA
"32","2019-11-13 11:20:21-03","USP","SPF","96410","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Atkins, S","1994","03","03",NA,"Brasil",NA,NA,NA,"SPF00096410",NA,NA,"Wiehler & Chautems","Anônimo","CFCR14801","Bahia","Rio de Contas","Pico das Almas","-41.8114013671875","-13.5789003372192","1300","1500","SPF00096410",NA,NA,NA,"49773","auto",NA,NA,NA,NA,NA,NA
"33","2019-10-07 09:15:53-03","UEFS","HUEFS","116791","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Santos, A.K.A.","2007","01","10",NA,"Brasil",NA,NA,"Área de Cerrado com rochas.","HUEFS0116791","Angiospermae","Lamiales","Wiehler & Chautems","J.Rossini","947","Bahia","Abaíra","Catolés. Salão ca. 9 km de Catolés.","-41.901944","-13.252222",NA,NA,"HUEFS0116791","2014","41W54'7''","13S15'8''",NA,NA,NA,"Asteranae",NA,"10",NA,NA
"34","2019-10-07 09:15:53-03","UEFS","HUEFS","243640","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Costa-Lima, J.L.","2012","12","10",NA,"Brasil",NA,NA,NA,"HUEFS0243640","Angiospermae","Lamiales","Wiehler & Chautems",NA,"825","Bahia","Rio de Contas","Serra nas proximidades da Cachoeira do Fraga.","-41.834722","-13.604167","965","965",NA,NA,"41W50'5''","13S36'15''",NA,NA,NA,"Asteranae",NA,NA,NA,NA
"35","2019-10-07 09:15:53-03","UEFS","HUEFS","243755","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Costa-Lima, J.L.","2018","05","22",NA,"Brasil",NA,NA,NA,"HUEFS0243755","Angiospermae","Lamiales","Wiehler & Chautems",NA,"3032","Bahia","Rio de Contas","Nos arredores da Cachoeira do Fraga.","-41.829444","-13.598889","960","960",NA,NA,"41W49'46''","13S35'56''",NA,NA,NA,"Asteranae",NA,NA,NA,NA
"36","2019-10-07 09:15:53-03","UEFS","HUEFS","31492","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, R.M.","1977","02","17",NA,"Brasil",NA,NA,NA,"HUEFS0031492","Angiospermae","Lamiales","Wiehler & Chautems",NA,"19500","Bahia","Rio de Contas","Lower N.E. slopes of the Pico das Almas, ca. 25 km W.N.W of the Vila do Rio de Contas.","-41.95","-13.55","1500","1500","HUEFS0031492",NA,"41W57'","13S33'",NA,NA,NA,"Asteranae",NA,NA,NA,NA
"37","2019-10-07 09:15:53-03","UEFS","HUEFS","50999","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Stannard, B.","1992","02","19",NA,"Brasil",NA,NA,NA,"HUEFS0050999","Angiospermae","Lamiales","Wiehler & Chautems",NA,"H52127","Bahia","Abaíra","Ladeira rochosa entre Campo de Ouro Fino e Pegra Grande.","-41.9","-13.233333","1520","1520","HUEFS0050999",NA,"41W54'","13S14'",NA,NA,NA,"Asteranae",NA,NA,NA,NA
"38","2019-10-07 09:15:53-03","UEFS","HUEFS","13135","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Santos, E.B.","1991","05","21",NA,"Brasil",NA,NA,NA,"HUEFS0013135","Angiospermae","Lamiales","Wiehler & Chautems",NA,"248","Bahia","Rio de Contas",NA,"-41.8114013671875","-13.5789003372192","900","900","HUEFS0013135",NA,NA,NA,"49773","auto",NA,"Asteranae",NA,NA,NA,NA
"39","2019-10-07 09:15:53-03","UEFS","HUEFS","51000","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, R.M.","1992","02","20",NA,"Brasil",NA,NA,"Beira de estrada.","HUEFS0051000","Angiospermae","Lamiales","Wiehler & Chautems","T.S.C.Dorow","H51552","Bahia","Abaíra","EstradaCatolés-Barra.","-41.6636009216309","-13.2496995925903","1100","1200","HUEFS0051000",NA,NA,NA,"26531","auto",NA,"Asteranae",NA,NA,NA,NA
"40","2020-07-23 12:08:41-03","CEPLAC","CEPEC","11781","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley","1970","11","30",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","15401","Bahia","RIO DE CONTAS","Ao N da rampa baixa do Pico das Almas. Ca. 25Km WNW da cidade.","-41.916667","-13.533333",NA,NA,NA,NA,"41W55'0","13S32'0",NA,NA,"Paratipo",NA,NA,NA,"30/12/1992",NA
"41","2020-07-23 12:08:41-03","CEPLAC","CEPEC","21623","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley","1977","03","28",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","20061","Bahia","RIO DE CONTAS","Entre 2.5-5Km ao S da Vila Rio de Contas, a W Rod. para Livramento, lado do Rio Brumado.","-41.833333","-13.6",NA,NA,NA,NA,"41W50'0","13S36'0",NA,NA,"Paratipo",NA,NA,NA,"30/01/1990",NA
"42","2020-07-23 12:08:41-03","CEPLAC","CEPEC","21651","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley","1998","09","20",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","19500","Bahia","RIO DE CONTAS","A NE da rampa baixa do Pico das Almas. Ca. 25Km WNW da Vila do Rio de Contas.","-41.95","-13.55",NA,NA,NA,NA,"41W57'0","13S33'0",NA,NA,"Paratipo",NA,NA,NA,"30/01/1990",NA
"43","2020-07-23 12:08:41-03","CEPLAC","CEPEC","75363","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley","1969","10","20",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"E. M. Woodgyer","19500","Bahia","RIO DE CONTAS","25Km ao WNW da Vila do Rio de Contas. Ao NE da rampa baixa do Pico das Almas.","-41.95","-13.55",NA,NA,NA,NA,"41W57'","13S33'",NA,NA,NA,NA,NA,NA,"30/12/1992",NA
"44","2020-07-23 12:08:41-03","CEPLAC","CEPEC","76586","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","A. M. de Carvalho","1997","12","27",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. M. de Carvalho","6381","Bahia","RIO DE CONTAS","19Km na estrada p/ Pico das Almas.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,"30/12/1997",NA
"45","2020-07-23 12:08:41-03","CEPLAC","CEPEC","50688","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","E. B. dos Santos","1970","01","30",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","248","Bahia","RIO DE CONTAS","3Km da cidade. Cachoeira do Fraga.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,"30/12/1992",NA
"46","2020-07-23 12:08:41-03","CEPLAC","CEPEC","82835","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. C. Forzza","1999","04","10",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","1156","Bahia","RIO DE CONTAS","Pico das Almas.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,"30/12/1999",NA
"47","2020-07-23 12:08:41-03","CEPLAC","CEPEC","49547","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","A. M. de Carvalho","1991","02","11",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"H. J. Wiehler","3235","Bahia","RIO DE CONTAS","Ca. 5Km ao S da cidade. Cachoeira do Fraga.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"0W0'0","0S0'0","49773","auto","Holótipo",NA,NA,NA,"30/12/1991",NA
"48","2020-07-23 12:08:41-03","CEPLAC","CEPEC","39348","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","A. M. Giulietti","1977","03","18",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. Chautems",NA,"Bahia","RIO DE CONTAS","Pico das Almas.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,"0W0'0","0S0'0","49773","auto","Paratipo",NA,NA,NA,"30/12/1992",NA
"49","2020-07-23 12:08:41-03","CEPLAC","CEPEC","93138","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","R. M. Harley","1992","02","20",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"Skog & A. Chautems",NA,"Bahia","ABAÍRA","Beira da Estrada Catolés/Barra.","-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA,"30/12/1998",NA
"50","2020-07-23 12:08:41-03","CEPLAC","CEPEC","66507","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","G. Hatschbach","1992","04","06",NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"A. Chautems","56707","Bahia","RIO DE CONTAS","Próx ao Salto do Fraga.","-41.8114013671875","-13.5789003372192",NA,NA,NA,NA,NA,NA,"49773","auto",NA,NA,NA,NA,"30/12/1994",NA
"51","2021-02-23 13:22:32-03","MN","R-TIPOS","211761","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Carvalho, A.M.; Chautmes, A.","1991","02","11",NA,"Brasil",NA,NA,NA,"R000211761",NA,NA,"Chautmes","Chautems, A.","3235","Bahia","Rio de Contas","Cachoeira do Fraga","-41.8114013671875","-13.5789003372192","1000","1000",NA,"1991",NA,NA,"49773","auto","Isotypus",NA,NA,NA,NA,NA
"52","2020-10-22 10:13:08-03","IBt","SP","347163","S","Plantae","Gesneriaceae","Sinningia","harleyi","Sinningia harleyi","Harley, RM","1992","02","20",NA,"Brasil",NA,NA,NA,NA,NA,NA,"Wiehler & Chautems",NA,"51552","Bahia","Abaíra",NA,"-41.6636009216309","-13.2496995925903",NA,NA,NA,NA,NA,NA,"26531","auto",NA,NA,NA,NA,NA,NA
