"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","monthIdentified","dayIdentified","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","662917","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","P. von Luetzelburg","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=207985' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662917","Magnoliophyta","Poales","L.","1910","11",NA,"Rio de Janeiro","Praia S. Joao",NA,NA,"NY00662917_01",NA,NA,NA,"C. C. Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-13 09:20:42-03","UFRJ","RFA","9105","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","G.G. Hatschbach","14095",NA,"Brasil",NA,NA,NA,"RFA30984",NA,NA,"L.","1966","03","22","Paraná","Pinheirinho","-48.7118988037109","-25.4286003112793",NA,"Antonina",NA,NA,"W.D. Clayton","1967","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 11:32:02-03","UFRJ","RFA","1787","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum",NA,NA,NA,"Brasil",NA,NA,NA,"RFA30986",NA,NA,"L.","1911","09",NA,"Rio de Janeiro","Tijuca","-43.2075004577637","-22.9027996063232",NA,"Rio de Janeiro",NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:54:03-03","EAO","IAN","108214","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Nobs, MA","1814",NA,NA,NA,NA,NA,"IAN108214","Monocotiledônea",NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:54:03-03","EAO","IAN","108216","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Nobs, MA","1840",NA,NA,NA,NA,NA,"IAN108216","Monocotiledônea",NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:54:03-03","EAO","IAN","111876","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Solis, MA","16234",NA,NA,NA,NA,NA,"IAN111876","Monocotiledônea",NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:54:03-03","EAO","IAN","114808","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Faulkner, HG","2908","Africa","Zâmbia",NA,NA,NA,"IAN114808","Monocotiledônea",NA,"L.","1961","09","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:54:03-03","EAO","IAN","39559","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Barlett, HH","17483","Southern America","Haiti",NA,NA,NA,"IAN039559","Monocotiledônea",NA,"L.","1941","06","26",NA,"Shallow pond and swamp area betw. Terrier Rouge and Fort Liberte, northeastern alluvial plain",NA,NA,NA,NA,NA,NA,"Chase, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:54:03-03","EAO","IAN","43869","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Hitchcock, AS","16563",NA,"Guiana",NA,NA,NA,"IAN043869","Monocotiledônea",NA,"L.","1919","10","29",NA,"In mud along ditch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:54:03-03","EAO","IAN","44339","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Black, GA","3665",NA,"Estados Unidos",NA,NA,NA,"IAN044339","Monocotiledônea",NA,"L.","1940","07","13","Califórnia",NA,NA,NA,NA,"Berkeley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:54:03-03","EAO","IAN","46967","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Black, GA","6273",NA,"Estados Unidos",NA,NA,NA,"IAN046967","Monocotiledônea",NA,"L.","1935",NA,NA,"Califórnia","Riverside.",NA,NA,NA,"Riverside",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:54:03-03","EAO","IAN","56193","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Koeltz, W","4187","Asia-Tropical","Índia",NA,NA,NA,"IAN056193","Monocotiledônea",NA,"L.","1933","04","20",NA,"Bhadwar, Kangra, Punjab, alt. 2000 ft.",NA,NA,NA,NA,NA,NA,"Swallen, JR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:54:03-03","EAO","IAN","65007","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Kurtz, F","8458","Southern America","Argentina",NA,NA,NA,"IAN065007","Monocotiledônea",NA,"L.","1895","05","02",NA,"S. de S. Luiz, Baixo Velis.",NA,NA,NA,NA,NA,NA,"Chase, A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:54:03-03","EAO","IAN","66398","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","sc","2430",NA,"França",NA,NA,NA,"IAN066398","Monocotiledônea",NA,"L.",NA,NA,NA,"Gironda","Vordeaux.",NA,NA,NA,"Bordéus",NA,NA,"Black, GA","1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:54:03-03","EAO","IAN","69336","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Black, GA; Boelcke, O","11503","Southern America","Argentina",NA,NA,"Perene, em lugar baixo.","IAN069336","Monocotiledônea",NA,"L.","1951","03","14",NA,"Entre La Plata e S. Vicente del Tuyu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:54:03-03","EAO","IAN","83057","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Black, GA","15826",NA,"Estados Unidos",NA,NA,"In cold water, very verdant and luxuriant, presente also Lemna.","IAN083057","Monocotiledônea",NA,"L.","1952","09","16","Califórnia","Low creek and surrounding Hillside, Melrose and Sunset Vista.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:54:03-03","EAO","IAN","35789","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Santoro, J","7989","Southern America","Brasil",NA,NA,"Herbaceo.","IAN035789","Monocotiledônea",NA,"L.","1945","12","21","São Paulo","Campo Experimental Instituto.","-47.060001373291","-22.8999996185303",NA,"Campinas",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:54:03-03","EAO","IAN","66293","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Brade, AC","7823","Southern America","Brasil",NA,NA,NA,"IAN066293","Monocotiledônea",NA,"L.","1919",NA,NA,"São Paulo","Iguape; Boa Vista, Peronpavas.","-47.5499992370605","-24.7000007629395",NA,"Iguape",NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-02-27 21:09:35-03","PUCPR","HUCP","12995","S","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Silva, MB","002",NA,"Brasil",NA,NA,NA,"HUCP00006901","Monocotiledonea",NA,"Bittencourt","2001","04","04","Paraná","Parque Bacacheri","-49.2731018066406","-25.4277992248535","HUCP00006901","Curitiba",NA,NA,"Jaszczerski, JC",NA,"25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1521174","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Steinbach J",NA,"Southern America","Bolivia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1521174 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1521174",NA,"Poales","L.","1924","12","27",NA,"Prov. para, Depto Santa Cruz.",NA,NA,"NL-U1521174",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296318","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Pedersen TM",NA,"Southern America","Argentina",NA,NA,"low, occasionally flooded ground<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296318 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296318",NA,"Poales","L.","1968","02","07",NA,"Plantae Argentinenses. Estancia,,Las Tres Marias''. Dep. Empedrado. Prov. Corrientes.","-64.6875","-36.031332","NL-L1296318",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","-64.6875","-36.031332","L 0861992",NA,NA,NA,NA
"32","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296319","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Balansa B",NA,"Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296319",NA,"Poales","L.","1874","01","01","Montevideo",NA,"-56.166229","-34.878045","NL-L1296319",NA,NA,NA,"Sosef MSM; Koning J de","1984",NA,NA,"Magnoliopsidae","-56.166229","-34.878045","L 0861995","05","01",NA,NA
"33","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296321","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Pedersen TM",NA,"Southern America","Paraguay",NA,NA,"wet ground by a little stream<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296321",NA,"Poales","L.","1965","12","17",NA,NA,"-58.007812","-23.241346","NL-L1296321",NA,NA,NA,"Sosef MSM; Koning J de","1984",NA,NA,"Magnoliopsidae","-58.007812","-23.241346","L 0861993","05","01",NA,NA
"34","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296328","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Hitchcock AS",NA,"Southern America","Guyana",NA,NA,"in mud along ditch<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296328 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296328",NA,"Poales","L.","1919","10","29",NA,NA,"-58.166667","6.8","NL-L1296328",NA,NA,NA,"Sosef MSM; Koning J de","1984",NA,NA,"Magnoliopsidae","-58.166667","6.8","L 0862001","05","01",NA,NA
"35","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296329","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Smith HH",NA,"Southern America","Colombia",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296329 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296329",NA,"Poales","L.","1898","01","01",NA,NA,"-74.02999","5.031439","NL-L1296329",NA,NA,NA,"Sosef MSM; Koning J de","1984",NA,NA,"Magnoliopsidae","-74.02999","5.031439","L 0862002","05","01",NA,NA
"36","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296331","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Unknown",NA,"Southern America","Paraguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296331 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296331",NA,"Poales","L.","1913","01","01","Central","in regione lacus Ypacaray","-57.282715","-25.405446","NL-L1296331",NA,NA,NA,"Sosef MSM; Koning J de","1984",NA,NA,"Magnoliopsidae","-57.282715","-25.405446","L 0861998","05","01",NA,NA
"37","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296334","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Unknown",NA,"Southern America","Surinam",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296334 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296334",NA,"Poales","L.",NA,NA,NA,NA,NA,"-55.92041","4.127285","NL-L1296334",NA,NA,NA,"Sosef MSM; Koning J de","1984",NA,NA,"Magnoliopsidae","-55.92041","4.127285","L 0861997","05","01",NA,NA
"38","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1521170","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Ellenberg H",NA,"Southern America","Peru",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1521170 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1521170",NA,"Poales","L.","1957","02","27",NA,"Coastal desert of Central Peru, Lima, E border, gardeners place, Rossl.",NA,NA,"NL-U1521170",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"39","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1521172","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Wingfield RC",NA,"Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1521172 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1521172",NA,"Poales","L.","1978","04","18",NA,"Flora del Estado Falcon, A lo loargo de un arroyo(alcantarilla), Mucha.",NA,NA,"NL-U1521172",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"40","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1521173","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Wingfield RC",NA,"Southern America","Venezuela",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1521173 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1521173",NA,"Poales","L.","1978","08","15",NA,"Flora Del Estado Falcon.",NA,NA,"NL-U1521173",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"41","2020-02-08 10:19:22-03","NBC","NL-BOTANY","U.1521244","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Düsen P",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1521244 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1521244",NA,"Poales","L.","1911","12","01",NA,"Porto dom Pedro II, in litore mario.",NA,NA,"NL-U1521244",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"42","2020-02-08 10:19:22-03","NBC","NL-BOTANY","WAG.1394263","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Pedersen TM",NA,"Southern America","Argentina",NA,NA,"low, occasionally flooded ground<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1394263 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1394263",NA,"Poales","L.","1968","02","07",NA,"Plantae Argentinenses. Estancia,,Las Tres Marias''. Dep. Empedrado. Prov. Corrientes.","-64.6875","-36.031332","NL-WAG1394263",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","-64.6875","-36.031332",NA,NA,NA,NA,NA
"43","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296330","PreservedSpecimen","Plantae","Gramineae","Paspalum","distichum","Paspalum distichum","Parodi LR",NA,"Southern America","Argentina",NA,NA,"melos inundados<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296330 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296330",NA,"Poales","L.","1925","12","27","Buenos Aires","Banado de Flores","-58.392334","-34.60778","NL-L1296330",NA,NA,NA,"Sosef MSM; Koning J de","1984",NA,NA,"Magnoliopsidae","-58.392334","-34.60778","L 0862003","05","01",NA,NA
"44","2020-11-04 12:18:51-03","ESALQ","ESA","75917","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2116.0",NA,"Brasil",NA,NA,"Erva, frutos verdes. Interior de mata, beira do rio.","ESA075917","Magnoliophyta",NA,"L.","2001","04","11","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. Floresta ribeirinha altomontana com campo adjacente.","-46.44","-23.59","ESA075917","São Paulo","800","800","Gonçalves, A.P.S.","2002",NA,NA,NA,"-46.44","-23.59",NA,NA,NA,NA,NA
"45","2020-11-04 12:18:51-03","ESALQ","ESA","1371","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Santoro, J.",NA,NA,"Brasil",NA,NA,NA,"ESA001371","Magnoliophyta",NA,"L.","1945","12","21","São Paulo",NA,"-47.060001373291","-22.8999996185303","ESA001371","Campinas",NA,NA,NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-04 12:18:51-03","ESALQ","ESA","33136","PreservedSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Joaquim, G.O. et al.","44.0",NA,"Brasil",NA,NA,NA,"ESA033136","Magnoliophyta",NA,"L.","1996","09","07","São Paulo",NA,"-46.7799987792969","-24.1800003051758","ESA033136","Itanhaém",NA,NA,"Souza, V.C.",NA,"26998","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-11-19 10:24:56-03","CPAP","CPAP","2833","PreserverdSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Pott, A.","2468",NA,"Brasil",NA,NA,"Erva rizomatosa. FLOR: . FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: . AMBIENTE: Borda Umida De Aterro De Estrada, Limite Entre Alagado E Seco.. SUBSTRATO: solo arenoso (Podzol Hidromórfico). RELEVO: plano.",NA,NA,NA,"L.","1987","02","23","MS","Fazenda Lambari, Sub-região do Paiáguas, Pantanal - estrada MS-214","-55.066667","-18.066667",NA,"Coxim","168","168","A. Pott",NA,NA,NA,NA,"55°04' W","18°04' S",NA,NA,NA,NA,NA
"48","2020-11-19 10:24:56-03","CPAP","CPAP","4877","PreserverdSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Pott, A.","3693",NA,"Brasil",NA,NA,"Erva rizomatosa prostrada. FLOR: . FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Esparsa. AMBIENTE: Rudereto. SUBSTRATO: solo argiloso calcimórfico. RELEVO: plano deprimido.",NA,NA,NA,"L.","1987","10","22","MS","BR-262, Fazenda Acurizal; Sub-região do Nabileque; Pantanal - entre a sede e o curral","-57.166667","-19.633333",NA,"Corumbá","90","90",NA,NA,NA,NA,NA,"57°10' W","19°38' S",NA,NA,NA,NA,NA
"49","2020-11-19 10:24:56-03","CPAP","CPAP","9569","PreserverdSpecimen","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Pott, A.","6109",NA,"Brasil",NA,NA,"Erva prostrada estolonífera. FLOR: . FRUTO: . INTERESSE: Invasora. FREQUÊNCIA: Manchas dominantes. AMBIENTE: Viveiro florestal. SUBSTRATO: solo argiloso podzólico vermelho-amarelo. RELEVO: plano.",NA,NA,NA,"L.","1992","01","13","PR","Centro Nacional de Pesquisa de Florestas, Embrapa, Km 111 estrada da Ribeira","-49.233333","-25.333333",NA,"Colombo","920","920","A. Pott","1992",NA,NA,NA,"49°14' W","25°20' S",NA,"01",NA,NA,NA
"50","2019-02-15 11:48:15-02","IPA","IPA","26864","S","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Coradin, L.; Porzecanski, I.; Ataíde, M.; Porzecanski, I.; Ataíde, M.","2467","Southern America","Brasil",NA,NA,"Rasteiro. Folha, inflorescência. Independente. Forrageiro. Rara.","IPA0026864","Plantae",NA,"L.","1980","05","21","Pernambuco","BR-232, Caruaru - Arcoverde. Riacho dos Porcos, km 25. Caatinga. Roha Granítica.",NA,NA,NA,"São Caetano","560","560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2019-02-15 11:48:15-02","IPA","IPA","22510","S","Plantae","Poaceae","Paspalum","distichum","Paspalum distichum","Rocha, P.J. de; Rocha, A.; Rocha, A.","s.n.","Southern America","Brasil",NA,NA,NA,"IPA0022510","Plantae",NA,"L.","1970","05","26","Ceará",NA,"-37.7696990966797","-4.56166982650757",NA,"Aracati",NA,NA,NA,NA,"56389","auto",NA,NA,NA,NA,NA,NA,NA,NA
