"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","195547","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","W. L. Balée","992","1985","06","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00195547","Magnoliophyta","Malvales","(L.) Gaertn.","J. A. Kallunki","Maranhão","Basin of the Rio Turiaçu; Ka'apor Indian Reserve; within 7 km of the settlement of Urutawy","-45.938086","-3.166032","NY00195547_01",NA,NA,"Monção",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","867338","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","B. A. Krukoff","5763",NA,NA,NA,"South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987398' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867338","Magnoliophyta","Malvales","(L.) Gaertn.","A. C. Smith","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","867341","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","B. A. Krukoff","5648",NA,NA,NA,"South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987404' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867341","Magnoliophyta","Malvales","(L.) Gaertn.","A. C. Smith","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY00867341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","784838","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","B. J. Pickel","4006","1935","08","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784838","Magnoliophyta","Malvales","(L.) Gaertn.","P. C. Standley","Pernambuco","On roadsides, Recife.","-34.931635","-8.045763","NY00784838_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","867340","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","B. A. Krukoff","5648",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867340","Magnoliophyta","Malvales","(L.) Gaertn.","A. C. Smith","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY00867340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","01538950","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","W. Milliken","M819","1988","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1827769' target='other'> <mi>dwc_moreinfo</mi></a>","NY01538950","Magnoliophyta","Malvales","(L.) Gaertn.",NA,"Roraima","SEMA Ecological Reserve, Ilha de Maracá. Close to station.","-61.43","3.37","NY01538950_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1027177","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","B. A. Krukoff","5648",NA,NA,NA,"South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142055' target='other'> <mi>dwc_moreinfo</mi></a>","NY01027177","Magnoliophyta","Malvales","(L.) Gaertn.","A. C. Smith","Acre","Basin of Rio Purus, near mouth of Rio Macauhan, (tributary of the Rio Iaco).","-69","-9.33","NY01027177_01 NY01027177_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-27 05:34:00-03","NY","NYBG","784842","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","X. Cornejo","6078","1998","04","14","South America","Ecuador","sheet",NA,"Flor en Alcohol en GUAY <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=359405' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784842","Magnoliophyta","Malvales",NA,NA,"Guayas","Guayaquil, Cdla. La Pradera.","-79.53","-2.11",NA,"10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00996655","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","D. C. Daly","D398","1980","10","01","South America","Brazil","sheet",NA,"See fruit collection. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1115714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996655","Magnoliophyta","Malvales","(L.) Gaertn.","J. A. Kallunki","Maranhão","Road from São Luiz Gonzaga to Santo Antonio, 53 to 35 km from Bacabal.","-44.67","-4.32","NY00996655_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01538949","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","P. L. B. Lisboa","1541","1980","02","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1827768' target='other'> <mi>dwc_moreinfo</mi></a>","NY01538949","Magnoliophyta","Malvales","(L.) Gaertn.",NA,"Pará","Margem esquerda do Rio Tocantins, arredores da antigua estrada de ferro Tocantins.","-49.6725006103516","-3.76610994338989","NY01538949_01",NA,NA,"Tucuruí","59618","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-01-28 13:11:07-03","MCN-PUC-MINAS","HPUC-MG","XIL011","S","Plantae","Bombacaceae","Ceiba","pentandra","Ceiba pentandra",NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,"Doação SUDAM:não há dados sobre data e local da coleta, bem como coletor e identificador. Data de aquisição: Julho/83.",NA,NA,NA,NA,NA,NA,"Amazônia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-01-06 11:42:34-03","UFPI-MRV","HDELTA","6311","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Souza, A.S.; Andrade, I.M.","32","2019","08","13",NA,"Brasil",NA,NA,NA,"HDELTA006311",NA,NA,"(L.) Gaertn.","Souza, A.S.","Piauí","UFDPAR","-41.754167","-2.909722",NA,NA,NA,"Parnaíba",NA,NA,"2020","01","28","41º45'15,00''W","2º54'35,00''S",NA,NA,NA,NA,NA,NA
"23","2021-01-06 11:42:34-03","UFPI-MRV","HDELTA","4614","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Sousa, R.M.S.","103","2017","09","17",NA,"Brasil",NA,NA,"Material depositado em carpoteca n° 65 <ll>dwc_commonname:</ll> Algodoeiro","HDELTA004614",NA,NA,"(L.) Gaertn.","Sousa, R.M.S.","Piauí","UFPI","-41.7766990661621","-2.90472006797791",NA,NA,NA,"Parnaíba","25571","auto","2017","10","13",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-09-10 21:43:25-03","UNEMAT","TANG","3943","S","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Engels, ME; Aquino, LMS","46614661","2016","06","30",NA,"Brasil",NA,NA,NA,"TANG000003943",NA,NA,"(L.) Gaertn.","Engels, ME","Mato Grosso","Resgate da flora da UHE Colider","-55.217306","-10.954833",NA,"427","427","Itaúba",NA,NA,"2016","06","30","-55.217306","-10.954833",NA,NA,NA,NA,NA,NA
"25","2019-11-19 15:43:32-03","UNEB","HUNEB","12530","PreservedSpecimen","Plantae","Bombacaceae","Ceiba","pentandra","Ceiba pentandra","Silva-Lima, Ciro Samuel","363","2009","10","11",NA,"Brasil",NA,NA,"Serrana Estépica Arborizada.","HUNEB0012530","Angiospermae","Florideophycidae","(L.) Gaertn.",NA,"Bahia","Fazenda Bela Vista","-39.7372016906738","-12.1583003997803",NA,NA,NA,"Ipirá","44834","auto",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"26","2021-04-08 17:42:27-03","EAO","IAN","7136","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Soler, JG; Barros, FF; Melo, ATS de; Freitas, JC","s.n.","2002","11","09","Southern America","Brasil",NA,NA,"Árvore derrubada, 50m alt. x 119cm DAP; fuste de 35m; base com sapopemas ramificadas, 7m com presença de acúleos; ritidoma acinzentado, com estrias sem desprendimentos; casca morta 1mm espess., marrom escura; casca viva 1cm espess., pr","IAN007136","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Fazenda Arataú Km 206, Transamazônica.","-50.113222","-3.9305",NA,NA,NA,"Novo Repartimento",NA,NA,NA,NA,NA,"-50.113222","-3.9305",NA,NA,NA,NA,NA,NA
"27","2021-04-08 17:42:27-03","EAO","IAN","XILO7136X","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Soler, JG; Barros, FF; Melo, ATS de; Freitas, JC","s.n.","2002","11","09","Southern America","Brasil",NA,NA,"Árvore derrubada, 50m alt. x 119cm DAP; fuste de 35m; base com sapopemas ramificadas, 7m com presença de acúleos; ritidoma acinzentado, com estrias sem desprendimentos; casca morta 1mm, marrom escura; casca viva 1cm, presença de mar","IANXILO7136X","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Novo Repartimento, Fazenda Arataú Km 206 Transamazonica. Jurua Florestal","-50.113222","-3.9305",NA,NA,NA,"Novo Repartimento",NA,NA,NA,NA,NA,"-50.113222","-3.9305",NA,NA,NA,NA,NA,NA
"28","2021-04-08 17:42:27-03","EAO","IAN","XILO7136X","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Soler, JG; Barros, FF; Melo, ATS de; Freitas, JC","s.n.","2002","11","09","Southern America","Brasil",NA,NA,"Árvore derrubada, 50m alt. x 119cm DAP; fuste de 35m; base com sapopemas ramificadas, 7m com presença de acúleos; ritidoma acinzentado, com estrias sem desprendimentos; casca morta 1mm, marrom escura; casca viva 1cm, presença de mar","IANXILO7136X","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Novo Repartimento, Fazenda Arataú Km 206 Transamazonica. Jurua Florestal","-50.113222","-3.9305",NA,NA,NA,"Novo Repartimento",NA,NA,NA,NA,NA,"-50.113222","-3.9305",NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:43:47-03","EAO","IAN","104876","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Ducke, A","s.n.","1954","09",NA,"Southern America","Brasil",NA,NA,"Árvore de ramificação estritamente verticilada em forma de andares distantes; flores brancas com cálice escuro. Cultivado.","IAN104876","Dicotiledônea",NA,"(L.) Gaertn.","Santos, E","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1963","10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-08 17:42:27-03","EAO","IAN","7114","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Soler, JG; Aguiar, PH; Melo, ATS de; Freitas, JC","s.n.","2002","11","07","Southern America","Brasil",NA,NA,"Árvore, 40m alt.; base com sapopemas de 6m; ritidoma acinzentado, com desprendimento de pequenas placas cortantes; casca morta 2mm espess., marrom escura; casca viva 1,3cm espess., marrom avermelhada, presença de chamas marrom creme.","IAN007114","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Fazenda Arataú Km 206, Transamazônica.","-50.112389","-3.973028","IAN007114_f",NA,NA,"Novo Repartimento",NA,NA,NA,NA,NA,"-50.112389","-3.973028",NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:43:47-03","EAO","IAN","38298","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Kankantrie","51","1942","09",NA,"Southern America","Suriname",NA,NA,NA,"IAN038298","Dicotiledônea",NA,"(L.) Gaertn.",NA,NA,"Cultuurtuin. Koemaka (A. et K.)","-56.5","3.6","IAN038298 IAN038298_1 IAN038298_1e IAN038298_e",NA,NA,NA,NA,NA,NA,NA,NA,"-56.5","3.6",NA,NA,NA,NA,NA,NA
"32","2021-04-08 17:42:27-03","EAO","IAN","XILO7114X","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Soler, JG; Aguiar, PH; Melo, ATS de; Freitas, JC","s.n.","2002","11","07","Southern America","Brasil",NA,NA,"Árvore, 40m alt.; base com sapopemas de 6m; ritidoma acinzentado, com desprendimento de pequenas placas cortantes; casca morta 2mm, marrom escura; casca viva 1,3cm, marron avermelhada, presença de chamas marrom creme.","IANXILO7114X","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Novo Repartimento, Fazenda Arataú Km 206 Transamazonica. Jurua Florestal","-50.112389","-3.973028",NA,NA,NA,"Novo Repartimento",NA,NA,NA,NA,NA,"-50.112389","-3.973028",NA,NA,NA,NA,NA,NA
"33","2021-04-08 17:42:27-03","EAO","IAN","XILO7114X","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Soler, JG; Aguiar, PH; Melo, ATS de; Freitas, JC","s.n.","2002","11","07","Southern America","Brasil",NA,NA,"Árvore, 40m alt.; base com sapopemas de 6m; ritidoma acinzentado, com desprendimento de pequenas placas cortantes; casca morta 2mm, marrom escura; casca viva 1,3cm, marron avermelhada, presença de chamas marrom creme.","IANXILO7114X","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Novo Repartimento, Fazenda Arataú Km 206 Transamazonica. Jurua Florestal","-50.112389","-3.973028",NA,NA,NA,"Novo Repartimento",NA,NA,NA,NA,NA,"-50.112389","-3.973028",NA,NA,NA,NA,NA,NA
"34","2021-04-08 17:42:27-03","EAO","IAN","XILO5456X","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","sc","s.n.","1990","10","16","Southern America","Brasil",NA,NA,NA,"IANXILO5456X","Dicotiledônea",NA,"(L.) Gaertn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-04-08 17:42:27-03","EAO","IAN","XILO5456X","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","sc","s.n.","1990","10","16","Southern America","Brasil",NA,NA,NA,"IANXILO5456X","Dicotiledônea",NA,"(L.) Gaertn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-08 17:42:27-03","EAO","IAN","XILO5580X","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","sc","s.n.","1991","06","27","Southern America","Brasil",NA,NA,NA,"IANXILO5580X","Dicotiledônea",NA,"(L.) Gaertn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-08 17:42:27-03","EAO","IAN","XILO5580X","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","sc","s.n.","1991","06","27","Southern America","Brasil",NA,NA,NA,"IANXILO5580X","Dicotiledônea",NA,"(L.) Gaertn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-08 17:42:27-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Soler, JG; Aguiar, PH; Melo, ATS de; Freitas, JC","s.n.","2002","11","07","Southern America","Brasil",NA,NA,"Árvore, 40m alt.; base com sapopemas de 6m; ritidoma acinzentado, com desprendimento de pequenas placas cortantes; casca morta 2mm espess., marrom escura; casca viva 1,3cm espess., marrom avermelhada, presença de chamas marrom creme.",NA,"Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Fazenda Arataú Km 206, Transamazônica.","-50.112389","-3.973028",NA,NA,NA,"Novo Repartimento",NA,NA,NA,NA,NA,"-50.112389","-3.973028",NA,NA,NA,NA,NA,NA
"39","2021-04-08 17:42:27-03","EAO","IAN",NA,"PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Soler, JG; Barros, FF; Melo, ATS de; Freitas, JC","s.n.","2002","11","09","Southern America","Brasil",NA,NA,"Árvore derrubada, 50m alt. x 119cm DAP; fuste de 35m; base com sapopemas ramificadas, 7m com presença de acúleos; ritidoma acinzentado, com estrias sem desprendimentos; casca morta 1mm espess., marrom escura; casca viva 1cm espess., presença de marca",NA,"Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Fazenda Arataú Km 206, Transamazônica.","-50.113222","-3.9305",NA,NA,NA,"Novo Repartimento",NA,NA,NA,NA,NA,"-50.113222","-3.9305",NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:43:47-03","EAO","IAN","169505","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Cordeiro, MR","4643","1999","09","30","Southern America","Brasil",NA,NA,NA,"IAN169505","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Bosque Rodrigues Alves; terra firme. Inventário de 1998. Árvore B-3934.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"Belém","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:43:47-03","EAO","IAN","192989","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Tavares, WCT","01","2014","11","26","Southern America","Brasil",NA,NA,"Árvore de 45m, sapopemas tabulares, flor branca.","IAN192989","Dicotiledônea",NA,"(L.) Gaertn.","Cordeiro, MR","Pará","Horto de Plantas Medicinais da Embrapa Amazônia Oriental; terra firme, solo argiloso, mata secundária.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"Belém","48462","auto","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:43:47-03","EAO","IAN","126257","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Cavalcante, PB","280","1957","07","31","Southern America","Brasil",NA,NA,"Árvore gigantesca; flor brancacenta acetin.","IAN126257","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Hôrto do Museu Goeldi, árvore nº 461.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"Belém","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:43:47-03","EAO","IAN","145388","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Pires, JM","14932","1974","11","08","Southern America","Brasil",NA,NA,NA,"IAN145388","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","IPEAN. Amostra química nº 267.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"Belém","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:43:47-03","EAO","IAN","171739","PreservedSpecimen","Plantae","Malvaceae","Ceiba","pentandra","Ceiba pentandra","Rodrigues, IA","s.n.","1996","02","26","Southern America","Brasil",NA,NA,NA,"IAN171739","Dicotiledônea",NA,"(L.) Gaertn.",NA,"Pará","Santa Izabel","-48.5043983459473","-1.4558299779892",NA,NA,NA,"Belém","48462","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
