"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount","fieldNumber","class","relatedCatalogItem","sex"
"11","2020-04-27 16:08:55-03","UFES","VIES","33731","S","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","Couto, D.R.",NA,"Couto, D.R.; Pinto-Junior, H.","1383","2010","01","04",NA,"Brasil","Espírito Santo","Mimoso do Sul","Conceição do Muqui.","-41.3664016723633","-21.0641994476318","720","720",NA,NA,"VIES033731","VIES033731","2010","01","05","29430","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 09:29:40-03","UFRRJ","RBR","39423","S","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.",NA,NA,"I.G. Costa","501","2014","08","09",NA,"Brasil","Rio de Janeiro","Cardoso Moreira","Serra da Bandeira. Fazenda Santa Rita.","-41.540556","-21.560833","600","600",NA,NA,"RBR00039423",NA,NA,NA,NA,NA,NA,"41º32'26''W","21º33'39''S",NA,NA,NA,NA,NA
"13","2020-06-29 09:29:40-03","UFRRJ","RBR","44649","S","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","A.V.S. Couto",NA,"A.V.S. Couto","102","2010","04","10",NA,"Brasil","Rio de Janeiro","Mangaratiba","Ilha de Marambaia. Costão rochoso ao lado da praia da Gaeta.","-43.971944","-23.093056",NA,NA,NA,NA,"RBR00044649",NA,"2010","04","10",NA,NA,"43º58'19''W","23º5'35''S",NA,NA,NA,NA,NA
"14","2020-06-29 09:29:40-03","UFRRJ","RBR","44655","S","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","M.E.F. Pinto",NA,"M.E.F. Pinto; E.L. Jacques, S.A. Souza, E.C. Carvalho","10","2018","09","30",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande. Em costão rochoso entre as praias Santo Antônio e Lopes Mendes","-44.143889","-23.168333","10","10",NA,NA,"RBR00044655",NA,"2018","09","30",NA,NA,"44º8'38''W","23º10'6''S",NA,NA,NA,NA,NA
"15","2020-12-21 16:17:59-03","MBM","MBM","392624","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G. Schub.","Kollmann, L.",NA,"Kollmann, L.; Fontana, A.P.; Goldenberg, R.; Forzza, R.C.; Fontana, A.P.; Goldenberg, R.; Forzza, R.C.","11480","2009","01","19","Southern America","Brazil","Espírito Santo","Viana","São Paulo Viana, Arredores da REBIO, beira de estrada","-40.5375","-20.319167","507","507",NA,"Subarbustiva no sol, folha verde brilhosa na face adaxial, pedunculo vermelho,&nf;frutos verdes, flores branco-avermelhadas.; Floresta Ombrófila Densa Montana.","MBM392624","MBM392624","2009","01","19",NA,NA,"-40.5375","-20.319167",NA,NA,NA,NA,NA
"16","2020-12-21 16:17:59-03","MBM","MBM","173121","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G. Schub.","Jacques, E.L.",NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","6145","1994","12","04","Southern America","Brazil","Espírito Santo","Domingos Martins","Pedra Azul","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"MBM173121","MBM173121",NA,NA,NA,"48150","auto",NA,NA,NA,NA,NA,NA,NA
"17","2021-02-11 17:18:14-03","UFPR","UPCB","57449","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","Kollmann, L.",NA,"Labiak, P.H.","4210","2007","07","18",NA,"Brasil","Espírito Santo","Castelo","BLOQUEADO",NA,NA,"1400","1400",NA,"Rupícola, na beira da mata. Afloramentos rochosos, com matas úmidas nos vales. (Altitudes entre 1100-1700m).",NA,NA,"2007","07",NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA
"18","2018-01-20 12:08:00-02","MO","MOBOT","101023701","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","velata","Begonia velata","L.B. Sm. & B.G. Schub.","Peter Moonlight (E)",NA,"Eric F. Rodríguez Rodríguez|E. Alvítez I.|Sandra Arroyo A.","Rodríguez Rodríguez 2720","2005","5","11","South America","Peru","Cajamarca","San Miguel","Dtto. Agua Blanca, Caserio Agua Blanca, Bosque del Cerro Quillón.","-79.0694445","-7.0316667","3100.00000000","3300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"19","2018-08-24 04:36:00-03","MO","MOBOT","284588","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","velata","Begonia velata","L.B. Sm. & B.G. Schub.","N. Hensold (F)",NA,"Camilo Díaz S.|M. Severo Baldeón","Díaz Santibáñez 2880","1988","4","21","South America","Peru","Cajamarca","Cutervo","carretera entre Llama y Huambos. Tunaspampa.","-79.0905555","-6.5311111","2600.00000000","2900.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","88-22",NA,NA,NA
"20","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","42433",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L.Kollmann/18-01-2011",NA,"L. Kollmann; & D. Couto","12147","2011","01","18",NA,"Brasil","Espírito Santo","Dores do Rio Preto","beira do asfalto","-41.8452987670898","-20.6888999938965",NA,NA,NA,"Rupicola ao sol, flores brancas. VIDE ÁLCOOL","MBML042433","MBML042433_1 MBML042433_2",NA,NA,NA,"23972","auto",NA,NA,NA,NA,NA,NA,NA
"21","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","39502",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/19-01-2009",NA,"L. Kollmann","11480","2009","01","19",NA,"Brasil","Espírito Santo","Viana",NA,"-40.4961013793945","-20.3903007507324",NA,NA,NA,NA,"MBML039502","MBML039502",NA,NA,NA,"15195","auto",NA,NA,NA,NA,NA,NA,NA
"22","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","13622",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/27-10-2000",NA,"L. Kollmann; et al","3153","2000","10","12",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Rupícola na sombra. Pecíolo avermelhado. Folha verde. Frutos secos.","MBML013622","MBML013622",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"23","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","13624",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/27-10-2000",NA,"L. Kollmann; et al","3175","2000","10","12",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Rupícola no sol. Flores brancas.","MBML013624","MBML013624_1 MBML013624_2",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"24","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","18402",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/02-10-2002",NA,"L. Kollmann; et al","5737","2002","10","02",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Pedra do Garrafão","-40.924167","-20.176944",NA,NA,NA,"Terrestre na meia sombra. Frutos secos.","MBML018402","MBML018402_1 MBML018402_2",NA,NA,NA,NA,NA,"40W55'27","20S10'37",NA,NA,NA,NA,NA
"25","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","21419",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/Agosto-2003",NA,"J. Dalmaschio",NA,"2003","08",NA,NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Rupícola. No sol. Flores brancas.","MBML021419","MBML021419",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"26","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","22028",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/27-01-2004",NA,"L. Kollmann","6365","2004","01","27",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Rupicola no sol. Frutos avermelhados.","MBML022028","MBML022028_1 MBML022028_2",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"27","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","22552",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/2004",NA,"L. Kollmann; et al","6793","2004","07","08",NA,"Brasil","Espírito Santo","Mimoso do Sul","Conceição do Muqui, Pontões","-41.550556","-20.939444",NA,NA,NA,"Erva 1,5cm no sol. Rupícola, frutos secos.","MBML022552","MBML022552_1 MBML022552_2",NA,NA,NA,NA,NA,"41W33'2","20S56'22",NA,NA,NA,NA,NA
"28","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","25782",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/29-04-2006",NA,"L. Kollmann; et al","8914","2006","04","29",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Rupestre no sol. Frutos brancos. Pedúnculo e pecíolo vermelho.","MBML025782","MBML025782",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"29","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","26104",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/14-08-2006",NA,"L. Kollmann; et al","9125","2006","05","30",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Erva 2m. Flores brancas.","MBML026104","MBML026104",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"30","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","33333",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/Julho-2007",NA,"P. Labiak; et al","4210","2007","07","18",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.100556","-20.519167",NA,NA,NA,"Rupícola, na beira da mata.","MBML033333","MBML033333",NA,NA,NA,NA,NA,"41W6'2","20S31'9",NA,NA,NA,NA,NA
"31","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","35881",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/20-01-2008",NA,"L. Kollmann; A.P. Fontana, D.Couto, C. Fraga & M. Simonelli","10373","2008","01","20",NA,"Brasil","Espírito Santo","Alegre","Monte Cristo","-41.398611","-20.681111","500","500",NA,"Arbusto 3m, flores rosadas, folhas verdes.","MBML035881","MBML035881_1 MBML035881_2 MBML035881_3",NA,NA,NA,NA,NA,"41W23'55","20S40'52",NA,NA,NA,NA,NA
"32","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","36264",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/28-11-2008",NA,"P. Labiak; et al","4878","2008","07","20",NA,"Brasil","Espírito Santo","Castelo","Parque Estadual do Forno Grande","-41.120556","-20.524444",NA,NA,NA,NA,"MBML036264","MBML036264",NA,NA,NA,NA,NA,"41W7'14","20S31'28",NA,NA,NA,NA,NA
"33","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","36502",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/5-09-2008",NA,"L. Kollmann; A.P. Fontana, D. Couto & E.Leme","11182","2008","09","05",NA,"Brasil","Espírito Santo","Mimoso do Sul","Pontões","-41.550556","-20.939444","1200","1200",NA,"Erva rupícola no sol, frutos secos.","MBML036502","MBML036502",NA,NA,NA,NA,NA,"41W33'2","20S56'22",NA,NA,NA,NA,NA
"34","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","37815",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/5-6-2009",NA,"L. Kollmann; E.Leme & D.Couto","11647","2009","06","05",NA,"Brasil","Espírito Santo","Alegre","Pedra da Caveira da Anta","-41.389167","-20.6575","1200","1200",NA,"Rupícola ao sol, frutos secos.","MBML037815","MBML037815",NA,NA,NA,NA,NA,"41W23'21","20S39'27",NA,NA,NA,NA,NA
"35","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","42379",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","B.S. Gregório/27-11-2012",NA,"L. Kollmann; & D. Couto","12150","2011","01","18",NA,"Brasil","Espírito Santo","Divino de São Lourenço","Pedra Escorada","-41.765","-20.547778","900","900",NA,"Erva saxicola na meia sombra, frutos secos, folhas discolor.","MBML042379","MBML042379 MBML042379_1",NA,NA,NA,NA,NA,"41W45'54","20S32'52",NA,NA,NA,NA,NA
"36","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","42386",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L.Kollmann/17-01-2011",NA,"L. Kollmann","12133","2011","01","17",NA,"Brasil","Espírito Santo","Vargem Alta",NA,"-41.007222","-20.658611","650","650",NA,"Planta 1m ao sol, flores brancas, solo de quartze. VIDE ÁLCOOL","MBML042386","MBML042386_1 MBML042386_2 MBML042386_3",NA,NA,NA,NA,NA,"41W0'26","20S39'31",NA,NA,NA,NA,NA
"37","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","42387",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L.Kollmann",NA,"L. Kollmann; A.P.Fontana","12276","2011","04","21",NA,"Brasil","Espírito Santo","Vargem Alta","São José de Fruteiras, Alto Pombal","-40.979722","-20.594167",NA,NA,NA,"Morro de sal, rupicola ao sol, folhas verdes, margens vermelhas, inflorescencia vermelha, flores brancas, estames amarelos.","MBML042387","MBML042387",NA,NA,NA,NA,NA,"40W58'47","20S35'39",NA,NA,NA,NA,NA
"38","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","42388",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L.Kollmann",NA,"L. Kollmann; A.P.Fontana","12272","2011","04","20",NA,"Brasil","Espírito Santo","Vargem Alta",NA,"-40.994306","-20.453056",NA,NA,NA,"Morro de sal, subarbusto 1 m, folha adaxial verde avermelhadas, frutos secos.","MBML042388","MBML042388",NA,NA,NA,NA,NA,"40W59'39,5","20S27'11",NA,NA,NA,NA,NA
"39","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","49442",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/2015",NA,"D.R. Couto; F.C.Favoreto & M.Redling","497","2008","02","22",NA,"Brasil","Espírito Santo","Cachoeiro de Itapemirim","Burarama: Canta Galo","-41.385","-20.673889","791","791",NA,"Erva saxícola no sol, ca. 0,2m altura. Flores pequenas, brancas.","MBML049442","MBML049442",NA,NA,NA,NA,NA,"41W23'6","20S40'26",NA,NA,NA,NA,NA
"40","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","50550",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann",NA,"L. Kollmann; C. N. Fraga, R.Goldenberg, L. e D. Goldenberg","13170","2016","07","14",NA,"Brasil","Espírito Santo","Santa Maria de Jetibá","Garrafão, Pedra do Garrafão","-40.919722","-20.1775",NA,NA,NA,"Erva 1m, frutos secos","MBML050550",NA,NA,NA,NA,NA,NA,"40W55'11","20S10'39",NA,NA,NA,NA,NA
"41","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","29799",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/25-04-2007",NA,"L. Kollmann","9691","2007","04","25",NA,"Brasil","Espírito Santo","Atílio Vivácqua","Moitão","-41.209722","-21.340278",NA,NA,NA,"Planta 1,5m rupícola na meia sombra, infrutescência seca.","MBML029799","MBML029799_1 MBML029799_2",NA,NA,NA,NA,NA,"41W12'35","21S20'25",NA,NA,NA,NA,NA
"42","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","33288",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","R. Brito, 19/02/2007",NA,"M. Simonelli; F. A. R. Matos, L. F. Magnago","1132","2007","04","21",NA,"Brasil","Espírito Santo","Atílio Vivácqua","Serra das Torres","-41.209722","-21.340278","560","560",NA,"Rupicola ao sol, Frutos secos marrons","MBML033288","MBML033288",NA,NA,NA,NA,NA,"41W12'35","21S20'25",NA,NA,NA,NA,NA
"43","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","48054",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","D.R. Couto/05-01-2010",NA,"D.R. Couto; H. Pinto Jr.","1383","2010","01","05",NA,"Brasil","Espírito Santo","Mimoso do Sul","Conceição do Muqui, Pedra dos Pontões","-41.85","-21",NA,NA,NA,"Arbusto saxícolana meia sombra, flores alvescente-rósea","MBML048054","MBML048054_1 MBML048054_2",NA,NA,NA,NA,NA,"41W50'60","20S60'0",NA,NA,NA,NA,NA
"44","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","39492",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","D.R.Couto",NA,"D.R. Couto; F.C.Guerra Jr.","1024","2008","10","25",NA,"Brasil","Espírito Santo","Alegre","Pedra de Bons Ares","-41.5331001281738","-20.763599395752","150","150",NA,"Rupícola, flores brancas. Base da via Adrena Rocha.","MBML039492","MBML039492","2008","10","25","26101","auto",NA,NA,NA,NA,NA,NA,NA
"45","2020-07-10 09:43:51-03","MBML","MBML-HERBARIO","41040",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","curtii","Begonia curtii","L.B.Sm. & B.G.Schub.","L. Kollmann/20-12-2010",NA,"L. C. Bernacci; R. Tsuji","4444","2008","02","24",NA,"Brasil","Espírito Santo","Alfredo Chaves","Bairro rural São Bento, beira da estrada, em mata baixa (campo de cristais)","-40.749698638916","-20.6350002288818","600","600",NA,"Erva ca 7m alt., estípulas secas persistentes, folhas com nervuras vermelhas. Flores brancas, eixo da inflorescência avermelhada. Frutos imaturos","MBML041040","MBML041040_1 MBML041040_2",NA,NA,NA,"32447","auto",NA,NA,NA,NA,NA,NA,NA
"46","2020-09-02 18:20:49-03","MBML","MBML-HERBARIO","38988",NA,"Plantae",NA,NA,"Begoniaceae","Begonia","velata","Begonia velata","Brade",NA,"ISOTIPO","A. C. Brade","19783","1949","05","12",NA,"Brasil","Espírito Santo","Castelo","Forno Grande.","-41.083333","-20.516667","1200","1200",NA,"No lajão, fl. Alvascentes-rosea.","MBML038988","MBML038988",NA,NA,NA,NA,NA,"41W5'","20S31'",NA,NA,NA,NA,NA
"47","2020-09-12 05:00:02-03","US","US","3082684","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","curtii","Begonia curtii",NA,NA,NA,"D. Araujo, N. Maciel & A. Magnanini","4190","1980","12","4","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Ilhe grande, praia do leste",NA,NA,NA,NA,NA,NA,"US00323558","US00323558_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"48","2020-09-12 05:00:02-03","US","US","3082674","PreservedSpecimen","Plantae",NA,"Violales","Begoniaceae","Begonia","curtii","Begonia curtii",NA,NA,NA,"J. P. P. Carauta & H. Q. Boudet Fernandes","4513","1984","1","9","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Purciuacula, pedra da elefantina, boundary with minas gerais",NA,NA,NA,NA,NA,NA,"US00323557","US00323557_01",NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
