"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","individualCount","yearIdentified","class","fieldNumber","verbatimLongitude","verbatimLatitude","monthIdentified","typeStatus","relatedCatalogItem","dayIdentified"
"11","2020-12-11 11:40:11-03","UFMG","BHCB","49664","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-11 11:40:11-03","UFMG","BHCB","52617","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Kamino, LHY; França, GS; Stehmann, JR","17","2000","06","20","Southern America","Brasil","Minas Gerais","Camanducaia","Pinheirão.","-46.1446990966797","-22.7553005218506","22140",NA,"Herbáceo Mata",NA,NA,"auto",NA,"1700","1700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-11 17:21:13-03","UFPR","UPCB","36476","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Hatschbach, G.","68862","1998","11","20",NA,"Brasil","Paraná","Antonina","Reserva Biológica de Sapitanduva","-48.7118988037109","-25.4286003112793","38300",NA,"Erva carnosa, 50cm, floresta atlântica..",NA,NA,"auto","Silva, N.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2008-05-27 22:02:00-03","MO","MOBOT","3053529","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","José R. Pirani","Pirani 2904","1993","5","18","South America","Brazil","Rio de Janeiro",NA,"Mun. Resende, Estrada Resende-Formoso, a ca. 20 Km de Resende. Mata secundaria.",NA,NA,NA,NA,NA,NA,NA,NA,"R. Callejas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2011-06-27 08:43:00-03","MO","MOBOT","3053598","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","F. Sellow","Sellow s.n.","1814",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","3057575","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Gert G. Hatschbach","Hatschbach 46680","1983","8","3","South America","Brazil","Espírito Santo",NA,"Ibatiba, 22 km L.",NA,NA,NA,NA,NA,NA,NA,NA,"R. Callejas","1000.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2018-05-11 05:21:00-03","MO","MOBOT","100660920","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Renato de Mello-Silva|B.L. Stannard|E. M. Nic Lughadha|M.C. Assis|Ludovic Kollmann","Mello-Silva 1567","1999","2","13","South America","Brazil","Espírito Santo","Santa Teresa","Estação Biológica de São Lourenço (Caixa d'Água).","-40.6002998352051","-19.9356002807617","23813",NA,NA,NA,NA,"auto","A. Bornstein",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-08-31 09:13:53-03","INPA","INPA","124667","S","Plantae","Dicotyledon Magnoliids","Piperales","Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Hatschbach, GG","46680","1983","08","03","Southern America","Brasil","Espírito Santo",NA,"Ibatiba 22 Km L",NA,NA,NA,NA,NA,"INPA0124667","INPA0124667 INPA0124667_e",NA,"Callejas, R","1000","1000",NA,"1983",NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-01-25 13:36:34-02","CPQBA","CPMA","411","S","Plantae","Magnoliophyta","Piperales","Piperaceae¹","Piper","abutiloides","Piper abutiloides","Kunth","Ilio",NA,"1992","02","10",NA,"Brasil","São Paulo","Bragança Paulista","Farmaervas","-46.5400009155273","-22.9500007629395","17597",NA,"Localização: Bloco 1 Canteiro 6 Posição 5º;coleção",NA,NA,"auto",NA,NA,NA,NA,NA,"Magnoliopsida","UEC 127,122 - CPQBA","46º 32' 31","22º 57' 07",NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3034532","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","G. Hatschbach","46680","1983","8","3","South America - Neotropics","Brazil","Ibatiba",NA,"22 Km L",NA,NA,NA,NA,NA,"US01329830","US01329830_01",NA,NA,"1000",NA,"1",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA
"21","2020-09-12 05:00:02-03","US","US","3034533","PreservedSpecimen","Plantae",NA,"Piperales","Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","G. Hatschbach","46680","1983","8","3","South America - Neotropics","Brazil","Ibatiba",NA,"22 km L",NA,NA,NA,NA,NA,"US01329831","US01329831_01",NA,NA,"1000",NA,"1",NA,"Dicotyledonae",NA,NA,NA,NA,NA,NA,NA
"22","2020-09-02 16:35:47-03","Cenargen","CEN","51607","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","João Renato Stehmann","2578","1999","08","26",NA,"Brasil","MG","CAMANDUCAIA","Nascente do Canducaia, próximo Pedra São Domingos. Mata do Altair","-55.75","-22.75",NA,"Exsicatas","Subosque da floresta ombrófila densa. Doação Herbário do Departamento de Botânica - UFMG. Plantas do Brasil.","CEN00051607","CEN00051607 CEN00051607_1",NA,"M. Carvalho-Silva","1670","1670","1","2003",NA,NA,"-55.75","-22.75","07",NA,NA,NA
"23","2020-09-02 16:35:47-03","Cenargen","CEN","51609","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","L. H. Y. Kamino","20","2000","06","20",NA,"Brasil","MG","CAMANDUCAIA","Estrada para Gonçalves, Pinheirão.","-46.1446990966797","-22.7553005218506","22140","Exsicatas","Doação Herbário do Departamento de Botânica - UFMG.","CEN00051609","CEN00051609","auto","E. G. Gonçalves","1700","1700","1","2001",NA,NA,NA,NA,"06",NA,NA,NA
"24","2019-11-13 11:28:21-03","USP","SPF","150256","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Kamino, LHY","20","2000","06","20",NA,"Brasil","Minas Gerais","Camanducaia","Estrada Para Gonçalves, Pinheirão","-46.1446990966797","-22.7553005218506","22140",NA,NA,"SPF00150256","SPF00150256","auto","Gonçalves, EG","1700","1700",NA,"2001",NA,NA,NA,NA,"07",NA,NA,NA
"25","2021-03-25 13:53:11-03","UNIVILLE","JOI","1596","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Ana Lúcia Sagaz",NA,NA,NA,NA,NA,"Brasil","Santa Catarina","Itajaí",NA,"-48.6618995666504","-26.9078006744385","27253",NA,"Ano de coleta: 2002","JOI001596",NA,"auto","Cynthia H. Rinnert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-09-04 18:48:11-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Piperaceae","Piper","abutiloides","Piper abutiloides",NA,"F. Sellow",NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Type [status unknown]",NA,NA
"27","2020-07-23 12:18:05-03","CEPLAC","CEPEC","34278","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides",NA,"G. Hatschbach","46680","1983","08","03",NA,"Brasil","Espírito Santo","iuna","22Km a E de Ibatiba.","-41.5358009338379","-20.3458003997803","32198",NA,NA,NA,NA,"auto","R. Callejas",NA,NA,NA,NA,NA,NA,"0*0'0","0*0'0",NA,NA,"30/12/1983",NA
"28","2020-08-13 10:59:06-03","CEPLAC","CEPEC","146532","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides",NA,"D.Monteiro","185","2006","08","11",NA,"Brasil","Rio de Janeiro","ITATIAIA",NA,"-44.5633010864258","-22.4960994720459","19648",NA,"<ll>dwc_commonname:</ll>",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2017-09-11 16:28:10-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Piperaceae","Artanthe","abutiloides","Artanthe abutiloides","Miq.","Sellow, F","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,"Crescit in Brasilia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2014-09-23 11:02:08-03","G","G-DC","G00317393","S","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Sellow, F.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00317393",NA,NA,"CAT.HERB.PRODR.",NA,NA,NA,"2012",NA,NA,"-53.08972222","-10.77305556","01","ISOTYPUS of Piper abutiloides Kunth",NA,"01"
"31","2019-11-21 10:14:18-03","IBt","SP","50232","S","Plantae",NA,NA,"Piperaceae","Piper","abutiloides","Piper abutiloides","Kunth","Kuhlmann, M","1002","1943","08","28",NA,"Brasil","São Paulo","Amparo","Amparo-Monte Alegre, Fazenda Sta. Izabel.","-46.7599983215332","-22.7000007629395","18036",NA,NA,"SP011164","SP011164","auto","Yuncker, TG",NA,NA,NA,"1961",NA,NA,NA,NA,NA,NA,NA,NA
