"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","infraspecificEpithet","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","sex"
"11","2020-02-08 08:49:31-03","NBC","NL-BOTANY","U.1125564","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Irgang BE",NA,"Southern America","Brazil","Panambi-Granja, L.I. Doth.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1125564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1125564","NL-U1125564","1972","04","01",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:49:31-03","NBC","NL-BOTANY","U.1130653","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Pedersen TM",NA,"Southern America","Uruguay",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1130653 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1130653","NL-U1130653","1997","04","08","Artigas",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0085151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:49:31-03","NBC","NL-BOTANY","U.1130656","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Pedersen TM",NA,"Southern America","Argentina","Estancia 'Las Tres Marias'. Dep. Empedrado. Prov. Corrientes.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1130656 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1130656","NL-U1130656","1954","03","13",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 08:49:31-03","NBC","NL-BOTANY","L.3750249","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum crassipes",NA,NA,"Pedersen TM",NA,"Southern America","Brazil","Brasilienses, Rio Grande do Sul, mun Pelotas: about 25 km SW of Pelotas, on road to Jaquarao.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3750249 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3750249","NL-L3750249","1984","03","17",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"crassipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 08:49:31-03","NBC","NL-BOTANY","L.3750265","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum longicuneatum",NA,NA,"Pedersen TM",NA,"Southern America","Brazil","brasilienses, Rio Grande do Sul: Vacaria, Grassland.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3750265 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3750265","NL-L3750265","1984","03","12",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"longicuneatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 08:49:31-03","NBC","NL-BOTANY","L.3683186","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum minus",NA,NA,"Lorentz PG",NA,"Southern America","Uruguay","Flora Entreriana. Concepcion del Uruguay.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3683186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3683186","NL-L3683186","1877","06","01",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"minus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-01-24 13:06:29-03","MN","R","199988","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gyptis","vernoniopsis","Gyptis vernoniopsis","Sch. Bip.",NA,"Santos, F.A.M.","8",NA,"Brasil",NA,NA,NA,NA,NA,"2001","02","08","São Paulo","Estrela",NA,NA,"Esteves, R.L.",NA,NA,NA,NA,NA,"2002","05",NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-19 10:22:52-03","CPAP","CPAP","3104","PreserverdSpecimen","Plantae",NA,NA,"Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook & Arn.) R. M. King & H. Rob.",NA,"Pott, A.","2720",NA,"Brasil","Bandalta, propriedade do Sr. Alfredo Pinto de Arruda",NA,"Arbusto ramificado, 1,5m de altura. FLOR: branca. FRUTO: não visto. INTERESSE: Apícola. FREQUÊNCIA: . AMBIENTE: Pastagem cultivada em sucessao secundária para caapoeira. SUBSTRATO: solo pedregoso de minério de Fe. RELEVO: inclinado.",NA,NA,"1987","07","12","MS","Ladário","-57.566667","-19.133333","A. C. Fernandes","180","180",NA,NA,NA,"2010","12","57°34' W","19°08' S",NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:27:28-03","IAP","PACA-AGP","45818","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil","Morro da Polícia",NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA045818",NA,"1950","02","16","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","29946","auto",NA,NA,NA
"20","2019-08-27 13:27:28-03","IAP","PACA-AGP","109027","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"N. R. Bastos & A. Jasper",NA,NA,"Brasil","Praia de Itapeva",NA,"Habitat: em duna com vegetação arbustiva","PACA109027",NA,"1990","04","07","RS","Torres","-49.7268981933594","-29.3353004455566","N.R.Bastos & M.S.Marchioretto",NA,NA,"Magnoliatae",NA,NA,"1990","10",NA,NA,"19","20837","auto",NA,NA,NA
"21","2019-08-27 13:27:28-03","IAP","PACA-AGP","64197","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,NA,NA,NA,"sin.: Eupatorium longicuneatum e E. elipticum","PACA064197",NA,NA,NA,NA,NA,NA,NA,NA,"N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1978","04",NA,NA,"04",NA,NA,NA,NA,NA
"22","2019-08-27 13:27:28-03","IAP","PACA-AGP","61428","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"J. Pivetta","1153",NA,"Brasil","Dr. Pestana",NA,"sin.: Eupatorium bacleanum DC. Habitat: in campestribus Fenofase: flor","PACA061428",NA,"1956","02","16","RS","Ijuí","-53.9146995544434","-28.3878002166748","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","36807","auto",NA,NA,NA
"23","2019-08-27 13:27:28-03","IAP","PACA-AGP","28320","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil","ad fl. Uruguai",NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in campestribus dumetosis Fenofase: flor","PACA028320",NA,"1945","03",NA,"RS","Nonoai","-52.7714004516602","-27.3617000579834","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","35080","auto",NA,NA,NA
"24","2019-08-27 13:27:28-03","IAP","PACA-AGP","46589","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil","Itapoã",NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in arenosis siccis dumetosis Fenofase: flor","PACA046589",NA,"1950","04","03","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","29946","auto",NA,NA,NA
"25","2019-08-27 13:27:28-03","IAP","PACA-AGP","43473","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil","Vila Manresa",NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA043473",NA,"1949","09","20","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","29946","auto",NA,NA,NA
"26","2019-08-27 13:27:28-03","IAP","PACA-AGP","40524","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil","Vila Manresa",NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA040524",NA,"1949","03","14","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","29946","auto",NA,NA,NA
"27","2019-08-27 13:27:28-03","IAP","PACA-AGP","40516","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil","Vila Manresa",NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA040516",NA,"1949","03","15","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","29946","auto",NA,NA,NA
"28","2019-08-27 13:27:28-03","IAP","PACA-AGP","58721","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Camargo, O. R.","36",NA,"Brasil","Estação Exp. de Silvicultura",NA,"det. (emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in campestribus dumetosis Fenofase: flor","PACA058721",NA,"1956","02","28","RS","Santa Maria","-53.8069000244141","-29.6842002868652","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","37819","auto",NA,NA,NA
"29","2019-08-27 13:27:28-03","IAP","PACA-AGP","1624","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil",NA,NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in campestribus siccis dumetosis Fenofase: flor","PACA001624",NA,"1934","09","08","RS","São Leopoldo","-51.1472015380859","-29.7602996826172","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","10287","auto",NA,NA,NA
"30","2019-08-27 13:27:28-03","IAP","PACA-AGP","46333","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil","Cristo Rei",NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in arenosis siccis dumetosis Fenofase: flor","PACA046333",NA,"1950","03","17","RS","São Leopoldo","-51.1472015380859","-29.7602996826172","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","10287","auto",NA,NA,NA
"31","2019-08-27 13:27:28-03","IAP","PACA-AGP","40588","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Compositae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Rambo, B.",NA,NA,"Brasil","Sapucaia",NA,"det. (Emrich-Rambo 29061954): Eupatorium bacleanum DC. Habitat: in siccis dumetosis Fenofase: flor","PACA040588",NA,"1949","03","17","RS","São Leopoldo","-51.1472015380859","-29.7602996826172","N. I. Matzenbacher",NA,NA,"Magnoliatae",NA,NA,"1976","06",NA,NA,"14","10287","auto",NA,NA,NA
"32","2019-11-21 14:31:52-03","UFJF","CESJ","71278","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R. M. King & H. Rob.",NA,"J. Gaio; R, Keil","338","América do Sul","Brasil","Distrito de Criúva",NA,"Em campo nativo, em beira da estrada. Brácteas involucrais de ápice arredondado.","CESJ071278","CESJ071278_5","2013","04","13","Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","J. Gaio",NA,NA,NA,NA,NA,"2013","07",NA,NA,"02","49662","auto",NA,NA,NA
"33","2021-03-01 16:24:22-03","UNICAMP","UEC","55102","S","Plantae","Magnoliopsida",NA,"Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R.M.King & H.Rob.",NA,"Bueno, OL","11408",NA,"Brazil","Morro das Abertas, Serraria.",NA,"Erva com flor roxa-rosada e perfume nas folhas, muito numerosa e dispersa.; Em campo não mexido, no topo e na encosta, solo granito.","UEC123137","UEC123137","1980","03","26","Rio Grande do Sul","Porto Alegre","-51.2299995422363","-30.0331001281738","Esteves, RL",NA,NA,NA,NA,NA,"2002","07",NA,NA,"11","29946","auto",NA,NA,NA
"34","2021-03-01 16:24:22-03","UNICAMP","UEC","34760","S","Plantae","Magnoliopsida",NA,"Asteraceae","Gyptis","vernoniopsis","Gyptis vernoniopsis","(Sch.Bip. ex Baker) R.M.King & H.Rob.",NA,"Rocha, YV","15759",NA,"Brazil",NA,NA,"Flores lilás, ramos escuros.; Beira de estrada.","UEC123144","UEC123144","1984","03","07","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","Esteves, RL",NA,NA,NA,NA,NA,"2002","05",NA,NA,"10","27729","auto",NA,NA,NA
"35","2020-07-06 21:42:14-03","UFPB","JPB","24293","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Asteraceae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook & Arn.",NA,"Hoehne, W","JPB24293","Southern America","Brasil","Departamento Bo",NA,NA,NA,NA,"1946","03","27","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA
"36","2019-11-05 16:44:50-03","UFOP","OUPR","14315","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R.M.King & H.Rob.",NA,"Badini, J.","s.n.",NA,"Brasil","Barreira da BR-3, Serra de Itabirito",NA,"Campo. Subarbusto. Flores violáceas",NA,NA,NA,NA,NA,"Minas Gerais","Itabirito","-43.801399230957","-20.2532997131348","Morrone, O.; Zuloaga, F.O.",NA,NA,NA,NA,NA,"2011",NA,NA,NA,NA,"20553","auto",NA,NA,NA
"37","2019-11-05 16:44:50-03","UFOP","OUPR","14314","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R.M.King & H.Rob.",NA,"Badini, J.","s.n.",NA,"Brasil","Serra de Itabirito",NA,"Campo. Subarbusto. Flores violáceas",NA,NA,"1980","04","25","Minas Gerais","Itabirito","-43.801399230957","-20.2532997131348","Morrone, O.; Zuloaga, F.O.",NA,NA,NA,NA,NA,"2011",NA,NA,NA,NA,"20553","auto",NA,NA,NA
"38","2019-11-05 16:44:50-03","UFOP","OUPR","14313","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R.M.King & H.Rob.",NA,"Badini, J.","s.n.",NA,"Brasil","Três Moinhos",NA,"Campo. Arbusto. Flores violáceas",NA,NA,"1984","02","08","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","Morrone, O.; Zuloaga, F.O.",NA,NA,NA,NA,NA,"2011",NA,NA,NA,NA,"44599","auto",NA,NA,NA
"39","2019-01-17 11:24:25-02","PUCRS","MPUC","9839","S","Plantae",NA,"Asterales","Asteraceae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,NA,NA,"South America","Brasil","Parque Saint#?#Hilaire",NA,NA,NA,NA,"1995","05","20","RS","Viamão","-51.0155556","-30.2766667","C.S.A. Martins",NA,NA,"Magnoliopsida",NA,NA,NA,NA,"-51.0155556000","-30.2766667000",NA,NA,NA,"1",NA,NA
"40","2019-01-17 11:24:25-02","PUCRS","MPUC","5417","S","Plantae",NA,"Asterales","Asteraceae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,NA,NA,"South America","Brasil","Parque Saint#?#Hilaire",NA,NA,NA,NA,"1991","03","09","RS","Viamão","-51.0155556","-30.2766667",NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,"-51.0155556000","-30.2766667000",NA,NA,NA,"1",NA,NA
"41","2019-01-17 11:24:25-02","PUCRS","MPUC","189","S","Plantae",NA,"Asterales","Asteraceae","Eupatorium","lanigerum","Eupatorium lanigerum","Hook. & Arn.",NA,"Ir.Ludwig",NA,"South America","Brasil",".",NA,"Coletada nos campos, ao norte",NA,NA,"1944","02","27","RS","Carazinho","-52.7861111","-28.2841667","N.I. Matzenbacher",NA,NA,"Magnoliopsida",NA,NA,"1977","01","-52.7861111000","-28.2841667000","01",NA,NA,"1",NA,NA
"42","2019-01-17 11:24:29-02","PUCRS","MPUC","21874","S","Plantae",NA,"Asterales","Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R.M.King & H.Rob.",NA,NA,NA,"South America","Brasil","Morro do Osso",NA,"MO1P2",NA,NA,"2017","03","28","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","C. Vogel Ely",NA,NA,"Magnoliopsida",NA,NA,"2017","01",NA,NA,"01","29946","auto","1",NA,NA
"43","2019-01-17 11:24:29-02","PUCRS","MPUC","21875","S","Plantae",NA,"Asterales","Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R.M.King & H.Rob.",NA,NA,NA,"South America","Brasil","Morro do Osso",NA,"MO1P8",NA,NA,"2017","03","03","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","C. Vogel Ely",NA,NA,"Magnoliopsida",NA,NA,"2017","01",NA,NA,"01","29946","auto","1",NA,NA
"44","2021-03-16 17:50:50-03","UCS","HUCS","40545","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R. M. King & H. Rob.",NA,"Gaio, J.","338",NA,"Brasil","Distrito de Criúva",NA,"brácteas involucrais de ápice arrendondado; em campo nativo - em beira da estrada",NA,NA,"2013","04","13","Rio Grande do Sul","Caxias do Sul","-51.1794013977051","-29.1681003570557","Gaio, J.",NA,NA,NA,NA,NA,"2013","07",NA,NA,"02","49662","auto",NA,NA,NA
"45","2019-11-26 11:47:42-03","UFSM","SMDB","1218","S","Plantae",NA,NA,"Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R.M. King & H.Rob.",NA,"Alvarez, A.F.","s.n.",NA,"Brasil","Invernada do Frigorífico Armour",NA,NA,"SMDB001218",NA,"1976","03","30","Rio Grande do Sul","Livramento",NA,NA,"Christ, AL",NA,NA,NA,NA,NA,"2018","12",NA,NA,"03",NA,NA,NA,NA,NA
"46","2019-11-26 11:47:42-03","UFSM","SMDB","1426","S","Plantae",NA,NA,"Asteraceae","Gyptis","lanigera","Gyptis lanigera","(Hook. & Arn.) R.M. King & H.Rob.",NA,"Rau, G","s.n.",NA,"Brasil",NA,NA,NA,"SMDB001426",NA,"1940","03","19","Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","Christ, AL",NA,NA,NA,NA,NA,"2018","12",NA,NA,"03","37819","auto",NA,NA,NA
