"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","sex"
"11","2020-11-04 11:02:10-03","ESALQ","ESA","68295","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Franco, G.A.D.C.; Baptista, V.R.; Ferreira, L.; Cielo Filho, R.; Zidko, A.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3015.0","2000","04","25",NA,"Brasil","São Paulo","Salesópolis","Estrada intermediária, Parque Estadual da Serra do Mar, Km 45. Vegetação campo de altitude. Borda de mata","-454.156","-233.816",NA,NA,NA,"Árvore, ca. 6m alt., flor branca","ESA068295","ESA068295",NA,NA,NA,"-454,156","-233,816",NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:25:00-03","UNICAMP","UEC","163908","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Volet, DP","Meireles, LD; et al.","3172","2007","06","22",NA,"Brazil","Minas Gerais","Passa Quatro","Serra Fina. Capim Amarelo para Pedra da Mina.","-44.865333","-22.42375","2500","2547",NA,"Árvore, cc 5m, folhas prateadas discolores, flores alvas.; Mata nebular","UEC068451","UEC068451","2017","07",NA,"-44.865333","-22.42375",NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:25:00-03","UNICAMP","UEC","168220","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Volet, DP","Batista, TA; Naves, AR; Coelho, P","367","2011","06","18",NA,"Brazil","Minas Gerais","Itamonte","Hotel Casa Alpina Nos campos de altitude próximo da pista de voo.","-44.819306","-22.377472","2131","2131",NA,"Arvoreta com 1, 80 m de altura. Folhas discolores com face abaxial branca e pilosa. Peciolo também branco e carmursado. Flores com sépalas marrons e outras partes florais brancas. Ritidoma esbranquiçado com lenticelas, enrrugados e cic","UEC091058","UEC091058","2017","03",NA,"-44.819306","-22.377472",NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:25:00-03","UNICAMP","UEC","189076","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Monge, M","Silva, BG; Koch, I; Castello, ACD; Vidal Junior, JD","190","2015","01","06",NA,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.995833","-24.061389","800","800",NA,"Árvore, 6 m de altura e 7,6 cm de DAP; Floresta Ombrófila Densa","UEC119414","UEC119414","2015",NA,NA,"-47.995833","-24.061389",NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:25:00-03","UNICAMP","UEC","92577","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Ferretti, AR; Souza, VC; Vanini, A; Rodrigues, RR; Nave, AG; Peneireiro, FM; et al.","45","1996","12","13",NA,"Brazil","São Paulo","Cunha","Estação Experimental da Serra do Mar - Núcleo Cunha- Trilha da Pedreira.","-45.004722","-23.239444",NA,NA,NA,"Árvore de 5m; casca fina, lisa, com lenticela sem anéis.; Floresta Ombrófila Densa, veg. secundária (foi pastagem há 20 anos).","UEC130339","UEC130339",NA,NA,NA,"-45.004722","-23.239444",NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:25:00-03","UNICAMP","UEC","116515","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Stella, A","Oliveira, AA; Stella, A; Siqueira, LP; Muniz, MRA; Souza, PCA; Vaz Da Silva, PP","3685","2000","04","25",NA,"Brazil","São Paulo","Salesópolis","Estrada intermediária, parque estadual da Serra do Mar, km 45.","-45.683333","-23.633333","1060","1130",NA,"Árvore, 4m alt., flores brancas.; Floresta Ombrófila Densa com diferentes graus de degradação. Interior de mata.","UEC129056","UEC129056","2000","04",NA,"-45.683333","-23.633333",NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:25:00-03","UNICAMP","UEC","116389","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Volet, DP","Franco, G; et al.","3015","2000","04","25",NA,"Brazil","São Paulo","Salesópolis","Estrada intermediária. Parque Estadual da Serra do Mar, km 45","-45.699056","-45.393933","1150","1150",NA,"Árvore, ca. 6m alt., flor branca.; Floresta ombrófila densa com perturbação. Borda de mata","UEC113052","UEC113052","2017","03",NA,"-45.699056","-45.393933",NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:25:00-03","UNICAMP","UEC","89700","S","Plantae","Magnoliopsida",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Volet, DP","Baitello, JB","571","1994","03","30",NA,"Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar. Predeira e arredores.","-44.9599990844727","-23.0699996948242",NA,NA,NA,"Arbusto 2,5m de altura, folhas discolores, frutos.; Área do solo arenoso pedregoso, em alguns locais bastante úmido.","UEC113024","UEC113024","2016","08",NA,NA,NA,"38855","auto",NA,NA,NA,NA
"19","2019-11-08 08:50:01-03","FURB","FURB","54922","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Kassner-Filho, A.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","998","2017","09","11",NA,"Brasil","Santa Catarina","Major Gercino",NA,"-49.14","-27.4497222","708","708",NA,NA,"FURB54922","FURB54922","2017","09","11","-49.1400000","-27.4497222",NA,NA,NA,NA,NA,NA
"20","2019-11-08 08:50:01-03","FURB","FURB","55047","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Kassner-Filho, A.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","1179","2017","10","06",NA,"Brasil","Santa Catarina","Orleans",NA,"-49.4119444","-28.2597222","309","309",NA,NA,"FURB55047","FURB55047","2017","10","06","-49.4119444","-28.2597222",NA,NA,NA,NA,NA,NA
"21","2020-06-29 09:29:34-03","UFRRJ","RBR","46311","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","D.P. Volet","R. Marquete; N. Marquete, L.C.S. Giordano, M.C. Valente, J.C. Silva","3364","2002","08","24",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Pico da Caledônea, lado direito nos primeiros degraus para as Torres.","-42.585278","-22.352778","2159","2159",NA,NA,"RBR00046311","RBR00046311","2019","08",NA,"42º35'7''W","22º21'10''S",NA,NA,NA,NA,NA,NA
"22","2020-12-21 16:16:55-03","MBM","MBM","256049","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Matzenbacher, N.I.","Santos, E.P.","512","1998","09","04","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM256049","MBM256049",NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA
"23","2020-12-21 16:16:55-03","MBM","MBM","232770","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Santos, E.P.","Fernandes, H.M.; et al.; et al.","51","1997","10","15","Southern America","Brazil","Paraná","Guaratuba","Serra do Araçatuba, Morro dos Perdidos","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM232770","MBM232770",NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA
"24","2020-12-21 16:16:55-03","MBM","MBM","153484","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Hatschbach, G.","Poliquesi, C.B.; Cordeiro, J.; Cordeiro, J.","139","1992","08","17","Southern America","Brazil","Paraná","Quatro Barras","Rio Inhal","-49.0769004821777","-25.3656005859375",NA,NA,NA,NA,"MBM153484","MBM153484",NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA
"25","2020-12-21 16:16:55-03","MBM","MBM","116323","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Silva, S.M.; et al.; et al.","691","1986","07","20","Southern America","Brazil","Paraná","São Mateus do Sul","Fazenda do Durgo","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"MBM116323","MBM116323",NA,NA,NA,NA,NA,"31353","auto",NA,NA,NA,NA
"26","2020-12-21 16:16:55-03","MBM","MBM","116333","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Barroso, G.M.","Silva, S.M.; Britez, R.M.; Britez, R.M.","821","1986","10","15","Southern America","Brazil","Paraná","São Mateus do Sul","Fazenda do Durgo","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"MBM116333","MBM116333",NA,NA,NA,NA,NA,"31353","auto",NA,NA,NA,NA
"27","2020-12-21 16:16:55-03","MBM","MBM","191306","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Barroso, G.M.","Silva, S.M.; et al.; et al.","1000","1986","10","15","Southern America","Brazil","Paraná","São Mateus do Sul","Fazenda do Durgo","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"MBM191306",NA,NA,NA,NA,NA,NA,"31353","auto",NA,NA,NA,NA
"28","2020-12-21 16:16:55-03","MBM","MBM","382937","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Cordeiro, J.; Barboza, E.","Caxambu, M.G.","3504","2011","10","13","Southern America","Brazil","Paraná","Balsa Nova","Ponte dos Arcos","-49.807333","-25.549944","834","834",NA,"Árvore ca. 6m. Capítulos alvos.; Floresta Ombrófila Mista Montana. Relevo suave-ondulado.","MBM382937","MBM382937","2013",NA,NA,"-49.807333","-25.549944",NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:16:55-03","MBM","MBM","423712","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Kassner-Filho, A.","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.; Santos, D.; Bollmann, G.; Silva, D.A.","1179","2017","10","06","Southern America","Brazil","Santa Catarina","Orleans",NA,"-49.411944","-28.259722","309","309",NA,"Árvore.; Interior do fragmento.","MBM423712",NA,"2017","10","06","-49.411944","-28.259722",NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:16:55-03","MBM","MBM","173452","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Silva, S.M.; Britez, R.M.; Britez, R.M.","821","1986","10","15","Southern America","Brazil","Paraná","São Mateus do Sul","Fazenda do Durgo","-50.3828010559082","-25.8742008209229",NA,NA,NA,NA,"MBM173452",NA,NA,NA,NA,NA,NA,"31353","auto",NA,NA,NA,NA
"31","2015-10-04 07:05:40-03","MNHN","RECOLNAT_MNHN_P","P00683063","PreservedSpecimen",NA,NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Glaz.",NA,"Glaziou, A.",NA,"1887","1","20",NA,"Brésil",NA,NA,"Rio Janeiro, haut des Orgaos près du Roncho",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683063' target='other'> <mi>dwc_moreinfo</mi></a>","P00683063","P00683063_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","16211",NA
"32","2015-10-04 07:05:05-03","MNHN","RECOLNAT_MNHN_P","P00683064","PreservedSpecimen",NA,NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Glaz.",NA,"Glaziou, A.",NA,"1887","1","20",NA,"Brésil",NA,NA,"Rio Janeiro, haut des Orgaos près du Roncho",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683064' target='other'> <mi>dwc_moreinfo</mi></a>","P00683064","P00683064_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","16211",NA
"33","2015-10-05 23:25:34-03","MNHN","RECOLNAT_MNHN_P","P00683066","PreservedSpecimen",NA,NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Glaz.",NA,"Glaziou, A.",NA,"1887","1","20",NA,"Brésil",NA,NA,"Rio Janeiro, haut des Orgaos près du Roncho",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683066' target='other'> <mi>dwc_moreinfo</mi></a>","P00683066","P00683066_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype","16211",NA
"34","2020-12-11 11:33:23-03","UFMG","BHCB","147592","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Gasper, AL de; Oliveira Filho, AT de; Bueno, ML; Leal, BSS; Rezende, VL","2773","2011","03","21","Southern America","Brasil","Minas Gerais","Delfim Moreira","Trilha dos Romeiros, próximo a Mata do Barão, Floresta Atlântica","-45.328333","-22.58","1598","1598",NA,"beira da estrada arbórea, flor cor: botão floral",NA,NA,NA,NA,NA,"-45.328333","-22.58",NA,NA,NA,NA,NA,NA
"35","2020-12-11 11:33:23-03","UFMG","BHCB","27447","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Poliquesi, CB; Cordeiro, J","139","1992","08","17","Southern America","Brasil","Paraná","Quatro Barras","Rio Pinhal.","-49.0769004821777","-25.3656005859375",NA,NA,NA,"Mata degradada. Arbustivo, 1,8m. Anteras vinosas.",NA,NA,NA,NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA
"36","2020-12-11 11:33:23-03","UFMG","BHCB","61370","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"Fernandes, HM; Santos, EP; Massaroth, LFM; Fiorese, EF","51","1997","10","15","Southern America","Brasil","Paraná","Guaratuba","Serra de Araçatuba. Morro dos Perdidos.","-48.5746994018555","-25.8827991485596","1200","1200",NA,"Interior de mata nebular. Arbustivo, 2m. Folhas prateadas na face abaxial. Capítulos brancos.",NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA
"37","2015-04-16 21:38:00-03","MO","MOBOT","2458579","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera",NA,"A. Bresolin","Bresolin 965",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-06-15 15:28:53-03","UNESP-RC","HRCB","18397","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Monge, M.; Semir, J.","Kiyama, C.Y.","47","1994","09","04",NA,"Brasil","São Paulo","Salesópolis","Mata próxima à barragem do Rio Claro","-45.8400001525879","-23.5300006866455",NA,NA,NA,"Árvore, folhas discolores.",NA,NA,"2010",NA,NA,NA,NA,"18032","auto",NA,NA,NA,NA
"39","2020-06-15 15:28:53-03","UNESP-RC","HRCB","26426","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Semir, J.","Ferretti, A.","45","1996","12","13",NA,"Brasil","São Paulo","Cunha","Estação Experimental da Serra do Mar - Núcleo Cunha","-45.004722","-23.239444",NA,NA,NA,"Árvore de 5m, casca fina, lisa, com lenticelas em anéis.",NA,NA,"1998","05",NA,"45º00'17W","23º14'22S",NA,NA,NA,NA,NA,NA
"40","2020-06-15 15:28:53-03","UNESP-RC","HRCB","26588","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Dematteis, M.","Garcia, R.F.J.","1005","1996","12","19",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar","-46.752222","-23.986944",NA,NA,NA,"Árvore 4m altura, DAP 9cm, papus brancos.",NA,NA,"2007","07","10","46º45'08W","23º59'13S",NA,NA,NA,NA,NA,NA
"41","2020-06-15 15:28:52-03","UNESP-RC","HRCB","14955","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Ribeiro, J.E.L.S.","Moraes, P.L.R.","468","1991","07","29",NA,"Brasil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.9900016784668","-23.8700008392334","700","700",NA,"Árvore, 5m de altura, com flores com tépalas brancas, estiletes vinhos, estigma branco.",NA,NA,"1992","06","22",NA,NA,"27904","auto",NA,NA,NA,NA
"42","2020-06-15 15:28:52-03","UNESP-RC","HRCB","15147","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Ribeiro, J.E.L.S.","Moraes, P.L.R.","217","1990","07","27",NA,"Brasil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.9900016784668","-23.8700008392334","700","700",NA,"Árvore 7m de altura.",NA,NA,"1992","08","04",NA,NA,"27904","auto",NA,NA,NA,NA
"43","2020-06-15 15:28:53-03","UNESP-RC","HRCB","15151","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Monge, M.; Semir, J.","Moraes, P.L.R. de","285","1990","10","08",NA,"Brasil","São Paulo","São Miguel Arcanjo",NA,"-47.9900016784668","-23.8700008392334","700","700",NA,"Árvore - face adaxial da folha prateada.",NA,NA,"2010",NA,NA,NA,NA,"27904","auto",NA,NA,NA,NA
"44","2020-06-15 15:28:53-03","UNESP-RC","HRCB","39073","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Furlan, A.","Furlan, A.","741","1998","10","20",NA,"Brasil","São Paulo","São Paulo","Clube SESC Interlagos - Região Metropolitana de São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"1998","11",NA,NA,NA,"53584","auto",NA,NA,NA,NA
"45","2019-05-23 11:07:55-03","UFLA","ESAL","26940","S","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Meirelles, L","Batista, TA; Naves, AR; Coelho, P","367",NA,NA,NA,NA,"Brasil","Minas Gerais","Itamonte","Hotel casa alpina","-44.8699989318848","-22.283899307251","2","2",NA,"arvoreta; 1,80m; marrons e florais brancas;",NA,NA,NA,NA,NA,NA,NA,"26914","auto",NA,NA,NA,NA
"46","2021-01-26 14:12:26-03","CPACT","ECT","6596","PreservedSpecimen","Plantae","Embryophyta",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","D.P.Volet","R.Marquete; N.Marquete, L.C.S.Giordano, M.C.Valente, J.C.Silva","3364","2002","08","24",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Pico da Calendônea, lado direito nos primeiros degraus para as Torres.","-42.585278","-22.352778","2159","2159",NA,NA,"ECT0006596",NA,"2019","08","01","42º35'7''W","22º21'10''S",NA,NA,NA,NA,NA,NA
"47","2021-01-26 14:12:26-03","CPACT","ECT","6597","PreservedSpecimen","Plantae","Embryophyta",NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","D.P.Volet","G.Martinelli; et al.","13413","1989","07","01",NA,"Brasil","Rio de Janeiro","Santa Maria Madalena","Parque Estadual do Desengano. Pedra do Desengano, vertente NE, descida para a mata. Coordenadas geográficas obtidas secundariamente, com base nos dados de localidade.","-41.949722","-21.904722","374","374",NA,NA,"ECT0006597",NA,"2019","08","01","41º56'59''W","21º54'17''S",NA,NA,NA,NA,NA,NA
"48","2019-12-09 17:29:26-03","UFPR","EFC","12317","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Cordeiro, J.; Barboza, E.","Caxambu, M.G.; et al.","3504","2011","10","13",NA,"Brasil","Paraná","Balsa Nova","Ponte dos Arcos","-49.8071","-25.5527","830","830",NA,"Árvore ca. 6m. Capítulos alvos. Relevo: suave ondulado - 25 32 59,8 S - 49 48 26,4 W - Altitude: 834m HCF 9754 __COMMOM_NAME__: Vassourão","EFC012317",NA,"2013","01","01","-49.8071","-25.5527",NA,NA,NA,NA,NA,NA
"49","2021-03-25 13:51:42-03","UNIVILLE","JOI","17292","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Piptocarpha","organensis","Piptocarpha organensis","Cabrera","Kassner-Filho, A.","Kassner-Filho, A.; Santos, D.; Bollmann, G; Silva, D. A.","998","2017","09","11",NA,"Brasil","Santa Catarina","Major Gercino",NA,"-49.14","-27.449722","708","708",NA,"Habito: Árvore","JOI017292","JOI017292","2017","09","11","49º8'24''W","27º26'59''S",NA,NA,NA,NA,NA,NA
