"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","year","month","continentOcean","preparationType","barcode","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem"
"12","2020-09-12 05:00:02-03","US","US","762173","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","Gómez Hinostrosa, C.","J. N. Rose & P. G. Russell","Brazil","Bahia",NA,NA,NA,NA,NA,"1",NA,NA,"19819","1915","6","South America - Neotropics",NA,NA,NA,"8",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA
"13","2019-11-13 11:17:22-03","USP","SPF","80861","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) F.Ritter","Anônimo","Harley, RM","Brasil","Minas Gerais","Pedra Azul",NA,"-41.366667","-15.95",NA,NA,NA,NA,"25185","1988","10",NA,NA,"SPF00080861",NA,"18","650","650",NA,NA,"-41.366667","-15.95",NA,NA,NA
"14","2019-11-13 11:17:22-03","USP","SPF","80862","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) F.Ritter","Anônimo","Harley, RM","Brasil","Minas Gerais","Itaobim",NA,"-41.516667","-16.566667",NA,NA,NA,NA,"25531","1988","11",NA,NA,"SPF00080862",NA,"18","300","300",NA,NA,"-41.516667","-16.566667",NA,NA,NA
"15","2019-10-07 09:18:46-03","UEFS","HUEFS","107371","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter",NA,"Machado, M.","Brasil","Bahia","Itaberaba","ca. 17.5km a leste de Itaberaba contados a partir do entroncamento da rodovia BR-242 com a estrada para Ipirá, afloramento de granito ao sul da estrada","-40.116389","-12.520833",NA,NA,NA,NA,"781","2006","02",NA,NA,"HUEFS0107371","HUEFS0107371","05","240","240",NA,NA,"40W6'59''","12S31'15''",NA,"Caryophyllanae",NA
"16","2019-10-07 09:18:46-03","UEFS","HUEFS","114613","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","M.Machado","Cardoso, D.","Brasil","Bahia","Anguera","Morro da Fazenda Retiro.","-39.183889","-12.161667",NA,NA,"Fragmento de floresta estacional com afloramentos de quartzito.",NA,"1451","2006","11",NA,NA,"HUEFS0114613","HUEFS0114613","28","445","445","2008","06","39W11'2''","12S9'42''",NA,"Caryophyllanae",NA
"17","2019-10-07 09:18:46-03","UEFS","HUEFS","133512","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","M.Machado","Melo, E.","Brasil","Bahia","Feira de Santana","Fazenda da Chapada.","-39.082778","-12.256111",NA,NA,"Caatinga.",NA,"5428","2008","02",NA,NA,"HUEFS0133512","HUEFS0133512","16",NA,NA,"2010","11","39W4'58''","12S15'22''",NA,"Caryophyllanae",NA
"18","2019-10-07 09:18:46-03","UEFS","HUEFS","133540","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","M.Machado","Melo, E.","Brasil","Bahia","Feira de Santana","Fazenda da Chapada.","-39.082778","-12.256111",NA,NA,"Caatinga.",NA,"5456","2008","03",NA,NA,"HUEFS0133540","HUEFS0133540","15",NA,NA,"2010","12","39W4'58''","12S15'22''",NA,"Caryophyllanae",NA
"19","2019-10-07 09:18:46-03","UEFS","HUEFS","166845","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter",NA,"Machado, M.","Brasil","Bahia","Morro do Chapéu","Estrada para Ventura","-40.961389","-11.665278",NA,NA,"carrasco",NA,"1161","2008","10",NA,NA,"HUEFS0166845","HUEFS0166845","11","718","718",NA,NA,"40W57'41''","11S39'55''",NA,"Caryophyllanae",NA
"20","2019-10-07 09:18:46-03","UEFS","HUEFS","195649","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter",NA,"Queiroz, A.S.","Brasil","Bahia","Feira de Santana","Fazenda Cruzeiro do Mocó.","-39.045833","-12.222222",NA,NA,NA,NA,"14","2013","04",NA,NA,"HUEFS0195649","HUEFS0195649","09","191","191",NA,NA,"39W2'45''","12S13'20''",NA,"Caryophyllanae",NA
"21","2019-10-07 09:18:46-03","UEFS","HUEFS","195708","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter",NA,"Queiroz, A.S.","Brasil","Bahia","Feira de Santana","Fazenda Cruzeiro do Mocó.","-39.045556","-12.22",NA,NA,NA,NA,"73","2013","05",NA,NA,"HUEFS0195708","HUEFS0195708","28","185","185",NA,NA,"39W2'44''","12S13'12''",NA,"Caryophyllanae",NA
"22","2019-10-07 09:18:46-03","UEFS","HUEFS","59528","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","N.Taylor","Nascimento, J.G.A.do","Brasil","Bahia","Itiúba","Estrada para Filadélfia, entrocamento de Fechado, estrada de chão para o Sítio Flex.","-39.733333","-10.65",NA,NA,"Caatinga arbustiva densa.",NA,"102","2002","05",NA,NA,"HUEFS0059528","HUEFS0059528","11",NA,NA,"2002","08","39W44'","10S39'",NA,"Caryophyllanae",NA
"23","2019-10-07 09:18:46-03","UEFS","HUEFS","64103","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","M.V.Meiado","Jardim, J.G.","Brasil","Bahia","Morro do Chapéu","Cachoeira do Ferro Doido, Rod. BA - 052 Morro do Chapéu/Mundo Novo. ca. 12km E.","-40.999167","-11.624722",NA,NA,"Floresta estacional (ciliar).",NA,"4001","2002","09",NA,NA,"HUEFS0064103","HUEFS0064103","29","870","870","2010","11","40W59'57''","11S37'29''",NA,"Caryophyllanae",NA
"24","2019-10-07 09:18:46-03","UEFS","HUEFS","69713","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter",NA,"van den Berg, C.","Brasil","Bahia","Feira de Santana","Maria Quitéria Maria Quitéria, Serra de São José","-38.966667","-12.25",NA,NA,"Mata seca.",NA,"869","2001","11",NA,NA,"HUEFS0069713","HUEFS0069713","25",NA,NA,NA,NA,"38W58'","12S15'",NA,"Caryophyllanae",NA
"25","2019-10-07 09:18:46-03","UEFS","HUEFS","77733","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter","M.V.Meiado","Costa, J.","Brasil","Minas Gerais","Jacinto","Estrada Almenara-Jacinto, ca. 50 km de Almenara. Lado esquerdo da estrada.","-40.380833","-16.123611",NA,NA,"Mata seca. Solo com húmus. Coletado subbosque.",NA,"463","2004","01",NA,NA,"HUEFS0077733","HUEFS0077733","23","190","190","2010","11","40W22'51''","16S7'25''",NA,"Caryophyllanae",NA
"26","2019-10-07 09:18:46-03","UEFS","HUEFS","92013","PreservedSpecimen","Plantae","Angiospermae","Caryophyllales","Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis","(Britton & Rose) Ritter",NA,"Conceição, S.F.","Brasil","Bahia","Feira de Santana","Ipuaçu Distrito de Ipuaçu (João Durval).","-39.076389","-12.231667",NA,NA,NA,NA,"30","2004","09",NA,NA,"HUEFS0092013","HUEFS0092013","14","200","300",NA,NA,"39W4'35''","12S13'54''",NA,"Caryophyllanae",NA
"27","2020-07-23 12:01:23-03","CEPLAC","CEPEC","22818","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis",NA,"N. P. Taylor","A. M. de Carvalho","Brasil","Bahia","FEIRA DE SANTANA","Rod. Feira/Rio de Janeiro. Km 8. Marg. Do Rio Jacuipe.","-38.9667015075684","-12.2666997909546","46325",NA,NA,"auto","571","1981","02",NA,NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995"
"28","2020-07-23 12:01:23-03","CEPLAC","CEPEC","51207","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis",NA,"N. P. Taylor","N. P. Taylor","Brasil","Bahia","ITABERABA","21Km a SE Rui Barbosa. Rod. velha via Alagoas/Itaberaba.","-40.3069000244141","-12.5275001525879","39857",NA,NA,"auto","1579","1998","02",NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1991"
"29","2020-07-23 12:01:23-03","CEPLAC","CEPEC","56931","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis",NA,"M. Kimnach","A. M. Amorim","Brasil","Bahia","ITACARÉ","Entre a praia do Farol e a praia da Ribeira, prox. ao mar.","-38.9967002868652","-14.2775001525879","41230",NA,NA,"auto","963","1992","12",NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995"
"30","2020-07-23 12:01:23-03","CEPLAC","CEPEC","48801","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pseudoacanthocereus","brasiliensis","Pseudoacanthocereus brasiliensis",NA,"N. P. Taylor","U. Eggli","Brasil","Bahia","RUY BARBOSA","Ca. 7-8Km a SE cidade, limite com Itaberaba. Rod. velha p/ Alagoas.","-40.4939002990723","-12.2839002609253","68639",NA,NA,"auto","1265","1988","08",NA,NA,NA,NA,"23",NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1995"
