"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","locality","imagecode","continentOcean","verbatimLongitude","verbatimLatitude","typeStatus","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"11","2011-05-03 17:19:00-03","MO","MOBOT","993613","PreservedSpecimen","Plantae",NA,NA,NA,"Solanaceae","Petunia","humilis","Petunia humilis","R.E. Fr.",NA,NA,NA,NA,"Cornelius Osten",NA,NA,NA,"Uruguay",NA,NA,NA,NA,NA,NA,NA,NA,"Osten 3105",NA,NA,"South America",NA,NA,NA,"1",NA,NA
"12","2020-09-12 05:00:02-03","US","US","1800815","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Petunia","humilis","Petunia humilis","R.E. Fr.",NA,NA,NA,NA,"C. Osten","1918","10",NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,"US02847905",NA,"14299","Atahualpa.",NA,"South America",NA,NA,NA,"1",NA,NA
"13","2020-09-12 05:00:02-03","US","US","1800804","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Petunia","humilis","Petunia humilis","R.E. Fr.",NA,NA,NA,NA,"A. Lombardo","1937","10",NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,"US02847904",NA,"2189","Campos de Lecoq [interpreted].",NA,"South America",NA,NA,NA,"1",NA,NA
"14","2020-09-12 05:00:02-03","US","US","1858621","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Petunia","humilis","Petunia humilis","R.E. Fr.",NA,NA,NA,NA,"-. Gallinal, -- Aragone, -- Bergalli, -- Campal & Rosengurtt","1937","12",NA,"Uruguay","Florida",NA,NA,NA,NA,NA,"US02847903",NA,"PE-5716*","Depto. Florida, Timote, estancia Sta. Clara.","US02847903_01","South America",NA,NA,NA,"1",NA,NA
"15","2020-09-12 05:00:02-03","US","US","1800809","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Petunia","humilis","Petunia humilis","R.E. Fr.",NA,NA,NA,NA,"C. Osten","1894","9",NA,"Uruguay","Salto",NA,NA,NA,NA,NA,"US00067620",NA,"3105","Arapey.",NA,"South America",NA,NA,"Isotype","1",NA,NA
"16","2020-09-12 05:00:02-03","US","US","922236","PreservedSpecimen","Plantae",NA,"Dicotyledonae","Solanales","Solanaceae","Petunia","humilis","Petunia humilis","R.E. Fr.",NA,NA,NA,NA,"W. E. Safford","1886","10","24","Uruguay","Montevideo",NA,NA,NA,NA,NA,"US02847906",NA,"102","Pasture lands near Montevideo.",NA,"South America",NA,NA,NA,"1",NA,NA
"17","2019-09-05 16:20:19-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Solanaceae","Petunia","humilis","Petunia humilis",NA,NA,NA,NA,NA,"C. Osten",NA,NA,NA,"Uruguay",NA,NA,"-55.7933","-32.8667",NA,NA,NA,NA,"3105",NA,NA,"South America",NA,NA,"Type [status unknown]",NA,NA,NA
"18","2021-02-08 12:45:30-03","UFRGS","ICN","158364","S","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E. Fr.) Stehmann & Semir","Stehmann, JR","2015","07","22","C Turchetto; A Vaco; P Speranza","2008","11","19","Uruguai","Paysandú","Meseta de Artigas","-57.983611","-31.611667",NA,"Na beira do rio Uruguai.","ICN00033122",NA,"2",NA,NA,"América do Sul","-57.983611","-31.611667",NA,NA,NA,NA
"19","2021-02-08 12:45:30-03","UFRGS","ICN","158368","S","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E. Fr.) Stehmann & Semir","Stehmann, JR","2019","10","04","C Turchetto; A Vaco; P Speranza","2008","11","20","Uruguai","Tacuarembó",NA,"-56.202778","-31.648889",NA,"Na beira de estrada.","ICN00033339",NA,"6","Rota 31",NA,"América do Sul","-56.202778","-31.648889",NA,NA,NA,NA
"20","2021-02-08 12:45:30-03","UFRGS","ICN","165421","S","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E. Fr.) Stehmann & Semir","Stehmann, JR; Greppi, I","2008","02","05","Solis Neffa, V; Seijo, JG; Sperenza, PR","2007","11","15","Uruguai","Artigas","Artigas","-56.238889","-30.841944",NA,"doação do CTES; flores blancas con estrías violetas","ICN00033120",NA,"2183","ruta 30 puente sobre Arroyo Catalán Grande 30°50'31''S 56°14'20''W",NA,"América do Sul","-56.238889","-30.841944",NA,NA,"156","156"
"21","2021-02-08 12:45:30-03","UFRGS","ICN","165422","S","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E. Fr.) Stehmann & Semir","Stehmann, JR; Greppi, I","2008","02","05","Neffa, VS; Speranza, PR","2007","11","19","Uruguai","Rocha","Valizas","-54.182778","-34.455278",NA,"doação do CTES; flores rosadas","ICN00033119",NA,"2172","Camino desde ruta 9 a Valizas 34°27'19''S 54°10'58''W",NA,"América do Sul","-54.182778","-34.455278",NA,NA,"54","54"
"22","2021-02-08 12:45:30-03","UFRGS","ICN","129081","S","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E. Fr.) Stehmann & Semir","Stehmann, JR","2015","07","22","Vignoli-Silva, M; Mentz, LA","2002","01","13","Brasil","RS","Itaqui","-56.5531005859375","-29.1252994537354","99792","Erva, lenhosa na base, ramificada, flores rosadas.","ICN00033121","auto","38","BR 472 km 523 1 km antes da ponte do Rio Ibicuí",NA,"América do Sul",NA,NA,NA,NA,NA,NA
"23","2021-02-08 12:45:30-03","UFRGS","ICN","129079","S","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E. Fr.) Stehmann & Semir","Stehmann, JR","2015","07","22","Vignoli-Silva, M; Mentz, LA","2002","01","13","Brasil","RS","Itaqui","-56.5531005859375","-29.1252994537354","99792","Com flores brancas.; Erva reptante. com flores brancas.","ICN00033123","auto","36","BR 472 km 523 1 km antes da ponte do Rio Ibicuí",NA,"América do Sul",NA,NA,NA,NA,NA,NA
"24","2021-02-08 12:45:30-03","UFRGS","ICN","090283","S","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E. Fr.) Stehmann & Semir","Stehmann, JR","2004","03","25","Stehmann, JR","1984","09","28","Brasil","RS","Quaraí","-56.4514007568359","-30.3875007629395","74636","Tubo corola aberto, externamente branco, com venação vinácea marcada, internamente amarelado.","ICN00033117","auto","284",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA
"25","2021-02-08 12:45:30-03","UFRGS","ICN","090282","S","Plantae","Dicotyledon",NA,NA,"Solanaceae","Calibrachoa","humilis","Calibrachoa humilis","(R.E. Fr.) Stehmann & Semir","Stehmann, JR","2015","07","22","Sobral, M","1984","11","13","Brasil","RS","Uruguaiana","-57.0882987976074","-29.7546997070312","93142","Erva em beira de estrada; flores róseo-claras, rajadas em tons mais escuros.","ICN00033124","auto","3278","ponte sobre o rio Ibicuí próximo à divisa com Itaqui",NA,"América do Sul",NA,NA,NA,NA,NA,NA
"26","2019-11-28 09:18:41-03","IBt","SP","201557","S","Plantae",NA,NA,NA,"Solanaceae","Petunia","humilis","Petunia humilis","R.E.Fr.","Stehmann, JR","1993","11","12","Sobral, M","1984","11","13","Brasil","Rio Grande do Sul","Uruguaiana","-57.0882987976074","-29.7546997070312","93142",NA,"SP115700","auto","3278",NA,"SP115700",NA,NA,NA,NA,NA,NA,NA
