"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00919361","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","A. P. Duarte","8956","1965","09","20","South America","Brazil","Minas Gerais","Diamantina","Diamantina","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006008' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919361","NY00919361_01","J. W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00919360","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","H. S. Irwin","28734","1971","01","19","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, middle and upper slopes, south side of Serra da Piedade, ca. 5 km N. of Caeté","-43.67613","-19.82237","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006004' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919360","NY00919360_01","J. W. Grimes","1800","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00919362","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","E. Pereira","9206","1964","09","13","South America","Brazil","Minas Gerais",NA,"BR-3 km 432",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006010' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919362","NY00919362_01","H. S. Irwin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00919386","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","E. Pereira","9146","1964","09","12","South America","Brazil","Minas Gerais","Barbaçena","Barbacena, BR-3 km 270","-43.7733","-21.2258","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006014' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919386","NY00919386_01","J. W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00919363","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","E. Pereira","9206","1964","09","13","South America","Brazil","Minas Gerais",NA,"BR-3 km 432",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919363","NY00919363_01","J. W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","418833","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","A. C. Brade","13694","1934","06",NA,"South America","Brazil","Minas Gerais","Diamantina",NA,"-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418833","NY00418833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00919365","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","L. Emygdio de Mello Filho","3366","1972","07","15","South America","Brazil","Minas Gerais",NA,"Gandarela. A 8 km da subida p. Gandarela",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919365","NY00919365_01","J. W. Grimes","1040","1040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","418834","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","A. Gehrt","s.n.","1939","09","26","South America","Brazil","São Paulo","Sao Paulo","Sao Joao Climaco","-46.63","-23.5403","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405282' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418834","NY00418834_01","O. Handro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","00919387","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","W. R. Anderson","35680","1972","02","09","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, South-eastern drainage of Pico do Itambé, about 5 km directly west and north of Santo Antonio do Itambé","-43.351","-18.4489","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006016' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919387","NY00919387_01","J. W. Grimes","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1365020","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","Martii Herbar. Florae Brasil.","1097",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1637702' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365020","NY01365020_01",NA,NA,NA,"isolectotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00919389","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","H. E. Strang","704","1966","09","04","South America","Brazil","Minas Gerais",NA,"Ouro Preto, nascentes do rio das Velhas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919389","NY00919389_01","J. W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00919385","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","E. Pereira","9969","1965","09","20","South America","Brazil","Minas Gerais","Diamantina","Diamantina","-43.6003","-18.2494","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006013' target='other'> <mi>dwc_moreinfo</mi></a>","NY00919385","NY00919385_01","J. W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","2387","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","P. Clausen","815",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002387","NY00002387_01",NA,NA,NA,"isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","418835","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","G. Schüch","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=405287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00418835","NY00418835_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-02-18 09:29:44-03","UNESP-IBB","BOTU","33728","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. Ex Benth.","Gissi, D.S.","463","2019","05","07",NA,"Brasil","São Paulo","Botucatu","Fazenda Terras de Duaty rod. Prof. João Hipólito Martins, km 13, ao lado do rio Pardo","-48.495556","-22.971111",NA,NA,"BOTU033728",NA,"Gissi, D.S.",NA,NA,NA,"2019","05","48°29'44w","22°58'16s",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-06-29 11:30:33-03","UFRJ","RFA","5098","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","M. Magalhães","10179","1957","09","14",NA,"Brasil","Minas Gerais","Barbacena","Ibertioga","-43.7736015319824","-21.2257995605469",NA,"Arbusto alto, 1 a 3m, flor rósea","RFA25484",NA,NA,NA,NA,NA,NA,NA,NA,NA,"27982","auto",NA,NA,NA,NA,NA,NA,NA
"27","2020-11-24 17:10:42-03","UTFPR","DVPR","3767","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","Siqueira, EL; et al.","873","2013","10","19",NA,"Brasil","Bahia","Encruzilhada","Fazenda Nossa Senhora Aparecida.","-40.59177","-15.39221",NA,"arvoreta heliófita ca. 3 m. Folhas e raque pilosos. Frutos pilosos de cor castanha.; Relevo:suave-ondulado","DVPR003767",NA,"Cordeiro, J","896","896",NA,"2015",NA,"-40.59177","-15.39221",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-02-08 21:32:17-03","UFBA","ALCB","11435","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","s.col.","PHs/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Do Rio, São Paulo, Minas, Paraná",NA,NA,NA,NA,"ALCB015863","ALCB015863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 21:32:17-03","UFBA","ALCB","11436","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","s.col.","PHs/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Do Sul do Brasil e particularmente do Rio",NA,NA,NA,NA,"ALCB015864","ALCB015864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 09:10:06-03","NBC","NL-BOTANY","U 0270291","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","vulpina","Inga vulpina","Mart. ex Benth.","Lindeman JC; Haas JH de",NA,"1966","08","12","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200270291 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0270291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw13632",NA,NA,NA,NA,NA
"31","2020-02-08 09:10:06-03","NBC","NL-BOTANY","U.1306269","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","vulpina","Inga vulpina","Mart. ex Benth.","Lindeman JC; Haas JH de",NA,"1966","08","12","Southern America","Brazil","Paraná",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1306269 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1306269","NL-U1306269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0083344",NA,NA,NA,NA,NA
"32","2020-11-04 11:09:43-03","ESALQ","ESA","75248","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","64.0","2001","04","11",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. Floresta ribeirinha altomontana com campo adjacente.","-467.333",NA,NA,"Árvore, 5m alt. Próximo ao curso d'água.","ESA075248","ESA075248",NA,"800","800",NA,NA,NA,"-467,333","-23,983,333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:09:43-03","ESALQ","ESA","75172","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","Farah, F.T.; Aguiar, S.; Breier, T.B.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","2189.0","2001","04","13",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Floresta ribeirinha ao longo do Rio Mambu.","-467.753",NA,NA,"Arbusto, ca. 3m alt. Frutos castanhos.","ESA075172","ESA075172",NA,"750","750",NA,NA,NA,"-467,753","-23,989,083",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:09:43-03","ESALQ","ESA","114846","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","vulpina","Inga vulpina",NA,"Moreira, C.",NA,"2002","07","05",NA,"Brasil","São Paulo","Pedra Bela",NA,"-46.439998626709","-22.7900009155273",NA,NA,"ESA114846","ESA114846","Colletta, G.D.",NA,NA,NA,"2014","11",NA,NA,"10848","auto",NA,NA,"07",NA,NA,NA,NA
"35","2020-11-04 10:55:48-03","ESALQ","ESA","132869","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth","Colletta, G.D.; Golinelli, L; Golineli, R","2012.0","2014","11","01",NA,"Brasil","São Paulo","Torrinha","Trilha dentro da mata, proximo à cachoeira do Cidão Menegão","-48.1599998474121","-22.4200000762939",NA,"Árvore, 6m, frutos imaturos verdes, tricomas ferrugíneos (Foto e Sílica).","ESA132869",NA,"Colletta, G.D",NA,NA,NA,"2014","11",NA,NA,"16860","auto",NA,NA,"01",NA,NA,NA,NA
"36","2020-11-04 11:09:43-03","ESALQ","ESA","75261","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart. ex Benth.","Meireles, L.D.; Gonçalves, A.P.S.; Soares Jr., F.J.; Meneghetti, G.I.P.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Gandolfi, S.; Souza, J.P.; Ivanauskas, N.M.; Furlan, E.","78.0","2001","04","11",NA,"Brasil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha do Campo. Floresta ribeirinha altomontana com campo adjacente.","-467.333",NA,NA,"Arvoreta, 1,5m alt. Borda de mata.","ESA075261","ESA075261",NA,"800","800",NA,NA,NA,"-467,333","-23,983,333",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:09:43-03","ESALQ","ESA","111895","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","vulpina","Inga vulpina",NA,"Krieger, L.","9100.0","1970","09","07",NA,"Brasil","Minas Gerais","Entre Rios de Minas",NA,"-44.065601348877","-20.6707992553711",NA,NA,"ESA111895","ESA111895","Fernandes, J.M.",NA,NA,NA,"2010","04",NA,NA,"20620","auto",NA,NA,"29",NA,NA,NA,NA
"38","2021-01-14 15:29:34-03","MN","R","34361","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","guilleminiana","Inga guilleminiana","Benth","Mello Barreto, H.L.","9091","1937","08","10",NA,"Brasil","Minas Gerais","Ouro Preto","Morro de Santana","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Hoehne, F.C.",NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"39","2021-01-14 15:29:35-03","MN","R","148387","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","Irwin, H.S.; et al.","28734","1971","01","19",NA,"Brasil","Minas Gerais","Serra do Espinhaço","Margem sul da Serra da Piedade",NA,NA,NA,NA,NA,NA,"J. Grimes",NA,NA,NA,"1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-01-14 15:29:35-03","MN","R","170747","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","Mello Filho, L.E.; et al.","3366","1972","07","15",NA,"Brasil","Minas Gerais","Gandarela","1040 m. s.m.",NA,NA,NA,NA,NA,NA,"F. C. P. Garcia",NA,NA,NA,"1999","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-01-14 15:29:35-03","MN","R","187065","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","Duarte, L.","2401","1965","02","09",NA,"Brasil","Minas Gerais","Gandarela",NA,NA,NA,NA,"Arvoreta + ou - 3m. alt.",NA,NA,"R. L. Esteves",NA,NA,NA,"1996","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-01-14 15:29:35-03","MN","R","5830","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","Schwacke, C.A.W.","s.n.","1887","09","02",NA,"Brasil","Minas Gerais","Serra de Itabira do Campo",NA,NA,NA,NA,NA,NA,NA,"F. C. P. Garcia",NA,NA,NA,"1999","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-01-14 15:29:35-03","MN","R","5832","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","Strechiavaleta","s.n.","1889","09",NA,NA,"Brasil","Minas Gerais","Itabira do Campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-01-14 15:29:35-03","MN","R","5833","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","?","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-01-14 15:29:35-03","MN","R","6685","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","?","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,"Herbário H. Barbosa n. 1149.",NA,NA,"Ducke, W.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-01-14 15:29:35-03","MN","R","6686","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","?","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Rodrigo Silva","Perto de Ouro Preto",NA,NA,NA,"Herbário H. Barbosa n. 1152.",NA,NA,"Ducke, W.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-01-15 14:42:18-03","MN","R","5831","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","Regnell, A.F.","I - 98",NA,NA,NA,NA,"Brasil","Minas Gerais","Caldas",NA,"-46.386100769043","-21.9235992431641",NA,"Ex. herb. Brasil.Regnellian Musei bot Stockholm.",NA,NA,"F. C. P. Garcia",NA,NA,NA,"1999","08",NA,NA,"25710","auto",NA,NA,NA,NA,NA,NA,NA
"48","2021-01-14 15:29:35-03","MN","R","6663","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","vulpina","Inga vulpina","Mart.","?","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,"Herbário H. Barbosa n. 1150.",NA,NA,"F. C. P. Garcia",NA,NA,NA,"1999","08",NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
