"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","year","month","stateProvince","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","locality","class","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"17","2020-06-29 09:30:41-03","UFRRJ","RBR","27995","S","Plantae",NA,NA,"Leguminosae","Muellera","filipes","Muellera filipes","(Benth.) M.J. Silva & A.M.G. Azevedo","H.C. Lima","H.C. Lima","5952",NA,"Brasil",NA,NA,"RBR00027995","RBR00027995","2001","11","Rio de Janeiro","16","Nova Iguaçu","-43.451099395752","-22.7591991424561","25743","auto","Estrada do Ouro, Boa Esperança, estrada para represa.",NA,"2015","09","16","130","130",NA,NA,NA,NA,NA
"18","2020-06-29 09:30:41-03","UFRRJ","RBR","43479","S","Plantae",NA,NA,"Leguminosae","Muellera","filipes","Muellera filipes","(Benth.) M.J. Silva & A.M.G. Azevedo","T.P.P. Alverga","L.H. Soares",NA,NA,"Brasil",NA,NA,"RBR00043479",NA,"2013","11","Rio de Janeiro","05","Rio de Janeiro","-43.262778","-22.930278",NA,NA,"Nova Divinéia. Inventário complementar 46/P84.",NA,NA,NA,NA,NA,NA,"43º15'46''W","22º55'49''S",NA,NA,NA
"19","2020-12-21 16:26:53-03","MBM","MBM","159640","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.","G.P. Lewis","Ratter, J.A.; et al.; et al.","5945","Southern America","Brazil",NA,NA,"MBM159640","MBM159640",NA,NA,"Mato Grosso do Sul",NA,"Corumbá","-57.6533012390137","-19.0091991424561","295160","auto","Seção Mutum, Fazenda Acurizal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-10-26 15:08:46-02","MNHN","RECOLNAT_MNHN_P","P02089021","PreservedSpecimen",NA,NA,NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","Da Silva","Glaziou, A.",NA,NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02089021' target='other'> <mi>dwc_moreinfo</mi></a>","P02089021","P02089021_01","1879","2",NA,"3",NA,NA,NA,NA,NA,"Rio de Janeiro, Mendanha près de Campo Grande",NA,NA,NA,NA,NA,NA,NA,NA,"11900",NA,NA
"21","2015-09-04 02:29:23-03","MNHN","RECOLNAT_MNHN_P","P02780015","PreservedSpecimen",NA,NA,NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","Shimizu","Nadeaud, J.",NA,NA,"Brasil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02780015' target='other'> <mi>dwc_moreinfo</mi></a>","P02780015","P02780015_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brésil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:36:07-03","UFMG","BHCB","136636","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.",NA,"Lima, MPM","220B","Southern America","Brasil",NA,"Indivíduo P14-0132. Arvore. Caule rugoso. Frutos verdes, com 1 a poucas sementes, 2 epicarpo com nervura formando reticulado laxo. DAP 14. Altura: 11 m.",NA,NA,"1992","03","Rio de Janeiro","17","Guapimirim","-42.833333","-22.433333",NA,NA,"Estação Ecológica Estadual de Paraíso., Parcela 14 - Morro das mariquitas. Área FP14D.",NA,NA,NA,NA,NA,NA,"-42.833333","-22.433333",NA,NA,NA
"23","2012-07-30 08:38:00-03","MO","MOBOT","100503295","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J. Silva & A.M.G. Azevedo",NA,"J.B.E. Pohl","Pohl s.n.","South America","Brazil",NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Rio de Janeiro.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lectotype","1"
"24","2013-09-05 18:17:00-03","MO","MOBOT","1591316","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J. Silva & A.M.G. Azevedo","Marcos J. da Silva","M. Prescott|S. Groves-Raines|E. J. Watkiss","Prescott 153","South America","Bolivia",NA,NA,NA,NA,"1989","8","Pando","22",NA,"-69.3333333","-11.2",NA,NA,NA,NA,NA,NA,NA,"280.00000000",NA,NA,NA,NA,NA,"1"
"25","2019-11-13 11:22:31-03","USP","SPF","192832","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.","Anônimo","Lima, MPM","220B",NA,"Brasil",NA,NA,"SPF00192832",NA,"1992","03","Rio de Janeiro","17","Guapimirim","-42.833333","-22.433333",NA,NA,"Estação Ecológica Estadual do Paraíso",NA,NA,NA,NA,NA,NA,"-42.833333","-22.433333",NA,NA,NA
"26","2019-01-25 15:40:53-02","IAC","IAC","41538","S","Plantae",NA,NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.","M.J. Silva","J.E.A. Bertoni & A. Geremias","439",NA,"Brasil",NA,"Procedência: Horto Florestal de SP.",NA,NA,"2001","02","São Paulo","05","Campinas","-47.086761","-22.863721",NA,NA,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra do Café, L3, P31",NA,"2007","04","03",NA,NA,"-47.086761","-22.863721",NA,NA,NA
"27","2019-01-25 15:40:53-02","IAC","IAC","42658","S","Plantae",NA,NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.","M.J. Silva","J.E.A. Bertoni & A. Geremias","796",NA,"Brasil",NA,"Procedência: Jardim Botânico - Rio de Janeiro",NA,NA,"2002","10","São Paulo","10","Campinas","-47.086761","-22.863721",NA,NA,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra do Café, L10 - P4",NA,"2006","08","03",NA,NA,"-47.086761","-22.863721",NA,NA,NA
"28","2019-01-25 15:40:53-02","IAC","IAC","42664","S","Plantae",NA,NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.","M.J. Silva","Luzia F. Silva & A. Geremias","790",NA,"Brasil",NA,"Procedência: Horto Florestal - São Paulo - SP.",NA,NA,"2002","10","São Paulo","03","Campinas","-47.086761","-22.863721",NA,NA,"IAC, Fazenda Santa Elisa, Monjolinho, Quadra do Café, L2 - P31",NA,"2007","04","03",NA,NA,"-47.086761","-22.863721",NA,NA,NA
"29","2019-01-25 15:40:53-02","IAC","IAC","54897","S","Plantae",NA,NA,"Fabaceae","Lonchocarpus","filipes","Lonchocarpus filipes","Benth.","J.E.A. Bertoni & A. Geremias","J.E.A. Bertoni & A. Geremias","866",NA,"Brasil",NA,"Procedência: Jardim Botânico Rio de Janeiro;&nf;Q. café 10-4",NA,NA,"2004","05","São Paulo","31","Campinas","-47.077171","-22.870251",NA,NA,"IAC, Fazenda Santa Elisa",NA,"2004","05","31",NA,NA,"-47.077171","-22.870251",NA,NA,NA
"30","2019-01-25 15:41:03-02","IAC","IAC","15397","S","Plantae",NA,NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","M.J. Silva","B.J. Pickel","2895",NA,"Brasil",NA,"Plantas recebidas do Serviço Florestal do Estado",NA,NA,"1948","11","São Paulo","22",NA,NA,NA,NA,NA,NA,NA,"2010","09","16",NA,NA,NA,NA,NA,NA,NA
"31","2019-01-25 15:41:03-02","IAC","IAC","40545","S","Plantae",NA,NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","M.J. Silva","J.E.A. Bertoni & A. Geremias","348",NA,"Brasil",NA,"Procedência: Horto Florestal de SP. &nf;Quadra do Café, L2 - P31",NA,NA,"2000","10","São Paulo","23","Campinas","-47.086761","-22.863721",NA,NA,"IAC, Fazenda Santa Elisa, Monjolinho",NA,"2010","07","19",NA,NA,"-47.086761","-22.863721",NA,NA,NA
"32","2019-01-25 15:41:03-02","IAC","IAC","41407","S","Plantae",NA,NA,"Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","M.J. Silva","J.E.A. Bertoni & A. Geremias","365",NA,"Brasil",NA,"Procedência: Jardim Botânico - RJ.&nf;Quadra do Café, L10, P4",NA,NA,"2000","10","São Paulo","27","Campinas","-47.086761","-22.863721",NA,NA,"IAC, Fazenda Santa Elisa, Monjolinho",NA,"2010","07","19",NA,NA,"-47.086761","-22.863721",NA,NA,NA
"33","2021-03-04 15:43:22-03","IF","SPSF","21416","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes",NA,NA,"G. Hatschbach","63138","América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"1995","08","BA","18","Conde","-37.6105995178223","-11.8135995864868","31737","auto","beira de lagoa","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-04 15:43:22-03","IF","SPSF","30966","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes",NA,NA,"G. Hatschbach","73094","América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: proximo de Guaicurus, pantanal&nf;;",NA,NA,"2002","05","ES","17","Iuna","-41.5358009338379","-20.3458003997803","32198","auto","rodovia BR-262","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-04 15:43:22-03","IF","SPSF","48146","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes","Eyma","D.A.Folli","D.A.Folli","5409","América do Sul","Brasil",NA,"COLETA: Arbóreo; botão marrom; flor marrom; exsudação branca-latex; descamação ausente; forma do fuste: achatado; superfície da casca: áspera; altura total: 12m; altura do fuste: 6m; cap fuste: 75cm; diâmetro da copa: 6m&nf;Bapeba preta&nf;1 duplicata; GEOGR",NA,NA,"1994","05","ES","03","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Reserva Natural Vale, Aceiro João Pedro","Magnoliopsida","2006","11","28",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-04 15:43:22-03","IF","SPSF","48147","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes","Eyma","A.L.Peixoto","D.A.Folli","2960","América do Sul","Brasil",NA,"COLETA: Arbóreo; fruto maduro amarelo; fruto imaturo verde; exsudação branca-seiva; metros: 18400; forma do fuste: achatado; superfície da casca: áspera; altura total: 25m; altura do fuste: 15m; cap fuste: 181cm; diâmetro da copa: 10m&nf;Bapeba ferro&nf;1 du",NA,NA,"1997","03","ES","13","Linhares","-40.0722007751465","-19.3910999298096","48094","auto","Reserva Natural Vale, Aceiro João Pedro","Magnoliopsida","1998","01","08",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-04 15:43:22-03","IF","SPSF","35433","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes",NA,NA,"G. Hatschbach & M.Hatschbach & E.Barbosa","76579","América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: área periodicamente inundável&nf;;",NA,NA,"2003","10","MS","21","Porto Murtinho","-57.8824996948242","-21.6989002227783","185577","auto","roldovia BR-267","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-04 15:43:22-03","IF","SPSF","02895","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes",NA,"M.J.Silva","D.Bento Pickel",NA,"América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"1946","12","SP","19","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Horto Florestal","Magnoliopsida","2010","07","19",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-04 15:43:22-03","IF","SPSF","02132","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes",NA,"M.J.Silva","D.Bento Pickel",NA,"América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"1945","05","SP","14","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Horto Florestal","Magnoliopsida","2010","07","19",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-04 15:43:22-03","IF","SPSF","01372","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes",NA,"M.J.Silva","D.Bento Pickel",NA,"América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"1945","01","SP","12","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Horto Florestal","Magnoliopsida","2010","07","19",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-04 15:43:22-03","IF","SPSF","00339","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes",NA,"M.J.Silva","D.Bento Pickel",NA,"América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"1943","07","SP","19","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Horto Florestal","Magnoliopsida","2010","07","19",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-04 15:43:22-03","IF","SPSF","07493","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","L.P. de Queiroz","M.Koscinski",NA,"América do Sul","Brasil",NA,NA,NA,NA,"1944","11","SP","10","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Vila Amália","Magnoliopsida","1998","10","10",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-04 15:43:22-03","IF","SPSF","07420","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","L.P. de Queiroz","M.Gonzaga",NA,"América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: Quadra 10, fila 09;",NA,NA,NA,NA,"SP",NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Vila Amália","Magnoliopsida","1998","10","10",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-04 15:43:22-03","IF","SPSF","05832","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Muellera","filipes","Muellera filipes","(Benth.) M.J.Silva & A.M.G.Azevedo","L.P. de Queiroz","O.T. Aguiar",NA,"América do Sul","Brasil",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"1979","11","SP","16","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Vila Amália","Magnoliopsida","1998","10","10",NA,NA,NA,NA,NA,NA,NA
