"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","class","dayIdentified","fieldNumber","individualCount","typeStatus"
"11","2021-03-30 12:34:43-03","EAO","IAN","73479","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Eupatorium","barbacense","Eupatorium barbacense","Hieron.",NA,"Schenck","3327",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN073479",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:10:11-03","UFBA","ALCB","106684","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron) R.M.King & H.Rob.","Quaresma, AS","Romero, R; Castro, DG; Simão, DG; Sampaio, DS; Rezende, AR","8505","2011","05","19","Southern America","Brasil","Minas Gerais","Diamantina","Parque Estadual do Biribiri. Ponto 8","-43.550833","-18.1675",NA,"ca. 1m, brácteas involucrais verdes com ápice vináceo, corola e ramos do estilete vináceo.",NA,NA,NA,NA,"-43.550833","-18.1675",NA,NA,"2013","04",NA,NA,NA,NA,NA
"13","2019-10-09 11:10:11-03","UFBA","ALCB","106715","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron) R.M.King & H.Rob.","Quaresma, AS","Quaresma, AS; Andrino, CO; Costa, IM; Tannure, MP; Franco, IM","107","2010","05","13","Southern America","Brasil","Minas Gerais","Gouveia","Estrada para Barão de Guaicuí","-43.709722","-18.373889",NA,"ca 1,4 m. Flores lilases.",NA,NA,"1438","1438","-43.709722","-18.373889",NA,NA,"2013","04",NA,NA,NA,NA,NA
"14","2019-10-09 11:10:11-03","UFBA","ALCB","107958","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron) R.M.King & H.Rob.","Quaresma, AS","Franco, IM; Andrino, CO; Costa, FN; Araújo, MI; Tannure, MP","187","2010","04","08","Southern America","Brasil","Minas Gerais","Serro","Estrada em direção à Capivari","-43.463889","-18.483611",NA,"em afloramento rochoso, com ca. 80 cm. Brácteas involucrais verdes com ápice vináceo. Flores branca azuladas.; solo pedregoso.",NA,NA,"187","187","-43.463889","-18.483611",NA,NA,"2010","04",NA,NA,NA,NA,NA
"15","2019-10-09 11:10:11-03","UFBA","ALCB","107959","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron) R.M.King & H.Rob.",NA,"Quaresma, AS; Cota, MMT; Franco, IM; Araújo, MI; Costa, FN","101","2010","04","23","Southern America","Brasil","Minas Gerais","Serro","Subida para o Pico do Itambé a partir de Capivari","-43.376667","-18.395",NA,"ca. 90 cm. Brácteas involucrais com ápice vináceo, corola e estigma lilás.",NA,NA,"18223","18223","-43.376667","-18.395",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-02-08 08:49:25-03","NBC","NL-BOTANY","U.1125718","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Eupatorium","barbacense","Eupatorium barbacense","Hieron.",NA,"Mexia YEJ",NA,"1931","04","30","Southern America","Brazil",NA,NA,"State of Minas Geraes, Diamantina, Chacara das Bicas.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1125718 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1125718","NL-U1125718",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-11-04 11:01:26-03","ESALQ","ESA","120496","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M. King & H. Rob.","Contro, F.L.","Delfini, C.","61.0","2012","05","01",NA,"Brasil","Minas Gerais","Ritápolis","Estrada para Ritápolis, no entroncamento para a entrada da cidade.","-44.3231","-21.043",NA,"Erva, ca. 1m alt., capítulos roxos.","ESA120496","ESA120496",NA,NA,"-44.3231","-21.043",NA,NA,"2015","05",NA,"25",NA,NA,NA
"18","2020-11-04 11:01:26-03","ESALQ","ESA","105902","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis",NA,"Borges, R.","Borges, R.A.X.","155.0","2006","07","01",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA105902","ESA105902",NA,NA,NA,NA,"30417","auto","2007",NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:01:26-03","ESALQ","ESA","19874","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis",NA,"Fernandes, A.C.","Barreto, K.D.; Fernandes, G.D.; Vitti, F.X.","2140.0","1994","03","09",NA,"Brasil","São Paulo","Cabreúva","Jacaré. 23o14'13,6S, 47o02'34,1W. Cerrado.","-47.1300010681152","-23.2999992370605",NA,"Subarbusto, 1 m alt.; flores lilases.","ESA019874","ESA019874",NA,NA,NA,NA,"16877","auto",NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:01:26-03","ESALQ","ESA","105897","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis",NA,"Borges, R.A.X.","Forzza, R.C.","3544.0","2004","07","26",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA105897","ESA105897",NA,NA,NA,NA,"30417","auto","2006","11",NA,"14",NA,NA,NA
"21","2020-11-04 11:01:26-03","ESALQ","ESA","105892","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis",NA,"Borges, R.A.X.","Forzza, R.C.","3471.0","2004","07","25",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA105892","ESA105892",NA,NA,NA,NA,"30417","auto","2006","11",NA,"14",NA,NA,NA
"22","2020-12-20 21:15:45-03","UFV","VIC","26544","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"Almeida, G.S.S.; Custódio, J.","756","2007","07","18",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do calais","-43.5080986022949","-20.2875003814697",NA,"Subarbusto de 1,0 m, brácteas involucrais glabras ápice ciliado, vináceo, flores liláses, papilho creme.","VIC026544",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-20 21:15:45-03","UFV","VIC","26547","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"Almeida, G.S.S.; et al.","733","2007","06","27",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do morro do cachorro","-43.5080986022949","-20.2875003814697",NA,"Subarbusto de 0,8 m, floração passada, papilho de cerdas creme.","VIC026547",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-12-20 21:15:45-03","UFV","VIC","26546","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"Almeida, G.S.S.; Custódio, J.","43","2005","08","22",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha da lagoa seca","-43.5080986022949","-20.2875003814697",NA,"Subarbusto de 1,2 m, brácteas involucrais glabras ápice ciliado, vináceo, flores liláses, papilho creme.","VIC026546",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-12-20 21:15:45-03","UFV","VIC","26545","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"Almeida, G.S.S.; Custódio, J.","392","2006","05","29",NA,"Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha do morro do cachorro","-43.5080986022949","-20.2875003814697",NA,"Subarbusto de 1,2 m, brácteas involucrais glabras ápice ciliado, vináceo, flores liláses, papilho creme.","VIC026545",NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-20 21:15:45-03","UFV","VIC","10056","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.",NA,"Silveira, F.A. da","88","1987","04","08",NA,"Brasil","Minas Gerais","Paraopeba","EFLEX","-44.4042015075684","-19.2744007110596",NA,"Erva a arbusto, c.a. de 2,0 metros de altura. Caule piloso, marrom-avermelhado. Folhas enrrugadas, glabras e brilhantes. Inflorescências brancas.","VIC010056","VIC010056",NA,NA,NA,NA,"26090","auto",NA,NA,NA,NA,NA,NA,NA
"27","2020-12-20 21:15:45-03","UFV","VIC","10070","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Leitão Filho, H.F.","Silveira, F.A. da","99","1987","05","07",NA,"Brasil","Minas Gerais","Paraopeba","EFLEX","-44.4042015075684","-19.2744007110596",NA,"Planta herbácea, c.a. de 80 cm de altura. Flores brancas.","VIC010070","VIC010070",NA,NA,NA,NA,"26090","auto","1988","05",NA,NA,NA,NA,NA
"28","2020-12-20 21:15:45-03","UFV","VIC","20643","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Meira Neto, J.A.A.","Valente, G.E.; Meira Neto, J.A.A.","917","2002","04","07",NA,"Brasil","Minas Gerais","Paraopeba","FLONA de Paraopeba, Cerrado stricto sensu aberto. Solo seco.","-44.4042015075684","-19.2744007110596",NA,"Arbusto, c.a. de 2,0 metros de altura, crescendo a pleno sol.","VIC020643","VIC020643",NA,NA,NA,NA,"26090","auto","2002","04",NA,"07",NA,NA,NA
"29","2020-12-20 21:15:45-03","UFV","VIC","30209","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Raggi, F.G.S.","Raggi, F.G.S.; et al.","48","2005","07","07",NA,"Brasil","Minas Gerais","Quartel Geral","CAF Santa Bárbara Ltda, Cerrado do Córrego Fundo. Campo sujo,.","-45.557201385498","-19.2735996246338",NA,"Arbusto, c.a. de 2,5 metros de altura; flores creme, cálice marrom. Ind. 576.","VIC030209","VIC030209",NA,NA,NA,NA,"29060","auto","2005","10",NA,"10",NA,NA,NA
"30","2020-12-20 21:15:45-03","UFV","VIC","11862","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Meira Neto, J.A.A.","Meira Neto, J.A.A.","489","1989","12","08",NA,"Brasil","São Paulo","Águas de Santa Bárbara","Estado Ecológico de Santa Bárbara, Cerrado.","-49.238899230957","-22.8805999755859",NA,"Arbusto, c.a. de 30 cm de altura; capítulos levemente arroxeados.","VIC011862","VIC011862",NA,NA,NA,NA,"18363","auto","1990",NA,NA,NA,NA,NA,NA
"31","2020-07-02 18:51:39-03","UFJF","CESJ","53682","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R.Borges","R.A.X. Borges; et al.","155","2006","07","01","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, 21º42'33S, 43º53'45W.","-43.793098449707","-21.8425006866455",NA,"Campo rupestre de solo quartzítico, em grande afloramento com granulosidade. Próximo à candeial, com muitos arbustos e arvoretas. Arbusto, ca. 1m, pouco ramificado, folhas levemente discolores, com brácrteas castanhas, pappus alvo, ramos do estilete lila","CESJ053682","CESJ053682",NA,NA,NA,NA,"30417","auto","2007",NA,NA,NA,NA,NA,NA
"32","2020-06-30 18:31:59-03","UFJF","CESJ","53600","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R.A.X. Borges","R.C. Forzza; M.Magenta; L.Aona; E.Berman; M.M. Saavedra; D. Zappi","3471","2004","07","25","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, trilha para o Monjolinho. 21º42'10 S, 43º53'12. Elev.: 1460m","-43.886667","-21.702778",NA,NA,"CESJ053600","CESJ053600","1460","1460","-43.886667","-21.702778",NA,NA,"2006","11",NA,"14",NA,NA,NA
"33","2020-06-30 18:31:59-03","UFJF","CESJ","34092","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R.L.Esteves","R.M. Castro; M.A. Heluey","256","2001","03","25","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Arbusto com ca. 1,0 m de altura no campo rupestre, próximo ao Cruzeiro, frequente. Folhas discolores. Inflorescência rósea.","CESJ034092","CESJ034092",NA,NA,NA,NA,"30417","auto","2004","08",NA,"29",NA,NA,NA
"34","2020-06-30 18:31:59-03","UFJF","CESJ","29055","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R.L.Esteves","F.R.G. Salimena","477","1996","05","01","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca","-43.793098449707","-21.8425006866455",NA,"Arbusto ca. 50 cm, flores lilás, brácteas verdes. Entre gramíneas no campo rupestre, próximo ao Cruzeiro na subida pela Gruta das Bromélias.","CESJ029055","CESJ029055",NA,NA,NA,NA,"30417","auto","2004","11",NA,"22",NA,NA,NA
"35","2020-06-30 18:31:59-03","UFJF","CESJ","53680","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R.A.X. Borges","R.C. Forzza; et al.","3266","2004","03","30","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Entre a Mata Grande e a Ponte de Pedra. Campo rupestre arbustivo.","-43.793098449707","-21.8425006866455",NA,"Arbusto virgato, frequente, ca. 1m alt. Brácteas involucrais verde-claras, flores roxas.","CESJ053680","CESJ053680",NA,NA,NA,NA,"30417","auto","2006","11",NA,"14",NA,NA,NA
"36","2019-11-21 14:31:35-03","UFJF","CESJ","37153","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R.Borges","R.C. Forzza; et al.","2152","2002","03","29","América do Sul","Brasil","Minas Gerais","São Tomé das Letras","Fazenda dos Correa - Paredão","-44.9852981567383","-21.7222003936768",NA,"Subarbusto entre rochas. Brácteas involucrais verdes, flores róseas-claras.","CESJ037153","CESJ037153",NA,NA,NA,NA,"16076","auto","2007","04",NA,"25",NA,NA,NA
"37","2019-11-21 14:31:35-03","UFJF","CESJ","37222","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","R.Borges","F.M. Ferreira; et al.","62","2002","05","04","América do Sul","Brasil","Minas Gerais","São Tomé das Letras","Fazenda dos Correa - Paredão","-44.9852981567383","-21.7222003936768",NA,"Subarbusto ca. 40 cm, em campo muito pedregoso. Flores roxas, brácteas involucrais verdes.","CESJ037222","CESJ037222",NA,NA,NA,NA,"16076","auto","2007","04",NA,"25",NA,NA,NA
"38","2021-03-01 16:23:44-03","UNICAMP","UEC",NA,"S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Semir, J","Zappi, DC; Pirani, JR; Oliveira, AA; Simão-Bianchini, R","CFCR12838","1990","06","13",NA,"Brazil","Minas Gerais","Grão Mogol","Vale do Córrego Escurona.","-42.966667","-16.6",NA,"Subarbusto 1,4m alt. Heliófilo. Brácteas involucrais verde- paleáceas. Flores lilás-azuladas.; Solo arenoso, campo sujo-cerrado.","UEC155044","UEC155044","750","750","-42.966667","-16.6",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:23:44-03","UNICAMP","UEC","1919","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Esteves, RL","Martins, FR","118","1975","04","05",NA,"Brazil","Minas Gerais","Alpinópolis","Furnas- Faz Salto.&nf;Em solo pedregoso, local exposto, em região de transição mata/ cerrado. Altitude: 850 m.","-46.3880996704102","-20.8635997772217",NA,"Arbusto 1,0 m.; Transição mata/cerrado.","UEC113982","UEC113982",NA,NA,NA,NA,"22010","auto","2002","07",NA,"12",NA,NA,NA
"40","2021-03-01 16:23:44-03","UNICAMP","UEC","90387","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Lopes, ITFV","Semir, J; Stehmann, JR","31591","1994","05","10",NA,"Brazil","Minas Gerais","Brumadinho","Retiro das Pedras. Serra da Moeda.","-44.1996994018555","-20.1432991027832",NA,"Arbusto, 80 cm altura; capítulos liláses.","UEC122880","UEC122880",NA,NA,NA,NA,"26639","auto","2016","10",NA,"18",NA,NA,NA
"41","2021-03-01 16:23:44-03","UNICAMP","UEC","1959","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Esteves, RL","Joly, AB; Gemtchujnicov, I; Semir, J; Giulietti, AM; Joly, AM; Martins, CF","1125","1972","03","05",NA,"Brazil","Minas Gerais","Conceição do Mato Dentro","Município de Jaboticatubas: Km 128 ao longo da rodovia Laga Santa- Conceição Do mato Dentro- Diamantina.","-43.4249992370605","-19.0372009277344",NA,"Flor Roxa. 40 Cm.","UEC113979","UEC113979",NA,NA,NA,NA,"60318","auto","2002","07",NA,"11",NA,NA,NA
"42","2021-03-01 16:23:44-03","UNICAMP","UEC","157017","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Lopes, ITFV","Kinoshita, JH; Bordon, NG; Brito, VLG; Cangani, KG; Galvão, JC; Gonçalves, DJP","11104","2011","02","18",NA,"Brazil","Minas Gerais","Delfinópolis","Serra da Canastra, Fazenda Vale do Céu, trilha cachoeira do Quilombo.","-46.8539009094238","-20.343900680542",NA,"Arbusto com brácteas involucrais verdes, margem arroxeada, corola e estigma lilás.; Campo rupestre e Cerrado.","UEC032246","UEC032246",NA,NA,NA,NA,"41380","auto","2016","10",NA,"18",NA,NA,NA
"43","2021-03-01 16:23:44-03","UNICAMP","UEC","43690","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Esteves, RL","Lewinsohn, TM; Martins, RP","18116","1958","03","07",NA,"Brazil","Minas Gerais","Jaboticatubas","Estrada para Usina, no vale próximo ao rio.","-43.7449989318848","-19.513599395752",NA,"Herbácea. Flores azuladas.","UEC113985","UEC113985",NA,NA,NA,NA,"31264","auto","2002","07",NA,"11",NA,NA,NA
"44","2021-03-01 16:23:44-03","UNICAMP","UEC","173399","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Fernandes, AC","Silveira, FA","99","1987","05","07",NA,"Brazil","Minas Gerais","Paraopeba",NA,"-44.4042015075684","-19.2744007110596",NA,"PLanta herbácea de +/- 80cm de altura. Flores brancas.","UEC084001","UEC084001",NA,NA,NA,NA,"26090","auto","2013","11",NA,NA,NA,NA,NA
"45","2021-03-01 16:23:44-03","UNICAMP","UEC","111810","S","Plantae","Magnoliopsida",NA,"Asteraceae","Chromolaena","barbacensis","Chromolaena barbacensis","(Hieron.) R.M.King & H.Rob.","Nakajima, JN","Romero, R; Nakajima, JN; Guilherme, FAG","828","1994","04","15",NA,"Brazil","Minas Gerais","Sacramento","Guarita de Sacramento, PARNA Serra da Canastra. Campo limpo, beira da estrada.","-47.439998626709","-19.8652992248535",NA,"Subarbusto, ca. 0,5m. Brácteas vinho. Corola e Estames lilás.; Campo limpo.","UEC113980","UEC113980",NA,NA,NA,NA,"69737","auto","1998",NA,NA,NA,NA,NA,NA
