"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","class","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","individualCount"
"42","2019-11-13 11:24:56-03","USP","SPF","30040","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Krapovickas, A","Hensold, N","CFCR3461","1982","05","22",NA,"Brasil","Minas Gerais","Grão Mogol","Em direção nordeste da cidade.","-42.916667","-16.533333",NA,NA,"SPF00030040",NA,NA,NA,NA,"1070","1070","1987",NA,"01","-42.916667","-16.533333",NA,NA
"43","2019-11-13 11:24:56-03","USP","SPF","66638","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Prado, J","CFCR12032","1988","05","28",NA,"Brasil","Minas Gerais","Grão Mogol","Margem direita do Rio Itacambiruçu, entre a Ponte para Cristália e a Fazenda Jambeiro.","-42.9","-16.583333",NA,NA,"SPF00066638",NA,NA,NA,NA,NA,NA,"1991",NA,NA,"-42.9","-16.583333",NA,NA
"44","2019-11-13 11:24:56-03","USP","SPF","67981","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Silva, TRS","CFCR12530","1989","12","12",NA,"Brasil","Minas Gerais","Grão Mogol","Vale do Rio Itacambiruçu.","-42.916667","-16.6",NA,NA,"SPF00067981",NA,NA,NA,NA,"650","650","1990",NA,"02","-42.916667","-16.6",NA,NA
"45","2019-11-13 11:24:56-03","USP","SPF","68603","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Pirani, JR","CFCR12864","1990","06","13",NA,"Brasil","Minas Gerais","Grão Mogol","Vale do Córrego Escurona.","-42.966667","-16.6",NA,NA,"SPF00068603",NA,NA,NA,NA,"750","750","1991",NA,"02","-42.966667","-16.6",NA,NA
"46","2019-11-13 11:24:56-03","USP","SPF","69630","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Esteves, GL","CFCR13457","1990","09","05",NA,"Brasil","Minas Gerais","Grão Mogol","Subida para o Morro Papo da Ema.&nf;16º33' - 16º34' S e 42º54' - 42º55' W.","-42.9","-16.55",NA,NA,"SPF00069630",NA,NA,NA,NA,NA,NA,"1990",NA,"09","-42.9","-16.55",NA,NA
"47","2019-11-13 11:24:56-03","USP","SPF","69636","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Simão-Bianchini, R","CFCR12995","1990","06","14",NA,"Brasil","Minas Gerais","Grão Mogol","Margem do Ribeirão das Mortes, próximo da ponte.","-42.9","-16.583333",NA,NA,"SPF00069636",NA,NA,NA,NA,"760","760","1996",NA,"11","-42.9","-16.583333",NA,NA
"48","2019-11-13 11:24:56-03","USP","SPF","69642","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Esteves, GL","CFCR13315","1990","09","05",NA,"Brasil","Minas Gerais","Grão Mogol","Fazenda Jambeiro, à margem da Rodovia Grão Mogol - Francisco Sá, Córrego da Bonita.","-42.933333","-16.583333",NA,NA,"SPF00069642",NA,NA,NA,NA,"700","700","1991",NA,NA,"-42.933333","-16.583333",NA,NA
"49","2019-11-13 11:24:56-03","USP","SPF","72808","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Fryxell, PA","Harley, RM","25062","1988","10","15",NA,"Brasil","Minas Gerais","Grão Mogol","Ca. 7 km em direção sul da cidade, na estrada para Francisco Sá.","-42.933333","-16.616667",NA,NA,"SPF00072808",NA,NA,NA,NA,"700","850","1990",NA,NA,"-42.933333","-16.616667",NA,NA
"50","2019-11-13 11:24:56-03","USP","SPF","78646","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Esteves, GL","Mello-Silva, R","474","1991","06","13",NA,"Brasil","Minas Gerais","Grão Mogol","4 km do centro da cidade na estrada para Barrocão, na baixada do Rio Itacambiruçu. Lado direito.","-42.8897018432617","-16.5594005584717",NA,NA,"SPF00078646",NA,"67219","auto",NA,NA,NA,"1993",NA,"08",NA,NA,NA,NA
"51","2019-11-13 11:24:56-03","USP","SPF","36079","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Pavonia","grazielae","Pavonia grazielae","Krapov.","Krapovickas, A","Harley, RM","CFCR6479","1984","11","27",NA,"Brasil","Minas Gerais","Grão Mogol","Ao norte de Grão Mogol.","-42.8897018432617","-16.5594005584717",NA,NA,"SPF00036079",NA,"67219","auto",NA,"900","1000","1987",NA,"01",NA,NA,NA,NA
