"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","eventTime","sex"
"11","2021-04-05 14:25:40-03","UNESC","CRI","11533","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","M. Verdi",NA,NA,NA,"M. Verdi; L.C. Mancino","6069","2011","12","19","Brasil","Rio Grande do Sul","Morrinhos do Sul","Pixirica.","-49.926111","-29.318056","49º55'34''W","29º19'5''S","19","19","Floresta Ombrófila Densa de Terras Baixas Habito: arvoreta","CRI005328","CRI005328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:47-03","UNESC","CRI","1562","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Marcos Sobral",NA,NA,NA,"R. R. B. Negrelle; C. Fava","606","1993","01","20","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI005337","CRI005337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:40-03","UNESC","CRI","4130","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.",NA,NA,NA,NA,"V. Boff","131","1995","09","07","Brasil","Santa Catarina","Lauro Muller","Serra do Rio do Rastro.","-49.396944","-28.4","49º23'49''W","28º23'60''S",NA,NA,"Habito: árvore","CRI005341","CRI005341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:47-03","UNESC","CRI","1568","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","M. Sobral",NA,NA,NA,"R. Negrelle; C. Londero","752","1993","02","17","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habitat: restinga Habito: árvore","CRI005335","CRI005335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:33:47-03","UNESC","CRI","6409","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","M. Sobral",NA,NA,NA,"J. A. Jarenkow","604","1987","01","09","Brasil","Rio Grande do Sul","Capão do Leão","Horto Botânico Ir. Teodoro Luiz.","-52.484167","-31.763889","52º29'3''W","31º45'50''S","21","21","Habito: arvoreta","CRI005340","CRI005340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:33:47-03","UNESC","CRI","8038","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Vanilde Citadini- Zanette","2008","06","26","Beatriz Wessler; Bruna Alberton",NA,"2008","06","25","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","52","52",NA,"CRI005336","CRI005336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:40-03","UNESC","CRI","13471","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Renato Colares","2018","05","29","Renato Colares",NA,"2018","03",NA,"Brasil","Santa Catarina","Criciúma","UNESC","-49.410833","-28.705278","49º24'39''W","28º42'19''S","37","37","Habitat: Terrestre Habito: Arbustivo","CRI012078",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:40-03","UNESC","CRI","9318","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Vanilde C. Zanette",NA,NA,NA,"Mainara F. Cascaes; Birgit Harter Marques",NA,"2008","07","01","Brasil","Santa Catarina","Maracajá","Parque Ecológico de Maracajá.","-49.466389","-28.880833","49º27'59''W","28º52'51''S","30","30",NA,"CRI005333","CRI005333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:33:47-03","UNESC","CRI","1564","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","M. Sobral",NA,NA,NA,"R. Negrelle",NA,"1993","02","15","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","Habito: árvore","CRI005338","CRI005338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:33:47-03","UNESC","CRI","7631","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Ribeiro, C.L.","2019","08","05","Jaqueline Bonazza Rodrigues",NA,"2007","10","18","Brasil","Santa Catarina","Siderópolis",NA,"-49.425278","-28.598889","49º25'31''W","28º35'56''S",NA,NA,NA,"CRI005149","CRI005149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:33:47-03","UNESC","CRI","6535","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Fábio C. S. Vieira","2020","04","20","Izabela Naspolini Marques",NA,"1999","11","07","Brasil","Santa Catarina","Criciúma","Mina do Toco.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,NA,"Habito: árvore","CRI005445","CRI005445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:33:47-03","UNESC","CRI","8450","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Vanilde C. Zanette","2009",NA,NA,"Régis Cardoso da Silva",NA,"2009","01","01","Brasil","Rio Grande do Sul","Torres","Parque estadual Itapeva.","-49.727222","-29.335833","49º43'38''W","29º20'9''S","36","36",NA,"CRI005332","CRI005332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:25:40-03","UNESC","CRI","13627","PreservedSpecimen","Plantae","Myrtaceae","Myrcia","multiflora","Myrcia multiflora","(Lam.) DC.","Renato Colares","2018","05","24","Renato Colares",NA,"2018","09",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.453333","-28.538333","49º27'12''W","28º32'18''S","149","149","Habitat: Terrestre Habito: Arbustivo","CRI012234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-23 10:41:46-03","E","E","285738","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","goyazensis","Aulomyrcia goyazensis",NA,NA,NA,NA,NA,"Gardner, George","3184","1905","01","12","BR","Goias",NA,"Goyaz",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00285738 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00285738",NA,NA,NA,"syntype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:297139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","386651","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","caesia","Aulomyrcia caesia","O.Berg",NA,NA,NA,NA,"G. Gardner","2607","1839",NA,NA,"Brazil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506295' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386651","NY00386651_01",NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","386653","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","caesia","Aulomyrcia caesia","O.Berg",NA,NA,NA,NA,"G. Gardner","VII2607","1839",NA,NA,"Brazil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,"Com. am. Shuttleworth 1841 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506297' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386653","NY00386653_01",NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","386652","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","caesia","Aulomyrcia caesia","O.Berg",NA,NA,NA,NA,"G. Gardner","2607","1839",NA,NA,"Brazil","Piauí",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=506296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386652","NY00386652_01",NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","386667","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","goyazensis","Aulomyrcia goyazensis","O.Berg",NA,NA,NA,NA,"G. Gardner","3186","1836",NA,NA,"Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,"Comm. am. Shuttleworth 1841 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386667","NY00386667_01 NY00386667_02",NA,NA,"probable type","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","386691","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"G. Gardner","1620","1838","08",NA,"Brazil","Ceará",NA,"In Brasilia provincia Ceara",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386691","NY00386691_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","386685","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa complicata","O.Berg",NA,NA,NA,NA,"G. Gardner","1616","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386685","NY00386685_01",NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Myrtales","complicata",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","386686","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa gracilis","O.Berg",NA,NA,NA,NA,"R. Spruce","s.n.","1850","03",NA,"Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,NA,NA,NA,NA,"Myrcia [11] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386686","NY00386686_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","gracilis",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","386690","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"G. Gardner","1620","1838","08",NA,"Brazil","Ceará",NA,"In Brasilia provincia Ceara",NA,NA,NA,NA,NA,NA,"Comm. am. Shuttleworth 1840 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386690","NY00386690_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","386689","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"G. Gardner","1620","1840",NA,NA,"Brazil","Ceará",NA,"In Brasilia provincia Ceara",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386689","NY00386689_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","386688","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"R. Spruce","s.n.","1850","08",NA,"Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,NA,NA,NA,NA,"Label says Myrcia (12); Spruce 823: Myrcia (12) det. R. McVaugh, 1955 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386688","NY00386688_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","386687","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"R. Spruce","s.n.","1850","08",NA,"Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,NA,NA,NA,NA,"Label says Myrcia (12); Spruce 823: Myrcia (12) det. R. McVaugh, 1955 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386687","NY00386687_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","386692","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa pauciflora","O.Berg",NA,NA,NA,NA,"G. Gardner","1622","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386692","NY00386692_01",NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Myrtales","pauciflora",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","386685","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa complicata","O.Berg",NA,NA,NA,NA,"G. Gardner","1616","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356463' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386685","NY00386685_01",NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Myrtales","complicata",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","386686","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa gracilis","O.Berg",NA,NA,NA,NA,"R. Spruce","s.n.","1850","03",NA,"Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,NA,NA,NA,NA,"Myrcia [11] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=82378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386686","NY00386686_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","gracilis",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","386691","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"G. Gardner","1620","1838","08",NA,"Brazil","Ceará",NA,"In Brasilia provincia Ceara",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467999' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386691","NY00386691_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","386690","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"G. Gardner","1620","1838","08",NA,"Brazil","Ceará",NA,"In Brasilia provincia Ceara",NA,NA,NA,NA,NA,NA,"Comm. am. Shuttleworth 1840 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467998' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386690","NY00386690_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","386689","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"G. Gardner","1620","1840",NA,NA,"Brazil","Ceará",NA,"In Brasilia provincia Ceara",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467997' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386689","NY00386689_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","386688","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"R. Spruce","s.n.","1850","08",NA,"Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,NA,NA,NA,NA,"Label says Myrcia (12); Spruce 823: Myrcia (12) det. R. McVaugh, 1955 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386688","NY00386688_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","386687","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa ovata","O.Berg",NA,NA,NA,NA,"R. Spruce","s.n.","1850","08",NA,"Brazil","Pará",NA,"In vicinibus Santarem.",NA,NA,NA,NA,NA,NA,"Label says Myrcia (12); Spruce 823: Myrcia (12) det. R. McVaugh, 1955 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=467995' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386687","NY00386687_01",NA,NA,"syntype","South America","sheet",NA,"Magnoliophyta","Myrtales","ovata",NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","386692","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","sphaerocarpa","Aulomyrcia sphaerocarpa pauciflora","O.Berg",NA,NA,NA,NA,"G. Gardner","1622","1836",NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=345879' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386692","NY00386692_01",NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Myrtales","pauciflora",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","386699","PreservedSpecimen","Plantae","Myrtaceae","Aulomyrcia","vinacea","Aulomyrcia vinacea","Steyerm.",NA,NA,NA,NA,"J. A. Steyermark","62375","1945","04","28","Venezuela","Sucre",NA,"In valley of Cocollar",NA,NA,NA,NA,"820","820","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=615076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00386699","NY00386699_01",NA,NA,"isotype","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA
