"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","order","continentOcean","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","class","dayIdentified"
"11","2019-10-07 09:34:41-03","UEFS","HUEFS","114128","PreservedSpecimen","Plantae","Angiospermae","Melastomataceae","Svitramia","integerrima","Svitramia integerrima","R.Romero & A.B.Martins",NA,NA,NA,"Romero, R.","6918","2003","05","16","Brasil","Minas Gerais","Delfinópolis","Trilha do S.Cannyon.","-46.633333","-20.434444","46W38'0''","20S26'4''","Campo rupestre.","HUEFS0114128","HUEFS0114128",NA,NA,"Myrtales",NA,"845","845",NA,NA,"Rosanae",NA
"12","2021-02-05 11:38:48-03","UFU","HUFU","28524","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.",NA,NA,NA,"Romero, R.; Pacheco, R.A.; Nakajima, J.N. & Volpi, R.L.","6400","2002","10","07","Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Estrada para Guarita.","-46.871111","-20.281111","-46.871111","-20.281111","Subarbusto, ca. 1 m. Frutos marrom.; Cerrado rupestre.","HUFU00037032",NA,NA,NA,NA,NA,"816","816",NA,NA,NA,NA
"13","2021-02-05 11:38:48-03","UFU","HUFU","29573","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Romero, R.","2003","11","Volpi, R.L.; Pacheco, R.A.; Nakajima, J.N. & Silva, S.M.","373","2002","12","05","Brasil","Minas Gerais","Delfinópolis","Trilha para Escada de Pedras","-46.653333","-20.434444","-46.653333","-20.434444","Arbusto, ca. 2 m. Frutos creme.; Cerrado rupestre.","HUFU00037036",NA,NA,NA,NA,NA,"841","841",NA,NA,NA,NA
"14","2021-02-05 11:38:48-03","UFU","HUFU","32514","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Romero, R.","2003","11","Volpi, R.L.; Romero, R.; Pacheco, R.A.; Mendonça, I.; Cruz, M.P.; et al.","706","2003","05","17","Brasil","Minas Gerais","Delfinópolis","Condomínio de Pedra","-46.756389","-20.367778","-46.756389","-20.367778","Subarbusto, ca. 2,0 m. Hipanto verde, corola alva e anteras creme.; Campo rupestre.","HUFU00037037",NA,NA,NA,NA,NA,"1178","1178",NA,NA,NA,"06"
"15","2021-02-05 11:38:48-03","UFU","HUFU","32577","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Romero, R.","2006","01","Volpi, R.L.; Romero, R.; Pacheco, R.A.; Mendonça, I.; Cruz, M.P.; Alves, A.S.; et al.","651","2003","05","17","Brasil","Minas Gerais","Delfinópolis","Condomínio de Pedra","-46.756389","-20.367778","-46.756389","-20.367778","Subarbusto, ca. 1,8 m. Brácteas brancas e botões florais verdes.; Campo rupestre.","HUFU00037039",NA,NA,NA,NA,NA,"1178","1178",NA,NA,NA,"25"
"16","2021-02-05 11:38:48-03","UFU","HUFU","32658","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Romero, R.","2003","11","Romero, R.; Volpi, R.L.; Pacheco, R.A.; Carvalho, S.M.; Alves, A.S.; Cruz, M.P.; et al.","6918","2003","05","16","Brasil","Minas Gerais","Delfinópolis","Trilha do S. Cannyon","-46.653611","-20.434444","-46.653611","-20.434444","Subarbusto, ca. 2,5 m. Brácteas verdes translúcidas, hipanto verde, corola creme esbranquiçado e anteras amarelas.; Campo rupestre.","HUFU00037038",NA,NA,NA,NA,NA,"845","845",NA,NA,NA,"06"
"17","2021-02-05 11:38:48-03","UFU","HUFU","33023","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Romero, R.","2003","11","Romero, R.; Volpi, R.L.; Pacheco, R.A.; Carvalho, S.M.; Alves, A.S.; et al.","6853","2003","05","15","Brasil","Minas Gerais","Delfinópolis","Trilha Escada de Pedra","-46.653333","-20.434444","-46.653333","-20.434444","Arbusto, ca. 1,5 m. Brácteas involucrais ferrugíneas, hipanto verde, corola branca, anteras creme e folhas glaucas.; Campo rupestre.","HUFU00037035",NA,NA,NA,NA,NA,"841","841",NA,NA,NA,"06"
"18","2021-02-05 11:38:48-03","UFU","HUFU","37938","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Lopes, D.S.","2004","10","Romero, R.; Lopes, D.S.; Oliveira, C.F.; Pinese, O.P. & Martins, J.M.E.","7089","2004","09","14","Brasil","Minas Gerais","Delfinópolis","Trilha da Escada de Pedras","-46.790556","-20.330556","-46.790556","-20.330556","Subarbusto. Cálice verde, corola branca.; Campo rupestre.","HUFU00037041",NA,NA,NA,NA,NA,"907","907",NA,NA,NA,NA
"19","2021-02-05 11:38:48-03","UFU","HUFU","38155","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Faria, C.A.","2004","11","Hattori, E.K.O.; Faria, C.A. & Magalhães, C.C.","388","2004","09","14","Brasil","Minas Gerais","Delfinópolis","Trilha da Escada de Pedras","-46.7925","-20.331389","-46.7925","-20.331389","Subarbusto, ca. 2 m. Frutos maduros e flor branca.; Campo rupestre.","HUFU00037042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10"
"20","2021-02-05 11:38:48-03","UFU","HUFU","44069","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.",NA,NA,NA,"Romero, R.; Nakajima, J.N.; Rezende, T.M.; Silva, M.A.O. & Vargas, B.C.","7291","2005","11","09","Brasil","Minas Gerais","Delfinópolis","Trilha Escada de Pedras, Fazenda Zé Antunes.","-46.653333","-20.434444","-46.653333","-20.434444","Arbusto, ca. 0,6 m. Frutos secos marrons.; Campo rupestre.","HUFU00037040",NA,NA,NA,NA,NA,"841","841",NA,NA,NA,NA
"21","2021-02-05 11:38:48-03","UFU","HUFU","57414","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.",NA,NA,NA,"Romero, R.; Machado, A.; A.I.M.R.; Versiane, A.F.A. & Bacci, L.F.","8267","2010","06","23","Brasil","Minas Gerais","Delfinópolis","Trilha Condomínio de Pedra","-46.8539009094238","-20.343900680542",NA,NA,"Subarbusto, ca. 1,8 m. Cálice verde, corola alva e estames creme.; Campo rupestre.","HUFU00037033",NA,"41380","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-05 11:38:48-03","UFU","HUFU","26723","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Romero, R.","2003","01","Pacheco, R.A.; Volpi, R.L.; Romero, R. & Nakajima, J.N.","90","2002","04","11","Brasil","Minas Gerais","Delfinópolis","Fazenda Zé Antunes, Trilha casinha branca, Fazenda Zé Antunes.","-46.8539009094238","-20.343900680542",NA,NA,"Paratype.; Subarbusto com 1,5 metros. Botões florais creme.; Campo rupestre.","HUFU00070330",NA,"41380","auto",NA,NA,"841","841","Paratype",NA,NA,NA
"23","2021-02-05 11:38:48-03","UFU","HUFU","57965","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Romero, R.","2003","01","Nakajima, J.N.; Romero, R.","1742","1996","05","23","Brasil","Minas Gerais","Delfinópolis","Serra Preta, Estrada para a fazenda do Antônio Lopes.","-46.8539009094238","-20.343900680542",NA,NA,"Holotype.; Subarbusto, ca. de 1,5 metro. Cálice esverdeado. Corola branca. Estames e estilete creme.; Campo rupestre.","HUFU00070331",NA,"41380","auto",NA,NA,NA,NA,"Holotype",NA,NA,NA
"24","2021-02-05 11:38:48-03","UFU","HUFU","56256","S","Plantae",NA,"Melastomataceae","Pleroma","integerrimum","Pleroma integerrimum","(R.Romero & A.B. Martins) P.J.F. Guim. & Michelang.","Versiane, A.F.A.","2011","08","Pacheco, R.A.; Cruz, M.P.; Carvalho, S.M.; Rezende, I.M.; Alves, A.S.S.; Volpi, R.L.; et al.","567","2003","05","16","Brasil","Minas Gerais","Delfinópolis","Trilha para Cachoeira do Alpinista","-46.8539009094238","-20.343900680542",NA,NA,"Mata de galeria.","HUFU00037034",NA,"41380","auto",NA,NA,NA,NA,NA,NA,NA,"03"
"25","2021-02-23 13:22:50-03","MN","R-TIPOS","212033","PreservedSpecimen","Plantae",NA,"Melastomataceae","Svitramia","integerrima","Svitramia integerrima","R. Romero & A.B. Martins","Romero, R.","2003","01","Nakajima, J.N. ; Romero, R.","1742","1996","05","23","Brasil","Minas Gerais","Delfinópolis",NA,"-46.8539009094238","-20.343900680542",NA,NA,NA,"R000212033","R000212033_001","41380","auto",NA,NA,NA,NA,"Isotypus",NA,NA,NA
