"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","individualCount","fieldNumber"
"11","2020-11-13 09:18:47-03","UFRJ","RFA","10129","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"N. Saddi",NA,NA,NA,NA,"Brasil",NA,"Brasil",NA,NA,NA,NA,NA,NA,"RFA10749",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:28:50-03","UFRJ","RFA","37443","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","C.Y G. Manão","2018","12","18","M.S. Wängler; G.F. Mazoni; V.C. Hellmann; D.F. Massunaca","714","2011","07","09","Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Sítio Araxá, propriedade do Sr. Aricildes Mota Neto","-43.389722","-22.445278","43º23'23''W","22º26'43''S","Árvore 5 m de altura; caule marrom; folha composta, estéril","RFA43753",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-13 09:18:47-03","UFRJ","RFA","32515","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Sebastião José Silva Neto","2001",NA,NA,"Vânia Alves Garcia","s.n.","1998","05","00","Brasil","Minas Gerais","Santana do Deserto","Mata Bela Fama","-43.1664009094238","-21.9500007629395",NA,NA,"Habitat: Mata","RFA21230",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12740","auto",NA,NA,NA,NA,NA
"14","2020-11-13 09:18:47-03","UFRJ","RFA","11843","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","G.G. Hatschbach",NA,NA,NA,"G.G. Hatschbach","18161","1967","12","20","Brasil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,"Arvore de 10 m na mata .","RFA11338",NA,NA,NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA
"15","2020-11-13 09:18:47-03","UFRJ","RFA","22284","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Cézio Pereira","s.n.","1988","10","24","Brasil","Rio de Janeiro","Maricá","Barra de Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"Arvore , flores brancas .","RFA18407",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA
"16","2020-11-13 09:18:47-03","UFRJ","RFA","7002","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","R.E Fries","1956",NA,NA,"R. Reitz; R.M. Klein","2320","1955","12","20","Brasil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6618995666504","-26.9078006744385",NA,NA,"Árvore 15 m de altura, flor em botão, fruto imaturo verde.","RFA26709","150","150",NA,NA,NA,NA,NA,NA,NA,"27253","auto",NA,NA,NA,NA,NA
"17","2020-11-13 09:18:47-03","UFRJ","RFA","22615","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"J.V. Azevedo","28a","1988","11","21","Brasil","Rio de Janeiro","Maricá","Barra de Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"Flores brancas , botões creme, árvore com ca. 5 metros .","RFA18585",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA,NA,NA
"18","2020-06-29 11:28:50-03","UFRJ","RFA","15604","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"P. Occhioni","6393","1974","10","06","Brasil","Rio de Janeiro","Teresópolis","Serra dos Órgãos, próximo ao Dedo de Deus","-42.9655990600586","-22.4122009277344",NA,NA,"Arvoreta , fruto aromático , flores alvas.","RFA13521","1000","1000",NA,NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA
"19","2020-11-24 17:10:24-03","UTFPR","DVPR","1678","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Duarte, E","2014","11","20","Cleonir","s.n.","2013","03","27","Brasil","Paraná","Boa Esperança",NA,"-52.7886009216309","-24.2422008514404",NA,NA,"Encosta, margem d' água.","DVPR001678",NA,NA,"DVPR001678",NA,NA,NA,NA,"Magnoliophyta",NA,"16049","auto",NA,NA,NA,NA,NA
"20","2021-03-30 12:33:46-03","EAO","IAN","93568","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis gracilis","Spreng.",NA,NA,NA,NA,"Glaziou, AFM","3856","1869",NA,NA,"Brasil","Rio de Janeiro",NA,"Tijuca.",NA,NA,NA,NA,NA,"IAN093568",NA,NA,NA,NA,"Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,"gracilis",NA,NA,NA,NA
"21","2021-03-30 12:33:46-03","EAO","IAN","99553","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Fries, RE","1960",NA,NA,"Fróes, RL","33321","1957","01","25","Brasil","Minas Gerais",NA,"Rod. Paraopebas-Cordsburg.",NA,NA,NA,NA,"Árvore de 8m. de altura.","IAN099553",NA,NA,NA,NA,"Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:33:46-03","EAO","IAN","99573","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Fries, RE","1960",NA,NA,"Fróes, RL","33341","1957","08","22","Brasil","Minas Gerais","Betim","Região do Rio das Velhas.","-44.198299407959","-19.9678001403809",NA,NA,"Árvore de 6m. de altura.","IAN099573",NA,NA,NA,NA,"Southern America",NA,NA,"Dicotiledônea",NA,"15199","auto",NA,NA,NA,NA,NA
"23","2021-03-30 12:33:46-03","EAO","IAN","170460","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Bastos, MNC; Cordeiro, MR","2086","1995","06","15","Brasil","Pará","São Geraldo do Araguaia","Campo cerrado, morro 3.","-48.5550003051758","-6.40055990219116",NA,NA,"Arbusto de 2m de altura; inflorescência ferrugínea.","IAN170460",NA,NA,NA,NA,"Southern America",NA,NA,"Dicotiledônea",NA,"72333","auto",NA,NA,NA,NA,NA
"24","2021-03-30 12:33:46-03","EAO","IAN","93568","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis gracilis","Spreng.",NA,NA,NA,NA,"Glaziou, AFM","3856","1869",NA,NA,"Brasil","Rio de Janeiro",NA,"Tijuca.",NA,NA,NA,NA,NA,"IAN093568",NA,NA,NA,NA,"Southern America",NA,NA,"Dicotiledônea",NA,NA,NA,"gracilis",NA,NA,NA,NA
"25","2013-07-03 10:26:40-03","EBDA","BAH","5466","S","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Neves, M. Fagundes","2013","01",NA,"Neves, M. Fagundes","257","2012","12","20","Brasil","Bahia","Conceição do Almeida","Sítio Bom Sucesso","-39.17","-12.7794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26063","auto",NA,NA,NA,NA,NA
"26","2019-12-04 15:26:04-03","PUCPR","HUCP","3309","S","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Silva, SM","1988","05","27","Souza, WS","1283",NA,NA,NA,"Brasil","Paraná","Paranaguá","Ilha do Mel, Morro Bento Alves.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliidae",NA,"24916","auto",NA,NA,NA,NA,NA
"27","2019-12-04 15:26:04-03","PUCPR","HUCP","19737","S","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Selusniaki, M",NA,NA,NA,"Selusniaki, M","2246","2008","05","04","Brasil","Paraná","Morretes","Parque Estadual Pico do Marumbi, Estação.","-48.834400177002","-25.476900100708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliidae",NA,"30514","auto",NA,NA,NA,NA,NA
"28","2020-08-11 00:15:26-03","UFBA","ALCB","20989","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Souza, Padre JP de","s/n","1984","02","22","Brasil","Amazonas","Manaus",NA,"-60.0250015258789","-3.10193991661072",NA,NA,"Grande.","ALCB004471",NA,NA,"ALCB004471",NA,"Southern America",NA,NA,"Dicotyledon",NA,"138090","auto",NA,NA,NA,NA,NA
"29","2020-02-08 09:44:01-03","NBC","NL-BOTANY","L.1768325","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Dias MC","1988","02","01","Reitz R; Klein RM",NA,"1958","12","17","Brazil","Santa Catarina",NA,"Vargem Grande, Lauro Mueller",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1768325 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1768325",NA,NA,"NL-L1768325",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","L 0195878 | 961268495",NA,NA
"30","2020-02-08 09:44:01-03","NBC","NL-BOTANY","L.1768326","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Dias MC","1988","02","01","Hatschbach GG",NA,"1967","12","20","Brazil","Paraná",NA,"Parana, Guaratuba, Pedra Branca de Araraquara",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1768326 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1768326",NA,NA,"NL-L1768326",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","L 0195879 | 130409",NA,NA
"31","2020-02-08 09:44:01-03","NBC","NL-BOTANY","L.1768327","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Ooststroom SJ van; Parabirsing","1952","02","01","Fiebrig K",NA,"1909","01","01","Brazil","Paraná",NA,"Paraguay, Parana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1768327 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1768327",NA,NA,"NL-L1768327",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","L 0195880 | 913335108",NA,NA
"32","2020-02-08 09:44:01-03","NBC","NL-BOTANY","L.1768328","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Ooststroom SJ van; Parabirsing","1952","02","01","Fiebrig K",NA,"1909","01","01","Brazil","Paraná",NA,"Paraguay, Parana",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1768328 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1768328",NA,NA,"NL-L1768328",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","L 0195881 | 920160494",NA,NA
"33","2020-02-08 09:44:01-03","NBC","NL-BOTANY","L.3724887","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Mello-Silva R de",NA,NA,NA,"Silva JM; Soares AER; Maschio W",NA,"1999","04","15","Brazil","Paraná",NA,"Rio Iguacu, proximo a barra do rio Chopim, Parana.",NA,NA,NA,NA,"Floresta das margens do rio.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3724887 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3724887",NA,NA,"NL-L3724887",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"34","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U 0263179","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Reitz R",NA,"1961","01","01","Brazil","Santa Catarina",NA,NA,"-53.733333","-26.533333","-53.733333","-26.533333","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200263179 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0263179",NA,NA,NA,NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","Uw6949",NA,NA
"35","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074139","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Hoehne FC",NA,NA,NA,"Hoehne FC",NA,"1933","01","16","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074139 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074139",NA,NA,"NL-U1074139",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0038303",NA,NA
"36","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074190","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Fries RE",NA,NA,NA,"Reitz R; Klein RM",NA,"1958","12","17","Brazil",NA,NA,"Santa Catarina, vargem grande Lauro Muller",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074190 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074190",NA,NA,"NL-U1074190",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0011823",NA,NA
"37","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074191","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Bernardi L",NA,"1978","10","19","Paraguay",NA,NA,"Ad rivulum ao Rory, Paraguari",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074191 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074191",NA,NA,"NL-U1074191",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0011821",NA,NA
"38","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074192","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Bernardi L",NA,"1978","10","19","Paraguay",NA,NA,"Ad rivulum ao Rory, Paraguari",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074192 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074192",NA,NA,"NL-U1074192",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0011822",NA,NA
"39","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074193","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Maas PJM; Setten AK van",NA,NA,NA,"Gentry AH; Zardini EM",NA,"1985","01","05","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074193 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074193",NA,NA,"NL-U1074193",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0133792",NA,NA
"40","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074194","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Fries RE",NA,NA,NA,"Reitz R; Klein RM",NA,"1955","12","20","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074194 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074194",NA,NA,"NL-U1074194",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0133793",NA,NA
"41","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074195","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Maas PJM; Setten AK van",NA,NA,NA,"Rodrigues HC",NA,"1988","04","22","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074195 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074195",NA,NA,"NL-U1074195",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0133794",NA,NA
"42","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074196","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Peixoto AL",NA,"1985","02","02","Brazil","Espírito Santo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074196",NA,NA,"NL-U1074196",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0133795",NA,NA
"43","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074197","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Kurtz BC",NA,NA,NA,"Nadruz M; et al.",NA,"1989","12","27","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074197 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074197",NA,NA,"NL-U1074197",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0133791",NA,NA
"44","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074198","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Hoehne W",NA,"1944","10","19","Brazil","São Paulo",NA,NA,"-46.633333","-23.55","-46.633333","-23.55","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074198 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074198",NA,NA,"NL-U1074198",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0133790",NA,NA
"45","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074199","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.",NA,NA,NA,NA,"Stutz de Ortega LC",NA,"1985","02","17","Paraguay","Paraguarí",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074199 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074199",NA,NA,"NL-U1074199",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0133789",NA,NA
"46","2020-02-08 09:44:01-03","NBC","NL-BOTANY","U.1074201","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Maas PJM",NA,NA,NA,"Gottsberger GK",NA,"1975","01","01","Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1074201 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1074201",NA,NA,"NL-U1074201",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae","U 0130881",NA,NA
"47","2020-02-08 09:44:01-03","NBC","NL-BOTANY","WAG.1970987","PreservedSpecimen","Plantae","Annonaceae","Xylopia","brasiliensis","Xylopia brasiliensis","Spreng.","Johnson DM; Murray NA",NA,NA,NA,"Hatschbach GG",NA,"1974","01","10","Brazil","Paraná",NA,"Rio Pequeno (mun. Antonina).",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1970987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1970987",NA,NA,"NL-WAG1970987",NA,"Southern America",NA,NA,NA,"Magnoliales",NA,NA,NA,"Magnoliopsidae",NA,NA,NA
