"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","relatedCatalogItem","fieldNumber","individualCount","typeStatus","sex"
"806","2019-10-07 09:36:54-03","UEFS","HUEFS","152934","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","M.L.Guedes","Guedes, M.L.S.","15867","2009","08","05",NA,"Brasil","Bahia","Urandi","Serra Geral, Caminho para Espinosa.","-42.675833","-14.774167",NA,"Caatinga arbórea.","HUEFS0152934","HUEFS0152934","673","673","42W40'33''","14S46'27''",NA,NA,"2009","09",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"807","2019-10-07 09:36:54-03","UEFS","HUEFS","153169","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Guedes, M.L.S.","15837","2009","08","05",NA,"Brasil","Bahia","Urandi","Serra Geral, Caminho para Espinosa.","-42.725556","-14.823333",NA,NA,"HUEFS0153169","HUEFS0153169",NA,NA,"42W43'32''","14S49'24''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"808","2019-10-07 09:36:54-03","UEFS","HUEFS","157763","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T.B.Flores","Melo, E.","7411","2009","12","10",NA,"Brasil","Bahia","Lícinio de Almeida","Distrito de São Domingos. Fazenda São Domingos.","-42.526944","-14.455278",NA,"Mata ciliar degradada.","HUEFS0157763","HUEFS0157763","909","909","42W31'37''","14S27'19''",NA,NA,"2016","05",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"809","2019-10-07 09:36:54-03","UEFS","HUEFS","159108","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","R.Perdiz","Paixão, J.L.","1564","2009","09","26",NA,"Brasil","Bahia","Caetité","Coleta arredores da área de preservação da industria Nucleares do Brasil - INB. Áreas 1 - Margem direita da Reserva Próximo a Lagoa, 2 - Barragem Wilson Gouveia, 3- Mulungu. Projeto: Análise Morfoanatômica e Ultraestrutural de plantas Nativas indicadoras de contaminação Ambiental por urânio no município de Caetité - BA.","-42.2725","-13.840833",NA,"Caatinga arbórea.","HUEFS0159108","HUEFS0159108",NA,NA,"42W16'21''","13S50'27''",NA,NA,"2010","12",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"810","2021-03-04 11:17:48-03","UEFS","HUEFS","165431","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","J.R.Pirani","Queiroz, L.P.de","15048","2010","10","27",NA,"Brasil","Minas Gerais","Monte Azul","Entrada de Monte Azul para a Serra da Formosa, ca. 4Km após a barragem do DNOCS.","-42.810833","-15.191944",NA,"Floresta estacional decidual.","HUEFS0165431","HUEFS0165431","1023","1023","42W48'39''","15S11'31''",NA,NA,"2014","08",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"811","2019-10-07 09:36:54-03","UEFS","HUEFS","168227","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","T.B.Flores","Carvalho-Sobrinho, J.G.de","2916","2011","02","15",NA,"Brasil","Bahia","Boa Nova",NA,"-40.1875","-14.373611",NA,NA,"HUEFS0168227","HUEFS0168227","729","729","40W11'15''","14S22'25''",NA,NA,"2016","05",NA,"Rosanae",NA,NA,NA,NA,NA,NA
"812","2019-10-07 09:36:54-03","UEFS","HUEFS","178172","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Melo, E.","10633","2011","11","04",NA,"Brasil","Bahia","Maracás","Fazenda Santo Onofre.","-40.435278","-13.365556",NA,"Caatinga, beira da estrada.","HUEFS0178172","HUEFS0178172","781","781","40W26'7''","13S21'56''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"813","2019-10-07 09:36:54-03","UEFS","HUEFS","182786","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Melo, E.","11067","2012","03","08",NA,"Brasil","Paraíba","Alagoa Nova","Brejo Paraibano. Fazenda Sr. José Roberto.","-35.759722","-7.078611",NA,"Vegetação aquática e mata ciliar, rio seco.","HUEFS0182786","HUEFS0182786","416","416","35W45'35''","7S4'43''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"814","2019-10-07 09:36:54-03","UEFS","HUEFS","140123","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Oliveira, R.P.","1422","2008","01","16",NA,"Brasil","Bahia","Santa Bárbara","BR 116 N, entre Serrinha e Santa Bárbara.","-5.15","-11.816667",NA,"Floresta decídua alterada na beira da estrada.","HUEFS0140123","HUEFS0140123","259","259","5W9'","11S49'",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"815","2019-10-07 09:36:54-03","UEFS","HUEFS","186541","PreservedSpecimen","Plantae","Angiospermae","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.",NA,"Melo, E.","11273","2012","07","19",NA,"Brasil","Bahia","Maracás","Fazenda Canabrava, Lajedo, encosta da Serra.","-40.427222","-13.351389",NA,"Caatinga.","HUEFS0186541","HUEFS0186541","828","828","40W25'38''","13S21'5''",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
