"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","1016338","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"M. N. S. Stapf","336","2004","10","22","South America","Brazil","Bahia","Ilhéus","600 m de Olivença.","-39.0136","-14.9522","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146071' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016338","NY01016338_01","49","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1016343","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"M. N. S. Stapf","347","2004","10","23","South America","Brazil","Bahia","Ilhéus","Estrada Una -São José da Vitória.","-39.1756","-15.2156","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1146089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016343","NY01016343_01","125","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","401024","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","N. Laroda","P. K. H. Dusén","14058","1912","04","26","South America","Brazil","Paraná","Marumbi","Marumby","-51.6392","-23.7061","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386797' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401024","NY00401024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","401020","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","N. Laroda","B. D. Sucre","2487","1968","03","16","South America","Brazil","Rio de Janeiro","Petrópolis","Estrada de Contorno de Petrópolis","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386795' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401020","NY00401020_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","401035","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","J. A. Kallunki","J. G. Jardim","994","1997","02","27","South America","Brazil","Bahia","Almadina","Rod. Almadina/Ibitupa, entrada a 7 km. Serra do Sete Paus, Ca. 12 km da entrada. Faz. Cruzeiro do Sul","-39.6961","-14.735","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401035","NY00401035_01","578","578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","400848","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","J. A. Kallunki","A. M. Amorim","883","1992","12","14","South America","Brazil","Bahia","Itacaré","Estrada que liga Taboquinhas, ca. 6 km de Itacaré","-39.026455","-14.310972","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400848","NY00400848_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","401021","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","N. Laroda","G. G. Hatschbach","31013","1972","12","19","South America","Brazil","Paraná","Campina Grande do Sul","Figueira, Capivari","-49.0553","-25.3058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401021","NY00401021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00857990","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","E. P. Killip","R. de Lemos Fróes","1720","1932","05","02","South America","Brazil","Maranhão","Cândido Mendes","Maracassumé River Region.","-45.7278872","-1.456347","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950087' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857990","NY00857990_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","401025","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"R. P. Belém","2367","1966","06","01","South America","Brazil","Bahia","Una","Margem da rodovia Una-Olivença, (Ba)","-39.0021917","-15.1206794","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401025","NY00401025_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","401026","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","R. M. Harley","R. M. Harley","17350","1974","03","24","South America","Brazil","Bahia",NA,"24 km SW of Belmonte on road to Itapebi","-39.05","-16","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401026","NY00401026_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","401029","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","N. Laroda","P. K. H. Dusén","14287","1914","01","04","South America","Brazil","Paraná","Marumbi","Faconda Marumby","-51.6392","-23.7061","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386798' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401029","NY00401029_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02060048","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","J. S. Miller","M. N. S. Stapf","490","2005","09","07","South America","Brazil","Pará","Peixe-Boi","Fazenda Moju.","-47.3153","-1.1869","sheet","0 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2381825' target='other'> <mi>dwc_moreinfo</mi></a>","NY02060048","NY02060048_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","04086938","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","D. Piotto","D. Piotto","2319","2009","08","10","South America","Brazil","Bahia","Uruçuca","Parque Estadual da Serra do Conduru","-39.08","-14.42","Sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4359798' target='other'> <mi>dwc_moreinfo</mi></a>","NY04086938","NY04086938_01","120","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","401031","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","N. Laroda","B. D. Sucre","2487","1968","03","16","South America","Brazil","Rio de Janeiro","Petrópolis","Estrada de Contorno de Petrópolis","-43.1783","-22.505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386799' target='other'> <mi>dwc_moreinfo</mi></a>","NY00401031","NY00401031_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","400851","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"L. Riedel",NA,"1833","10",NA,"South America","Brazil","São Paulo",NA,"Inter Lorena et Taubate",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=386820' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400851","NY00400851_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","00857992","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","Johnston","Y. E. J. Mexia","4557","1930","04","02","South America","Brazil","Minas Gerais","Viçosa","Viçosa. Road to São Miguel, near km. 4, on right.","-42.8817","-20.7542","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=950089' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857992","NY00857992_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","03066150","PreservedSpecimen","Plantae","Magnoliophyta","Boraginales","Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"R. C. Araujo","4","2013","03","24","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Estadual da Pedra Branca, Campus Fiocruz-Mata Atlântica.","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3292273' target='other'> <mi>dwc_moreinfo</mi></a>","NY03066150","NY03066150_01",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-13 09:19:14-03","UFRJ","RFA","8394","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","G.G. Hatschbach","G.G. Hatschbach","14217","1966","03","23",NA,"Brasil","Paraná","Antonina","Estrada Cacatu - Serra Negra","-48.7118988037109","-25.4286003112793",NA,"Arvoreta 7 m de altura. Flor alva","RFA36465",NA,NA,NA,"38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-13 09:19:14-03","UFRJ","RFA","24469","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","C.M. Vieira","F. M. de B. Pereira","85/011","2000","05","12",NA,"Brasil","Rio de Janeiro","Sapucaia","3º Distrito, fazenda Selo Verde.","-42.849722","-22.090833",NA,"Arbusto com 5,5m de altura e DAP de 6cm, frutos verdes, folhas verdes e caule cinza, rara no local.","RFA34436",NA,"758","758",NA,NA,"42º50'59''W","22º5'27''S",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-13 09:19:14-03","UFRJ","RFA","25131","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","M. Gomes","Flávio de Britto Pereira","out-63","2001","01","11",NA,"Brasil","Rio de Janeiro","São José do Vale do Rio Preto","Sítio Serra do Capim.","-42.8725","-22.151944",NA,"Árvore, 7m de altura, 12cm de DAP, flores verdes com perfume, comum no local.","RFA34452",NA,"786","786",NA,NA,"42º52'21''W","22º9'7''S","2001","08","01",NA,NA,NA,NA,NA
"31","2020-06-29 11:29:32-03","UFRJ","RFA","37541","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","C. Y.G. Manão","M.S. Wängler; G.F. Mazzoni; F.C. Alzer; A.M. Paiva","868","2011","09","18",NA,"Brasil","Rio de Janeiro","Paty do Alferes","APA Palmares, Zona de Vida Silvestre, Curva","-43.390833","-22.448333",NA,"Arvoreta 2 m de altura; folhas alternas; frutos verdes e vermelhos","RFA52079",NA,NA,NA,NA,NA,"43º23'27''W","22º26'54''S",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-06-29 11:29:32-03","UFRJ","RFA","21023","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"C.M. Rizzini; Szechy 65","235","1982","10","16",NA,"Brasil","Rio de Janeiro","Bom Jesus do Itabapoana","Fazenda São Jorge","-41.6796989440918","-21.1338996887207",NA,"Arbusto; folhas pilosas, botão branco","RFA36464",NA,NA,NA,"30210","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-06-29 11:29:32-03","UFRJ","RFA","21840","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"C.M. Rizzini","144","1982","08","21",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada para Calheiros, entre Bom Jesus de Itabapoana e Barra de Pirapetinga","-43.2075004577637","-22.9027996063232",NA,"Flores brancas","RFA18091",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-15 11:14:33-03","FUNED","FUNED-POL","3674","PreservedSpecimen","Plantae",NA,NA,"Boraginaceae","Cordia","magnoliaefolia","Cordia magnoliaefolia",NA,NA,"Sandra Matoso",NA,"2003","10","28",NA,"Brasil","MG",NA,"UFV",NA,NA,NA,NA,"POL003674","POL003674_p01 POL003674_p02 POL003674_p03 POL003674_p04 POL003674_p05 POL003674_p06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:12:04-03","UFBA","ALCB","029717","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliaefolia","Cordia magnoliaefolia","Cham.","Guedes, ML","Guedes, ML; et al.","4265","1997","01","19","Southern America","Brasil","Bahia","Eunápolis",NA,"-39.566667","-16.366667",NA,"Folhas crassas, discolores. Inflorescência com botões esverdeados. Frequência: Ocasional.; Mata Atlântica em estágio de recuperação.",NA,NA,"200","200",NA,NA,"-39.566667","-16.366667","1997","01",NA,NA,NA,NA,NA,NA
"36","2019-10-09 11:12:04-03","UFBA","ALCB","20645","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliaefolia","Cordia magnoliaefolia","Cham.","et al.; Santos, TS dos","Santos, TS dos; Hage, JL; Brito, HS","4416","1988","07","27","Southern America","Brasil","Bahia","Belmonte","Distrito de Barrolândia. Estação Experimental Gregório Bondar (EGREB). Km 47 da Rodovia Itapebí/Belmonte, 7km após o Povoado de Barrolândia.","-38.866667","-15.85",NA,"2m de altura. Frutos imaturos, verdes e quando maduros, amarelos.; Região de Mata Higrófila Sul Bahiana. Mata. Solo argilo-silicoso.",NA,NA,NA,NA,NA,NA,"-38.866667","-15.85","1988","07",NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:12:04-03","UFBA","ALCB","20690","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliaefolia","Cordia magnoliaefolia","Cham.","Mattos Silva, LA","Mattos Silva, LA; Hage, JL; Santos, EB dos","2553","1988","09","20","Southern America","Brasil","Bahia","Cairu","Fazenda Parafuso, do outro lado do rio, em frente à sede do Município.","-39.033333","-13.483333",NA,"5m de altura. Estéril.; Solo arenoso. Vegetação pertubada. Toda a área da propriedade ocupada com piaçaveiras nativas, associadas à vegetação local.",NA,NA,NA,NA,NA,NA,"-39.033333","-13.483333","1988","09",NA,NA,NA,NA,NA,NA
"38","2019-10-09 11:12:04-03","UFBA","ALCB","043845","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","Guedes, ML","Guedes, ML; Cabral, L; Oliveira, H","6738","1996","01","16","Southern America","Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul, Projeto Cedro da Veracel Florestal","-39.016667","-16.266667",NA,"de ca. 12 m. de altura. Folhas coriáceas, discolores. Material estéril.; estádio médio de regeneração.",NA,NA,NA,NA,NA,NA,"-39.016667","-16.266667","2000","01",NA,NA,NA,NA,NA,NA
"39","2019-10-09 11:12:04-03","UFBA","ALCB","049059","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","Guedes, ML; S. dos S. Lima","Lima, SS dos; Guedes, ML; Cabral, LCC; Oliveira, H","148","1999","06","20","Southern America","Brasil","Bahia","Santa Cruz Cabrália","Extremo Sul, Mata cara-branca, projeto CEDRO","-39.016667","-16.266667",NA,"dados fitossociológicos - módulo 3, parcela 13, nº 315, CAP 17,5 cm, alt. 8,0 m.#?#; Mata em estádio secundário de regeneração. Substrato argilo-arenoso.",NA,NA,NA,NA,NA,NA,"-39.016667","-16.266667","1999","07",NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:12:04-03","UFBA","ALCB","127900","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","Guedes, ML","Guedes, ML; Maia Neto, AL; Alunos de Botânica BIOC05","25582","2017","04","02","Southern America","Brasil","Bahia","Igrapiúna","Litoral Sul, Reserva Espinita, Cacau da Baixa e Trilha do Carneiro.","-39.156111","-13.877222",NA,"Folhas cartáceas, discolores. Inflorescência terminal, flores em botões.","ALCB045276","ALCB045276",NA,NA,NA,NA,"-39.156111","-13.877222","2017","05",NA,NA,NA,NA,NA,NA
"41","2019-10-09 11:12:04-03","UFBA","ALCB","57388","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.",NA,"Guedes, ML; Alves, L. de J.; Santana, DL; Loureiro, DM","10002","2001","09","03","Southern America","Brasil","Bahia","Ituberá","Litoral Sul, Fazenda Jubiabá, Assentamento Lucas Dantas, Ponto 04, Reserva Legal","-39.133333","-13.716667",NA,"Arbusto de ca. 2 m.Folhas coriáceas, discolores. Frutos imaturos de cor verde , quando maduros vermelha. Ocasional.",NA,NA,NA,NA,NA,NA,"-39.133333","-13.716667",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-10-09 11:12:04-03","UFBA","ALCB","58071","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","Guedes, ML","Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML","753","2001","06","25","Southern America","Brasil","Bahia","Una","Litoral Sul, Assentamento Vitorópolis","-39.066667","-15.283333",NA,"1,8m. Folhas coriáceas, discolores. Frutos imaturos verdes e maduros laranja. Ocasional.; Estádio avançado de regeneração.",NA,NA,NA,NA,NA,NA,"-39.066667","-15.283333","2002","03",NA,NA,NA,NA,NA,NA
"43","2019-10-09 11:12:04-03","UFBA","ALCB","59288","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","Guedes, ML","Guedes, ML; et al.","9714","2002","02","03","Southern America","Brasil","Bahia","Caravelas","Extremo Sul, Mata secundária","-39.754444","-17.735278",NA,"4 m. Folhas coriáceas, discolores, glabra. Flores em botões.; Mata secundária, parcela nº 3.",NA,NA,NA,NA,NA,NA,"-39.754444","-17.735278","2002","03",NA,NA,NA,NA,NA,NA
"44","2019-10-09 11:12:04-03","UFBA","ALCB","78896","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","Guedes, ML; Valadão, RM","Valadão, RM; Guedes, ML","705","2006","04","09","Southern America","Brasil","Bahia","Ituberá/Grapiúna","Litoral Sul, Fragmento do Corte Alto, N° 70 parcela - 15",NA,NA,NA,"de ca. 5,0m de altura e CAP de 20,0cm. Folhas semi-crassas, discolores e glabras. Material estéril.; Arbórea.",NA,NA,NA,NA,NA,NA,NA,NA,"2006","10",NA,NA,NA,NA,NA,NA
"45","2019-10-09 11:12:04-03","UFBA","ALCB","95981","PreservedSpecimen","Plantae","Dicotyledon",NA,"Boraginaceae","Cordia","magnoliifolia","Cordia magnoliifolia","Cham.","Guedes, ML","Guedes, ML; Gomes, FS; Lisboa, MS","17505","2010","07","21","Southern America","Brasil","Bahia","Igrapiúna","Litoral Sul, Pedra Branca","-39.208611","-13.909167",NA,"Folhas coriáceas, discolores. Frutos imaturos verdes.; Área antropizada",NA,NA,"167","167",NA,NA,"-39.208611","-13.909167","2010","08",NA,NA,NA,NA,NA,NA
