"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","phylum","verbatimLongitude","verbatimLatitude","individualCount","preparationType"
"11","2020-12-11 11:40:12-03","UFMG","BHCB","31438","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","Lombardi, JA; Temponi, LG","1118","1996","02","25","Brasil","Espírito Santo","Santa Teresa","trilha subindo o Country Club","-40.6002998352051","-19.9356002807617","23813","Erva, folhas cartáceas, frutos imaturos verdes; Mata Atlântica","BHCB054605",NA,"auto",NA,"2020","01",NA,NA,NA,NA,"Southern America","Dicotyledon",NA,NA,NA,NA
"12","2021-02-11 17:21:14-03","UFPR","UPCB","76390","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.- Silva","Amorim, A.M.A.","7333","2008","05","04","Brasil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas. Localidade de Alegre, trilha do Pau Oco. Floresta Ombrófila Densa Montana.","-40.519","-20.291",NA,"Sub-arbusto ca. 1,5m alt. Folhas variaegadas no centro da lâmina, vistosas. Frutos imaturos verdes..",NA,NA,NA,"Guimarães, E. F.","2011",NA,NA,NA,NA,NA,NA,NA,"-40.519","-20.291",NA,NA
"13","2016-02-10 14:27:00-02","MO","MOBOT","100894100","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F. Guim. & Carv.-Silva","M. Alejandra Jaramillo|Masahiro Kato|L. Yamaguchi|Ludovic Kollmann","Jaramillo 933","2005","6","10","Brazil","Espírito Santo","Santa Maria do Jetibá","Belém, terreno de Paulo Seik.","-40.6833333","-20.0333333",NA,NA,NA,NA,NA,"UMO",NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,"1",NA
"14","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","11366",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","V. Demuner; et al","279","1999","11","30","Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,"Arbusto 50cm, eixo floral, flores de cor bege.","MBML011366",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA
"15","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","15291",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","4700","2001","09","19","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Erva 40cm na meia sombra. Espigas brancas.","MBML015291",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"16","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","15329",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","4734","2001","09","26","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Arbusto 1m na sombra. Flores brancas.","MBML015329",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"17","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","15567",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","5093","2001","11","29","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Erva 40cm na sombra. Espigas brancas.","MBML015567",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"18","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","15593",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","5021","2001","11","27","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Planta 30cm. Frutos verdes.","MBML015593",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"19","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","15780",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","5148","2001","12","06","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Erva 1m na sombra. Frutos verdes.","MBML015780",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"20","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","17476",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","R.R. Vervloet; et al","795","2002","08","31","Brasil","Espírito Santo","Santa Teresa","São Lourenço","-40.620556","-19.931111",NA,"Terrestre, fundo de vale, dossel 12m, espiga e flores de cor branca.","MBML017476",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W37'14","19S55'52",NA,NA
"21","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","17550",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","R.R. Vervloet; et al","1041","2002","09","24","Brasil","Espírito Santo","Santa Teresa","Reserva Biológica Augusto Ruschi - Nova Lombardia","-40.553056","-19.9075",NA,"Terrestre com 50cm, fundo de vale, dossel 18m, flores brancas.","MBML017550",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W33'11","19S54'27",NA,NA
"22","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","18455",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","5768","2002","11","19","Brasil","Espírito Santo","Santa Maria de Jetibá","Belém","-40.697222","-20.043333",NA,"Arbusto 1m, na sombra. Frutos verdes.","MBML018455",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W41'50","20S2'36",NA,NA
"23","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","21856",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","6257","2003","08","19","Brasil","Espírito Santo","Santa Maria de Jetibá","Belem, Terreno de Paulo Seick","-40.697222","-20.043333",NA,"Erva 40cm na sombra. Espigas brancas.","MBML021856",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W41'50","20S2'36",NA,NA
"24","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","21866",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","6270","2003","08","19","Brasil","Espírito Santo","Santa Maria de Jetibá","Belem, Terreno de Paulo Seick","-40.697222","-20.043333",NA,"Arbusto 2m na sombra. Espigas brancas.","MBML021866",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W41'50","20S2'36",NA,NA
"25","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","3064",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","H. Q. Boudet Fernandes","1524","1985","10","01","Brasil","Espírito Santo","Santa Teresa","Penha","-40.552778","-19.953333",NA,"Erva 50cm, pêlos alvos, inflorescência branca, semi-sombra, mata.","MBML003064",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W33'10","19S57'12",NA,NA
"26","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","3094",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","W. Pizziolo","176","1985","10","21","Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,"Arbusto inflorescência ciófila, a beira do riacho.","MBML003094",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA,NA
"27","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","33657",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","10626","2008","02","15","Brasil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas","-40.519444","-20.291389",NA,"Planta 1m na sombra, frutos verdes. Material prensado em álcool.","MBML033657",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W31'10","20S17'29",NA,NA
"28","2020-09-22 12:01:05-03","MBML","MBML-HERBARIO","34616",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & M. Carvalho-Silva","A. M. Amorim; et al","7319","2008","05","04","Brasil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas","-40.519444","-20.291389",NA,NA,"MBML034616",NA,NA,"A. Melo, 15.I.2020",NA,NA,NA,NA,NA,NA,NA,NA,"40W31'10","20S17'29",NA,NA
"29","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","35601",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","A. P. Fontana; L. Kollmann & K. A. Brahim","5009","2008","04","16","Brasil","Espírito Santo","Santa Leopoldina","Alto Luxemburgo, beira da estrada, mata ciliar, dossel 15m.","-40.608611","-20.128333",NA,"Arbusto, ca. 1m. Na sombra. Frutos verde.","MBML035601",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,"660","660",NA,NA,NA,"40W36'31","20S7'42",NA,NA
"30","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","36351",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; et al","11243","2008","10","21","Brasil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas","-40.540556","-20.278333",NA,NA,"MBML036351",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W32'26","20S16'42",NA,NA
"31","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","48317",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","A. M. Assis; J. Freitas","3760","2013","03","08","Brasil","Espírito Santo","Santa Leopoldina","RPPN Rancho Chapadão - Bragança","-40.554111","-20.11075",NA,"Subarbusto 1m. Frutos verdes. Interior de mata ciliar (Córrego do Bicho).","MBML048317",NA,NA,"A.M. Assis/Dez.2013",NA,NA,NA,"580","580",NA,NA,NA,"40W33'14,8","20S6'38,7",NA,NA
"32","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","5217",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","H. Q. Boudet Fernandes; et al","2540","1988","09","19","Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Erva, espiga amarelada, à sombra, mata.","MBML005217",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W31'49","19S58'17",NA,NA
"33","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","7861",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; E. Bausen & W. Pizziolo","446","1998","08","26","Brasil","Espírito Santo","Santa Teresa","São Lourenço","-40.620556","-19.931111",NA,"Mata de encosta. Planta 30cm. Flores brancas.","MBML007861",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W37'14","19S55'52",NA,NA
"34","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","7867",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann; E. Bausen & W. Pizziolo","648","1998","09","30","Brasil","Espírito Santo","Santa Teresa","São Lourenço","-40.620556","-19.931111",NA,"Mata de encosta. Planta rasteira. Flores brancas.","MBML007867",NA,NA,"D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,"40W37'14","19S55'52",NA,NA
"35","2020-07-10 09:48:51-03","MBML","MBML-HERBARIO","29201",NA,"Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & Carv.-Silva","L. Kollmann","9548","2007","03","16","Brasil","Espírito Santo","Santa Leopoldina","California","-40.5297012329102","-20.1005992889404","23799","Planta 30cm na sombra, frutos verdes.","MBML029201",NA,"auto","D. Monteiro/20-06-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020-09-02 16:35:51-03","Cenargen","CEN","39766","PreservedSpecimen","Plantae","Piperaceae","Piper","carautensei","Piper carautensei","E.F.Guim. & M.Carvalho-Silva","Gert Guenther Hatschbach","61164","1994","10","08","Brasil","ES","ALFREDO CHAVES","São Bento de Urânia","-40.749698638916","-20.6350002288818","32447","Espigas alvescentes. Doação da Prefeitura Municipal de Curitiba - Museu Botânico Municipal.","CEN00039766","CEN00039766","auto","M. Carvalho-Silva","2015","07",NA,NA,NA,NA,NA,NA,NA,NA,"1","Exsicatas"
"37","2020-07-23 12:17:54-03","CEPLAC","CEPEC","125631","PreservedSpecimen","Plantae","Piperaceae","Ottonia","peltata","Ottonia peltata",NA,"A. M. Amorim","7333",NA,NA,NA,"Brasil","Espírito Santo","cariacica",NA,"-40.4199981689453","-20.2639007568359","18507","<ll>dwc_commonname:</ll>",NA,NA,"auto","E. F. Guimarães",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
