"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","class","order","barcode","imagecode","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","fieldNumber","preparationType","relatedCatalogItem"
"11","2019-11-21 14:29:53-03","UFJF","CESJ","47497","PreservedSpecimen","Plantae","Angiosperma","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","G. Hatschbach","2005","E. Barbosa; E.F. Costa","975","2004","08","23","América do Sul","Brasil","Paraná","Céu Azul","Parque Nacional do Iguaçu","-53.8485984802246","-25.1466999053955","51148","Erva, 90 cm, flor rosada. Beira de floresta.","auto",NA,NA,"CESJ047497","CESJ047497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-11-21 14:29:53-03","UFJF","CESJ","51381","PreservedSpecimen","Plantae","Angiosperma","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","G. Hatschbach","2006","O.S. Ribas; J.M. Silva; C.C.A. Andrade","7412","2006","10","03","América do Sul","Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, Trilha do Poço Preto","-54.5881004333496","-25.5478000640869","39570","Herbácea, 2,50 m, flor lilás-rosada. Margem do caminho. Floresta estacional semidecídua.","auto",NA,NA,"CESJ051381","CESJ051381 CESJ051381_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-07 11:40:27-03","UFMS","CGMS","48562","PreservedSpecimen","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A.Côrtes",NA,"2020","O.S. Ribas; J.M. Silva; C.C.A. Andrade","7412","2006","10","03",NA,"Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu. Trilha do Poço Preto.","-54.5881004333496","-25.5478000640869","39570","Flor lilás-rosada. Habitat: Margem do caminho.Floresta estacional semidecídua. Habito: Erva. 2,50m de altura.","auto",NA,NA,"CGMS1078518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-10-14 09:57:56-03","FURB","FURB","38456","PreservedSpecimen","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A.Côrtes","Hatschbach, G.","2006","Ribas, O.S.; Silva, J.M. & Andrade, C.C.","7412","2006","10","03",NA,"Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçú - trilha do Poço Preto.","-54.5881004333496","-25.5478000640869","39570","Habitat: Floresta Estacional Semidecidual; borda da trilha Habito: arbusto; flor lilás","auto",NA,NA,"FURB00410","FURB00410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-16 17:52:40-03","UCS","HUCS","36230","PreservedSpecimen","Plantae","Angiospermae","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","Hatschbach, G.","2006","Silva, J.M.","s.n.","2006","10","03",NA,"Brasil","Paraná","Foz do Iguaçu","Foz do Iguaçu","-54.5881004333496","-25.5478000640869","39570","Herbário MBM; Floresta","auto",NA,"Lamiales","HUCS006413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-16 17:52:40-03","UCS","HUCS","9406","PreservedSpecimen","Plantae","Angiospermae","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","Wasshausen, D.C.","1991","Hatschbach, G.","49561","1985","08","22",NA,"Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu","-54.5881004333496","-25.5478000640869","39570","erva 70 cm; mata pluvial","auto",NA,"Lamiales","HUCS006463",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-16 17:52:40-03","UCS","HUCS","31197","PreservedSpecimen","Plantae","Angiospermae","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","Hatschbach, G.","2006","Ribas, O.S.","7412","2006","10","03",NA,"Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu","-54.5881004333496","-25.5478000640869","39570","Herbário MBM; Floresta Estacional Semidecidua","auto",NA,"Lamiales","HUCS006426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-16 17:52:40-03","UCS","HUCS","25473","PreservedSpecimen","Plantae","Angiospermae","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","Hatschbach, G.","2005","Barbosa, E.","965","2004","08","05",NA,"Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu","-54.5881004333496","-25.5478000640869","39570","ereta 70 cm - flor rosada &nf;herbário MBM","auto",NA,"Lamiales","HUCS006462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-16 17:52:40-03","UCS","HUCS","32072a","PreservedSpecimen","Plantae","Angiospermae","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","Hatschbach, G.","2006","Ribas, O.S.","s.n.","2006","10","03",NA,"Brasil","Paraná","Foz do Iguaçu","Trilha do Poço","-54.5881004333496","-25.5478000640869","39570","Herbário MBM; Floresta Estacional Semidecidua","auto",NA,"Lamiales","HUCS006425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-08-16 08:38:06-03","UTFPR","HCF","17841","S","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A. Côrtes","M.G. Caxambu","2016","E.L. Siqueira","1595","2015","09","03",NA,"Brasil","PR","Foz do Iguaçu","Parque Nacional do Iguaçu, Macuco","-54.456444","-25.647139",NA,"arbusto ca. 2 m, ripário, rupícola, semi-ciófilo. Flores arroxeadas. Botões florais verde-arroxeados.",NA,NA,NA,NA,NA,"54°27'23,2 W","25°38'49,7 S","08","15","172","172",NA,NA,NA,NA,NA
"21","2019-08-16 08:38:06-03","UTFPR","HCF","17187","S","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A. Côrtes","M.G. Caxambu","2016","M.G. Caxambu","6488","2015","06","04",NA,"Brasil","PR","Foz do Iguaçu","Parque Nacional do Iguaçu, próximo às","-54.437611","-25.65375",NA,"subarbusto ca. 2 m, semi-ciófilo. Flores rosas. Formando touceira na orla da floresta.",NA,NA,NA,NA,NA,"54°26'15,4 W","25°39'13,5 S","08","15","195","195",NA,NA,NA,NA,NA
"22","2019-08-16 08:38:06-03","UTFPR","HCF","17751","S","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A. Côrtes","M.G. Caxambu","2016","M.G. Caxambu","6807","2015","08","21",NA,"Brasil","PR","Céu Azul","Parque Nacional do Iguaçu - Estrada de","-53.870139","-25.189083",NA,"erva semi-ciófila, ca. 0,45 m, frequente. Flores com cálice verde e corola rosa.",NA,NA,NA,NA,NA,"53°52'12,5 W","25°11'20,7 S","08","15","653","653",NA,NA,NA,NA,NA
"23","2019-08-16 08:38:06-03","UTFPR","HCF","11007","S","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A. Côrtes","J. Cordeiro & E. Barboza","2010","L.G. Temponi","671","2009","10","12",NA,"Brasil","PR","Foz do Iguaçu","Parque Nacional do Iguaçu, Trilha das","-54.5881004333496","-25.5478000640869","39570","arbusto, 1,60 m, flores rosadas. Floresta Estacional Semidecidual.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-08-16 08:38:06-03","UTFPR","HCF","5382","S","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A. Côrtes","G. Hatschbach","2006","O.S. Ribas","7412","2006","10","03",NA,"Brasil","PR","Foz do Iguaçu","Parque Nacional do Iguaçu, trilha do","-54.5881004333496","-25.5478000640869","39570","herbácea, 2,50 m, flor lilás-rosada. Margem do caminho.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:11:01-03","MBM","MBM","322292","PreservedSpecimen","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A.Côrtes","Hatschbach, G.","2006","Ribas, O.S.; Silva, J.M.; Andrade, C.C.A.; Silva, J.M.; Andrade, C.C.A.","7412","2006","10","03","Southern America","Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, Trilha do Poço Preto","-54.5881004333496","-25.5478000640869","39570","Herbácea, 2,50m, flor lilás rosada.; Margem do caminho. Floresta Estacional Semidecídua.","auto",NA,NA,"MBM322292","MBM322292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:11:09-03","MBM","MBM","301269","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Hatschbach, G.","2005","Barboza, E.; Costa, E.F.; Costa, E.F.","975","2004","08","23","Southern America","Brazil","Paraná","Céu Azul","Parque Nacional do Iguaçu","-53.8485984802246","-25.1466999053955","51148","Flor rosada.","auto",NA,NA,"MBM301269","MBM301269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:11:09-03","MBM","MBM","114692","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Wasshausen, D.","1991","Hatschbach, G.; Cervi, A.C.; Cervi, A.C.","50625","1986","10","12","Southern America","Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu","-54.5881004333496","-25.5478000640869","39570","Flor lilás.","auto",NA,NA,"MBM114692","MBM114692",NA,NA,"08",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:11:09-03","MBM","MBM","301268","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Hatschbach, G.","2005","Barboza, E.; Costa, E.F.; Costa, E.F.","965","2004","08","05","Southern America","Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu","-54.5881004333496","-25.5478000640869","39570","Flor rosada.","auto",NA,NA,"MBM301268","MBM301268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:11:09-03","MBM","MBM","36530","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Côrtes, A.L.A.","2010","Hatschbach, G.","11211","1964","04","17","Southern America","Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu","-54.5881004333496","-25.5478000640869","39570","Arbusto 1m, flor lilás.","auto",NA,NA,"MBM036530","MBM036530",NA,NA,"10","02","200","200",NA,NA,NA,NA,NA
"30","2020-12-21 16:11:09-03","MBM","MBM","356876","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Cordeiro, J.; Barboza, E.","2010","Temponi, L.G.; Poliquesi, C.B.; Fragoso, R.D.; Poliquesi, C.B.; Fragoso, R.D.","636","2009","10","11","Southern America","Brazil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, Trilha do poço Preto.","-54.5881004333496","-25.5478000640869","39570","Flor rosada.","auto",NA,NA,"MBM356876","MBM356876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:11:09-03","MBM","MBM","36507","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum","Kameyama, C.","2009","Hatschbach, G.","3894","1957","05","02","Southern America","Brazil","Paraná","Foz do Iguaçu","Serra do benjamin","-54.5881004333496","-25.5478000640869","39570","Flor lilás.","auto",NA,NA,"MBM036507","MBM036507",NA,NA,"05","29",NA,NA,NA,NA,NA,NA,NA
"32","2020-12-11 11:31:16-03","UFMG","BHCB","108056","PreservedSpecimen","Plantae","Dicotyledon","Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M.Baum",NA,"2006","Ribas, OS; Silva, JM; Andrade, CCA","7412","2006","10","03","Southern America","Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu, Margem do caminho.","-54.5881004333496","-25.5478000640869","39570","Herbácea, 2,5m, flor lilás-rosada.; Floresta Estacional semidecídua.","auto",NA,NA,"BHCB053651",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-02-11 17:17:46-03","UFPR","UPCB","84998","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum.","Hatschbach, G.","2005","Barbosa, E | Costa, E.F.","965","2004","08","05",NA,"Brasil","Paraná","Foz do Iguaçu","Parque Nacional do Iguaçu","-54.5881004333496","-25.5478000640869","39570","Ereta, 70 cm, flor rosada. Beira do caminho..","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-07-31 09:20:00-03","MO","MOBOT","2489411","PreservedSpecimen","Plantae",NA,"Acanthaceae","Pachystachys","dubiosa","Pachystachys dubiosa","(Lindau) A.L.A. Côrtes","fide Côrtes et al.",NA,"Émile Hassler","Hassler 8573","1905","1",NA,"South America","Paraguay","Guairá",NA,"Prope Villarrica, Cerro Pelado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype","1",NA,NA,NA
"35","2012-06-27 16:18:00-03","MO","MOBOT","100483386","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau","Soloman's Bolivian index cards",NA,"Stephan G. Beck","Beck 1689",NA,NA,NA,"South America","Bolivia","Beni","Gral. Ballivian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"700.00000000",NA,NA,"1",NA,NA,NA
"36","2008-05-27 22:02:00-03","MO","MOBOT","1734176","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau",NA,NA,"Mónica Moraes","Moraes R. 372",NA,NA,NA,"South America","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2008-05-27 22:02:00-03","MO","MOBOT","1734200","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau",NA,NA,"Otto Kuntze","Kuntze s.n.",NA,NA,NA,"South America","Bolivia","Santa Cruz",NA,"Sta. Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,NA,NA
"38","2009-08-23 08:40:00-03","MO","MOBOT","3153963","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau","fide Foster's cards",NA,"T. Herzog","Herzog 441","1907","7",NA,"South America","Bolivia",NA,NA,"prope Velasco, pr. Florida, Río Quisere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2011-06-08 17:16:00-03","MO","MOBOT","3154364","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau","fide Foster's cards",NA,"José Steinbach","Steinbach G. 7393","1926","1","2","South America","Bolivia","Santa Cruz","Sara","Río Surutú",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA
"40","2011-06-08 12:01:00-03","MO","MOBOT","499327","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau","D. Wasshausen",NA,"José Schunke V.","Schunke Vigo 9478","1976","6","29","South America","Peru","Huánuco","Leoncio Prado","Dtto. Rupa Rupa; Calpar Bella, Cueara de los Huaricños. (margen Izquierda del Río Monzon).","-75.98333","-9.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"700.00000000","900.00000000",NA,"7","16",NA,NA
"41","2011-06-09 17:24:00-03","MO","MOBOT","502302","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","boliviensis","Streblacanthus boliviensis","Lindau","D. Wasshausen (US)",NA,"Percy Núñez V.","Núñez Vargas 5767","1986","8","18","South America","Peru","Madre de Dios","Manu","Manu Park, Cocha Cashu uplands.","-71.16666","-11.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400.00000000",NA,NA,"4","86-34",NA,NA
"42","2008-05-27 22:02:00-03","MO","MOBOT","500341","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","D.C. Wasshausen (US)",NA,"Elsa M. Zardini|A. Aguayo","Zardini 14094","1989","9","9","South America","Paraguay","Guairá",NA,"Cordillera de Ybytyruzú. Road Melgarejo-Antena, 15 kms N of Antena. Gallery forest along Arroyo Tacuara.","-56.33333","-24.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","134",NA,NA
"43","2008-05-27 22:02:00-03","MO","MOBOT","500423","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","D. Wasshausen (US)",NA,"James C. Solomon|Michael J. Balick|Douglas C. Daly","Solomon 8171","1982","7","28","South America","Bolivia","Beni","Marbán","Estación Experimental Perotó, 97 km ESE of Trinidad on road to Santa Cruz. Annually inundated forest, trees to 15 m, but not forming a closed canopy.","-64.41666","-15.33333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"230.00000000",NA,NA,"8","82-5",NA,NA
"44","2020-07-25 11:29:00-03","MO","MOBOT","2489438","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum",NA,NA,"Émile Hassler","Hassler 4216","1898","8",NA,"South America","Paraguay","San Pedro",NA,"Prope San Estanislao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"45","2015-04-21 05:44:00-03","MO","MOBOT","100535852","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","J. R. I. Wood (OXF)",NA,"G.A. Parada|Y. Inturias|S. Carreño|Ivan Linneo|Julio Dávalos","Parada-Gutierrez 1663","2009","8","29","South America","Bolivia","Santa Cruz","Guarayos","Cerro Grande y Chicos.","-63.5201945","-15.6600556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"180.00000000",NA,NA,"1",NA,NA,NA
"46","2014-09-12 11:02:00-03","MO","MOBOT","100742362","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","C. Peichoto",NA,"Troels M. Pedersen","Pedersen 15020","1988","9","15","South America","Paraguay","Itapúa",NA,"Main road Encarnación - Pto. Stroessner, by the Arroyo Pirapey.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"47","2011-06-08 17:15:00-03","MO","MOBOT","1088853","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","D. Wasshausen (US)",NA,"José Steinbach","Steinbach G. 7393","1900","1","2","South America","Bolivia","Santa Cruz","Ichilo","Rio Surutu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA
"48","2008-05-27 22:02:00-03","MO","MOBOT","1307081","PreservedSpecimen","Plantae",NA,"Acanthaceae","Streblacanthus","dubiosus","Streblacanthus dubiosus","(Lindau) V.M. Baum","C. Ezcurra (SI)",NA,"Elsa M. Zardini|G. Hellman","Zardini 49056","1998","7","23","South America","Paraguay","Caazapá",NA,"Estancia Golondrina. Reserva Privada Ypeti. Tall forest and swamps with tree ferns up to 8 m tall.","-55.54305","-25.69305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1151",NA,NA
