"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag","monthIdentified","continentOcean","class","order","dayIdentified","relatedCatalogItem"
"11","2021-03-04 11:05:43-03","UFRB","HURB","13865","PreservedSpecimen","Plantae",NA,"Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda",NA,NA,"Victor Jr., V.","2246","2013","01","19","Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,NA,NA,NA,"HURB000013865","33549",NA,"auto",NA,NA,NA,NA,NA,NA
"12","2021-03-04 11:05:43-03","UFRB","HURB","13861","PreservedSpecimen","Plantae",NA,"Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda",NA,NA,"Victor Jr., V.","588","2013","01","11","Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,NA,NA,NA,"HURB000013861","33549",NA,"auto",NA,NA,NA,NA,NA,NA
"13","2021-03-04 11:05:43-03","UFRB","HURB","13862","PreservedSpecimen","Plantae",NA,"Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda",NA,NA,"Victor Jr., V.","1037","2013","01","11","Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,NA,NA,NA,"HURB000013862","33549",NA,"auto",NA,NA,NA,NA,NA,NA
"14","2021-03-04 11:05:43-03","UFRB","HURB","13863","PreservedSpecimen","Plantae",NA,"Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda",NA,NA,"Victor Jr., V.","1642","2013","01","13","Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,NA,NA,NA,"HURB000013863","33549",NA,"auto",NA,NA,NA,NA,NA,NA
"15","2021-03-04 11:05:43-03","UFRB","HURB","13864","PreservedSpecimen","Plantae",NA,"Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda",NA,NA,"Victor Jr., V.","1544","2013","01","14","Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,NA,NA,NA,"HURB000013864","33549",NA,"auto",NA,NA,NA,NA,NA,NA
"16","2021-02-09 10:13:26-03","UENF","HUENF","5404","PreservedSpecimen","Plantae",NA,"Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","Bovini, M.G.","2010","Mauad, L.P.; Souza, T.P.","122","2010","01","13","Brasil","Rio de Janeiro","Campos dos Goytacazes","Morro Itaoca","-41.448056","-21.797222","41º26'53''W","21º47'50''S","201","201","Planta arbórea, fruto cor verde e folhas alternas espiraladas, coletada em borda da trilha para a torre","HUENF00005407",NA,NA,NA,"05",NA,NA,NA,"05",NA
"17","2019-11-13 11:25:03-03","USP","SPF","200451","PreservedSpecimen","Plantae",NA,"Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","Freitas, HS","2009","Freitas, HS","282","2007","12","27","Brasil","São Paulo","São José do Barreiro",NA,"-44.656667","-22.642778","-44.656667","-22.642778","504","504",NA,"SPF00200451",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-10-07 09:33:36-03","UEFS","HUEFS","18571","PreservedSpecimen","Plantae","Angiospermae","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","N.Taroda","1998","Queiroz, L.P.de","4142","1994","10","14","Brasil","Bahia","Formosa do Rio Preto",NA,"-45.333333","-11.15","45W20'","11S9'",NA,NA,NA,"HUEFS0018571",NA,"HUEFS0018571",NA,"08",NA,"Rosanae","Malvales",NA,NA
"19","2019-01-25 15:42:16-02","IAC","IAC","7990","S","Plantae",NA,"Malvaceae-7.Sterculioideae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","F.R. Cruz","2007","A.P. Viégas","s/nº","1946","01","03","Brasil","São Paulo","Campinas","IAC, Fazenda Santa Elisa","-47.077171","-22.870251","-47.077171","-22.870251",NA,NA,"Caixa papelao pequena n.21.",NA,NA,NA,NA,"06",NA,NA,NA,"03",NA
"20","2020-07-23 12:23:32-03","CEPLAC","CEPEC","81079","PreservedSpecimen","Plantae",NA,"Sterculiaceae","Sterculia","curiosa","Sterculia curiosa",NA,"A. M. Amorim",NA,"A. M. Amorim","2229","1998","02","21","Brasil","Bahia","JUSSARÍ","Rod. Jussari/Palmira. Ntrada ca. 7,5Km de Jussari. Árvore 404. Obs.: Flores coletads no chão.","-39.528611","-15.158056","39W31'43","15S9'29",NA,NA,"<ll>dwc_commonname:</ll> Samuma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-07-23 12:23:32-03","CEPLAC","CEPEC","81087","PreservedSpecimen","Plantae",NA,"Sterculiaceae","Sterculia","curiosa","Sterculia curiosa",NA,"A. M. Amorim",NA,"A. M. Amorim","2222","1998","02","21","Brasil","Bahia","JUSSARÍ","Rod. Jussari/Palmira. Entradaca. 7,5Km de Jussari. Faz. Teimoso. RPPN Serra do Teimoso. Árvore 389.","-39.528611","-15.158056","39W31'43","15S9'29",NA,NA,"<ll>dwc_commonname:</ll> Samuma",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/2003"
"22","2020-07-23 12:23:32-03","CEPLAC","CEPEC","24829","PreservedSpecimen","Plantae",NA,"Sterculiaceae","Sterculia","curiosa","Sterculia curiosa",NA,"L. Dorr",NA,"J. L. Hage","1300","1981","09","08","Brasil","Bahia","ILHÉUS","Area do CEPEC. Quadra I'.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"<ll>dwc_commonname:</ll> Samuma-branca",NA,"61245",NA,"auto",NA,NA,NA,NA,NA,"30/12/1995"
"23","2021-03-04 15:44:52-03","IF","SPSF","39500","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda","J.A.Pastore","2009","F.M.Souza & R.Esteves & R.C.Sousa & J.B.Silva & R.L.M.Garcia & Z.S.Costa","844","2007","06","06","Brasil","SP","São Paulo","Parque Estadual do Jaraguá","-46.759167","-23.456111",NA,NA,"809","809","COLETA: Árvore, 22m. Frutos imaturos verdes, na carpoteca.; GEOGRAFIA: Trilha da Bica (ADM);",NA,NA,NA,NA,"09","América do Sul","Magnoliopsida","Malvales","24",NA
"24","2021-03-04 15:44:52-03","IF","SPSF","06299","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(vell.)Taroda","F.R.Cruz","2008","A. Rodrigues",NA,"1940","02","01","Brasil","SP","São Paulo","Horto Florestal","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"53584",NA,"auto","03","América do Sul","Magnoliopsida","Malvales","30",NA
"25","2021-03-04 15:44:52-03","IF","SPSF","06320","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(vell.)Taroda","F.R.Cruz","2007","L.Gonzaga",NA,"1940","07","01","Brasil","SP","São Paulo","Horto Florestal","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"53584",NA,"auto","05","América do Sul","Magnoliopsida","Malvales","30",NA
"26","2021-03-04 15:44:52-03","IF","SPSF","08247","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(vell.)Taroda","F.R.Cruz","2008","O.T. Aguiar",NA,"1978","02","22","Brasil","SP","Osasco",NA,"-46.7900009155273","-23.5300006866455",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"8709",NA,"auto","03","América do Sul","Magnoliopsida","Malvales","30",NA
"27","2021-03-04 15:44:52-03","IF","SPSF","01243","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(vell.)Taroda","F.R.Cruz","2007","A.P.D.Costa",NA,"1945","01","10","Brasil","SP","São Paulo","Horto Florestal","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"53584",NA,"auto","05","América do Sul","Magnoliopsida","Malvales","30",NA
"28","2021-03-04 15:44:52-03","IF","SPSF","05587","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(vell.)Taroda","F.R.Cruz","2007","P.Prado & B.R.Barbosa",NA,"1976","10","08","Brasil","SP","São Paulo","Horto Florestal","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"53584",NA,"auto","05","América do Sul","Magnoliopsida","Malvales","30",NA
"29","2021-03-04 15:44:52-03","IF","SPSF","07619","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Sterculia","curiosa","Sterculia curiosa","(vell.)Taroda","F.R.Cruz","2008","B.Costa",NA,"1952","03","11","Brasil","SP","São Paulo","Parque Estadual do Instituto Florestal","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,"53584",NA,"auto","03","América do Sul","Magnoliopsida","Malvales","30",NA
"30","2020-08-26 10:51:00-03","MCN-FZBRS","HAS","20731","PreservedSpecimen","Plantae","Magnoliophyta","Sterculiaceae","Sterculia","curiosa","Sterculia curiosa","(Vell.) Taroda",NA,NA,"Nilson, A.","181","1985","12",NA,"Brasil","Rio Grande do Sul","Porto Alegre","Bairro Moinhos de Vento, rua Mosterdeiro - Hospital Fêmina. Depressão Central.","-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Árvore com cerca de 15 m de altura, rara em Porto Alegre. Flores vermelho-alaranjadas.","HAS0020731","29946",NA,"auto",NA,NA,NA,NA,NA,NA
