"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","relationshipType","individualCount","eventTime","fieldNumber","sex"
"11","2021-04-05 14:24:48-03","UNESC","CRI","9474","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","M. Verdi","2010","02","08","M. Verdi; A.L. de Gasper","3605","2010","02","08","Brasil","Santa Catarina","Blumenau","Parque Nacional da Serra do Itajaí - Spitzkopf.","-49.129722","-27.020017","49º7'47''W","27º1'201''S","863","863","Floresta Ombrófila Densa","CRI000268","CRI000268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:24:48-03","UNESC","CRI","3221","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Renato Záquia",NA,NA,NA,"Clair Maria Martinello; Aurélio José de Aguiar",NA,"1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000288","CRI000288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:33:13-03","UNESC","CRI","8382","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde Citadini- Zanette","2007",NA,NA,"Aline Costa Brum Figueiró Leandro",NA,"2007",NA,NA,"Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","46","46",NA,"CRI000279","CRI000279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:24:48-03","UNESC","CRI","9549","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","A. Korte","2011","01","11","A. Korte","5029","2010","11","23","Brasil","Santa Catarina","Joinville","Lagoa Saguassu.","-48.780556","-26.280278","48º46'50''W","26º16'49''S","4","4","Restinga","CRI000264","CRI000264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:24:48-03","UNESC","CRI","3086","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde Citadini- Zanette","1995","01","01","Robson dos Santos; Sebastião Aleques Macedo Waltrick","13","1994","04","13","Brasil","Santa Catarina","Içara","Esplanada.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","5","5","Habitat: mata Atlântica (formação terras baixas) Habito: arbusto","CRI000277","CRI000277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:33:13-03","UNESC","CRI","11866","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Jean Gabriel Cemim, Marciel Fernandes & Kleber Emerick","2009","08","04","Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.685","-28.915556","49º41'6''W","28º54'56''S","30","30",NA,"CRI008601","CRI008601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:24:48-03","UNESC","CRI","12961","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Seubert, RC","2014","10","08","Seubert, R.C.; Sampaio, D.K.; Hofschneider, E.; Rezini, J.A. & Gebien, W.","38","2014","10","08","Brasil","Santa Catarina","Indaial","Faxinal do Bepe - Parque Nacional da Serra do Itajaí. Faxinal do Bepe - Parque Nacional da Serra do Itajaí.","-49.213056","-27.121111","49º12'47''W","27º7'16''S","699","699","Projeto Restaurar Habitat: Floresta Ombrófila Densa Montana; encosta Habito: arbórea;","CRI011720","CRI011720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:24:48-03","UNESC","CRI","8482","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde C. Zanette",NA,NA,NA,"Kleber Haileê Emerich",NA,"2008","01","01","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9",NA,"CRI000265","CRI000265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:24:48-03","UNESC","CRI","4768","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Daniel B. Falkenberg",NA,NA,NA,"Robson dos Santos",NA,"1996","02","17","Brasil",NA,"Brasil","Lot. Palmar, Praia das Palmas.","-48.559444","-27.315278","48º33'34''W","27º18'55''S","20","20",NA,"CRI000280","CRI000280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:24:48-03","UNESC","CRI","9492","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","A. Korte","2010","03","15","A. Korte; A. Kniess","1616","2010","02","03","Brasil","Santa Catarina","Itaiópolis","Arroio das Pombas.","-49.9475","-26.549722","49º56'51''W","26º32'59''S","747","747","Floresta Ombrófila Densa","CRI000259","CRI000259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:33:13-03","UNESC","CRI","3282","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Sobral, M.","1992","04","02","Sobral, M.",NA,"1992","04","02","Brasil","Santa Catarina","Orleans","Rio Novo","-49.284167","-28.358889","49º17'3''W","28º21'32''S",NA,NA,"Árvore beira do rio, calha principal","CRI013828","CRI013828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:24:48-03","UNESC","CRI","3175","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde Citadini- Zanette","1994","01","01","Vanilde Citadini-Zanette; Aurélio José de Aguiar","1826","1993","08","25","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","300","300","Habitat: interior de mata atlântica secundária de encosta Habito: árvore","CRI000269","CRI000269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:24:48-03","UNESC","CRI","11978","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Rafael Martins","2013","12","07","Peterson Teodoro Padilha; Thiago Disner & Rafael Martins",NA,"2011","12","07","Brasil","Santa Catarina","Grão Pará",NA,"-49.421389","-28.136944","49º25'17''W","28º8'13''S","450","450","PAP= 30 cm Habito: Árvore","CRI010124","CRI010124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:24:48-03","UNESC","CRI","686","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Renato Záquia",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1036","1991","11","16","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000275","CRI000275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-05 14:24:48-03","UNESC","CRI","3269","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Renato Záquia",NA,NA,NA,"Vanilde Citadini-Zanette; Clair Maria Martinello","1889","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000283","CRI000283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-05 14:24:48-03","UNESC","CRI","11756","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.",NA,NA,NA,NA,"Jean Gabriel Cemin; Marciel Fernandes e Kleber Emerick",NA,"2009","08","04","Brasil","Santa Catarina","Turvo",NA,"-49.681944","-28.928056","49º40'55''W","28º55'41''S","9","9",NA,"CRI000267","CRI000267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-04-05 14:24:48-03","UNESC","CRI","6090","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Rafael Martins","2010","09","08","V. Citadini-Zanette",NA,"1996","12","17","Brasil","Santa Catarina","Siderópolis",NA,"-49.424722","-28.598333","49º25'29''W","28º35'54''S","112","112",NA,"CRI000270","CRI000270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-05 14:24:48-03","UNESC","CRI","9491","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","A. Korte","2009","11","12","A. Korte; A. Kniess","924","2009","11","12","Brasil","Santa Catarina","Apiúna","Salão.","-49.320556","-27.180278","49º19'14''W","27º10'49''S","647","647","Floresta Ombrófila Densa","CRI000260","CRI000260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-05 14:24:48-03","UNESC","CRI","15045","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Aline Votri Guislon","2019","03","08","Aline V. Guislon; Iara Z. Zanoni; Suelane C. Fenali",NA,"2019","03","08","Brasil","Santa Catarina","Criciúma","APA Morro Albino e Esteves (L13)","-49.401111","-28.786944","49º24'4''W","28º47'13''S","30","30","Habito: Arbóreo","CRI014412","CRI014412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-05 14:24:48-03","UNESC","CRI","3415","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.",NA,NA,NA,NA,"Robson dos Santos","106","1994","09","17","Brasil","Santa Catarina","Forquilhinha","Horto Florestal de Forquilhinha.","-49.466667","-28.733333","49º28'W","28º44'S","42","42",NA,"CRI000274","CRI000274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-04-05 14:24:48-03","UNESC","CRI","9489","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","A. Korte","2010","11","30","A. Korte","4989","2010","11","18","Brasil","Santa Catarina","Itapoá","Saí Mirim.","-48.69","-26.1","48º41'24''W","26º6'0''S","18","18","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI000253","CRI000253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-04-05 14:24:48-03","UNESC","CRI","7972","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde Citadini- Zanette","2007","08","23","Beatriz Wessler; Bruna Alberton",NA,"2007","08","22","Brasil","Santa Catarina","Içara","SANTEC Resíduos.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","46","46",NA,"CRI000273","CRI000273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-04-05 14:24:48-03","UNESC","CRI","13883","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Alexandre Medeiros","2018","06","02","Alexandre Medeiros","990","2018","06","02","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S",NA,NA,"Fruto verde Habitat: Terrestre Habito: Arbórea","CRI012494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-04-05 14:24:48-03","UNESC","CRI","9505","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","T. J. Cadorin","2010","03","15","T. J. Cadorin; B. Grosch & C.P. Lopes","1079","2010","01","26","Brasil","Santa Catarina","Doutor Pedrinho","Forcação.","-49.599722","-26.7275","49º35'59''W","26º43'39''S","785","785","Floresta Ombrófila Densa","CRI000258","CRI000258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-04-05 14:24:48-03","UNESC","CRI","3270","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Renato Záquia",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Robson dos Santos","1890","1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000284","CRI000284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-05 14:24:48-03","UNESC","CRI","13879","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Alexandre Medeiros","2018","04","09","Alexandre Medeiros","983","2018","04","09","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S",NA,NA,"Flor verde/ vermelha Habitat: Terrestre Habito: Arbóreo","CRI012490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-04-05 14:24:48-03","UNESC","CRI","7690","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin",NA,"2008","03","26","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S","9","9",NA,"CRI000276","CRI000276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-05 14:24:48-03","UNESC","CRI","6254","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Vanilde Citadini- Zanette",NA,NA,NA,"V. Citadini-Zanette; C. M. Martinello","2533","1993","10","13","Brasil","Santa Catarina","Orleans","Rio Novo, Sufinski.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","180","180",NA,"CRI000282","CRI000282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-04-05 14:24:48-03","UNESC","CRI","8532","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","A. L. de Gasper","2009","01","15","N. L. de Souza; E. Brogni & R. Farage-Freitas","147","2009","01","15","Brasil","Santa Catarina","Águas Mornas","RPPN Rio das Lontras.","-48.823889","-27.694444","48º49'26''W","27º41'40''S","477","477","Floresta Ombrófila Densa","CRI000266","CRI000266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-04-05 14:24:48-03","UNESC","CRI","3283","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","R. Záchia",NA,NA,NA,"Paulo Brack",NA,"1991","10","24","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.291667","-28.359444","49º17'30''W","28º21'34''S","280","280",NA,"CRI000281","CRI000281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-04-05 14:24:48-03","UNESC","CRI","9553","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.",NA,NA,NA,NA,"M. Verdi; D. H. Klettenberg & A.L. Tomazi","3208","2009","11","28","Brasil","Santa Catarina","Siderópolis","Vila São Jorge.","-49.408889","-28.621944","49º24'32''W","28º37'19''S","43","43","Floresta Ombrófila Densa","CRI000261","CRI000261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-04-05 14:24:48-03","UNESC","CRI","9561","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","A. Stival-Santos","2009","10","07","A. Stival-Santos; E. Legal & S. Silveira","994","2009","10","07","Brasil","Santa Catarina","Gaspar","Gaspar Alto, Rua Hésio Silveira de Souza.","-49.050833","-27.000556","49º3'3''W","27º0'2''S","215","215","Floresta Ombrófila Densa Submontana Habitat: comum no fragmento Habito: árvore","CRI000257","CRI000257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-04-05 14:24:48-03","UNESC","CRI","5171","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","V. C. Zanette",NA,NA,NA,"V. Citadini-Zanette; T. Ike & T. Komatsubara","2324","1996","11","01","Brasil","Santa Catarina","Lauro Muller","Rocinha.","-49.396944","-28.393333","49º23'49''W","28º23'36''S",NA,NA,NA,"CRI000278","CRI000278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-04-05 14:24:48-03","UNESC","CRI","1006","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","Renato Záquia",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Clair Maria Martinello","12","1992","01","10","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S","300","300",NA,"CRI000272","CRI000272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-04-05 14:24:48-03","UNESC","CRI","3111","PreservedSpecimen","Plantae","Annonaceae","Guatteria","salicifolia","Guatteria salicifolia","R.E.Fr.","Marcos Sobral",NA,NA,NA,"Robson dos Santos; Raquel Rejane Bonatto Negrelle","64","1993","12","22","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha (Bairro Itapema Norte).","-48.65","-26.15","48º39'W","26º9'S","5","5",NA,"CRI000290","CRI000290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-09-23 10:36:10-03","E","E","393134","PreservedSpecimen","Plantae","Annonaceae","Guatteria","hookeri","Guatteria hookeri",NA,NA,NA,NA,NA,"Gardner, George","306",NA,NA,NA,"BR",NA,NA,"Rio Paqueqaes",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00393134 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00393134",NA,"isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:431780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-09-23 10:36:10-03","E","E","393135","PreservedSpecimen","Plantae","Annonaceae","Guatteria","hookeri","Guatteria hookeri",NA,NA,NA,NA,NA,"Gardner, George","306",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00393135 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00393135",NA,"isotype","E. Tropical South America","herbarium specimen of unspecif","BGBASE:431781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-03-15 16:37:00-03","NY","NYBG","25969","PreservedSpecimen","Plantae","Annonaceae","Guatteria","asterantha","Guatteria asterantha","R.E.Fr.",NA,NA,NA,NA,"Y. E. J. Mexia","5485","1931","01","07","Brazil","Minas Gerais","Viçosa","Viçosa. Road to Cajury; Canella","-42.8817","-20.7542",NA,NA,"229","229","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239771' target='other'> <mi>dwc_moreinfo</mi></a>","NY00025969","NY00025969_01","isotype","South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2021-03-15 16:37:00-03","NY","NYBG","378931","PreservedSpecimen","Plantae","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens",NA,NA,NA,"J. L. Hage","1768","1985","07","11","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau) km 22 da Rodovia Ilhéus/Itabuna (BR 415). Regiao de Mata Higrófila Sul Baiana. Qaudra D. Parque Zoobotánico","-39.22095","-14.7739696",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=141912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00378931","NY00378931_01",NA,"South America","sheet",NA,"Magnoliophyta","Magnoliales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
