"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","00996364","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","P. Clausen","131","1838",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105284' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996364","Magnoliophyta","Malvales","Aubl.","H. L. Setser","Minas Gerais",NA,NA,NA,NA,"NY00996364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00996342","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","G. T. Prance","P.19031","1973","10","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996342","Magnoliophyta","Malvales","Aubl.","W. Meijer","Mato Grosso","Chapada dos Guimarães","Vicinity of Colegio Buriti, Chapada dos Guimarães.","-55.80725","-15.4151111","NY00996342_01","720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","629034","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","J. G. Saunders","3090","1990","03","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629034","Magnoliophyta","Malvales","Aubl.","J. G. Saunders","Bahia",NA,"Ca 3 km S of Jacobina on road from Capim Grosso","-40.5","-11","NY00629034_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","02207738","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","E. L. Sette Silva","696","1986","08","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341800' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207738","Magnoliophyta","Malvales","Aubl.",NA,"Roraima","Boa Vista","Estrada para Serra Grande","-60.333333","-2.666667","NY02207738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00996335","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","H. S. Irwin","19151","1968","01","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996335","Magnoliophyta","Malvales","Aubl.","H. Setzer","Goiás","Cocalzinho de Goiás","75 km N. of Corumbá de Goiás on road to Niquelândia, valley of Rio Maranhão. Serra dos Pirineus.","-48.63","-15.35","NY00996335_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","778007","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","R. P. Lyra-Lemos","6351","2002","03","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778007","Magnoliophyta","Malvales","Aubl.","L. J. Dorr","Alagoas","Murici","Serra de Aguas Belas","-35.935","-9.2506","NY00778007_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","02210861","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","M. G. da Silva","2320","1969","08","19","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2343336' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210861","Magnoliophyta","Malvales","Aubl.",NA,"Pará","Santarém","Km 35 da estrada do Palhão, ramal para o Igarapé do Pilão","-54.7083015441895","-2.44305992126465","NY02210861_01",NA,NA,"205258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1802154","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","C. Farney","2841","1991","11","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2046622' target='other'> <mi>dwc_moreinfo</mi></a>","NY01802154","Magnoliophyta","Malvales","Aubl.","B. S. Amorim","Sergipe","Santo Amaro das Brotas","Povoado de Aldeia. Mata remanescente nas proximidades da Faz. Aravali.","-37.0544013977051","-10.7889003753662","NY01802154_01",NA,NA,"21551","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","763834","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","I. da S. Rivero","311","2000","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00763834","Magnoliophyta","Malvales","Aubl.","L. J. Dorr","Acre","Acrelândia","BR-364, km 87; Ramal do Projeto 2.","-67.1714","-9.2853","NY00763834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","2207723","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","L. M. M. Carreira","440","1983","02","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341784' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207723","Magnoliophyta","Malvales","Aubl.",NA,"Rondônia","Porto Velho","Guajara-Mirim-Abuna, trecho entre o km 12 ao km 36.","-65.32546","-10.596416","NY02207723_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","02207707","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","T. C. Plowman","8502","1980","02","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341767' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207707","Magnoliophyta","Malvales","Aubl.",NA,"Pará","Conceição do Araguaia","Range of low hills ca. 20 km west of Redenção, near Corrego São João and Troncamento Santa Teresa.","-50.17","-8.05","NY02207707_01","350","620",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00750354","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","J. A. Ratter","R1858","1968","06","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=879048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00750354","Magnoliophyta","Malvales","Aubl.","J. A. Ratter","Mato Grosso",NA,"8 km. east of Base Camp of the Expedition, (Base camp 12° 54'S, 51° 52'W, ca. 270 km. north of Xavantina on the Xavantina-Sao Felix road.)","-51.87","-12.9","NY00750354_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","2207720","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","S. R. Hill","12860","1983","06","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341781' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207720","Magnoliophyta","Malvales","Aubl.",NA,"Amazonas","Borba","W side of rio Canumã (black water) across from Canumã","-59.1","-4.033333","NY02207720_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","869621","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","C. A. Cid Ferreira","2554","1980","09","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34040' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869621","Magnoliophyta","Malvales","Aubl.","L. J. Dorr","Acre","Sena Madureira","Vizinhaça da cidade","-68.6567","-9.0658","NY00869621_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","298845","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","M. H. Nee","48409","1998","02","22","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00298845","Magnoliophyta","Malvales","Aubl.","M. H. Nee","Santa Cruz","Ichilo","Vicinity of old buildings for highway construction, ca. 2 km W of Villa San Germán on highway from Buena Vista to Río Ichilo.","-64.1083","-17.35",NA,"275","275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","2207705","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","M. G. da Silva","3074","1977","05","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341765' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207705","Magnoliophyta","Malvales","Aubl.",NA,"Pará",NA,"Rio Tocantins, Jacunda, Jatobal, estaçao da, antiga estrada de ferro de Tucurui.","-49.3927664","-4.6157373","NY02207705_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","2207718","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","B. V. Rabelo","2257","1983","06","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341779' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207718","Magnoliophyta","Malvales","Aubl.",NA,"Amapá","Macapá","Estrada da Fazendinha.","-51.0836577","-0.0329804","NY02207718_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02858976","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","D. da Silva Costa","473","2014","01","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2712080' target='other'> <mi>dwc_moreinfo</mi></a>","NY02858976","Magnoliophyta","Malvales","Aubl.","L. J. Dorr","Acre","Manoel Urbano","Parque estadual Chandless, ao longo do seringal Reintregue, próximo a entrada do Chandless chá.","-70.013064","-9.623025","NY02858976_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","03754491","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","H. Medeiros","998","2009","10","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2458539' target='other'> <mi>dwc_moreinfo</mi></a>","NY03754491","Magnoliophyta","Malvales","Aubl.","L. J. Dorr","Acre","Senador Guiomard","Fazenda Experimental Catuaba, BR 364 km 32.","-67.62","-10.07","NY03754491_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00996332","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","H. S. Irwin","18241","1966","07","16","South America","Brazil","sheet",NA,"Fruit separate. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996332","Magnoliophyta","Malvales","Aubl.","H. Setzer","Distrito Federal","Brasília","30 km S. of Brasília, D.F., on road to Belo Horizonte.","-47.8","-16.05","NY00996332_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","629033","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","A. M. Amorim","1052","1993","02","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00629033","Magnoliophyta","Malvales","Aubl.","L. J. Dorr","Bahia","Saúde","Cachoeira do Paulista. Entrada no km 10 da estrada Saúde/Jacobina. Ca 6 km a partir da entrada","-40.4189","-10.9411","NY00629033_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","2207703","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","B. A. Krukoff","1074","1931","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341763' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207703","Magnoliophyta","Malvales","Aubl.",NA,"Pará",NA,"Lower Cupary River, plateau between the Xingu and Tapajos Rivers","-53.9867735","-3.7272268","NY02207703_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","2207745","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","Collector unspecified","213",NA,NA,NA,"South America","Brazil","sheet",NA,"Herb. Mus. Vindob. 1839. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341807' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207745","Magnoliophyta","Malvales","Aubl.",NA,NA,NA,NA,NA,NA,"NY02207745_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02852582","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","L. Santos","1304","2011","11","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3102538' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852582","Magnoliophyta","Malvales","Aubl.","H. Medeiros","Rondônia","Alto Paraíso","Inventário Florestal Nacional - Rondônia (IFN - RO). Conglomerado RO - 119, Subunidade 3, Subparcela n º 8, arvore nº 5/ F6. Inventário Florestal Nacional - Rondônia (IFN - RO).","-63.54","-9.54","NY02852582_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00996343","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","G. T. Prance","59375","1964","10","11","South America","Brazil","sheet",NA,"Fruit separate. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1104976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996343","Magnoliophyta","Malvales","Aubl.","H. Sitser","Mato Grosso","Água Boa","Serra do Roncador. 46 km north of Chavantina, Rio Vau.","-52.1583","-14.0503","NY00996343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","2207717","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","H. H. Rusby","611","1886","10",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341778' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207717","Magnoliophyta","Malvales","Aubl.",NA,NA,NA,"Falls of Madeira.","-65.3465375","-10.7798649","NY02207717_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","869620","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","C. A. Cid Ferreira","10110A","1991","05","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869620","Magnoliophyta","Malvales","Aubl.","J. Ramos Barban","Acre","Rio Branco","Area do Parque Zoobotânico da UFAC, trilhas próximo ao Herbário.","-67.8097","-9.9747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","02210857","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","G. T. Prance","P17275","1973","08","10","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2343330' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210857","Magnoliophyta","Malvales","Aubl.",NA,"Amazonas",NA,"Rio Javari behind Estirão do Equador,","-71.5508","-4.5258","NY02210857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00996359","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","B. A. Krukoff","1518","1931","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996359","Magnoliophyta","Malvales","Aubl.","H. L. Setser","Rondônia",NA,"Near Tabajara, upper Machado River region.","-62.0581","-8.93419","NY00996359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00996366","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","G. Gardner","1476x","1838","08",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1105289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996366","Magnoliophyta","Malvales","Aubl.","H. L. Setser","Ceará",NA,NA,NA,NA,"NY00996366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","869623","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","C. A. Cid Ferreira","2819","1980","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34039' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869623","Magnoliophyta","Malvales","Aubl.","L. J. Dorr","Acre","Senador Guiomard","BR 317, 23Km","-67.7358","-10.1511","NY00869623_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","2207706","PreservedSpecimen","Plantae","Malvaceae","Apeiba","tibourbou","Apeiba tibourbou","A. S. L. da Silva","103","1977","10","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2341766' target='other'> <mi>dwc_moreinfo</mi></a>","NY02207706","Magnoliophyta","Malvales","Aubl.",NA,"Pará","Jacundá","Jatobal, area to be flooded by Tucurui dam; margin of Rio Tocantins","-49.5078","-4.6136","NY02207706_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
