"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","typeStatus","continentOcean","preparationType","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","eventTime","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","929920","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","L. E. Skog",NA,NA,NA,"W. W. Thomas","1988","02","09","Brazil","Goiás","Goiás","Serra Dourada, 1.3 km NW of junction of rd to Mossamedes on GO-070 from Goiânia to Goiás","-50.03","-15.95",NA,NA,"NY00929920","NY00929920_01","Magnoliophyta","Lamiales","5786",NA,"750","800",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999363' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","929916","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"H. S. Irwin","1970","01","25","Brazil","Goiás","Catalão","Contraforte Central, ca. 24 km N.E. of Catalão","-47.78961","-18.01337",NA,NA,"NY00929916","NY00929916_01","Magnoliophyta","Lamiales","25394",NA,"875","875",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999350' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","929943","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"E. P. Heringer","1978","03","16","Brazil","Distrito Federal","Brasília","Reserva Biológica das Águas Emendadas.","-47.9294","-15.7797",NA,NA,"NY00929943","NY00929943_01","Magnoliophyta","Lamiales","16949",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999458' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","929939","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","L. E. Skog",NA,NA,NA,"H. S. Irwin","1966","02","05","Brazil","Distrito Federal","Brasília","Fazenda Vargem Bonita, ca. 10 km S. of Brasília","-47.9167","-15.87367",NA,NA,"NY00929939","NY00929939_01","Magnoliophyta","Lamiales","12299",NA,"975","975",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999451' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","929929","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"H. S. Irwin","1965","10","05","Brazil","Distrito Federal","Brasília","Near Sobradinho","-47.8167","-15.6333",NA,NA,"NY00929929","NY00929929_01","Magnoliophyta","Lamiales","8954",NA,"1100","1100",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999398' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","929923","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"C. E. O. Kuntze","1892","12",NA,"Brazil","Minas Gerais","Contendas","Contendas",NA,NA,NA,NA,"NY00929923","NY00929923_01","Magnoliophyta","Lamiales","s.n.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999378' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","929944","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","L. E. Skog",NA,NA,NA,"M. L. M. Azevedo","1998","07","07","Brazil","Minas Gerais","Formoso","Parque Nacional Grande Sertão Veredas; Vereda do Veado, um dos braços da nascente do Rio Preto","-45.9261","-15.4081",NA,NA,"NY00929944","NY00929944_01","Magnoliophyta","Lamiales","1374",NA,"765","765",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999459' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","929922","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"S. Tsugaru","1987","11","05","Brazil","Mato Grosso do Sul",NA,"en route from Bataguaçu to Rio Paraná, 350 km SE from Campo Grande, along the Rt. BR-163.",NA,NA,NA,NA,"NY00929922","NY00929922_01","Magnoliophyta","Lamiales","B-2085",NA,"300","300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999375' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","442077","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"R. Reitz","1946","02","06","Brazil","Santa Catarina","Sombrio","Sombrio","-49.635936","-29.103288",NA,NA,"NY00442077","NY00442077_01","Magnoliophyta","Lamiales","C1406",NA,"5","5",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709056' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","929945","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"J. A. Ratter","1968","05","07","Brazil","Mato Grosso","Ribeirão Cascalheira","Córrego de Porco, 240 km. N. of Xavantina on Xavantina-São Felix road.","-51.8242","-12.9419",NA,NA,"NY00929945","NY00929945_01","Magnoliophyta","Lamiales","R.1334",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999460' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"21","2016-09-29 17:41:00-03","NY","NYBG","442089","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior",NA,"A. Chautems",NA,NA,NA,"L. Uribe-Uribe","1961","06","30","Colombia","Casanare",NA,"Tauremena, sabanas o llanos al sur de la poblacíon",NA,NA,NA,NA,"NY00442089",NA,"Magnoliophyta","Lamiales","3758",NA,"550","550",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709048' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","929919","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"J. H. Kirkbride Jr.","1977","03","02","Brazil","Mato Grosso",NA,"6 km N of Fazienda Santa Catarina which is on the road S of Serra do Aguapei","-59.42","-16.17",NA,NA,"NY00929919","NY00929919_01","Magnoliophyta","Lamiales","3014",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999359' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","442082","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"J. A. Ratter","1983","11","24","Brazil","São Paulo",NA,"About 7 km from Angatuba on the road to the Forestry Station (Fazenda Conquista)","-48.42","-23.45",NA,NA,"NY00442082","NY00442082_01","Magnoliophyta","Lamiales","R4980",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709053' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","442081","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"S. A. Mori","1980","03","26","Brazil","Bahia",NA,"Agua Quente. Arredores de Pico das Almas",NA,NA,NA,NA,"NY00442081","NY00442081_01","Magnoliophyta","Lamiales","13606",NA,"1400","1400",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709052' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","929937","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"B. Maguire","1963","09","30","Brazil","Goiás","Portelândia","74 km beyond Alto Araguaia en route to Goiania","-52.6783","-17.3536",NA,NA,"NY00929937","NY00929937_01","Magnoliophyta","Lamiales","56981",NA,"930","930",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999421' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","929931","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"H. S. Irwin","1969","01","26","Brazil","Minas Gerais",NA,"Ca. 17km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.15",NA,NA,"NY00929931","NY00929931_01","Magnoliophyta","Lamiales","22659",NA,"1300","1300",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999404' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"27","2016-09-30 03:02:00-03","NY","NYBG","01212162","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior",NA,"A. Chautems",NA,NA,NA,"J. M. Pires","1956","12","12","Brazil","Pará",NA,NA,NA,NA,NA,NA,"NY01212162","NY01212162_01","Magnoliophyta","Lamiales","6120",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1460092' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02706131","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems",NA,NA,NA,NA,"H. J. Wiehler","1999","04","25","Brazil","Paraná",NA,"Along Graciosa Road.",NA,NA,NA,NA,"NY02706131","NY02706131_01","Magnoliophyta","Lamiales","9928",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2996762' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","442088","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"J. J. Wurdack","1955","10","03","Venezuela","Monagas",NA,"Swampy shores of Laguna Grande, just south of La Pica. La Hormiga area, between la Pica and Cano Colorado east of Maturin",NA,NA,NA,NA,"NY00442088",NA,"Magnoliophyta","Lamiales","39537",NA,"14","50",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709047' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","929934","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"W. R. Anderson","1972","02","09","Brazil","Minas Gerais",NA,"Serra do Espinhaço, South-eastern drainage of Pico do Itambé, about 5 km directly west and north of Santo Antonio do Itambé","-43.351","-18.4489",NA,NA,"NY00929934","NY00929934_01","Magnoliophyta","Lamiales","35736",NA,"950","950",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999415' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","442076","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"S. Tsugaru","1987","12","02","Brazil","São Paulo","Sao Roque","Bairro Caete. 50 km W from Sao Paulo","-47.13","-23.5203",NA,NA,"NY00442076","NY00442076_01","Magnoliophyta","Lamiales","B2273",NA,"850","850",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709051' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","929913","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"W. R. Anderson","1973","03","04","Brazil","Goiás","Alto Paraíso de Goiás","Chapada dos Veadeiros, ca. 14 km by road N of Alto Paraíso","-47.5167","-13.9913",NA,NA,"NY00929913","NY00929913_01","Magnoliophyta","Lamiales","6276",NA,"1550","1550",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999341' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","02499470","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","B. M. Torke",NA,NA,NA,"B. M. Torke","2009","05","26","Bolivia","La Paz","Abel Iturralde","Pampas del Madidi area of the middle reaches of the Rio Madidi basin: Campamento Permanente on the N shore of the Rio Madidi, ca. 15.6 linear km NE of the confluence with the Rio Enatahua (Rio Inambari according to one guide), pampas ca. 1.2 km N of camp","-67.78869","-12.92758",NA,NA,"NY02499470","NY02499470_01","Magnoliophyta","Lamiales","533",NA,"180","180",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320227' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","929915","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"H. S. Irwin","1969","03","09","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 12 km south of Cavalcante","-47.5","-13.90846",NA,NA,"NY00929915","NY00929915_01","Magnoliophyta","Lamiales","24168",NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999349' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","442078","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"L. B. Smith","1957","02","01","Brazil","Santa Catarina","Campo Alegre","Upper fazenda of Ernesto Scheide, Campo Alegre","-49.2656","-26.1925",NA,NA,"NY00442078","NY00442078_01","Magnoliophyta","Lamiales","10577",NA,"900","1100",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709057' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","929935","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"E. P. Heringer","1978","03","08","Brazil","Distrito Federal","Brasília",NA,"-47.9294","-15.7797",NA,NA,"NY00929935","NY00929935_01","Magnoliophyta","Lamiales","16925",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999417' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","929942","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"E. P. Heringer","1977","11","28","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE. Coleta feita paralela à cerca divisória com a fazenda da UnB, abaixo do Marco Zannata.","-47.9294","-15.7797",NA,NA,"NY00929942","NY00929942_01","Magnoliophyta","Lamiales","287",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999456' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","929932","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"H. S. Irwin","1969","02","23","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 35 km west of Montes Claros, road to Agua Boa.","-43.5631","-16.83095",NA,NA,"NY00929932","NY00929932_01","Magnoliophyta","Lamiales","23774",NA,"1000","1000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999407' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","929921","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"G. I. d. Rocha","1990","02","21","Brazil","Distrito Federal","Brasília","­Área da Aeronaútica. Bacia do Taquara, vereda depois do estande de tiros.","-47.9294","-15.7797",NA,NA,"NY00929921","NY00929921_01","Magnoliophyta","Lamiales","53",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999371' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","929946","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"J. A. Ratter","1968","06","11","Brazil","Mato Grosso",NA,"4 km E of the Base Camp of the Expedition. (c. 270 km N. of Xavantina, close to the Xavantina-São Felix road).","-51.87","-12.9",NA,NA,"NY00929946","NY00929946_01","Magnoliophyta","Lamiales","R.1718",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999461' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","929940","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","elatior","Sinningia elatior","(Kunth) Chautems","A. Chautems",NA,NA,NA,"H. S. Irwin","1968","02","25","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 21 km N. of Sêrro on road (MG 2) to Diamantina.","-43.58","-18.55",NA,NA,"NY00929940","NY00929940_01","Magnoliophyta","Lamiales","20880",NA,"1200","1200",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999452' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA
