"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","typeStatus","sex"
"26","2021-01-14 15:26:43-03","MN","R","219377","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Castellanos, A.","23203","1960","02","10",NA,"Brasil",NA,NA,NA,"R010023363","R010023363","Almeida, M.C.","Rio de Janeiro",NA,NA,NA,NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-01-14 15:26:43-03","MN","R","91050","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Hoehne, F.C.","5717","1914","01",NA,NA,"Brasil",NA,NA,"Expedicao Cientifica Roosevelt-Rondon","R010023373","R010023373","Almeida, M.C.","Mato Grosso","São Luiz de Caceres",NA,NA,NA,NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-14 15:26:43-03","MN","R","52968","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Hoehne, F.C.","561","1908","09",NA,NA,"Brasil",NA,NA,"Comissao Rondon","R010023374","R010023374","Zappi, D.","Mato Grosso","Cáceres","-57.6789016723633","-16.0706005096436",NA,NA,"2014",NA,NA,"172193","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-01-14 15:26:43-03","MN","R","52969","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Hoehne, F.C.","1030","1909","01",NA,NA,"Brasil",NA,NA,"Comissão Rondon","R010023377","R010023377","Zappi, D.","Mato Grosso","Cáceres","-57.6789016723633","-16.0706005096436",NA,NA,"2014",NA,NA,"172193","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-01-14 15:26:43-03","MN","R","220096","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Mello, A.C.G.","71","1999","10","28",NA,"Brasil",NA,NA,NA,"R010023361","R010023361","Almeida, M.C.","Rio de Janeiro","Cabo Frio","-42.0186004638672","-22.8794002532959",NA,NA,"2014",NA,NA,"40069","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:26:43-03","MN","R","224395","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Rodarte, A.T.A.","332","2007","11","12",NA,"Brasil",NA,NA,NA,"R010023362","R010023362","Almeida, M.C.","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"2014","04","15","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-01-14 15:26:43-03","MN","R","226646","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Alves, R.J.V.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"R010006314","R010006314","Almeida, M.C.","Rio de Janeiro","Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"2016","10","26","20726","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-01-14 15:26:43-03","MN","R","198963","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Silva, I.M.; Oliveira, M.C.; Moreira, F.F.; Accardo, M.A.P.; Souza, A.T. & Souza, P.T.","672","2000","09","12",NA,"Brasil",NA,NA,NA,"R010023368","R010023368","Almeida, M.C.","Rio de Janeiro","Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"2014",NA,NA,"33509","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-01-14 15:26:43-03","MN","R","218709","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Braga, H.N.","715","1999","12","14",NA,"Brasil",NA,NA,NA,"R010023364","R010023364","Almeida, M.C.","Rio de Janeiro","Rio das Ostras","-41.9449996948242","-22.5268993377686",NA,NA,"2014",NA,NA,"17620","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-01-14 15:26:43-03","MN","R","204538","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Calvente, A.M.; Versieux, L.M.","80","2004","01","29",NA,"Brasil",NA,NA,NA,"R010023367","R010023367",NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-01-14 15:26:43-03","MN","R","218708","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Segadas -Vianna, F.; Dau, L.; Ormond, W.T.; Machline, G.C.; Loredo Jr., J.","1444","1953","09","09",NA,"Brasil",NA,NA,NA,"R010023359,R010023360","R010023359 R010023360","Zappi, D.","Rio de Janeiro","São João da Barra","-41.0511016845703","-21.6403007507324",NA,NA,"2014",NA,NA,"31235","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-01-14 15:26:43-03","MN","R","226526","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm.-Dyck) Ralf Bauer","Alves, R.J.V.",NA,NA,NA,NA,NA,"Brasil","Ilha de Cabo Frio",NA,NA,"R010001669","R010001669","Almeida, M.C.","Rio de Janeiro","Arraial do Cabo","-42.0278015136719","-22.966100692749",NA,NA,"2015","01","09","25964","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 19:59:41-03","MN","R","240032","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Selenicereus","setaceus","Selenicereus setaceus","(Salm-Dyck) Berg","Cardoso, W.C.; Soares, P.","468","2019","06","08",NA,"Brasil",NA,NA,"Cactaceae da Região Serrana Central do Espírito Santo","R010072050","R010072050","Cardoso, W.C.","Espírito Santo","João Neiva","-40.42","-19.736111","181","181","2019","06","08",NA,NA,NA,NA,"40°25'12''W","19°44'10''S",NA,NA,NA,NA
"39","2019-02-15 11:35:50-02","IPA","IPA","29475","S","Plantae","Plantae",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) Ralf Bauer","Andrade-Lima","73-7299","1973","04","06","Southern America","Brasil","- Vitória de Santo Antão.",NA,NA,"IPA0029475",NA,"Meiado, M.V.","Pernambuco","Escada","-35.2235984802246","-8.35916996002197",NA,NA,"2012","04","20","16695","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-02-15 11:35:50-02","IPA","IPA","4475","S","Plantae","Plantae",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) Ralf Bauer","Pickel, B.","1686","1928","04",NA,"Southern America","Brasil","Tapera, São Bento, sobre rochas.",NA,NA,"IPA0004475",NA,"Meiado, M.V.","Pernambuco","São Lourenço da Mata","-35.0182991027832","-8.00222015380859",NA,NA,"2012","04","20","21764","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-02-15 11:35:50-02","IPA","IPA","13869","S","Plantae","Plantae",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) Ralf Bauer","Andrade-Lima","66-4446","1966","02","16","Southern America","Brasil","margem estrada Pacajus-Fortaleza.",NA,"Epífita em Copernicea cerifera. Flores alvas.","IPA0013869",NA,"Meiado, M.V.","Ceará",NA,NA,NA,NA,NA,"2012","04","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-02-15 11:35:50-02","IPA","IPA","28703","S","Plantae","Plantae",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) Ralf Bauer","Andrade-Lima","71-6746","1971","11","09","Southern America","Brasil","Serra Negra",NA,NA,"IPA0028703",NA,"Meiado, M.V.","Pernambuco","Bezerros","-35.7969017028809","-8.23332977294922",NA,NA,"2012","04","20","25699","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-02-15 11:35:50-02","IPA","IPA","4476","S","Plantae","Plantae",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) Ralf Bauer","Pickel, B.","3120","1932","10","29","Southern America","Brasil","Tapera, São Bento, nos rochedos, limites de São Bento e Veneza.",NA,"Flor branca, noturna. Caule triangular. Fruto maduro encarnado (perde os gloquideos).","IPA0004476",NA,"Meiado, M.V.","Pernambuco","São Lourenço da Mata","-35.0182991027832","-8.00222015380859",NA,NA,"2012","04","20","21764","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-10-25 11:38:01-03","IECOS","HBRA","9030","S","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R. Bauer","R. M. Silva","332","2015","01","21","América do Sul","Brasil","Ilha Camarauaçu, mata aberta na porção central da restinga de Camarauaçu","exsicata",NA,NA,NA,"L. Y. S. Aona (HURB)","Pará","Augusto Corrêa","-46.43205556","-0.88780556","10","10","2012","04","01",NA,NA,NA,NA,"-46.43205556","-0.88780556",NA,NA,NA,NA
"45","2021-03-24 17:08:50-03","UFES","SAMES","1302","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","Menezes,L.F.T.; Giaretta,A.O.;Ribeiro,M.;Rossini,J.","1960","2010","11","04",NA,"Brasil","Fazenda próxima a Pedra da Cebola. Matações no meio do pasto, estrada seguindo para Gameleira.",NA,"Rupícola de 1m de altura, sépalas externas amarelas com ápice rosáceo, e sépalas internas petalóides brancas.","SAMES01302",NA,"Cardoso,W.C.","Espírito Santo","Nova Venécia","-40.4006004333496","-18.710599899292",NA,NA,"2014","07","24","42400","auto",NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 14:33:02-03","UFJF","CESJ","35805","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","M.C. Brügger","s.n.","2002","01","08","América do Sul","Brasil","Campus da UFJF",NA,"Planta epífita. Flores com perianto alvo esverdeado. Estames creme.","CESJ035805",NA,"D.R. Gonzaga","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"2012","03","15","36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-21 14:33:02-03","UFJF","CESJ","60843","PreservedSpecimen","Plantae","Angiosperma",NA,"Cactaceae","Hylocereus","setaceus","Hylocereus setaceus","(Salm-Dyck) R.Bauer","D.R. Gonzaga; L. Menini Neto; S.G. Furtado","51","2012","10","29","América do Sul","Brasil","São Mateus",NA,"Epífita; botões florais verdes; flores alvas ca. 12 x 14cm, segmentos externos verdes e internos alvos; estames amarelos e estigma verde; odor muito agradável, visitado por formigas.","CESJ060843",NA,"D.R. Gonzaga","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713",NA,NA,"2012","10","29","36144","auto",NA,NA,NA,NA,NA,NA,NA,NA
