"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","stateProvince","phylum","order","scientificNameAuthorship","identifiedBy","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","county","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","typeStatus","sex"
"23","2021-03-15 16:37:00-03","NY","NYBG","777907","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","R. M. Harley","1991","12","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777907","50389","Bahia","Magnoliophyta","Myrtales","Pohl","F. França","Quebrada da Serra do Atalho","-41.83","-13.22","1600","1700","NY00777907_01","Piata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","424343","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","R. M. Harley","1974","03","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424343","16998","Bahia","Magnoliophyta","Myrtales","Pohl","C. Grey-Wilson","Serra do Curral Feio. 16 km N.W. of Lagoinha (which is 5.5 km S.W. of Delfino) on side road to Minas do Mimoso","-41.33","-10.37","950","1000","NY00424343_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1018858","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","B. M. T. Walter","1995","11","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262962' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018858","2880","Distrito Federal","Magnoliophyta","Myrtales","Pohl",NA,"Fazenda Agua Limpa ( Universidade de Brasilia). Cerrado acima da sede da Fazenda (Ecologia).","-47.93","-15.93","1080","1080","NY01018858_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","818101","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","J. A. Rizzo","1971","01","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=857176' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818101","5864","Goiás","Magnoliophyta","Myrtales","Pohl","M. L. Kawasaki","Alto da Serra dos Pireneus, na base dos 3 picos.",NA,NA,NA,NA,"NY00818101_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","424346","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","A. M. V. de Carvalho","1993","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424346","4213","Bahia","Magnoliophyta","Myrtales","Pohl","A. Litt","Monte Tabor. Hotel Serra do Ouro. Serra do Ouro","-40.5181","-11.1808","550","550","NY00424346_01","Jacobina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","424341","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","R. M. Harley","1980","04","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=20904' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424341","21125","Bahia","Magnoliophyta","Myrtales","Pohl","S. M. Cooper","Serra Geral de Caitité ca. 5 km S. from Caitité along the Brejinhos das Ametistas road","-42.48","-14.12","1000","1000","NY00424341_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","777910","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","W. Ganev","1992","12","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=201301' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777910","1696","Bahia","Magnoliophyta","Myrtales","Pohl","F. França","Serra da Tromba, nascente do Rio de Contas. (Caba saco)","-41.78","-13.27","1500","1500","NY00777910_01","Abaíra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00940964","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","J. A. Ratter","1976","12","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940964","R.3986","Distrito Federal","Magnoliophyta","Myrtales","Pohl",NA,"Close to Brasília airport.","-47.9294","-15.7797",NA,NA,"NY00940964_01","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00940943","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","J. A. Rizzo","1972","01","04","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940943","7397","Goiás","Magnoliophyta","Myrtales","Pohl","M. L. Kawasaki","Chapada dos Veadeiros","-47.5097","-14.1325",NA,NA,"NY00940943_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00940965","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","P. P. Furtado","1988","12","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930425' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940965","340","Goiás","Magnoliophyta","Myrtales","Pohl","M. L. Kawasaki","Region of the Chapada dos Veadeiros. Estrada Alto Paraiso/Terezina a 7 km. de Alto Paraíso.","-47.5244","-14.1006",NA,NA,"NY00940965_01","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00940976","PreservedSpecimen","Plantae","Vochysiaceae","Vochysia","thyrsoidea","Vochysia thyrsoidea","G. G. Hatschbach","1974","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930914' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940976","35345","Minas Gerais","Magnoliophyta","Myrtales","Pohl","K. Yamamoto","Arredores.","-43.7142","-19.1692",NA,NA,"NY00940976_01","Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
