"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","class","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2019-08-27 13:35:40-03","IAP","PACA-AGP","74912","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Isoetaceae","Isoetes","martii","Isoetes martii","A. Braun","L. Krieger",NA,"1977","09","29",NA,"Brasil","MG",NA,"Serra de Caparaó",NA,NA,"2400","2400",NA,"ASSL 17002&nf;Conf. por J.B.S. Pereira em 2012. Habitat: em pequeno lago","PACA074912",NA,"Nate Sammons","Filicopsida",NA,NA,NA,NA,"2002","05","12",NA,NA,NA,NA,NA,NA
"12","2019-11-14 13:52:05-03","IAP","PACA-AGP","88666","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Isoetaceae","Isoetes","martii","Isoetes martii","A. Braun","Windisch, P. G.","4970",NA,NA,NA,NA,"Brasil","ES",NA,"Serra do Caparaó.","-41.75","-20.5","2570","2570",NA,"Encontrada em lagoa de águas límpidas, rizoma profundamente fixado no lodo escuro. Cerca de 30 - 40 cm.&nf;HASU 9070. Habitat: Formação campo rochoso, submersa.","PACA088666",NA,"Pereira, J.B.S.","Filicopsida",NA,NA,NA,NA,"2012","02","28","41°45'W","20°30'S",NA,NA,NA,NA
"13","2020-12-20 21:17:59-03","UFV","VIC","005799","PreservedSpecimen","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","Krieger, L.; et al.","s.n.","1997","09","29",NA,"Brasil","Minas Gerais",NA,"Parque Nacional da Serra do Caparaó",NA,NA,NA,NA,NA,"Dentro de lagos.","VIC005799","VIC005799 VIC005799_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-10-20 14:17:35-03","UFOPA","HSTM","9862","PreservedSpecimen","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","Krieger, L.","15130","1977","09","29",NA,"Brasil","Minas Gerais","Juiz de Fora","Parque Nacional do Caparaó,. Divisa entre Minas Gerais e Espírito Santo.","-43.599722","-21.772778","2400","2400",NA,NA,"HSTM009862","HSTM009862","Hickey, R.J.",NA,NA,NA,NA,NA,"2014","09","01","43º35'59''W","21º46'22''S",NA,NA,NA,NA
"15","2019-11-21 14:50:23-03","UFJF","CESJ","3066","PreservedSpecimen","Plantae","Lycopodiopsida",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","A.C. Brade","15570","1937","03",NA,"América do Sul","Brasil","Rio de Janeiro","Itatiaia","Lagoa Bonita","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Aquática.","CESJ003066","CESJ003066 CESJ003066_1","A.C. Brade",NA,NA,NA,"19648","auto","1937",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-01 16:43:44-03","UNICAMP","UEC","58571","S","Plantae","Pteridophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","Salimena-Pires, FR","42","1977","09","29",NA,"Brazil","Minas Gerais",NA,"Serra do Caparaó",NA,NA,"2400","2400",NA,"Rizoma bilobado, Base da folha alargada, onde se encontram os esporângios. Heteróspora.; No fundo de lagos rasos.","UEC052334","UEC052334","Krieger, L",NA,NA,NA,NA,NA,"1977","10",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-06 09:55:52-03","UFOP","OUPR","11204","PreservedSpecimen","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","Damazio, L.B.","s.n.","1901",NA,NA,NA,"Brasil","Minas Gerais","Ouro Branco","Serra de Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Lugares brejosos",NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-16 17:56:25-03","UCS","HUCS","50745","PreservedSpecimen","Plantae","Pteridophyta","Isoetales","Isoetaceae","Isoetes","martii","Isoetes martii","A. Braun ex Kuhn","Gonzatti, F.","4027","2017","11","19",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia,subida para o marcão.","-44.732778","-22.361111","2200","2200",NA,"Licófita submersa no Rio Campo Belo.","HUCS005150","HUCS005150","Gonzatti, F.",NA,NA,NA,NA,NA,"2020","01",NA,"-44.732778","-22.361111",NA,NA,NA,NA
"19","2020-06-29 09:30:33-03","UFRRJ","RBR","26634","S","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","L.S. Sylvestre","1803A","2005","05","05",NA,"Brasil","Rio de Janeiro","Itatiaia","parque Nacional de Itatiaia, Planalto.","-44.5633010864258","-22.4960994720459","2500","2500",NA,NA,"RBR00026634",NA,"J.P.S. Condack",NA,NA,NA,"19648","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-01 15:28:46-03","PUC-RIO","FCAB","7306","PreservedSpecimen","Plantae",NA,"Pteridophyta","Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","J. Condack; C.M.J. Mattos","753","2015","08","01",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia","-44.8699989318848","-22.283899307251","2450","2450",NA,"Erva aquática submersa nas proximidades da represa do Rebouças. Campos de altitude.","007306",NA,"J. Condack",NA,NA,NA,"26914","auto","2015","08","01",NA,NA,NA,NA,NA,NA
"21","2016-06-15 10:07:58-03","MNHN","RECOLNAT_MNHN_P","P00170380","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Glaziou, A.",NA,"1876","6","10",NA,"Brésil",NA,NA,"Mogy Guasso (Sao Paulo)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00170380' target='other'> <mi>dwc_moreinfo</mi></a>","P00170380","P00170380_01","Hickey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-09-04 07:58:54-03","MNHN","RECOLNAT_MNHN_P","P00170383","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00170383' target='other'> <mi>dwc_moreinfo</mi></a>","P00170383","P00170383_01","Hickey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-04 07:58:54-03","MNHN","RECOLNAT_MNHN_P","P00170384","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Glaziou, A.",NA,"1876","6","10",NA,"Brésil",NA,NA,"Mogy Guasso (Sao Paulo)",NA,NA,NA,NA,"hb","Prélèvement de spores pour Pereira J. & Schulz C., Bochum (DE), 06/2016, demande n° 64489 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00170384' target='other'> <mi>dwc_moreinfo</mi></a>","P00170384","P00170384_01","Hickey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-09-04 07:58:54-03","MNHN","RECOLNAT_MNHN_P","P00170385","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Brade, A.C.",NA,"1948","2","21",NA,"Brésil",NA,NA,"Rio Itaticia",NA,NA,NA,NA,"hb","Prélèvement de feuille pour LarsenE. & RydinC., Stockholm, 11/2016, demande n° 70410 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00170385' target='other'> <mi>dwc_moreinfo</mi></a>","P00170385","P00170385_01","B.S. de Pereira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18889",NA,NA,NA
"25","2015-09-04 07:58:54-03","MNHN","RECOLNAT_MNHN_P","P00170386","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Mosen, H.",NA,"1876","1","20",NA,"Brésil",NA,NA,"Prov. Minas Geraes",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00170386' target='other'> <mi>dwc_moreinfo</mi></a>","P00170386","P00170386_01",NA,NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,"2027",NA,NA,NA
"26","2015-09-03 17:20:29-03","MNHN","RECOLNAT_MNHN_P","P01410681","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Mosen, H.",NA,"1876","1","20",NA,"Brésil",NA,NA,"Prov. Minas Geraes",NA,NA,NA,NA,"hb","Reçu le 7 août 1882 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01410681' target='other'> <mi>dwc_moreinfo</mi></a>","P01410681","P01410681_01 P01410681_02","B.S. de Pereira",NA,"syntype",NA,NA,NA,NA,NA,NA,NA,NA,"2027",NA,NA,NA
"27","2020-09-29 14:53:02-03","UFPR","UPCB","75401","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S.","721","2013","02","10",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.","-44.678333","-22.385","2300","2400",NA,"Aquática em córrego de campo de altitude, próximo ao abrigo Rebouças..",NA,NA,"Pereira, J.B.S.",NA,NA,NA,NA,NA,"2013","03","02","-44.678333","-22.385",NA,NA,NA,NA
"28","2020-09-29 14:53:02-03","UFPR","UPCB","75400","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S.","722","2013","02","10",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.","-44.678333","-22.385","2300","2400",NA,"Terrícola à beira do córrego, próximo ao abrigo Rebouças..",NA,NA,"Pereira, J.B.S.",NA,NA,NA,NA,NA,"2013","03","02","-44.678333","-22.385",NA,NA,NA,NA
"29","2020-09-29 14:53:02-03","UFPR","UPCB","75396","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S.","726","2013","02","11",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Estrada para as Prateleiras.","-44.678333","-22.385","2300","2390",NA,"Aquática submersa em córrego..",NA,NA,"Pereira, J.B.S.",NA,NA,NA,NA,NA,"2013","03","02","-44.678333","-22.385",NA,NA,NA,NA
"30","2020-09-29 14:53:02-03","UFPR","UPCB","75402","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S.","720","2013","02","10",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Represa do Abrigo Rebouças.","-44.678333","-22.385","2300","2400",NA,"Aquática submersa..",NA,NA,"Pereira, J.B.S.",NA,NA,NA,NA,NA,"2013","03","02","-44.678333","-22.385",NA,NA,NA,NA
"31","2020-09-29 14:53:02-03","UFPR","UPCB","61054","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Labiak, P.H. et al.","4451","2008","01","11",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, subida para o Pico das Agulhas Negras.","-44.663056","-22.38","2350","2350",NA,"Aquática submersa. Campos de altitude..","UPCB0033701","UPCB0033701","Labiak, P.H.",NA,NA,NA,NA,NA,"2008","01",NA,"-44.663056","-22.38",NA,NA,NA,NA
"32","2020-09-29 14:53:02-03","UFPR","UPCB","73244","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S. | Schwartsburd, P.B.","639","2011","01","08",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional Itatiaia. Trilha Pedra do Altar.","-44.67","-22.376667","2500","2600",NA,"Aquática submersa em rio de correnteza..","UPCB0033702","UPCB0033702","Pereira, J.B.S.",NA,NA,NA,NA,NA,"2012","02","28","-44.67","-22.376667",NA,NA,NA,NA
"33","2020-09-29 14:53:02-03","UFPR","UPCB","73245","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S. | Schwartsburd, P.B.","640","2011","01","08",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional Itatiaia. Trilha Agulhas Negras.","-44.67","-22.378889","2400","2450",NA,"Aquática submersa em rio..","UPCB0033700","UPCB0033700","Pereira, J.B.S.",NA,NA,NA,NA,NA,"2012","02","28","-44.67","-22.378889",NA,NA,NA,NA
"34","2020-09-29 14:53:02-03","UFPR","UPCB","73246","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S. | Schwartsburd, P.B.","641","2011","01","08",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional Itatiaia. Trilha Agulhas Negras, prox. Abrigo rebouças.","-44.669722","-22.383611","2300","2400",NA,"Submersa em rio..","UPCB0010560","UPCB0010560","Pereira, J.B.S.",NA,NA,NA,NA,NA,"2012","02","28","-44.669722","-22.383611",NA,NA,NA,NA
"35","2020-09-29 14:53:02-03","UFPR","UPCB","73247","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S. | Schwartsburd, P.B.","642","2011","01","08",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional Itatiaia. Trilha Agulhas Negras, prox. Abrigo rebouças.","-44.669722","-22.383611","2300","2400",NA,"Submersa em rio..","UPCB0033703","UPCB0033703","Pereira, J.B.S.",NA,NA,NA,NA,NA,"2012","02","28","-44.669722","-22.383611",NA,NA,NA,NA
"36","2020-09-29 14:53:02-03","UFPR","UPCB","75262","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Condack, J. | Schwartsburd, P.B.","593","2009","08","04",NA,"Brasil","Rio Grande do Sul","Cambará do Sul","Parque Nacional dos Aparados da Serra, na matinha entre o mirante do Itaimbezinho e a Cachoeira Véu da Noiva.","-50.077778","-29.161111","900","1000",NA,"Em barranco, margem do córrego..","UPCB0033669","UPCB0033669",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-50.077778","-29.161111",NA,NA,NA,NA
"37","2020-09-29 14:53:02-03","UFPR","UPCB","75269","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Salino, A. et al.","12442","2007","07","11",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia, a caminho da nascente do rio Aiuruoca.","-44.668611","-22.361111","2325","2325",NA,"Erva fixa na areia e entre rochas, submersa no Rio Aiuruoca..","UPCB0033699","UPCB0033699","Salino, A.",NA,NA,NA,NA,NA,"2007","07",NA,"-44.668611","-22.361111",NA,NA,NA,NA
"38","2020-09-29 14:53:02-03","UFPR","UPCB","75397","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S.","725","2013","02","11",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Trilha Pedra do Altar.","-44.673611","-22.377222","2300","2550",NA,"Aquática submersa em córrego..",NA,NA,"Pereira, J.B.S.",NA,NA,NA,NA,NA,"2013","03","02","-44.673611","-22.377222",NA,NA,NA,NA
"39","2020-09-29 14:53:02-03","UFPR","UPCB","75403","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S.","719","2013","02","10",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Trilha para Agulhas Negras.","-44.666667","-22.375278","2300","2400",NA,"Aquática submersa em lagoa de campo de altitude..",NA,NA,"Pereira, J.B.S.",NA,NA,NA,NA,NA,"2013","03","02","-44.666667","-22.375278",NA,NA,NA,NA
"40","2020-09-29 14:53:02-03","UFPR","UPCB","81977","PreservedSpecimen","Plantae","Lycophyta",NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun ex Kuhn","Pereira, J.B.S. et al.","839","2015","02","23",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Abrigo Rebouças.","-44.667","-22.383","2350","2350",NA,"Submersa em rio de correnteza. Água com pH 5.","UPCB0010561","UPCB0010561","Pereira, J.B.S.",NA,NA,NA,NA,NA,NA,NA,NA,"-44.667","-22.383",NA,NA,NA,NA
"41","2011-02-23 09:58:00-03","MO","MOBOT","2805744","PreservedSpecimen","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A. Braun ex Kuhn","Anders F. Regnell","Regnell 1506","1964","12","18","South America","Brazil","Minas Gerais",NA,"Caldas.","-46.38333","-21.93333",NA,NA,NA,NA,NA,NA,"Norma E. Pfeiffer",NA,"Isosyntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-09-04 16:38:11-03","FVD","FVD","56","MachineObservation","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A. Braun",NA,NA,"2007","07","11",NA,"Brasil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia, nascente do rio Aiuruoca","-44.668611","-22.694444","2325","2325",NA,"Erva fixa na areia e entre rochas, submersa no Rio Aiuruoca.; Domínio fitogeográfico: Floresta atlântica; Vegetação: Campo de altitude","FVD00056","FVD00056_v1 FVD00056_v2 FVD00056_v3 FVD00056_v4 FVD00056_v5","A. Salino",NA,NA,NA,NA,NA,"2007","07",NA,"44°40'07W","22°41'40S",NA,NA,NA,NA
"43","2020-09-12 05:00:02-03","US","US","202046","PreservedSpecimen","Plantae",NA,"Isoetales","Isoetaceae","Isoetes","martii","Isoetes martii","A. Braun ex Kuhn",NA,"s.n.","1874","1","22","South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"US01923018","US01923018_01","Pereira, J. B. S.","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"44","2020-09-12 05:00:02-03","US","US","828477","PreservedSpecimen","Plantae",NA,"Isoetales","Isoetaceae","Isoetes","martii","Isoetes martii","A. Braun ex Kuhn","A. Regnelli","s.n.","1874","1","2","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"US01923019","US01923019_01","Pereira, J. B. S.","Pteridophyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"45","2019-10-07 09:38:36-03","UEFS","HUEFS","172840","PreservedSpecimen","Plantae","Pteridophyta","Isoetales","Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","Labiak, P.H.","4451","2008","01","11",NA,"Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, subida para o Pico das Agulhas Negras.","-44.663056","-22.38","2350","2350",NA,"Campos de altitude.","HUEFS0172840",NA,NA,"Lycopodiopsida",NA,NA,NA,NA,NA,NA,NA,"44W39'47''","22S22'48''",NA,NA,NA,NA
"46","2020-07-23 12:09:06-03","CEPLAC","CEPEC","148428","PreservedSpecimen","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii",NA,"P. H. Labiak","5783","2015","03","01",NA,"Brasil","Bahia","FORMOSA DO RIO PRETO","APA do Rio Preto. Estrada para Arroz.","-45.1930999755859","-11.0482997894287",NA,NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,"F. S. Souza",NA,NA,NA,"155006","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2021-01-12 15:24:15-03","UFMG","BHCB-SL","4343","PreservedSpecimen","Plantae",NA,NA,"Isoetaceae","Isoetes","martii","Isoetes martii","A.Braun","Krieger, L","s.n.","1977",NA,NA,"América","Brasil","Minas Gerais",NA,"Serra do Caparaó;",NA,NA,"2400","2400",NA,"Fundo de lago raso;herbáceo;rizoma bilobado;base da folha alargada,onde se encontram esporângios;heteróspora;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
