"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","880204","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"E. M. Saddi","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2537321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00880204","390","Goiás","Parcela de Monitoramento P4 do empreendimento da Linha de Transmissão LT 500 KV Cuiabá - Ribeirãozinho - Rio Verde.","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer",NA,"2010","05","21","Caiapônia","-51.7433","-17.0925",NA,NA,"NY00880204_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","539616","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"A. P. Duarte","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539616","5598","São Paulo","Fazenda de Barreirinho, municipio de Jaú","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","J. G. Rohwer","1961","04","20","Jaú","-48.5497","-22.2903",NA,NA,"NY00539616_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","539613","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"R. P. Belém","South America","Brazil","sheet",NA,"Col. de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199421' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539613","3651","Bahia","Encruzilhada, saída para Divisópolis","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","J. G. Rohwer","1968","05","25","Encruzilhada","-40.9092","-15.5317",NA,NA,"NY00539613_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1146379","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"D. B. O. S. Cardoso","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1337174' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146379","1292","Bahia","ARIE Serra do Orobó, Fazenda Monte Verde.","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","D. B. O. S. Cardoso","2006","04","23","Itaberaba","-40.5406","-12.42","638","638","NY01146379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","469377","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"H. F. L. Filho","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00469377","931","São Paulo","Araraquara","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer",NA,"1969","09","10","Araraquara","-48.168187","-21.778028",NA,NA,"NY00469377_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","539615","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"H. F. L. Filho","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199418' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539615","10103","São Paulo","Mun. Luiz Antonio","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","H. H. van der Werff; J. G. Rohwer","1979","05","17","Luís Antônio","-47.7","-21.55",NA,NA,"NY00539615_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","539612","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"R. P. Belém","South America","Brazil","sheet",NA,"Col. de madeira <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199420' target='other'> <mi>dwc_moreinfo</mi></a>","NY00539612","3651","Bahia","Encruzilhada, saída para Divisópolis","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","J. G. Rohwer","1968","05","25","Encruzilhada","-40.9092","-15.5317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1016784","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"G. G. Hatschbach","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193136' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016784","61392","Paraná","Parque Estadual da Lauráceas.","Magnoliophyta","Laurales","(Mart. & Nees) Rohwer","P. L. R. de Moraes","1994","12","28","Bocaiúva do Sul","-49.115","-25.2061","500","700","NY01016784_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-28 16:47:00-03","NY","NYBG","355727","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","jacobinae","Oreodaphne jacobinae","isotype","J. S. Blanchet","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=230417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355727","2554","Bahia","Serra de Jacobina.","Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00355727_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","355795","PreservedSpecimen","Plantae","Lauraceae","Oreodaphne","velutina","Oreodaphne velutina glabrata","isotype","P. Clausen","South America","Brazil","sheet",NA,"Hb. Boiss. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=545413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355795","442",NA,"Brasilia","Magnoliophyta","Laurales","Meisn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NY00355795_01","glabrata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","2873","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Christianini, S.R.",NA,"Brasil",NA,NA,"Árvore 16m, caule com grandes lenticelas, folhas cartáceas com pilosidade ferrugínea, botões florais verdes com pilosidades amarelada, perigônio amarelo-claro com pilosidade ferrugínea, frutos verde-amarelados.","BOTU002873","549","São Paulo",NA,NA,NA,"(Nees) Rohwer",NA,"1997","03","23","Agudos",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","18562","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Nicolini Gabriel, E.M.",NA,"Brasil",NA,NA,"Árvore alta.","BOTU018562",NA,"São Paulo",NA,NA,NA,"(Nees) Rohwer",NA,"1992","06","17","Botucatu",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","23318","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Sartori, M.S.",NA,"Brasil",NA,NA,"Árvore 2,9m, sem flores e frutos.","BOTU023318","39","São Paulo",NA,NA,NA,"(Nees) Rohwer",NA,"2001","02","07","Itatinga",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-02-18 09:29:59-03","UNESP-IBB","BOTU","30066","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Ferraz, E.O.",NA,"Brasil",NA,NA,"Árvore, folhas com tricmoas.","BOTU030066","1","São Paulo",NA,NA,NA,"(Nees) Rohwer",NA,"2012","09","02","Botucatu",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-24 17:10:47-03","UTFPR","DVPR","3617","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Siqueira, EL; Calado, PIN",NA,"Brasil",NA,NA,"árvore ca. 1,5m, heliófita. Frutos imaturos verdes.; Relevo: plano - Vegetação: Savana (cerrado sensu strictu).","DVPR003617","775","Mato Grosso do Sul","arredores Nova Alvorada do Sul - MS.","Magnoliophyta",NA,"(Nees) Rohwer","Brotto, ML","2013","10","02","Nova Alvorada do Sul","-53.54157","-21.44554","325","325",NA,NA,"-53.54157","-21.44554","2014","11","13",NA,NA,NA,NA,NA,NA
"26","2019-10-09 11:18:16-03","UFBA","ALCB","06034","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Lordêlo, RP","Southern America","Brasil",NA,NA,NA,"ALCB003635","56-327","Bahia","Recôncavo Sul, Serra da Capioba","Dicotyledon",NA,"(Nees) J.G. Rohwer","Ribeiro, HL","1956","04","23","São Felipe","-39.083333","-12.833333",NA,NA,"ALCB003635",NA,"-39.083333","-12.833333","2016","10","12",NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:18:16-03","UFBA","ALCB","03063","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Costa, AL; Barroso, GM","Southern America","Brasil",NA,NA,"Estrada para Mundo Novo.Mata.","ALCB003543","s/n","Bahia","Piemonte da Diamantina","Dicotyledon",NA,"(Nees) J.G. Rohwer","Werff, H van der; Moraes, PLR de","1975","05","18","Morro do Chapéu","-41.166667","-11.5",NA,NA,"ALCB003543",NA,"-41.166667","-11.5","2009","09","02",NA,NA,NA,NA,NA,NA
"28","2020-08-11 00:16:04-03","UFBA","ALCB","04371","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Souza, Padre JP de; Gusmão, EF de","Southern America","Brasil",NA,NA,"em botão","ALCB003638","s/n","Bahia","Piemonte da Diamantina","Dicotyledon",NA,"(Nees) J.G. Rohwer","Maio, HLR; Moraes, PLR de","1975","06","15","Morro do Chapéu","-41.15","-11.55",NA,NA,"ALCB003638",NA,"-41.15","-11.55","2018","04",NA,NA,NA,NA,NA,NA,NA
"29","2020-08-11 00:16:04-03","UFBA","ALCB","04377","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Souza, Padre JP de; Gusmão, EF de","Southern America","Brasil",NA,NA,NA,"ALCB003544","s/n","Bahia","Piemonte da Diamantina","Dicotyledon",NA,"(Nees) J.G. Rohwer","Werff, H van der; Moraes, PLR de","1975","06","15","Morro do Chapéu","-41.166667","-11.5",NA,NA,"ALCB003544",NA,"-41.166667","-11.5","2009","09","02",NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:18:16-03","UFBA","ALCB","06032","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Lordêlo, RP","Southern America","Brasil",NA,NA,"Arvoreta de pequeno porte.","ALCB003545","57-287","Bahia","Piemonte da Diamantina","Dicotyledon",NA,"(Nees) J.G. Rohwer","Werff, H van der; Moraes, PLR de","1957","05","12","Morro do Chapéu","-41.166667","-11.5",NA,NA,"ALCB003545",NA,"-41.166667","-11.5","2009","09","02",NA,NA,NA,NA,NA,NA
"31","2019-10-09 11:18:16-03","UFBA","ALCB","06033","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Lordêlo, RP","Southern America","Brasil",NA,NA,NA,"ALCB003548","57-327","Bahia","Piemonte da Diamantina","Dicotyledon",NA,"(Nees) J.G. Rohwer","Werff, H van der; Moraes, PLR de","1957","05","13","Morro do Chapéu","-41.166667","-11.5",NA,NA,"ALCB003548",NA,"-41.166667","-11.5","2009","09","02",NA,NA,NA,NA,NA,NA
"32","2019-10-09 11:18:16-03","UFBA","ALCB","113950","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Guedes, ML; Medeiros, A; Alunos de Microbiologia de Adriana","Southern America","Brasil",NA,NA,"Folhas coriáceas, discolores, face abaxial pubescente. Inflorescência com flores em botões.","ALCB003398","21714","Bahia","Chapada Diamantina, Caminho para Marimbús.","Dicotyledon",NA,"(Nees) J.G. Rohwer","Maio, HLR; Moraes, PLR de","2014","05","03","Andaraí","-41.333333","-12.708889",NA,NA,"ALCB003398 ALCB003398_1",NA,"-41.333333","-12.708889","2018","04",NA,NA,NA,NA,NA,NA,NA
"33","2019-10-09 11:18:16-03","UFBA","ALCB","52413","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Guedes, ML; Loureiro, DM; Alves, L. de J.; Santana, DL","Southern America","Brasil",NA,NA,"8,0m. Folhas coriáceas, discolores. Inflorescência com flores amarelas.","ALCB003546","8259","Bahia","Chapada Diamantina, Assentamento Mocamdo, área de reserva","Dicotyledon",NA,"(Nees) J.G. Rohwer","Moraes, PLR de","2001","04","30","Andaraí","-41.246667","-12.905833",NA,NA,"ALCB003546",NA,"-41.246667","-12.905833","2010","08","18",NA,NA,NA,NA,NA,NA
"34","2019-10-09 11:18:16-03","UFBA","ALCB","84000","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Guedes, ML; Gomes, FS","Southern America","Brasil",NA,NA,"de ca 4 m de altura, aromática. Folhas coriáceas, discolores, com a face abaxial vilosa. Inflorescência com flores sésseis, esverdeadas, botôes verdes. Ocasional.","ALCB003539","14501","Bahia","Serra Geral, Brejinho das Ametistas, caminho para o Bloco III","Dicotyledon",NA,"(Nees) J.G. Rohwer","Werff, H van der; Moraes, PLR de","2008","05","22","Caetité","-42.540278","-14.305278","1032","1032","ALCB003539",NA,"-42.540278","-14.305278","2009","09","02",NA,NA,NA,NA,NA,NA
"35","2019-10-09 11:18:16-03","UFBA","ALCB","84001","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Guedes, ML; Gomes, FS","Southern America","Brasil",NA,NA,"de ca 8,5 m de altura, CAP 38 cm. Folhas coriáceas, discolores. Face abaxial com tomentos ferrugíneos. Inflorescência com flores em botões.","ALCB003538","14502","Bahia","Serra Geral, Bloco IV, parcela 02, ind. 01 e 02","Dicotyledon",NA,"(Nees) J.G. Rohwer","Werff, H van der; Moraes, PLR de","2008","05","23","Caetité","-42.518056","-14.019722","1067","1067","ALCB003538",NA,"-42.518056","-14.019722","2009","09","02",NA,NA,NA,NA,NA,NA
"36","2019-10-09 11:18:16-03","UFBA","ALCB","92843","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Guedes, ML; Gomes, FS; Melo, E; et al.","Southern America","Brasil",NA,NA,"ca. 8 m alt. Folhas coriáceas, discolores. Frutos imaturos.","ALCB003547","16717","Bahia","Serra Geral, estrada, 7km de Licínio de Almeida para Urandi. P02","Dicotyledon",NA,"(Nees) J.G. Rohwer","Moraes, PLR de","2009","12","09","Licínio de Almeida","-42.511667","-14.731944","850","850","ALCB003547",NA,"-42.511667","-14.731944","2010","08","18",NA,NA,NA,NA,NA,NA
"37","2019-10-09 11:18:16-03","UFBA","ALCB","55118","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Silva, TRS; Giulietti, AM; Correia, C","Southern America","Brasil",NA,NA,"ca. 7m de altura. DAP 30cm. Flores creme. Perfumados.","ALCB003549","115","Bahia","Serra Geral, Cercado, 24 Km de Paramirim na Rodovia Paramirim-Caetité","Dicotyledon",NA,"(Nees) J.G. Rohwer","Werff, H van der; Moraes, PLR de","2001","04","19","Caetité","-42.3","-13.670556","990","990","ALCB003549",NA,"-42.3","-13.670556","2009","09","02",NA,NA,NA,NA,NA,NA
"38","2020-02-08 09:36:47-03","NBC","NL-BOTANY","L.1804423","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Vauthier M","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1804423 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1804423",NA,NA,"Sabara.",NA,"Laurales","(Nees) Mart. ex B.D.Jacks.",NA,"1833","01","01",NA,NA,NA,NA,NA,"NL-L1804423",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"39","2020-02-08 09:36:47-03","NBC","NL-BOTANY","L.1804424","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Sellow F","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1804424 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1804424",NA,NA,"Brasilia.",NA,"Laurales","(Nees) Mart. ex B.D.Jacks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NL-L1804424",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"40","2020-11-04 11:12:10-03","ESALQ","ESA","19727","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Tamashiro, J.Y. et al.",NA,"Brasil",NA,NA,NA,"ESA019727","1238.0","São Paulo",NA,"Magnoliophyta",NA,"(Nees) Rohwer","Baitello, J.B.","1995","06","14","Taquaras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:12:10-03","ESALQ","ESA","36266","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Rozza, A.F.",NA,"Brasil",NA,NA,NA,"ESA036266","85.0","São Paulo",NA,"Magnoliophyta",NA,"(Nees) Rohwer","Baitello, J.B.","1995","07","27","Matão","-48.3600006103516","-21.6000003814697",NA,NA,NA,NA,NA,NA,"2003","01","01",NA,"26922","auto",NA,NA,NA
"42","2020-11-04 11:12:05-03","ESALQ","ESA","118832","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Colletta, G.D.",NA,"Brasil",NA,NA,"Árvore, 3m, face abaxial com tricomas visíveis a olho nú e hirsutos.","ESA118832","617.0","São Paulo","Sítio Lagoa Azul, Mata em volta da represa","Magnoliophyta",NA,NA,"Colletta, G.D. & Alves, F.M.","2012","05","01","Piratininga","-49.1300010681152","-22.4099998474121",NA,NA,NA,NA,NA,NA,"2012","05","14",NA,"19389","auto",NA,NA,NA
"43","2020-11-04 11:12:10-03","ESALQ","ESA","9730","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Oliveira, J.M.",NA,"Brasil",NA,NA,NA,"ESA009730","956.0","Minas Gerais",NA,"Magnoliophyta",NA,"(Nees) Rohwer","Moraes, P.L.R.","1982","05","04","Belo Horizonte","-43.937801361084","-19.9207992553711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA
"44","2020-11-04 11:12:05-03","ESALQ","ESA","10505","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Barreto, K.D. et al.",NA,"Brasil",NA,NA,NA,"ESA010505","432.0","São Paulo",NA,"Magnoliophyta",NA,"(Nees) Rohwer","Moraes, P.L.R.","1993","05","07","Charqueada","-47.7700004577637","-22.5100002288818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12465","auto",NA,NA,NA
"45","2020-11-04 11:12:10-03","ESALQ","ESA","15510","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Souza, V.C. et al.",NA,"Brasil",NA,NA,NA,"ESA015510","5712.0","São Paulo",NA,"Magnoliophyta",NA,"(Nees) Rohwer","Baitello, J.B.","1994","04","15","Pindorama","-48.9000015258789","-21.1800003051758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14884","auto",NA,NA,NA
"46","2020-11-04 11:12:10-03","ESALQ","ESA","18222","PreservedSpecimen","Plantae","Lauraceae","Ocotea","velutina","Ocotea velutina",NA,"Barreto, K.D.",NA,"Brasil",NA,NA,NA,"ESA018222","2431.0","São Paulo",NA,"Magnoliophyta",NA,"(Nees) Rohwer","Baitello, J.B.","1994","05","05","São Carlos","-47.8899993896484","-22.0100002288818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45913","auto",NA,NA,NA
