"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","eventTime","fieldNumber","individualCount","infraspecificEpithet"
"11","2015-07-02 14:55:35-03","JBP","HPL","2732","S","Plantae",NA,NA,"Myrsinaceae","Rapanea","leuconeura","Rapanea leuconeura","Mez&nf;Mez","R. Tsuji, L.C. Bernacci & E. Franco","623","2004","11","18",NA,"Brasil","MS","Capela","Beira de estrada de terra , em mata de cerrado.","-52.979278","-18.563125","804","804",NA,NA,NA,NA,"R. Tsuji","2004","11",NA,NA,NA,"18","52° 58' 45,4 W","18° 33' 47,25 S",NA,NA,NA,NA,NA
"12","2021-03-01 16:38:33-03","UNICAMP","UEC","44385","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Oliveira Filho, A","372","1984","06","16",NA,"Brazil","Mato Grosso","Salgadeira","Chapada dos Guimarães",NA,NA,NA,NA,NA,"Árvore ca. 5m alt., arbusto vegetativo.",NA,NA,"Freitas, MF","2005","06",NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-01 16:38:33-03","UNICAMP","UEC","11601","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Gibbs, PE; Shepherd, GJ; Andrade, JB; Bufarah, GBG","5145","1977","07","20",NA,"Brazil","Mato Grosso",NA,"Estrada entre Rio Brilhante e Maracaju, ca. 30km ao Oeste de Rio Brilhante. Cerrado.",NA,NA,NA,NA,NA,"Árvore ca. 6m. Flor esverdeada.",NA,NA,"Freitas, MF","2005","06",NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:38:33-03","UNICAMP","UEC","15500","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Gibbs, PE; Shepherd, GJ; Andrade, JB; Bufarah, GBG","5145","1977","07","20",NA,"Brazil","Mato Grosso",NA,"Estrada entre Rio Brilhante e Maracaju, ca. 30km ao Oeste de Rio Brilhante. Cerrado.",NA,NA,NA,NA,NA,"Árvore ca. 6m. Flor esverdeada.",NA,NA,"Freitas, MF","2005","06",NA,NA,NA,"30",NA,NA,NA,NA,NA,NA,NA
"15","2021-03-01 16:38:33-03","UNICAMP","UEC","28356","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Ratter, JA","R3408","1976","08","08",NA,"Brazil","Goiás","Padre Bernardo","Fazenda Lagoa Santa","-48.583333","-15.5",NA,NA,NA,"Tree 7m tall, 20cm in diam. breast height. Trunk very straight with lateral branches in regular, pine-like pattern. Leaves very leathery. Petals pale green.",NA,NA,"Freitas, MF","2005","06",NA,NA,NA,"30","-48.583333","-15.5",NA,NA,NA,NA,NA
"16","2021-03-01 16:38:33-03","UNICAMP","UEC","43170","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Pereira, SC","s.n.","1984","05","03",NA,"Brazil","Minas Gerais","Lavras","Alpinópolis","-44.999698638916","-21.2453002929688",NA,NA,NA,"Árvore, 6m alt.",NA,NA,"Freitas, MF","2005","06","20044","auto",NA,"30",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:38:33-03","UNICAMP","UEC","59752","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Araújo, GM","557","1989","08","04",NA,"Brazil","Minas Gerais","Uberlândia","Estação Ecológica do Panga","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Árvore, 7m alt.",NA,NA,"Freitas, MF","2005","06","58223","auto",NA,"30",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:38:33-03","UNICAMP","UEC","59536","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Schiavini, I","229","1989","10","18",NA,"Brazil","Minas Gerais","Uberlândia","Mata de galeria do rio Panga","-48.2771987915039","-18.9186000823975",NA,NA,NA,"Árvore, ca. 40m altura, 15cm circunferência, material vegetativo.",NA,NA,"Freitas, MF","2005","06","58223","auto",NA,"30",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:38:33-03","UNICAMP","UEC","51078","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Guedes, ML; et al.","1677","1988","12","07",NA,"Brazil","Pernambuco","Caruaru","Brejo dos Cavalos","-35.9761009216309","-8.28332996368408",NA,NA,NA,"Arbusto de ca. 3m alt., folhas discolores frutos de cor verde.",NA,NA,"Freitas, MF","2005","06","35136","auto",NA,"30",NA,NA,NA,NA,NA,NA,NA
"20","2021-03-01 16:38:33-03","UNICAMP","UEC","77157","S","Plantae","Magnoliopsida",NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Marcondes-Ferreira, W; Venturi, LL; Domingues, MR","911","1994","07","26",NA,"Brazil","São Paulo","Colômbia","Fazenda Perdizes.","-48.6800003051758","-20.1700000762939",NA,NA,NA,"Arvoreta ca. 4m, com flores rosadas; Brejo com solo arenoso, parece caulim.",NA,NA,"Freitas, MF","2005","06","31319","auto",NA,"30",NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:38:37-03","UNICAMP","UEC","58735","S","Plantae","Magnoliopsida",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Sciamarelli, A; Coffani-Nunes, JV","158","1989","08","19",NA,"Brazil","São Paulo","Cajuru","Fazenda Santa Carlota","-47.2999992370605","-21.2700004577637",NA,NA,NA,"Flores verde claro.; Cerrado 1.",NA,NA,"Bernacci, LC; Jung-Mendaçolli, SL","2002","08","21243","auto",NA,"15",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:38:37-03","UNICAMP","UEC","75169","S","Plantae","Magnoliopsida",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Maestro, AL; Silveira, AM","57","1994","10","10",NA,"Brazil","São Paulo","Paulo de Faria","Fazenda Figueira, A 10 km da cidade em direção a Riolândia.","-49.3800010681152","-20.0300006866455",NA,NA,NA,"Árvore com 5m alt. Frutos verdes.; Mata Ciliar com brejo adjacente.",NA,NA,"Bernacci, LC; Jung-Mendaçolli, SL","2002","08","29574","auto",NA,"15",NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:38:37-03","UNICAMP","UEC","43112","S","Plantae","Magnoliopsida",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Ratter, JA; Argent, GCG; Gibbs, PE; Shepherd, GJ; Rocha, DMS","4840V","1983","11","12",NA,"Brazil","São Paulo","São Paulo","Instituto Florestal de SP, Floresta de Angatuba.","-46.6300010681152","-23.5400009155273",NA,NA,NA,"Small slender shrub. Vegetative ecological voucher.; In dense, low cerrado.",NA,NA,"Bernacci, LC; Jung-Mendaçolli, SL","2002","08","53584","auto",NA,"15",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:38:37-03","UNICAMP","UEC","072458","S","Plantae","Magnoliopsida",NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Bernacci, LC; Belinello, R; Andrade, PRP; Camargo, O","726","1994","11","28",NA,"Brazil","São Paulo","Votuporanga","Estação Experimental do IAC","-49.9700012207031","-20.4200000762939",NA,NA,NA,"Árvore ca. de 5-6m alt. Caule esbranquiçado com muitas lenticelas, folhas com glâmdulas maiores próximo no bordo, frutos negros-arroxeados.; Cerrado antropizado, utilizado como pastagem.",NA,NA,"Bernacci, LC; Jung-Mendaçolli, SL","2002","08","20562","auto",NA,"15",NA,NA,NA,NA,NA,NA,NA
"25","2021-03-16 17:51:50-03","UCS","HUCS","20139","PreservedSpecimen","Plantae","Angiospermae","Ericales","Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Martius","Hatschbach, G.","54221","1990","06","12",NA,"Brasil","Minas Gerais","Grão Mogol","Morro da Telemig","-42.8897018432617","-16.5594005584717","950","950",NA,"arbusto 3m , flores alvascentas; mata de encosta do morro",NA,NA,"Freitas, M.F.","2000",NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2014-10-14 15:56:32-03","BS","M","M-0026454","S","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Pohl, J.B.E.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"M0026454",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"NOTATYPE",NA,NA,NA,NA
"27","2014-10-14 15:56:32-03","BS","M","M-0026453","S","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Blanchet, J.S.",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Brasilia ad Jacobina",NA,NA,NA,NA,NA,NA,"M0026453",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"NOTATYPE",NA,NA,NA,NA
"28","2014-10-14 15:56:32-03","BS","M","M-0165014","S","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Martius, C.F.P. von",NA,"1817","12","31",NA,"Brasil",NA,NA,"In ditione Minarum Novarum",NA,NA,NA,NA,NA,NA,"M0165014",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"TYPE","21:00",NA,NA,NA
"29","2014-10-14 15:56:32-03","BS","M","M-0165015","S","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Martius, C.F.P. von",NA,"1818","08","31",NA,"Brasil",NA,NA,"Crescit in Brasiliae prov. Minarum in Capoés ad rivulum Sucuriuh prope vicum Contendas",NA,NA,NA,NA,NA,NA,"M0165015",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"TYPE","21:00",NA,NA,NA
"30","2014-10-14 15:56:32-03","BS","M","M-0165016","S","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Martius, C.F.P. von",NA,NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in campis S. Philippi ad Contendas et ad Caitete; Provinciae Minarum et Bah.",NA,NA,NA,NA,NA,NA,"M0165016",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"TYPE",NA,NA,NA,NA
"31","2014-10-14 15:56:32-03","BS","M","M-0165017","S","Plantae","Magnoliophyta","Ericales","Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Martius, C.F.P. von",NA,"1818","08","31",NA,"Brasil",NA,NA,"Crescit in Brasiliae prov. Minarum pone Contendas secundum Sucuriuh rivum",NA,NA,NA,NA,NA,NA,"M0165017",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,"TYPE","21:00",NA,NA,NA
"32","2020-04-27 16:11:19-03","UFES","VIES","42749","S","Plantae",NA,NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Gurtler, J.; Nepomuceno, A.; Sossai, B. G.; Nichio-Amaral, R.; Mello, B. N.; Miranda, V.S.","617","2019","03","27",NA,"Brasil","Espírito Santo","Conceição da Barra","Área de clareira com entrada pela trilha do paliteiro. Flona do Rio Preto","-39.7322006225586","-18.5932998657227",NA,NA,NA,NA,"VIES042749","VIES042749","A. Alves-Araújo","2019","10","41644","auto",NA,"04",NA,NA,NA,NA,NA,NA,NA
"33","2020-04-27 16:11:19-03","UFES","VIES","35164","S","Plantae",NA,NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Carrijo, T.T.","2097","2014","05","08",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES035164","VIES035164","Carrijo, T.T.","2014","05","48094","auto",NA,"08",NA,NA,NA,NA,NA,NA,NA
"34","2020-04-27 16:11:19-03","UFES","VIES","35165","S","Plantae",NA,NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Carrijo, T.T.","2096","2014","05","08",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES035165","VIES035165","Carrijo, T.T.","2014","05","48094","auto",NA,"08",NA,NA,NA,NA,NA,NA,NA
"35","2020-04-27 16:11:19-03","UFES","VIES","24901","S","Plantae",NA,NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Folli, D.A.","3064","1997","09","23",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Aterro Córrego João, estrada Aceiro com Catelã - João Pessoa.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES024901","VIES024901","T.T. Carrijo; A.C. Tuler; R.G. Costa","2012","06","48094","auto",NA,"19",NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:42:03-03","MBM","MBM","138259","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","leuconeura","Myrsine leuconeura","Mart.","Hatschbach, G.; Hatschbach, M.; Nicolack, V.; Hatschbach, M.; Nicolack, V.","54221","1990","06","12","Southern America","Brazil","Minas Gerais","Grão Mogol","Morro Telemig","-42.8897018432617","-16.5594005584717",NA,NA,NA,NA,"MBM138259","MBM138259","Freitas, M.F.",NA,NA,"67219","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533076","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,"Brésil. Province de Minas Geraes.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533076' target='other'> <mi>dwc_moreinfo</mi></a>","P04533076","P04533076_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1616",NA,NA
"38","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533093","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Blanchet",NA,NA,NA,NA,NA,"Brasil","Bahia",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533093' target='other'> <mi>dwc_moreinfo</mi></a>","P04533093","P04533093_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3564",NA,NA
"39","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533077","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Saint-Hilaire",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533077' target='other'> <mi>dwc_moreinfo</mi></a>","P04533077","P04533077_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1872 bis",NA,NA
"40","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533078","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533078' target='other'> <mi>dwc_moreinfo</mi></a>","P04533078","P04533078_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1872 bis",NA,NA
"41","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533079","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533079' target='other'> <mi>dwc_moreinfo</mi></a>","P04533079","P04533079_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1 1872 bis",NA,NA
"42","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533080","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Saint-Hilaire, A.",NA,NA,NA,NA,NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533080' target='other'> <mi>dwc_moreinfo</mi></a>","P04533080","P04533080_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 779",NA,NA
"43","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533081","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Goiás",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533081' target='other'> <mi>dwc_moreinfo</mi></a>","P04533081","P04533081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1 779",NA,NA
"44","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533083","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Glaziou",NA,"1887","7","28",NA,"Brasil","Minas Gerais",NA,"Congonhas do Campo.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533083' target='other'> <mi>dwc_moreinfo</mi></a>","P04533083","P04533083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16236",NA,NA
"45","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533085","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Glaziou, A.",NA,"1884","1","14",NA,"Brasil","Minas Gerais",NA,"Entre Sitio e Barbacena.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533085' target='other'> <mi>dwc_moreinfo</mi></a>","P04533085","P04533085_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15194",NA,NA
"46","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533086","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Burchell",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533086' target='other'> <mi>dwc_moreinfo</mi></a>","P04533086","P04533086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1931",NA,NA
"47","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533087","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Gaudichaud, C.",NA,"1833","1","1",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533087' target='other'> <mi>dwc_moreinfo</mi></a>","P04533087","P04533087_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"178",NA,NA
"48","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533090","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Glaziou, A.",NA,"1867","7","20",NA,"Brasil","Rio de Janeiro",NA,"Serra do Alto Macahé.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533090' target='other'> <mi>dwc_moreinfo</mi></a>","P04533090","P04533090_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1298",NA,NA
"49","2015-09-04 16:08:24-03","MNHN","RECOLNAT_MNHN_P","P04533091","PreservedSpecimen",NA,NA,NA,"Primulaceae","Rapanea","leuconeura","Rapanea leuconeura","(Mart.) Mez","Blanchet",NA,NA,NA,NA,NA,"Brasil",NA,NA,"[Bahia].",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04533091' target='other'> <mi>dwc_moreinfo</mi></a>","P04533091","P04533091_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3564",NA,NA
