"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","typeStatus","class","individualCount","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"15","2020-09-12 05:00:02-03","US","US","2281262","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"H. S. Irwin","2062","1958","11","10","South America - Neotropics","Brazil","Minas Gerais","Minas Gerais: State Agricultural School, Viçosa.",NA,NA,NA,NA,"US02780912","US02780912_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"16","2020-09-12 05:00:02-03","US","US","1618048","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"Y. Mexia","5251","1930","11","4","South America - Neotropics","Brazil","Minas Gerais","State of Minas Geraes. Districto Rio Branco. Fazenda Bom Jardim; Cambusca; in open cut-over woods.","720",NA,NA,NA,"US02780914","US02780914_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"17","2020-09-12 05:00:02-03","US","US","1618117","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"Y. Mexia","5474","1931","1","2","South America - Neotropics","Brazil","Minas Gerais","State of Minas Geraes. Districto Rio Branco. Fazenda de Bom Jardim; Pedera; overgrown slope.","720",NA,NA,NA,"US02780913","US02780913_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA,NA
"18","2019-11-13 11:20:57-03","USP","SPF","148320","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","Moldenke, HN","Handro, O","s.n.","1938","11","16",NA,"Brasil","São Paulo","Jardim Botânico de São Paulo",NA,NA,NA,NA,"SPF00148320","SPF00148320","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","1941","09",NA,NA,NA,NA,NA,NA,NA
"19","2019-10-07 09:16:38-03","UEFS","HUEFS","27924","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Handro, O.",NA,"1938","11","16",NA,"Brasil","São Paulo","Jardim Botânico.",NA,NA,NA,NA,"HUEFS0027924",NA,"São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA
"20","2019-10-07 09:16:38-03","UEFS","HUEFS","27904","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Baitello, J.B.","623","1994","03","30",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, pedreira e arredores.",NA,NA,NA,"Solo arneoso-pedregoso.","HUEFS0027904",NA,"Cunha","-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA
"21","2019-10-07 09:16:38-03","UEFS","HUEFS","32700","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Mexia, Y.","5251","1930","11","04",NA,"Brasil","Minas Gerais","Fazenda Bom Jardim; Cambusca; in open cut-over woods.","720","720",NA,NA,"HUEFS0032700",NA,"Rio Branco",NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA
"22","2019-10-07 09:16:38-03","UEFS","HUEFS","32701","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Mexia, Y.","5474","1931","01","02",NA,"Brasil","Minas Gerais","Fazenda de Bom Jardim; orvergrown slope.","720","720",NA,NA,"HUEFS0032701",NA,"Rio Branco",NA,NA,NA,NA,NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA
"23","2019-10-07 09:16:38-03","UEFS","HUEFS","35722","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","F.França","Miranda, E.B.","48","1999","02","05",NA,"Brasil","Bahia","4Km de Brejo de Cima na estrada para Mucugê.","965","965",NA,"caatinga.","HUEFS0035722","HUEFS0035722","Mucugê","-41.549722","-13.324167",NA,NA,"2003","11",NA,NA,"Asteranae",NA,"41W32'59''","13S19'27''",NA
"24","2019-10-07 09:16:38-03","UEFS","HUEFS","40891","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","F.França","Miranda, E.B.","310","1999","10","25",NA,"Brasil","Bahia","Catolés Catolés: margem da estrada Catolés e Ouro Verde.","900","900",NA,NA,"HUEFS0040891",NA,"Abaíra","-41.799722","-13.318611",NA,NA,"2003","11",NA,NA,"Asteranae",NA,"41W47'59''","13S19'7''",NA
"25","2019-10-07 09:16:38-03","UEFS","HUEFS","109200","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Farney, C.","2570","1990","11","25",NA,"Brasil","Rio de Janeiro","Pico Cairuçu - Acesso pela Praia Negra.","800","1100",NA,"Mata Nebular.","HUEFS0109200","HUEFS0109200","Parati","-44.7131004333496","-23.2178001403809","34470","auto",NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA
"26","2019-01-23 11:24:20-02","F","FMNH-SEEDPLANTS","V0074564F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Verbenaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"Y. Mexía","5251","1930","11","4","South America","Brazil",NA,NA,NA,NA,NA,NA,"V0074564F","V0074564F_01",NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,"Isotype","Dicotyledoneae",NA,NA,NA,NA
"27","2019-01-25 15:35:12-02","IAC","IAC","42397","S","Plantae",NA,NA,"Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke","H.N. Moldenke","O. Handro","s/nº","1938","11","05",NA,"Brasil","São Paulo","cultivada na capital, Jardim Botânico",NA,NA,NA,"Mudas obtido da escola agricultura luiz de Queirós, piracicaba",NA,NA,"São Paulo","-46.6361","-23.5475",NA,NA,"1941","09","05",NA,NA,NA,"-46.6361","-23.5475",NA
"28","2016-08-23 11:00:28-03","NHMLondon","NHM-LONDON-BOT","BM000992830","S","Plantae",NA,NA,"Verbenaceae","Vitex","mexiae","Vitex mexiae","Moldenke","Harold Norman Moldenke; b.1909; d.1996; Moldenke","Ynes Enriquetta Julietta Mexia; b.1870; d.1938; Mexia","5251","1930","11","04",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/9f7b5fa38fad8a1e5bbf6bf384ee343004775409/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"-44.096503","-19.690239",NA,NA,"1936",NA,NA,"Isotype",NA,NA,"-44.096503","-19.690239","NHMUK:ecatalogue:494400"
"29","2021-03-04 15:43:47-03","IF","SPSF","24118","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"E.A.Anunciaçao","574","1994","05","20","América do Sul","Brasil","SP","Estação Ecológica Juréia-Itatins",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: restinga arbórea&nf;;",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"30","2021-03-04 15:43:47-03","IF","SPSF","24117","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"L.Rossi","680","1990","08","17","América do Sul","Brasil","SP","Estação Ecológica Juréia-Itatins",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"31","2021-03-04 15:43:47-03","IF","SPSF","24144","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"L.Rossi","721","1990","10","18","América do Sul","Brasil","SP","Estação Ecológica Juréia-Itatins",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata de restinga&nf;;",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"32","2021-03-04 15:43:47-03","IF","SPSF","17062","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"J.B.Baitello","623","1994","03","30","América do Sul","Brasil","SP","Parque Estadual da Serra do Mar",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Solo arenoso, pedregoso e em alguns locais bastante úmido.&nf;Arvoreta 5m., frutos vináceos.;",NA,NA,"Cunha","-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"33","2021-03-04 15:43:47-03","IF","SPSF","24145","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"L.Rossi","759","1990","11","21","América do Sul","Brasil","SP","Estação Ecológica Juréia-Itatins",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"34","2021-03-04 15:43:47-03","IF","SPSF","24130","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Vitex","mexiae","Vitex mexiae",NA,NA,"L.Rossi","938","1991","11","28","América do Sul","Brasil","SP","Estação Ecológica Juréia-Itatins",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: margens do rio Verde&nf;;",NA,NA,"Iguape","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA
"35","2020-08-13 18:02:12-03","IBt","SP","293875","S","Plantae",NA,NA,"Lamiaceae","Vitex","mexiae","Vitex mexiae","Moldenke",NA,"Baitello, JB","623","1994","03","30",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar",NA,NA,NA,NA,NA,NA,"Cunha","-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
