"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","barcode","class","order","continentOcean","country","locality","occurrenceRemarks","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters"
"14","2019-08-20 09:59:01-03","UNICAMP","UEC","138875","S","Plantae","Liliopsida","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Breier, TB; Budke, JC","468","UEC090116",NA,NA,NA,"Brazil","Parque Estadual Carlos Botelho, Núcleo Sete Barras",NA,"UEC090116","2002","08","18","São Paulo","Sete Barras","-47.916667","-24.166667",NA,NA,"Breier, TB","2004","07","-47.916667","-24.166667",NA,NA,NA
"15","2019-08-20 09:59:01-03","UNICAMP","UEC","138876","S","Plantae","Liliopsida","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Breier, TB; Budke, JC","463","UEC090115",NA,NA,NA,"Brazil","Parque Estadual Carlos Botelho, Núcleo Sete Barras",NA,"UEC090115","2002","08","18","São Paulo","Sete Barras","-47.916667","-24.166667",NA,NA,"Breier, TB","2004","07","-47.916667","-24.166667",NA,NA,NA
"16","2021-03-01 16:18:54-03","UNICAMP","UEC","138877","S","Plantae","Liliopsida","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Breier, TB; Breier, ACB","790","UEC090118",NA,NA,NA,"Brazil","Parque Estadual Carlos Botelho, Núcleo Sete Barras","Fruto amarelo","UEC090118","2002","12","15","São Paulo","Sete Barras","-47.916667","-24.166667",NA,NA,"Temponi, LG","2003","10","-47.916667","-24.166667",NA,NA,NA
"17","2020-12-21 16:13:14-03","MBM","MBM","254136","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Gonçalves, E.G.; et al.; et al.","562","MBM254136",NA,NA,"Southern America","Brazil","São João da Viçosa",NA,"MBM254136","2000","10","09","Espírito Santo","Venda Nova do Imigrante","-41.1347007751465","-20.3397006988525","15909","auto","Gonçalves, E.G.",NA,NA,NA,NA,NA,NA,NA
"18","2009-10-26 23:35:00-02","MO","MOBOT","2781912","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Ludwig Riedel","Riedel s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2014-01-11 19:21:00-02","MO","MOBOT","922887","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Alberto J. de Sampaio","Sampaio 5933A",NA,NA,NA,"South America","Brazil","Medio Armina, via Luatta (handwriting hard to read)",NA,NA,"1930",NA,NA,"Pará",NA,NA,NA,NA,NA,"Diels",NA,NA,NA,NA,NA,NA,NA
"20","2018-12-10 13:05:00-02","MO","MOBOT","101087549","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Leitman|et al.","Leitman 460",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"Bahia","Arataca","-39.4143981933594","-15.2632999420166","19859","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2018-12-10 13:05:00-02","MO","MOBOT","101087710","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","R. Marquete|et al.","Marquete 983",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"Rio de Janeiro","Parati","-44.7131004333496","-23.2178001403809","34470","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2018-12-10 13:05:00-02","MO","MOBOT","101087999","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","M. A. Nadruz Coelho|V. González","Nadruz Coelho 1688",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"São Paulo","Bananal","-44.3199996948242","-22.6800003051758","26795","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2018-12-10 13:05:00-02","MO","MOBOT","101088970","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","M. Sugiyama","Sugiyama 1120",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"São Paulo","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"24","2018-12-10 13:05:00-02","MO","MOBOT","101086772","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","George Eiten|W.D. Clayton","Eiten 6097",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"São Paulo","Cananéia","-47.9199981689453","-25.0100002288818","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-12-11 04:12:00-02","MO","MOBOT","101087172","PreservedSpecimen","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","M.G.L. Wanderley","Wanderley 298",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-07-09 09:50:28-03","F","FMNH-SEEDPLANTS","V0461044F","PreservedSpecimen","Plantae","Spermatophyta","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii",NA,"J. Betancur B. et al.","895","V0461044F","Monocotyledoneae",NA,"South America","Colombia",NA,NA,"V0461044F_01","1988","9","30",NA,NA,"-72.8667","3.8811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-11-13 16:04:24-03","UNISANTA","HUSC","10921","PreservedSpecimen","Plantae","Magnoliophyta","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Isidro, B.; et al.","24",NA,NA,NA,NA,"Brasil","Serra do Guararu, condomínio Iporanga,área B.","Epífita presa à uma liana, coletada a cerca de 2m, inflorescência passada.",NA,"2012","05","24","São Paulo","Guarujá","-46.25","-23.9899997711182","18989","auto","Nadruz, M.","2015","10",NA,NA,NA,NA,NA
"28","2021-03-04 15:41:55-03","IF","SPSF","38298","PreservedSpecimen","Plantae","Magnoliophyta","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","T.B.Breier & A.C.B.Breier","790",NA,"Liliopsida","Arales","América do Sul","Brasil","Parque Estadual Carlos Botelho - Núcleo Sete Barras","COLETA: Fruto amarelo.; GEOGRAFIA: Trilha da Figueira.;",NA,"2002","12","15","SP","Sete Barras","-47.931944","-24.169444",NA,NA,"L.G.Temponi",NA,NA,NA,NA,NA,NA,NA
"29","2021-03-04 15:41:55-03","IF","SPSF","38347","PreservedSpecimen","Plantae","Magnoliophyta","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","T.B.Breier & J.C.Budke","498",NA,"Liliopsida","Arales","América do Sul","Brasil","Parque Estadual Carlos Botelho - Núcleo Sete Barras","COLETA: Árvore nº 7886.; GEOGRAFIA: Parcela permanente.;",NA,"2002","08","20","SP","Sete Barras","-47.931944","-24.169444",NA,NA,"T.B.Breier","2004","07",NA,NA,"01",NA,NA
"30","2021-03-04 15:41:55-03","IF","SPSF","38348","PreservedSpecimen","Plantae","Magnoliophyta","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","T.B.Breier & J.C.Budke","468",NA,"Liliopsida","Arales","América do Sul","Brasil","Parque Estadual Carlos Botelho - Núcleo Sete Barras",NA,NA,"2002","08","18","SP","Sete Barras","-47.931944","-24.169444",NA,NA,"T.B.Breier","2004","07",NA,NA,"01",NA,NA
"31","2021-03-04 15:41:55-03","IF","SPSF","37537","PreservedSpecimen","Plantae","Magnoliophyta","Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","F. A. R. D. P. Arzolla & G.C.R.de Paula & M.O.Leite & J.R.dos Santos","1151",NA,"Liliopsida","Arales","América do Sul","Brasil","Parque Estadual da Cantareira","COLETA: Epífita.; GEOGRAFIA: Floresta Ombrófila Densa Montana. Morro do Pavão.;",NA,"2005","08","19","SP","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","L.E.M.Catharino","2008","02",NA,NA,"01",NA,NA
"32","2017-09-11 17:07:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Riedel, L","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-21 09:59:10-03","IBt","SP","140799","S","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Eiten, G; Clayton, WD","6097","SP049214",NA,NA,NA,"Brasil","Along road from Jacupiranga to Cananéia, ca. 21 km due NNW of Cananéia.",NA,"SP049214","1965","02","15","São Paulo","Cananéia","-47.983333","-24.85",NA,NA,"Nadruz, M","1997","02","-47.983333","-24.85","21","200","300"
"34","2019-11-21 09:59:10-03","IBt","SP","10732","S","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Luederwaldt, H","s.n.","SP049213",NA,NA,NA,"Brasil","Ipiranga, no Horto Botânico em cult. da Matta do Governo.",NA,"SP049213","1910","01",NA,"São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Barroso, GM",NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 09:59:10-03","IBt","SP","55398","S","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Handro, O","570","SP049215",NA,NA,NA,"Brasil","Jardim Botânico",NA,"SP049215","1956","04","26","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Nadruz, M","2000","02",NA,NA,"02",NA,NA
"36","2019-11-21 09:59:10-03","IBt","SP","168849","S","Plantae",NA,"Araceae","Anthurium","langsdorffii","Anthurium langsdorffii","Schott","Wanderley, MGL","298","SP049212",NA,NA,NA,"Brasil","Parque Estadual das Fontes do Ipiranga, Reserva Biológica.",NA,"SP049212","1981","04","07","São Paulo","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Nadruz, M","2000","03",NA,NA,NA,NA,NA
