"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","monthIdentified","dayIdentified","sex"
"17","2020-09-12 05:00:02-03","US","US","1441812","PreservedSpecimen","Plantae",NA,"Rosales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce",NA,"A. Ducke","10063","1926","9","15","South America - Neotropics","Brazil","Pará","Obidos (civ. Pará), ad ripo inundatas faneis fluminis Curucamba [interpreted]",NA,NA,"US02188643","US02188643_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA,NA
"18","2019-09-04 18:33:43-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Inga","microcalyx","Inga microcalyx",NA,NA,"R. Spruce",NA,"1850","6",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"Isolectotype",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"19","2019-09-04 18:18:51-03","F","FMNH-SEEDPLANTS","V0058182F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Inga","microcalyx","Inga microcalyx",NA,NA,"R. Spruce",NA,"1850","6",NA,"South America","Brazil",NA,NA,NA,NA,"V0058182F","V0058182F_01","-52.8731","-10.8339",NA,NA,"Isolectotype",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"20","2015-03-07 01:39:50-03","F","FMNH-SEEDPLANTS","V0161407F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Inga","microcalyx","Inga microcalyx",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"V0161407F","V0161407F_01","-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"21","2019-01-23 09:54:42-02","F","FMNH-SEEDPLANTS","V0361311F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Fabaceae","Inga","microcalyx","Inga microcalyx",NA,NA,"R. Spruce",NA,"1850","6",NA,"South America","Brazil",NA,NA,NA,NA,"V0361311F","V0361311F_01","-52.8731","-10.8339",NA,NA,"Isolectotype",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA
"22","2017-09-11 17:09:59-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"?","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"folium unum adest petiolo 7 poll. longo, foliolis majoribus 8 poll. longis, 4 poll. latis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2017-09-11 17:09:59-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"?","s.n.",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"Specimina foliolorum magnitudine nec aliter inter se diversu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 16:27:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Spruce, R","910",NA,NA,NA,"Southern America","Brazil","Pará ","in Brasilia boreali secus riculos Iguarapé dictos prope Santarem",NA,NA,NA,NA,"-54.71","-2.44",NA,NA,NA,NA,"Santarém",NA,NA,NA,"-54.71","-2.44",NA,NA,NA,NA,NA
"25","2017-09-11 16:27:28-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.",NA,"Spruce, R","977",NA,NA,NA,"Southern America","Brazil","Pará ","in Brasilia boreali secus riculos Iguarapé dictos prope Santarem",NA,"There is another Spruce 977 that is Borreria scabiosoides",NA,NA,"-54.71","-2.44",NA,NA,NA,NA,"Santarém",NA,NA,NA,"-54.71","-2.44",NA,NA,NA,NA,NA
"26","2018-12-04 20:28:38-02","UNIR","RON","e1528","S","Plantae","Angiosperma","Fabales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.","Rosa, NA","DRL","0971103-0","1997","03","11","Southern America","Brasil","Rondônia",NA,NA,NA,"RON000e1528","RON000e1528","-61.3227996826172","-11.8169002532959",NA,NA,NA,"1997","Primavera de Rondônia","31380","auto",NA,NA,NA,NA,NA,"06","17",NA
"27","2018-12-04 20:28:38-02","UNIR","RON","e1856","S","Plantae","Angiosperma","Fabales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.","Rosa, NA","DRL","1630708-1","1997","08","07","Southern America","Brasil","Rondônia","Área indígena do Mekens.",NA,NA,"RON000e1856","RON000e1856","-60.8997001647949","-12.5522003173828",NA,NA,NA,"1997","Chupinguaia","57583","auto",NA,NA,NA,NA,NA,"09","08",NA
"28","2018-12-04 20:28:38-02","UNIR","RON","e2094","S","Plantae","Angiosperma","Fabales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.","Rosa, NA","Antônio, M","3212407-3","1997","07","24","Southern America","Brasil","Rondônia","Sítio Santa Luzia",NA,NA,"RON000e2094","RON000e2094",NA,NA,NA,NA,NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,"08","13",NA
"29","2018-12-04 20:28:38-02","UNIR","RON","e628","S","Plantae","Angiosperma","Fabales","Fabaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Benth.","Rosa, NA","Araújo, J","3982012-3","1996","12","20","Southern America","Brasil","Rondônia","Abunã e Mutum Paraná",NA,NA,"RON0000e628","RON0000e628",NA,NA,NA,NA,NA,"1997",NA,NA,NA,NA,NA,NA,NA,NA,"04","12",NA
"30","2010-10-16 15:18:29-03","GH","HU-HERB","GH 00066008","PreservedSpecimen","Plantae",NA,NA,"Mimosaceae","Inga","microcalyx","Inga microcalyx","Spruce ex Bentham",NA,"R. Spruce","[910]","1850","6",NA,"South America","Brazil","Pará","In vicinibus Santarem [Igarapé de Mahicá]","Sheet",NA,NA,NA,NA,NA,NA,NA,"Isolectotype",NA,NA,NA,NA,NA,NA,NA,"[910]",NA,NA,NA,"undetermined"
"31","2020-08-07 17:11:00-03","IEPA","HAMAB",NA,"PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","microcalyx","Inga microcalyx",NA,NA,"Rabelo, BV","1431","1981","11","13",NA,"Brasil","Amapá","Fazendinha",NA,NA,NA,NA,"-51.0663986206055","-0.366667002439499",NA,NA,NA,NA,"Macapá","225229","auto",NA,NA,NA,NA,NA,NA,NA,NA
