"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","yearIdentified","locality","verbatimLongitude","verbatimLatitude","class","order","relatedCatalogItem","imagecode","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount"
"11","2021-03-01 16:32:58-03","UNICAMP","UEC","63532","S","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro, J; Poliquesi, CB","804","1992","02","18",NA,"Brazil",NA,NA,"Flor alva. Solo rochoso, encosta de colina.","UEC022996","L.B.Sm.","Hatschbach, G","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto","Magnoliopsida",NA,"Rod. para Campinas",NA,NA,NA,NA,NA,"UEC022996",NA,NA,NA,NA,NA,NA
"12","2020-10-14 10:02:26-03","FURB","FURB","6998","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Poliquesi, C.B.; Barbosa, E. & Cordeiro, J.","694","2007","03","06",NA,"Brasil",NA,NA,NA,"FURB02066","L.B.Sm.","Cordeiro, J","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,"2007","Pedreira Boa Vista.",NA,NA,NA,NA,NA,"FURB02066","03","06",NA,NA,NA,NA
"13","2021-03-16 17:52:28-03","UCS","HUCS","51304","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Gonzatti, F.","4070","2017","12","02",NA,"Brasil",NA,NA,"erva ereta, formando populações pequenas, mas densas. Solo seco, pedregoso. Subida do cerro.",NA,"L. B. Sm.","Gonzatti, F.","Rio Grande do Sul","Caçapava do Sul","-53.501028","-30.835833",NA,NA,"Angiospermae","2020","Guarita","-53.501028","-30.835833",NA,"Gentianales",NA,NA,"11",NA,"258","258",NA,NA
"14","2019-08-16 08:39:47-03","UTFPR","HCF","26711","S","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","C.B. Poliquesi","694","2007","03","06",NA,"Brasil",NA,NA,"erva, 30 cm, flor alvacenta. Solo rochoso.",NA,"L.B. Sm.","J. Cordeiro","PR","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,"2007","Pedreira Boa Vista",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:31:49-03","MBM","MBM","299934","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","78047","2004","10","15","Southern America","Brazil",NA,NA,NA,"MBM299934","L.B. Sm.","Hatschbach, G.","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,NA,"Lajeado Grande, descida da serra",NA,NA,NA,NA,NA,"MBM299934",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:31:49-03","MBM","MBM","150217","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro, J.; Poliquesi, C.B.; Poliquesi, C.B.","804",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM150217","L.B. Sm.","Hatschbach, G.","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,NA,"Rodovia para Campinas",NA,NA,NA,NA,NA,"MBM150217",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:31:49-03","MBM","MBM","44370","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G.","6716",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM044370","L.B. Sm.","Smith, L.B.","Paraná","Rio Negro","-49.7975006103516","-26.1058006286621","31514","auto",NA,NA,"Piên",NA,NA,NA,NA,NA,"MBM044370",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:31:49-03","MBM","MBM","44371","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G.","5470","1959","01","15","Southern America","Brazil",NA,NA,"Rupícola. Flor lilás-claro; Rupícola, flor lilás claro.","MBM044371","L.B. Sm.","Smith, L.B.","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,"1959","Piên",NA,NA,NA,NA,NA,"MBM044371",NA,NA,NA,NA,"ISOTYPE",NA
"19","2020-12-21 16:31:49-03","MBM","MBM","132152","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G.; Silva, J.M.; Silva, J.M.","53603",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM132152","L.B. Sm.","Hatschbach, G.","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,NA,"Piên",NA,NA,NA,NA,NA,"MBM132152",NA,NA,NA,NA,NA,NA
"20","2020-12-21 16:31:49-03","MBM","MBM","4048","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G.","16100",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM004048","L.B. Sm.","Hatschbach, G.","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,NA,"Piên",NA,NA,NA,NA,NA,"MBM004048",NA,NA,NA,NA,NA,NA
"21","2020-12-21 16:31:49-03","MBM","MBM","145039","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Poliquesi, C.B.; Silva, J.M.; Silva, J.M.","24",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"MBM145039","L.B. Sm.","Hatschbach, G.","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,NA,"Piên, arredores",NA,NA,NA,NA,NA,"MBM145039",NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:37:13-03","UFMG","BHCB","27294","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro, J","s.n.","1992","02","18","Southern America","Brasil",NA,NA,"Flor alva; Solo rochoso, encosta de colina","BHCB047623","L.B.Sm.",NA,"Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto","Dicotyledon",NA,"Rodovia para Campinas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-02-11 17:19:24-03","UFPR","UPCB","6661","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","cf. vestita","Spigelia cf. vestita","Hatschbach, G.","16100","1967","03","08",NA,"Brasil",NA,NA,"Erva, flor alva. Campo pedregoso..","UPCB0036237","L.B.Sm.","Hatschbach, G.","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,"1967",NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA
"24","2009-07-09 17:05:00-03","MO","MOBOT","2453089","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Gert G. Hatschbach","Hatschbach 5470","1959","1","15","South America","Brazil",NA,NA,NA,NA,"L.B. Sm.",NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,"Rio Negro. Pien",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","2279902","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","G. Hatschbach","5470","1959","1","15","South America","Brazil",NA,NA,NA,"US00112929","L.B. Sm.",NA,"Paraná","Rio Negro","-49.7975006103516","-26.1058006286621","31514","auto",NA,NA,"Pien.",NA,NA,"Dicotyledonae","Gentianales",NA,"US00112929_01",NA,NA,NA,NA,"Isotype","1"
"26","2020-09-12 05:00:02-03","US","US","2324944","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","G. Hatschbach","6716","1960","2","4","South America","Brazil",NA,NA,NA,"US03160336","L.B. Sm.",NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,"Mun. Rio Negro, Pien.",NA,NA,"Dicotyledonae","Gentianales",NA,"US03160336_01",NA,NA,NA,NA,NA,"1"
"27","2020-09-12 05:00:02-03","US","US","2649739","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","L. Smith & R. M. Klein","15559","1971","12","1","South America","Brazil",NA,NA,NA,"US03160335","L.B. Sm.",NA,"Santa Catarina",NA,NA,NA,NA,NA,NA,NA,"Mun. Agua Doce: 65 km west of Caçador.",NA,NA,"Dicotyledonae","Gentianales",NA,"US03160335_01",NA,NA,NA,NA,NA,"1"
"28","2019-11-13 11:23:44-03","USP","SPF","70788","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G","53603","1989","11","08",NA,"Brasil",NA,NA,NA,"SPF00070788","L.B.Sm.","Hatschbach, G","Paraná",NA,NA,NA,NA,NA,NA,"1990","Pien, rodovia para Campinas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-25 13:52:26-03","UNIVILLE","JOI","8183","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","C.B. Poliquesi",NA,"2007","03","06",NA,"Brasil",NA,NA,"; HABITAT: solo rochoso; HABITO: erva","JOI008183","L.B.Sm.","J. Cordeiro","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,"2007","Pedreira Boa Vista.",NA,NA,NA,NA,NA,"JOI008183","03","06",NA,NA,NA,NA
"30","2020-07-23 12:10:05-03","CEPLAC","CEPEC","132598","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","C. B. Poliquesi","694","2003","03","08",NA,"Brasil",NA,NA,NA,NA,NA,"J. Cordeiro","Paraná","PIÊN","-49.42919921875","-26.0981006622314","19924","auto",NA,NA,"Pedreira Boa Vista.",NA,NA,NA,NA,"30/12/2007",NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 17:29:36-03","UEM","HUEM","4942","S","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro, J; Poliquesi, CB","804","1992","02","18",NA,"Brasil",NA,NA,"Flor alva; solo rochoso, encosta de colina","HUEM000006530","L.B.Smith","Hatschbach, G","Paraná","Pien","-49.42919921875","-26.0981006622314","19924","auto",NA,"1992","Rodovia para Campinas",NA,NA,NA,NA,NA,"HUEM000006530",NA,NA,NA,NA,NA,NA
"32","2020-11-12 16:59:53-03","UEL","FUEL","21552","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro, J; Poliquesi, CB","804","1992","02","18",NA,"Brasil",NA,NA,NA,NA,"L.B.Sm.","Hatschbach, G","Paraná","Pien","-49.42919921875","-26.0981006622314","19924","auto","Tracheophyta","1985","Rodovia para Campinas",NA,NA,NA,"Gentianales",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-08-20 20:39:03-03","UFSC","FLOR","3046","PreservedSpecimen","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Smith, L.B.; Klein, R.M.","13557","1964","12","04",NA,"Brasil",NA,NA,"Duplicata de HBR Habitat: Dry sunny bank","FLOR0003046","L.B.Sm.","Fontella, J.; Guimarães, E.F.","Santa Catarina","Água Doce","-51.616667","-26.683333",NA,NA,NA,"1973","Rio Chapecó. 12km south of Horizonte (Paraná)","51º37'W","26º41'S",NA,"Gentianales",NA,NA,NA,NA,"1000","1000",NA,NA
"34","2018-10-03 21:33:27-03","UFMT","UFMT","5960","S","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Cordeiro, I.; Poliquesi, C.B.","804","1992","02","18",NA,"Brasil",NA,NA,"Flor alva. Solo rochoso, encosta de colina.",NA,"L.B.Sm.","Hatschbach, G.","Paraná","Piên","-49.42919921875","-26.0981006622314","19924","auto",NA,"1992","Rodovia para Campinas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 10:07:42-03","IBt","SP","59965","S","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G","6716","1960","02","04",NA,"Brasil",NA,NA,"Coletada no mesmo local do TYPO",NA,"L.B.Sm.","Fernandez Casas, FJ","Paraná","Rio Negro","-49.7975006103516","-26.1058006286621","31514","auto",NA,"2012","Pien",NA,NA,NA,NA,NA,NA,"04","27",NA,NA,NA,NA
"36","2019-05-22 10:12:05-03","IBt","SP","151992","Extra","Plantae","Loganiaceae","Spigelia","vestita","Spigelia vestita","Hatschbach, G","6716","1960","02","04",NA,"Brasil",NA,NA,"Coletada no mesmo local do TYPO",NA,"L.B.Sm.","Fernandez Casas, FJ","Paraná","Rio Negro","-49.7975006103516","-26.1058006286621","31514","auto",NA,"2012","Pien",NA,NA,NA,NA,NA,NA,"04","27",NA,NA,NA,NA
