"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","scientificNameAuthorship","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"11","2016-11-07 11:50:00-02","NY","NYBG","1144920","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","W. J. Burchell","9953",NA,NA,NA,"South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1301035' target='other'> <mi>dwc_moreinfo</mi></a>","NY01144920","NY01144920_01","S. de Castro Boechat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-11-01 12:37:00-02","NY","NYBG","630733","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","M. A. Chase","7704","1924","11","14","South America","Brazil","Pernambuco","Bello Jardim, Serra do Genipapo","625","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630733","NY00630733_01",NA,NA,NA,NA,NA,"625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 21:02:00-03","NY","NYBG","00862561","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","D. C. Daly","D630","1980","10","16","South America","Brazil","Maranhão","Between Vitoria do Mearim and Viana on MA 014. Near slow river and small stagnant pools",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945041' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862561","NY00862561_01","S. de Castro Boechat",NA,"-44.92","-3.25","Viana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","630739","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. Gardner","1186","1836",NA,NA,"South America","Brazil",NA,"Brasilia",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630739","NY00630739_01","L. H. Harvey","(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","630742","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","F. R. Fosberg","29081","1947","11","10","South America","Peru","Loreto","Paraiso, well above Iquitos on Rio Amazonas","110","sheet","1947 Cinchona Expedition <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630742",NA,"G. Davidse","(Lam.) Britton, Sterns & Poggenb.",NA,NA,"Maynas","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 13:11:00-03","NY","NYBG","630741","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","L. E. Ruiz-Terán","10669","1974","05","28","South America","Venezuela","Bolívar","Entre el caserío El Temblador y Laguna Tumbao, cerca de la margen derecha del río Caura","120","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630741",NA,"G. Davidse",NA,NA,NA,"Sucre","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 13:11:00-03","NY","NYBG","630743","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","T. S. Ibarrola","2242","1945","01","26","South America","Argentina","Corrientes","Dep. Paso de los Libres. Cabred (cercanias)",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445023' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630743",NA,"L. H. Harvey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","630734","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","R. M. Harley","25862","1988","11","02","South America","Brazil","Bahia","Livramento do Brumado. Lagoa Vargem de Dentro, c.8km ao oeste da cidade","520","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630734","NY00630734_01",NA,"(Lam.) Britton, Sterns & Poggenb.","-41.78","-13.63",NA,"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-30 02:18:00-03","NY","NYBG","1146942","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","B. A. Krukoff","7505",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1399937' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146942","NY01146942_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00862588","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","V. L. Gomes-Klein","3474","1998","08","22","South America","Brazil","Tocantins","Reserva Ecológica do Bico de Papagaio",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945048' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862588","NY00862588_01","M. H. Nee","(Lam.) Britton, Sterns & Poggenb.","-48.5114","-5.3428","Esperantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1146944","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. T. Prance","5468","1968","07","03","South America","Brazil","Rondônia","Rio Madeira, 4 km north of Mutumparaná.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401373' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146944","NY01146944_01","S. de Castro Boechat","(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","865684","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. T. Prance","7345","1968","09","18","South America","Brazil","Acre","Vicinity of Tarauacá",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445019' target='other'> <mi>dwc_moreinfo</mi></a>","NY00865684","NY00865684_01","G. Davidse","(Lam.) Britton, Sterns & Poggenb.","-70.77","-8.15","Tarauacá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1146946","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. T. Prance","2551","1966","09","25","South America","Brazil","Amazonas","Beach on Rioa Purus, opposite Boca do Acre.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401375' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146946","NY01146946_01 NY01146946_02","S. de Castro Boechat","(Lam.) Britton, Sterns & Poggenb.","-67.4024105","-8.7518256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-29 13:11:00-03","NY","NYBG","630738","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","B. V. Skvortzov","300","1964","06","10","South America","Brazil","São Paulo","Ground of the Instituto de Botânica, Parque do Estado, 10 km south of center of city of Sao Paulo",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445024' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630738","NY00630738_01","L. H. Harvey",NA,"-46.618358","-23.646109","Sao Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-29 21:02:00-03","NY","NYBG","00862587","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","N. A. Rosa","2941","1978","12","13","South America","Brazil","Maranhão","Sta. Inês, margem direita do Rio Pindaré, proximo da Rod. BR-316",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945042' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862587","NY00862587_01","S. de Castro Boechat",NA,"-45.38","-3.6669","Santa Inês",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-10-28 16:50:00-02","NY","NYBG","884673","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","P. Salzmann","s.n.",NA,NA,NA,"South America","Brazil","Bahia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00884673","NY00884673_01","S. de Castro Boechat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","630740","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","L. Riedel","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630740","NY00630740_01","S. de Castro Boechat","(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","1146945","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. T. Prance","5899","1968","07","12","South America","Brazil","Rondônia","E. bank of Rio Madeira at Abuña",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401374' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146945","NY01146945_01 NY01146945_02","S. de Castro Boechat","(Lam.) Britton, Sterns & Poggenb.","-65.365883","-9.704187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-11-01 12:37:00-02","NY","NYBG","630736","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","W. Hoehne","s.n.","1934","07","01","South America","Brazil","São Paulo","Rio Tietê, Capital",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=445025' target='other'> <mi>dwc_moreinfo</mi></a>","NY00630736","NY00630736_01","W. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00862560","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","H. A. Weddell","2359","1844","08",NA,"South America","Brazil",NA,"Bords du Rio Tocantins.",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945037' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862560","NY00862560_01","S. de Castro Boechat","(Lam.) Britton, Sterns & Poggenb.","-47.4832079","-7.3428216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","1146943","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G. T. Prance","5268","1968","06","27","South America","Brazil","Rondônia","Island in Rio Madeira opposite Jaciparaná",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1401372' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146943","NY01146943_01 NY01146943_02","S. de Castro Boechat","(Lam.) Britton, Sterns & Poggenb.","-64.397038","-9.194036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-11-01 11:07:00-02","NY","NYBG","00862559","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","A. F. C. P. Saint-Hilaire","520","1816",NA,NA,"South America","Brazil",NA,"Brésil- Province de",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00862559","NY00862559_01","S. de Castro Boechat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-29 16:48:00-03","NY","NYBG","380820","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Eragrostis","reptans","Eragrostis reptans","A. F. C. P. Saint-Hilaire","M.266","1816",NA,NA,"South America","Uruguay",NA,"Banda oriental de Uruguay",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=656370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00380820","NY00380820_01",NA,NA,NA,NA,NA,NA,"possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2016-09-27 02:58:00-03","NY","NYBG","431386","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Poa","hypnoides","Poa hypnoides","Collector unspecified","s.n.",NA,NA,NA,"South America","Guyana",NA,"[Amer. merid.]",NA,"sheet","Gray Card Index cited the type of this taxon as being collected in Amer. merid. by D. Richard, which is probably L. C. Richard. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=744058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00431386","NY00431386_01",NA,NA,NA,NA,NA,NA,"type fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-02-08 11:09:51-03","UNESP-IBB","BOTU","6690","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Chagas, F.N.","2712100876","1976","08","10",NA,"Brasil","Amazonas","SãoMiguel; várzea do Rio Madeira.",NA,NA,NA,"BOTU006690",NA,"Boechat, S.C.","(Lam.) Britton, Sterns & Poggenb.","-63.166667","-7.516667","Humaitá",NA,NA,"1995","02","63°10'W","7°31'S",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-08 11:09:51-03","UNESP-IBB","BOTU","16430","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Janssen, A.","77","1979","12","23",NA,"Brasil","Amazonas",NA,NA,NA,"Erva muito pequena semirasteira.","BOTU016430",NA,NA,"(Lam.) Britton, Sterns & Poggenb.","-63.166667","-7.516667","Humaitá",NA,NA,NA,NA,"63°10'w","7°31's",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-06-29 11:32:01-03","UFRJ","RFA","13551","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","A.P. Duarte; Bruno","3279","1950","09","13",NA,"Brasil","Minas Gerais","Estação Experimental",NA,NA,"Planta de lugar baixo, forma belíssimo tapete no solo","RFA30797",NA,"Alberto C. Sarmento","(Lam.) Britton, Sterns & Poggenb.","-44.2467002868652","-19.465799331665","Sete Lagoas",NA,NA,NA,NA,NA,NA,"22227","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-11-13 09:20:40-03","UFRJ","RFA","11052","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","G.G. Hatschbach","17029","1967","08","27",NA,"Brasil","Paraná","Posto Camargo",NA,NA,NA,"RFA30798",NA,"T.M. Pedersen","(Lam.) Britton, Sterns & Poggenb.","-53.613899230957","-23.3955993652344","Icaraíma",NA,NA,"1970",NA,NA,NA,"21289","auto",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:53:20-03","EAO","IAN","108218","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Nobs, MA; Smith, SG","1846","1949","09","08",NA,"Estados Unidos","Califórnia","Rocky, semi-marshy shore, southeastern side of Clear Lake. Lake County.",NA,NA,NA,"IAN108218",NA,NA,"(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:53:20-03","EAO","IAN","111891","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Anderson, EL","993","1949","06","28","Southern America","Peru","Loreto","Masisea Playa.",NA,NA,NA,"IAN111891",NA,NA,"(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-30 12:53:20-03","EAO","IAN","112520","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Baker, RED","15110","1954","03","01",NA,NA,NA,"Caroni, Trinidad e Tobago.",NA,NA,NA,"IAN112520",NA,NA,"(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-30 12:53:20-03","EAO","IAN","115677","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Oliveira, E","2894","1963","11","08","Southern America","Brasil","Amazonas","Km 21 da Rodovia Itacoatiara-Manaus. Beira do Rio Urubú.",NA,NA,"Flores brancas, sementes.","IAN115677",NA,"Boechat, SC","(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,"1996","02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:53:20-03","EAO","IAN","159284","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Dantas, M; Cordeiro, MR","1325","1982","11","08","Southern America","Brasil","Amapá","Caloene. Campo de terra firme.",NA,NA,"Erva perene, com fruto.","IAN159284",NA,"Boechat, SC","(Lam.) Britton, Sterns & Poggenb.","-52.916667","-0.916667",NA,NA,NA,"1996","02","-52.916667","-0.916667",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:53:20-03","EAO","IAN","116733","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Cowan, RS; Forster, R","1255","1959","03","25",NA,"Trinidad",NA,"Locally common herb in drainage area. Oropouche Rice Lands.",NA,NA,NA,"IAN116733",NA,NA,"(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:53:20-03","EAO","IAN","116734","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Poaceae","Eragrostis","hypnoides","Eragrostis hypnoides","Cowan, RS; Forster, R","1255","1959","03","25",NA,"Trinidad",NA,"Locally common herb in drainage area. Oropouche Rice Lands.",NA,NA,NA,"IAN116734",NA,NA,"(Lam.) Britton, Sterns & Poggenb.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
