"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","recordedBy","recordNumber","stateProvince","locality","phylum","order","scientificNameAuthorship","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","sex"
"16","2021-03-15 16:37:00-03","NY","NYBG","374808","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613382' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374808",NA,"B. D. Sucre","4418","Rio de Janeiro","Mata da Lagoinha","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1969","01","11","Rio de Janeiro","-43.2075","-22.9031","NY00374808_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","374821","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374821",NA,"M. Kuhlmann","3786","São Paulo","Enseada do Flamengo","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1956","06","10","Ubatuba","-45.0697","-23.4303","NY00374821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1182887","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1411094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182887",NA,"L. Sylvestre","768","Rio de Janeiro","Estação Ecológica Estadual de Paraíso. Parcela 9D.","Magnoliophyta","Ericales","Mart.",NA,"1992","02","19","Guapimirim","-42.883","-22.483","NY01182887_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","374822","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374822",NA,"W. W. Thomas","9930","Bahia","Barrolândia, Estaçao Experimental Gregorio Bondar CEPLAC, 48 km east of BR 101 on road to Belmonte","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1993","05","13","Belmonte","-39.25","-16.13","NY00374822_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1015065","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099296' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015065",NA,"H. C. de Lima","4522","Rio de Janeiro","Reserva Biológica de Poço das Antas, Estrada para o Aristides, apos a segunda porteira.","Magnoliophyta","Ericales","Mart.",NA,"1992","11","27","Silva Jardim","-42.3917","-22.6508","NY01015065_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","374823","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374823",NA,"W. W. Thomas","7056","Bahia","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Parcel: 8","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1991","07","01","Uruçuca","-39.0617","-14.4231","NY00374823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","886488","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1026506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886488",NA,"P. Fiaschi","1261","Bahia","Estrada de União Queimada para Pimenteiras, ca. 4 km de União Queimada.","Magnoliophyta","Ericales","Mart.","T. D. Pennington","2003","01","29","Itajuípe","-39.5","-14.67","NY00886488_01","670","670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","374817","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"Iter Brasiliense 1821-24 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613387' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374817",NA,"L. Riedel",NA,NA,"Brasilia","Magnoliophyta","Ericales","Mart.","T. D. Pennington",NA,NA,NA,NA,NA,NA,"NY00374817_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","1018174","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249587' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018174",NA,"C. M. Vieira","539","Rio de Janeiro","Reserva Biológica de Poço das Antas, proxima a BR-101.","Magnoliophyta","Ericales","Mart.",NA,"1994","02","24","Silva Jardim","-42.3917","-22.6508","NY01018174_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","374809","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613383' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374809",NA,"J. Almeida","1254","Rio de Janeiro","Estrada da Vista Chinesa","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1972","02","23","Rio de Janeiro","-43.257166","-22.971675","NY00374809_01","430","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","885981","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945500' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885981",NA,"J. M. A. Braga","7368","Rio de Janeiro","Recreio dos Bandeirantes, Prainha, Área de Proteção Ambiental da Prainha, topo do morro da Boa Vista","Magnoliophyta","Ericales","Mart.","J. M. A. Braga","2004","01","29","Rio de Janeiro","-43.2075","-22.9031","NY00885981_01","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","01095829","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499172' target='other'> <mi>dwc_moreinfo</mi></a>","NY01095829",NA,"J. L. Paixão","281","Bahia","Rod. BA 650, Camamu/Travessão, Faz. Zumbi dos Palmares, Cachoeira de Crespe.","Magnoliophyta","Ericales","Mart.","T. D. Pennington","2003","11","12","Camamu","-39.107","-14.068","NY01095829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","374818","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613376' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374818",NA,"A. F. M. Glaziou","1355","Rio de Janeiro",NA,"Magnoliophyta","Ericales","Mart.","A. Cronquist",NA,NA,NA,NA,NA,NA,"NY00374818_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","374816","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374816",NA,"Martii Herbar. Florae Brasil.","102",NA,"Brasilia","Magnoliophyta","Ericales","Mart.","L. A. T. Radlkofer",NA,NA,NA,NA,NA,NA,"NY00374816_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00749658","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=907537' target='other'> <mi>dwc_moreinfo</mi></a>","NY00749658",NA,"A. M. V. de Carvalho","7173","Bahia","Escola Média de Agropecuaria Ragional da CEPLAC (EMARC), Reserva Gregório Bowdar.","Magnoliophyta","Ericales","Mart.","T. D. Pennington","2002","04","04","Uruçuca","-39.2772","-14.6019","NY00749658_01","107","107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-09-29 16:03:00-03","NY","NYBG","273422","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273422","isotype","Martii Herbar. Florae Brasil.","102","Rio de Janeiro","In acumine montis Corcovado prope Rio de Janeiro","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,"-43.212143","-22.951524","NY00273422_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","374806","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374806",NA,"A. F. M. Glaziou","17124","Rio de Janeiro",NA,"Magnoliophyta","Ericales","Mart.","A. Cronquist",NA,NA,NA,NA,NA,NA,"NY00374806_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","374813","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"(D. no. 997) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374813",NA,"J. B. E. Pohl","4364",NA,"Brasilia","Magnoliophyta","Ericales","Mart.","T. D. Pennington",NA,NA,NA,NA,NA,NA,"NY00374813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02913096","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3236698' target='other'> <mi>dwc_moreinfo</mi></a>","NY02913096",NA,"S. J. da Silva Neto","1267","Rio de Janeiro","Trilha paralela a cerca em direção ao marco A. (vide mapa). Reserva da Petrobras","Magnoliophyta","Ericales","Mart.",NA,"1999","02","11","Duque de Caxias","-43.2333333","-22.5166667","NY02913096_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","374953","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=613395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00374953",NA,"A. M. V. de Carvalho","4354","Bahia","Distrito de Uniao Queimada. Ca. 4 km na estrada de Uniao Queimada para Pimenteira. Regiao da mata Higrófila Sul Baiana","Magnoliophyta","Ericales","Mart.","T. D. Pennington","1994","02","09","Itajuípe","-39.375","-14.6783","NY00374953_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1921403","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2277035' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921403",NA,"A. F. M. Glaziou","793","Rio de Janeiro","Floresta da Tijuca, Corcovado.","Magnoliophyta","Ericales","Mart.",NA,NA,NA,NA,"Petrópolis","-43.1786003112793","-22.5049991607666","NY01921403_01",NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","1921397","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2277023' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921397",NA,"A. F. M. Glaziou","2566","Rio de Janeiro","Floresta da Tijuca, Corcovado.","Magnoliophyta","Ericales","Mart.",NA,NA,NA,NA,"Petrópolis","-43.1786003112793","-22.5049991607666","NY01921397_01",NA,NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-02-18 09:30:43-03","UNESP-IBB","BOTU","26462","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum",NA,"Brasil",NA,NA,"Árvore, menos de 1 m de altura; flores cremecom mal cheiro (cheiro de queijo fermentado).","BOTU026462",NA,"Romero, R.","118","São Paulo",NA,NA,NA,"Mart.","Carneiro, C.R.","1990","07","28","Ubatuba",NA,NA,NA,NA,NA,NA,NA,"1997","11","9999","9999",NA,NA,NA,NA,NA,NA,NA
"39","2020-06-29 11:32:35-03","UFRJ","RFA","24059","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum",NA,"Brasil",NA,NA,"Árvore, 6m de altura, 4m de diâmetro, DAP 15cm, ciófita, rara no local","RFA29523",NA,"F. M.de B. Pereira; G.de Souza, J.A.F.Nogueira, M.R.Gomes, A.Campbell","90","Rio de Janeiro","Fazenda do Portinho- Fazendas consorciadas",NA,NA,"Mart.","C. M. Vieira","2000","02","25","Guapimirim","-42.901389","-22.551389",NA,NA,NA,NA,NA,NA,NA,"42º54'5''W","22º33'5''S",NA,NA,NA,NA,NA,NA,NA
"40","2020-11-13 09:20:58-03","UFRJ","RFA","24546","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum",NA,"Brasil",NA,NA,"Árvore, 12m de altura, 23cm de DAP, folhas verdes, fruto roxo, flores brancas, comum no local","RFA29525",NA,"F. M. de B. Pereira","30/13","Rio de Janeiro","5º distrito, Fazenda Carreira Comprida - Areia Branca",NA,NA,"Mart.","C. M. Vieira","2000","05","23","Macaé","-42.039444","-22.345833",NA,"40","40",NA,NA,"2000","06","42º2'22''W","22º20'45''S","06",NA,NA,NA,NA,NA,NA
"41","2020-11-13 09:20:58-03","UFRJ","RFA","24965","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum",NA,"Brasil",NA,NA,"Arbusto, 4m5m de altura, 7cm de DAP, folha verde, comum no local","RFA29521",NA,"F. de B. Pereira","15/22","Rio de Janeiro","Fazenda São Francisco de Paula",NA,NA,"Mart.","J. M. A. Braga","2000","07","18","Guapimirim","-42.993056","-22.581111",NA,"44","44",NA,NA,"2002","02","42º59'35''W","22º34'52''S","20",NA,NA,NA,NA,NA,NA
"42","2020-11-13 09:20:58-03","UFRJ","RFA","26394","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","flexuosum","Chrysophyllum flexuosum",NA,"Brasil",NA,NA,"Árvore, 4m de altura, 30cm de DAP, folha verde discolor, flor com botões brancos, comum no local","RFA29522",NA,"A. Quinet","42/67","Rio de Janeiro","Distrito de Piabetá, Estrada do Matão",NA,NA,"Mart.","J. M. A. Braga","2001","01","26","Magé","-43.123611","-22.566667",NA,"150","150",NA,NA,"2002","02","43º7'25''W","22º34'0''S","20",NA,NA,NA,NA,NA,NA
