"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","infraspecificEpithet","individualCount","typeStatus","fieldNumber","relatedCatalogItem","sex"
"11","2016-09-28 13:56:00-03","NY","NYBG","644646","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"L. B. Smith",NA,NA,NA,"R. A. Wasum","1992","02","11","Brazil","Rio Grande do Sul","Teutônia","Teutônio - Lagoa da Harmonia","-51.801087","-29.395988",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79569' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644646","NY00644646_01","8194","South America","sheet",NA,"Magnoliophyta","Santalales","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","309947","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","M. H. Nee",NA,NA,NA,"M. H. Nee","1998","07","03","Bolivia","Cochabamba","Cercado","Collected in medicinal herb market in Cochabamba.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79547' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309947",NA,"49954","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 20:47:00-03","NY","NYBG","822864","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,NA,NA,NA,NA,"J. C. Lindeman","1967","03","10","Brazil","Paraná",NA,"N of Rio dos Torres near Fazenda Reserva, ca. 85 km SW of Guarapuava.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=928615' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822864","NY00822864_01","4789","South America","sheet",NA,"Magnoliophyta","Santalales","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","644666","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","D. Wiens",NA,NA,NA,"P. K. H. Dusén","1909","04","14","Brazil","Paraná","Ponta Grossa","23 Turma","-50.1617","-25.095",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79572' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644666","NY00644666_01","7976","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-28 13:56:00-03","NY","NYBG","644633","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"D. Wiens",NA,NA,NA,"J. da Costa Sacco","1956","02","24","Brazil","Rio Grande do Sul","Pelotas","I. A. S. - Pelotas; H. Botanico","-52.3422","-31.7719",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79591' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644633","NY00644633_01","474","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","644665","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","D. Wiens",NA,NA,NA,"P. K. H. Dusén","1915","09","21","Brazil","Paraná","Balsa Nova",NA,"-49.6356","-25.5842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79571' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644665","NY00644665_01","17157","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","644656","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.",NA,NA,NA,NA,"J. E. Leite","1941",NA,NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","Vicininty of Sao Leopoldo","-51.143791","-29.75136",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79601' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644656","NY00644656_01","138","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 23:28:00-03","NY","NYBG","01022194","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"D. Wiens",NA,NA,NA,"A. F. Regnell",NA,NA,NA,"Brazil","Minas Gerais","Caldas","Prov. Minas Geraes, Caldas.","-46.3858","-21.9236",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138662' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022194","NY01022194_01","II -129- 1/2","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 23:28:00-03","NY","NYBG","01022191","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"D. Wiens",NA,NA,NA,"A. P. Duarte","1961","10","25","Brazil","Minas Gerais",NA,"Entre Unaí e Chupador",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138652' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022191","NY01022191_01","6483","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","644652","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","J. Kuijt",NA,NA,NA,"G. G. Hatschbach","1973","03","11","Brazil","Paraná","Quitandinha","Mato Preto","-49.4978","-25.8725",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644652","NY00644652_01","31742","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01022193","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","D. Wiens",NA,NA,NA,"P. Clausen","1838",NA,NA,"Brazil","Minas Gerais",NA,"Brésil (Minas Geraes)",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138659' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022193","NY01022193_01","249","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-28 13:56:00-03","NY","NYBG","644667","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"A. C. Cervi",NA,NA,NA,"A. C. Cervi","1997","04","24","Brazil","Paraná","Curitiba","Recanto dos Papagaios","-49.75","-25.42",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79568' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644667","NY00644667_01","6261","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01022170","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","D. Wiens",NA,NA,NA,"H. S. Irwin","1959","01","15","Brazil","Minas Gerais","Contagem","Serra Rola Moca, ca. 10 km E. of Barreiro","-44.0533","-19.9319",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137744' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022170","NY01022170_01","2454","South America","sheet",NA,"Magnoliophyta","Santalales","1219","1219",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","644623","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.",NA,NA,NA,NA,"B. K. Holst","1987","03","31","Venezuela","Bolívar","Piar","Auyan-tepui, summit, in south central region, headwaters of Río Churun","-62.53","5.85",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644623",NA,"3823","South America","sheet",NA,"Magnoliophyta","Santalales","1700","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-29 23:28:00-03","NY","NYBG","01022195","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"J. Kuijt",NA,NA,NA,"G. J. Sheperd","1976","12","01","Brazil","Minas Gerais",NA,"Estrada Diamantina a Corinto até 20 km.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138667' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022195","NY01022195_01","3953","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","644632","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","J. Kuijt",NA,NA,NA,"G. G. Hatschbach","1969","03","06","Brazil","Paraná","Campina Grande do Sul","Serra Capivari Grande, Campina Grande do Sul","-49.0553","-25.3058",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644632","NY00644632_01","21215","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-28 13:56:00-03","NY","NYBG","644625","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,NA,NA,NA,NA,"R. Degen","1993","05","20","Paraguay","Boquerón",NA,"Picada 104, 25 km de las Ruta Trans Chaco",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79595' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644625",NA,"2980","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","644657","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","J. Kuijt",NA,NA,NA,"R. Kummrow","1976","03","19","Brazil","Paraná","Curitiba","Horto Municipal de Guabirotuba","-49.2731","-25.4281",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644657","NY00644657_01","1108","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","644662","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","D. Wiens",NA,NA,NA,"Martii Herbar. Florae Brasil.",NA,NA,NA,"Brazil",NA,NA,"Brasilia",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644662","NY00644662_01","1222","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","644643","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","J. Kuijt",NA,NA,NA,"G. G. Hatschbach","1966","02","13","Brazil","Paraná","Bituruna","Estr. para Uniao da Vitoria","-51.5525","-26.1617",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79570' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644643","NY00644643_01","13871","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","644649","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","J. Kuijt",NA,NA,NA,"S. A. Mori","1978","04","26","Brazil","Bahia","Maracás","Rod. 026, a 6 km a SW de Maracás. Folha SD-24 (14-40a)","-40.4306","-13.4411",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79551' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644649","NY00644649_01","9941","South America","sheet",NA,"Magnoliophyta","Santalales","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01022178","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","J. Kuijt",NA,NA,NA,"H. S. Irwin","1970","02","03","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 2 km N. of Paracatú","-46.8727","-17.22555",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1137874' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022178","NY01022178_01","25947","South America","sheet",NA,"Magnoliophyta","Santalales","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-28 13:56:00-03","NY","NYBG","644650","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"A. Goldberg",NA,NA,NA,"R. Reitz","1957","10","18","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim, Campo Alegre","-49.2656","-26.1925",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644650","NY00644650_01","5210","South America","sheet",NA,"Magnoliophyta","Santalales","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","644663","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","S. F. Smith",NA,NA,NA,"R. A. Wasum","1989","07","02","Brazil","Rio Grande do Sul","Jaquirana","Jaquirana","-50.3578","-28.8847",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79560' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644663","NY00644663_01","5952","South America","sheet",NA,"Magnoliophyta","Santalales","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-09-29 23:28:00-03","NY","NYBG","01022189","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"B. A. S. Pereira",NA,NA,NA,"F. H. F. Oldenburger","1975","11","20","Brazil","Distrito Federal","Brasília","Along road to Planaltina","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1138080' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022189","NY01022189_01","1881","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2016-09-28 13:56:00-03","NY","NYBG","644630","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"D. Wiens",NA,NA,NA,"R. Reitz","1943","04","01","Brazil","Rio Grande do Sul","Sao Leopoldo",NA,"-51.1469","-29.7606",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644630","NY00644630_01","HBR451","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-28 13:56:00-03","NY","NYBG","644669","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,NA,NA,NA,NA,"J. R. Pirani","1993","05","12","Brazil","Espírito Santo","Domingos Martins","A 3 km da BR 262 na estrada vicinal para Santa Luzia","-40.6592","-20.3633",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79594' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644669","NY00644669_01","2818","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-09-28 13:56:00-03","NY","NYBG","644637","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"D. Wiens",NA,NA,NA,"F. C. Hoehne","1932","03","11","Brazil","São Paulo","Sao Paulo","Jardim Botanico","-46.618358","-23.646109",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644637","NY00644637_01","28992","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-28 13:56:00-03","NY","NYBG","644631","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius",NA,"J. Kuijt",NA,NA,NA,"T. S. dos Santos","1979","02","15","Brazil","Bahia","Maracás","8 a 18 km ao S de Maracás, pela antiga Rodovia para Jequié. Capoeira de Mata de Cipó. Folha SD 24 (14-40a)","-40.4306","-13.4411",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644631","NY00644631_01","3460","South America","sheet",NA,"Magnoliophyta","Santalales","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","644661","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","D. Wiens",NA,NA,NA,"R. Reitz","1956","02","24","Brazil","Santa Catarina","Palhoça","Piloes, Palhoça","-48.694057","-27.77489",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79573' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644661","NY00644661_01","2735","South America","sheet",NA,"Magnoliophyta","Santalales","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","644641","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","S. F. Smith",NA,NA,NA,"A. Velho","1993","03","20","Brazil","Rio Grande do Sul","Esmeralda","Esmeralda","-51.1903","-28.0536",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644641","NY00644641_01","9018","South America","sheet",NA,"Magnoliophyta","Santalales","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","644647","PreservedSpecimen","Plantae","Loranthaceae","Tripodanthus","acutifolius","Tripodanthus acutifolius","(Ruiz & Pav.) Tiegh.","J. Kuijt",NA,NA,NA,"G. G. Hatschbach","1971","02","21","Brazil","Paraná","Marmeleiro","Estr. Marmeleiro - Campo Ere","-53.0258","-26.1494",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00644647","NY00644647_01","26448","South America","sheet",NA,"Magnoliophyta","Santalales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
