"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"15","2020-02-08 10:05:50-03","NBC","NL-BOTANY","WAG.1114379","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"Hatschbach GG",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1114379 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1114379","NL-WAG1114379",NA,"1973","07","13",NA,"Usina Chaminé (mun. S. José dos Pinhaes) Paraná.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"16","2020-11-04 11:14:21-03","ESALQ","ESA","87834","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"Lucas, E. et al.","147.0",NA,"Brasil","Paraná",NA,NA,"ESA087834","ESA087834",NA,"2003","10","30","Bocaiúva do Sul",NA,"-49.1150016784668","-25.2061004638672",NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA,NA
"17","2016-02-02 14:38:41-02","BGBM","B","B 10 0250752","S","Plantae",NA,NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.","isolectotype",NA,NA,"Middle and South America","Brazil",NA,NA,"<a href=http://herbarium.bgbm.org/object/B100250752 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100250752","B100250752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0009026","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","hatschbachii","Calyptranthes hatschbachii","Diego Legrand",NA,"G. Hatschbach; R. Kummrow","50795",NA,"Brazil","Parana",NA,"Coor. From www.fallingrain.com/world; Arvore 8m, flores alvas.",NA,NA,"M. Sobral, 1988.","1986","11","26","Bocaiuva do Sul","Rio Capivari (Mun. Bocaiuva do Sul) Parana","-49.1333","-25.1833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:36:06-03","UNICAMP","UEC","188970","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD","268",NA,"Brazil","São Paulo",NA,"Árvore, 8 m de altura e 5,7 cm de DAP; Floresta Ombrófila Densa","UEC119511","UEC119511","Mazine, FF","2015","02","11","São Miguel Arcanjo","Parque Estadual Carlos Botelho","-47.983889","-24.0725","800","800","2015",NA,NA,NA,NA,NA,"-47.983889","-24.0725",NA,NA
"20","2020-12-09 14:47:02-03","FURB","FURB","34844","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Korte, A.; Kniess, A.","5845",NA,"Brasil","Santa Catarina",NA,"Voucher estéril IFFSC 1065 (Fitossociologia) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Avançado Habito: arbórea;","FURB31926","FURB31926","Sobral, M","2010","08","19","Joinville","Serra Quimada.","-49.0497222","-26.1002778","1167","1167","2010",NA,NA,NA,NA,NA,"-49.0497222","-26.1002778",NA,NA
"21","2020-12-09 14:47:02-03","FURB","FURB","34910","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Dreveck, S.","2540",NA,"Brasil","Santa Catarina",NA,"Voucher estéril IFFSC 802 (Fitossociologia) Habitat: Floresta Ombrófila Densa; Estágio Médio Habito: arbórea;","FURB02395","FURB02395","Sobral, M","2010","05","04","Doutor Pedrinho","Ribeirão Rigo.","-49.4997222","-26.73","600","600","2010",NA,NA,NA,NA,NA,"-49.4997222","-26.7300000",NA,NA
"22","2020-12-09 14:47:02-03","FURB","FURB","2233","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Roderjan, C.V.",NA,NA,"Brasil","Paraná",NA,NA,"FURB02397","FURB02397","Sobral, M","1994","01","26","Quatro Barras","Morro Anhangava.","-49.0769004821777","-25.3656005859375","1200","1200","1994","17116","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-12-09 14:47:02-03","FURB","FURB","41700","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Klein, R.M.; Bresolin, A.","8226",NA,"Brasil","Santa Catarina",NA,NA,"FURB31925","FURB31925","Sobral, M","1969","03","11","Florianópolis","Morro do Ribeirão, Ilha de Santa Catarina.","-48.5491981506348","-27.596700668335","400","400","1993","27000","auto",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-16 17:53:49-03","UCS","HUCS","6507","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"Klein; Souza","8074",NA,"Brasil","Santa Catarina",NA,"mata do topo",NA,NA,"Legrand, C.D.","1969","01","21","Florianópolis","Morro Costa da Lagoa","-48.5491981506348","-27.596700668335",NA,NA,"1970","27000","auto",NA,NA,NA,NA,NA,NA,NA
"25","2020-12-21 16:36:15-03","MBM","MBM","425464","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk",NA,"Martinelli, G.; Moraes, M.; Lima, T.; Lerina, E.; Moraes, M.; Lima, T.; Lerina, E.","19427","Southern America","Brazil","Rio de Janeiro",NA,"Arbusto, 3m, semi-heliófila; folhas verdes, discolores; frutos imaturos verdes, quando maduros vinosos.; Mata Atlântica de Altitude.","MBM425464",NA,"Souza, M.C.","2016","08","11","Nova Friburgo","Área de Proteção Ambiental de Macaé de Cima, Matas de altitude na cumieira da Serra dos Pirineus, na divisa dos Municípios de Nova Friburgo e Silva Jardim","-42.525833","-22.438056","1100","1100","2017",NA,NA,"04","12",NA,"-42.525833","-22.438056",NA,NA
"26","2020-12-21 16:37:16-03","MBM","MBM","293154","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Lucas, E.J.","147","Southern America","Brazil","Paraná",NA,NA,"MBM293154","MBM293154",NA,"2003","10","30","Bocaiúva do Sul","Rio Capivari","-49.1150016784668","-25.2061004638672",NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA,NA
"27","2020-12-21 16:37:16-03","MBM","MBM","99321","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Hatschbach, G.","48954","Southern America","Brazil","Paraná",NA,NA,"MBM099321","MBM099321","Sobral, M.",NA,NA,NA,"São José dos Pinhais","Colégio Santos Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:37:16-03","MBM","MBM","75779","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Oliveira, P.I.","588","Southern America","Brazil","Paraná",NA,NA,"MBM075779","MBM075779","Sobral, M.","1982","07","13","São José dos Pinhais","Colégio Santos Andrade","-49.2064018249512","-25.5347003936768",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:37:16-03","MBM","MBM","27580","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Hatschbach, G.","32234","Southern America","Brazil","Paraná",NA,NA,"MBM027580","MBM027580","Hatschbach, G.","1973","07","12","São José dos Pinhais","Usina Chaminé","-49.2064018249512","-25.5347003936768",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:37:16-03","MBM","MBM","407077","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Augusto-Silva, M.; Roher, D.; Roher, D.","s.n.","Southern America","Brazil","Paraná",NA,"Arbórea de dossel com 17 m de altura e 56 cm de CAP. Frutos no ápice.","MBM407077",NA,"Cordeiro, J.","2013","03","18","Tijucas do Sul","APA de Guaratuba, L.T. 230kv Joinville Norte - Curitiba C2 (Resgate)","-49.1988983154297","-25.9281005859375",NA,NA,"2016","25228","auto","11","16",NA,NA,NA,NA,NA
"31","2020-12-21 16:37:16-03","MBM","MBM","112846","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Hatschbach, G.; Kummrow, R.; Kummrow, R.","50795","Southern America","Brazil","Paraná",NA,NA,"MBM112846","MBM112846","Sobral, M.","1986","11","26","Bocaiúva do Sul","Rio Capivari","-49.1150016784668","-25.2061004638672",NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:37:16-03","MBM","MBM","99310","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Oliveira, P.I.; Cordeiro, J.; Cordeiro, J.","856","Southern America","Brazil","Paraná",NA,NA,"MBM099310","MBM099310","Sobral, M.","1985","02","04","Campina Grande do Sul","Serra Capivari Grande","-49.0553016662598","-25.3055992126465",NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:37:16-03","MBM","MBM","165781","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Roderjan, C.V.","1127","Southern America","Brazil","Paraná",NA,NA,"MBM165781","MBM165781","Sobral, M.","1994","01","26","Quatro Barras","Morro Anhangava","-49.0769004821777","-25.3656005859375",NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:37:16-03","MBM","MBM","401588","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Klein, R.M.; Bresolin, A.; Bresolin, A.","8226","Southern America","Brazil","Santa Catarina",NA,"Árvore de 10 metros de altura, fruto imaturo roxo-escuro.; Mata.","MBM401588","MBM401588","Sobral, M.","1969","03","11","Florianópolis","Ilha de Santa Catarina, Morro do Ribeirão","-48.5491981506348","-27.596700668335","400","400","1993","27000","auto",NA,NA,NA,NA,NA,NA,NA
"35","2020-12-21 16:37:16-03","MBM","MBM","39867","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas","ISOTYPE","Hatschbach, G.","3416","Southern America","Brazil","Paraná",NA,"Árvore 20m, flor alva, da mata virgem; Árvore 20m, flor alva.; Mata virgem.","MBM039867","MBM039867","Legrand, D.","1955","12","08","Campina Grande do Sul","Campininha","-49.0553016662598","-25.3055992126465",NA,NA,"1958","55154","auto",NA,NA,NA,NA,NA,NA,NA
"36","2020-12-21 16:37:16-03","MBM","MBM","3812","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Hatschbach, G.","26732","Southern America","Brazil","Paraná",NA,NA,"MBM003812","MBM003812","Sobral, M.","1967","07","23","Guaratuba","Rio São João, Porto Miranda","-48.5746994018555","-25.8827991485596",NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA,NA,NA
"37","2020-12-21 16:37:16-03","MBM","MBM","173","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Hatschbach, G.","13127","Southern America","Brazil","Paraná",NA,NA,"MBM000173","MBM000173","Legrand, D.","1965","11","11","Morretes","Cabeceira Arraial","-48.834400177002","-25.476900100708",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-12-21 16:37:16-03","MBM","MBM","39865","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Hatschbach, G.","13127","Southern America","Brazil","Paraná",NA,NA,"MBM039865","MBM039865","Legrand, D.","1965","11","11","Morretes","Cabeceiras do Rio Arraial","-48.834400177002","-25.476900100708",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,NA,NA
"39","2020-12-21 16:37:16-03","MBM","MBM","1062","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Hatschbach, G.","14411","Southern America","Brazil","Paraná",NA,NA,"MBM001062","MBM001062","Legrand, D.","1966","06","01","Paranaguá","Pontal do Sul","-48.5092010498047","-25.5200004577637",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:37:16-03","MBM","MBM","39866","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Hatschbach, G.","7744","Southern America","Brazil","Paraná",NA,NA,"MBM039866","MBM039866","Legrand, D.","1960","12","07","São José dos Pinhais","Serra do Mar, Morro do Campininho","-49.2064018249512","-25.5347003936768",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:37:16-03","MBM","MBM","131511","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Klein, R.M.; et al.; et al.","8074","Southern America","Brazil","Santa Catarina",NA,NA,"MBM131511","MBM131511","Legrand, D.","1969","01","21","Florianópolis","Morro Costa da Lagoa","-48.5491981506348","-27.596700668335",NA,NA,NA,"27000","auto",NA,NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:37:16-03","MBM","MBM","95992","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","legrandii","Myrcia legrandii","A.R.Lourenço & E.Lucas",NA,"Klein, R.M.","10019","Southern America","Brazil","Santa Catarina",NA,NA,"MBM095992","MBM095992","Legrand, D.","1972","01","18","Palhoça","Morro do Cambirela","-48.6678009033203","-27.645299911499",NA,NA,NA,"31105","auto",NA,NA,NA,NA,NA,NA,NA
"43","2019-11-01 15:28:28-03","PUC-RIO","FCAB","5291","PreservedSpecimen","Plantae",NA,"Angiospermae","Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"M. Peron","859",NA,"Brasil","Rio de Janeiro",NA,"&nf;; Árvore 4.5m.; heliófila, casca lisa frutos verdes e vinosos.","005291",NA,NA,"1989","08","18","Nova Friburgo","Reserva Ecológica Municipal de Macaé de Cima, Cami","-42.5311012268066","-22.2819004058838",NA,NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA
"44","2015-09-04 20:44:56-03","MNHN","RECOLNAT_MNHN_P","P05232093","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Calyptranthes","hatschbachii","Calyptranthes hatschbachii","D.Legrand",NA,"Hatschbach, G.",NA,NA,"Brasil","Paraná","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05232093' target='other'> <mi>dwc_moreinfo</mi></a>","P05232093","P05232093_01","Lourenço","1965","11","11","Morretes","Brésil. Cabeceiras do Rio Arraial. Morretes, Paraná, Sul, Brasil, América do Sul","-48.834400177002","-25.476900100708",NA,NA,NA,"30514","auto",NA,NA,NA,NA,NA,"13127",NA
"45","2015-10-05 20:15:23-03","MNHN","RECOLNAT_MNHN_P","P00723190","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.","isotype","Glaziou, A.",NA,NA,"Brésil",NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723190' target='other'> <mi>dwc_moreinfo</mi></a>","P00723190","P00723190_01",NA,"1889","2","3",NA,"Alto Macahé (Rio)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17662",NA
"46","2015-10-05 20:15:36-03","MNHN","RECOLNAT_MNHN_P","P00723191","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.","isotype","Glaziou, A.",NA,NA,"Brésil",NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723191' target='other'> <mi>dwc_moreinfo</mi></a>","P00723191","P00723191_01",NA,"1889","2","3",NA,"Alto Macahé (Rio)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17662",NA
"47","2015-10-05 20:15:48-03","MNHN","RECOLNAT_MNHN_P","P00723192","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.","isotype","Glaziou, A.",NA,NA,"Brésil",NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00723192' target='other'> <mi>dwc_moreinfo</mi></a>","P00723192","P00723192_01",NA,"1889","2","3",NA,"Alto Macahé (Rio)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17662",NA
"48","2020-12-11 11:39:01-03","UFMG","BHCB","24562","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Calyptranthes","obovata","Calyptranthes obovata","Kiaersk.",NA,"Peron, M; et al.","859","Southern America","Brasil","Rio de Janeiro",NA,"Programa Mata Atlântica.; Arvore 4.5 m; heliófila, casca lisa; frutos imaturos verdes e vinosos.","BHCB000739","BHCB000739",NA,"1989","08","18","Nova Friburgo","Reserve Ecológica Municipal de Macaé de Cima, Caminho para os pirineus.","-42.05","-22","1100","1100",NA,NA,NA,NA,NA,NA,"-42.05","-22",NA,NA
