"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","dayIdentified","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"28","2020-06-29 11:31:11-03","UFRJ","RFA","14099","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"A.P. Duarte","10362","1967","01","30",NA,"Brasil","Distrito Federal","Brasília","Área do Zoobotânico","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,"RFA28948",NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-15 11:14:46-03","FUNED","FUNED-POL","3966","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis",NA,NA,"Sandra Matoso",NA,NA,NA,NA,NA,"Brasil","MG",NA,"Brasilandia de Minas","-46.009444","-17.009722",NA,NA,NA,NA,"POL003966","POL003966_p01 POL003966_p02 POL003966_p03 POL003966_p04 POL003966_p05 POL003966_p06 POL003966_p07 POL003966_p08","46W 00' 34","17S 00' 35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-15 11:14:46-03","FUNED","FUNED-POL","3967","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Camarea","affinis","Camarea affinis",NA,NA,"Sandra Matoso",NA,NA,NA,NA,NA,"Brasil","MG",NA,"Brasilandia de Minas","-46.009444","-17.009722",NA,NA,NA,NA,"POL003967",NA,"46W 00' 34","17S 00' 35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:43:33-03","EAO","IAN","148653","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson, WR","Irwin, HS; Souza, R","11695","1966","01","18","Southern America","Brasil","Goiás",NA,"Erect herb ca. 45cm tall.Campo and cerrado, sandstone summit of Serra Dourada, 20km S.E. of Goiás Velho.",NA,NA,"800","800",NA,"Corolla yellow, irregularly marked with red. Frequent.","IAN148653",NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:43:33-03","EAO","IAN","148794","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson, WR","Irwin, HS; Anderson, WR","34023","1972","01","14","Southern America","Brasil","Goiás",NA,"Tuberiferous herb with rigidly erect leaves.Rocky slopes among sandstone boulders, Serra dos Pirineus, ca. 20km E of Pirenópolis.",NA,NA,"1000","1000",NA,"Corolla yellow, the outer petal red-brown in bud.","IAN148794",NA,NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:43:33-03","EAO","IAN","191807","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Chacon, RG","Pereira-Silva, G; Pereira, JB","4485","2000","12","13","Southern America","Brasil","Goiás","Cavalcante","Balsa da COTERRA (rio Tocantins) vila Veneno km 3,5. Cerrado (campo sujo com alta presença de quartzo leitoso). Área de influência da futura Hidrelétrica de Cana Brava, influência direta (lago).","-48.084722","-13.566944",NA,NA,NA,"Erva ereta com cerca de 80 cm de altura. Flor amarela.","IAN191807",NA,"-48.084722","-13.566944","2001","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:43:33-03","EAO","IAN","63212","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson, WR","Pires, JM; Black, GA","2755","1951","01","13","Southern America","Brasil","Minas Gerais",NA,"Serra do Cipó.",NA,NA,NA,NA,NA,"Flores amarelas.","IAN063212","IAN063212 IAN063212_e",NA,NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:43:33-03","EAO","IAN","14183","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson, WR","Magalhães, MG","s.n.","1939","02","07","Southern America","Brasil","Minas Gerais","Belo Horizonte","Campo, Serra Taquaril, pouco frequente.","-43.937801361084","-19.9207992553711",NA,NA,NA,"Herbácea, flores amarelas.","IAN014183","IAN014183 IAN014183_e",NA,NA,"1974",NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:43:33-03","EAO","IAN","63225","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson, WR","Pires, JM; Black, GA","2768","1951","01","16","Southern America","Brasil","Minas Gerais","Lagoa Santa",NA,"-43.8897018432617","-19.6271991729736",NA,NA,NA,NA,"IAN063225","IAN063225 IAN063225_e",NA,NA,"1974",NA,"12338","auto",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:43:33-03","EAO","IAN","106649","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson, WR","Magalhães, MG","17203",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Nova Lima","Serra do Curral, campo graminoso com cascalho.","-43.8466987609863","-19.9855995178223",NA,NA,NA,"Subarbustos, flor amarela.","IAN106649",NA,NA,NA,"1973",NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:43:33-03","EAO","IAN","107778","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson, WR","Magalhães, MG","17203",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Nova Lima","Serra do Curral, campo graminoso com cascalho.","-43.8466987609863","-19.9855995178223",NA,NA,NA,"Subarbustos, flor amarela.","IAN107778",NA,NA,NA,"1973",NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:43:33-03","EAO","IAN","69043","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson, WR","Black, GA","11206","1951","01","21","Southern America","Brasil","São Paulo","Itirapina","Campo Alegre.","-47.8199996948242","-22.25",NA,NA,NA,"Flro amarela.","IAN069043",NA,NA,NA,"1974",NA,"22843","auto",NA,NA,NA,NA,NA,NA,NA
"40","2019-10-09 11:18:59-03","UFBA","ALCB","01921","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Mamede, MC","Torrend, Padre CSJ","s/n",NA,NA,NA,"Southern America","Brasil","Ceará",NA,NA,NA,NA,NA,NA,NA,NA,"ALCB040594",NA,NA,NA,"1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-02-08 09:55:10-03","NBC","NL-BOTANY","U.1607716","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.","Anderson C","Unknown",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1607716 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1607716",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"42","2020-02-08 09:55:10-03","NBC","NL-BOTANY","L.2166274","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Hatschbach GG",NA,"1961","12","20","Southern America","Brazil",NA,NA,"Est. Parana, Mun Jaguariaiva, Rio das Mortes.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166274 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166274","NL-L2166274",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"43","2020-02-08 09:55:10-03","NBC","NL-BOTANY","L.2166275","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Irwin HS; Souza R; Reis dos Santos R",NA,"1966","01","09","Southern America","Brazil",NA,NA,"Camarea affindis St. Hill. Rocky slopes, Córrego Paranoazinho, near Sobradinho D.F.?",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166275 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166275","NL-L2166275",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"44","2020-02-08 09:55:10-03","NBC","NL-BOTANY","L.2166276","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166276","NL-L2166276",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"45","2020-02-08 09:55:10-03","NBC","NL-BOTANY","L.2166277","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Claussen P",NA,"1837","01","01","Southern America","Brazil",NA,NA,"Curvello (minas geraes) of rio ! Feancisco. Dept el. Delesfert.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166277 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166277","NL-L2166277",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"46","2020-02-08 09:55:10-03","NBC","NL-BOTANY","L.2166278","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166278 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166278","NL-L2166278",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"47","2020-02-08 09:55:10-03","NBC","NL-BOTANY","L.2166279","PreservedSpecimen","Plantae",NA,"Malpighiales","Malpighiaceae","Camarea","affinis","Camarea affinis","A.St.-Hil.",NA,"Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2166279 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2166279","NL-L2166279",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
