"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","individualCount","continentOcean","barcode","imagecode","typeStatus","fieldNumber","preparationType"
"16","2018-12-12 17:16:53-02","MNHN","RECOLNAT_MNHN_P","P00753373","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Andrea","selloana","Andrea selloana","(Baker) Mez","Smith",NA,NA,NA,"Sellow",NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00753373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"P00753373","P00753373_01","isotype","65","hb"
"17","2015-09-03 21:10:12-03","MNHN","RECOLNAT_MNHN_P","P01684080","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Andrea","selloana","Andrea selloana","(Baker) Mez",NA,NA,NA,NA,"Glaziou, A.",NA,"1896","5","27","Brasil","Goiás",NA,"Brésil, province de Goyaz, Serra de O. Preto. Goiás, Centro-oeste, Brasil, América do Sul",NA,NA,NA,NA,NA,NA,NA,". . Reçu le 27 mai 1896 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01684080' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"P01684080","P01684080_01",NA,"9157","hb"
"18","2020-12-11 11:43:28-03","UFMG","BHCB","85933","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Andrea","selloana","Andrea selloana","(Baker) Mez",NA,"2005","07",NA,"Mota, RC da","2167","2003","03","19","Brasil","Minas Gerais","Conceição do Mato Dentro","Parque Natural Municipal do Ribeirão do Campo","-43.4249992370605","-19.0372009277344",NA,NA,"60318",NA,NA,"erva terrestre coletada em mata ciliar, frutos imaturos verdes","auto",NA,"Southern America","BHCB047453",NA,NA,NA,NA
"19","2020-12-11 11:43:28-03","UFMG","BHCB","117710","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Andrea","selloana","Andrea selloana","(Baker) Mez",NA,NA,NA,NA,"Carmo, FF; Ribeiro, LC; Silva, ES","2170","2008","02","10","Brasil","Minas Gerais","Santa Bárbara","Serra de Gandarela.","-43.4152984619141","-19.959400177002",NA,NA,"33136",NA,NA,"Coletado em canal de drenagem/ capão. Afloramenrto de canga.","auto",NA,"Southern America",NA,NA,NA,NA,NA
"20","2020-12-11 11:43:31-03","UFMG","BHCB","142403","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.",NA,NA,NA,NA,"Oliveira, CT; Borsali, EF; Gontijo, FD; Ribeiro, RC","505","2009","06","29","Brasil","Minas Gerais","Catas Altas","RPPN Santuário do Caraça, Pico do Sol","-43.451389","-20.105","-43.451389","-20.105",NA,"1892","1892","erva de 30 cm, frutos imaturos verdes.",NA,NA,"Southern America",NA,NA,NA,NA,NA
"21","2020-12-11 11:43:32-03","UFMG","BHCB","67093","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Nidularium","selloanum","Nidularium selloanum","(Baker) Pereira & Leme",NA,NA,NA,NA,"Mota, RC da","895","2000","08","20","Brasil","Minas Gerais","Catas Altas","Serra do Caraça.","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"Planta coletada em borda de córrego, em terreno arenoso; erva.","auto",NA,"Southern America",NA,NA,NA,NA,NA
"22","2019-06-10 10:10:27-03","FZB-BH","BHZB","2667","S","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana",NA,"Carlos Alberto F. Jr.","2010","09",NA,"Ordones, J. et al.","281","2000","08","20","Brasil","MG","Catas Altas","Caraça/ Bocaina","-43.4075012207031","-20.0746994018555",NA,NA,"11966",NA,NA,"Anteriormente identificada como Nidularium selloanum (Baker) Pereira e Leme. Revista em 07/2004, por L.M. Versieux como Andrea selloana (Baker) Mez.","auto",NA,NA,NA,NA,NA,NA,NA
"23","2019-11-21 10:02:37-03","IBt","SP","383834","S","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme, W.Till, G.K.Br., J.R.Grant & Govaerts","Santos, AL","2012","01","30","Versieux, LM; et al.","264","2005","12","22","Brasil","Minas Gerais","Conceição do Mato Dentro","Alto da cachoeira do Tabuleiro.","-43.551472","-19.149639","-43.551472","-19.149639",NA,"1300","1300",NA,NA,NA,NA,"SP051717","SP051717",NA,NA,NA
"24","2019-11-21 10:02:37-03","IBt","SP","412838","S","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme, W.Till, G.K.Br., J.R.Grant & Govaerts","Versieux, LM","2009","04","15","Carmo, FF","2170","2008","02","10","Brasil","Minas Gerais","Santa Bárbara","Serra de Gandarela, C2.","-43.691278","-20.056667","-43.691278","-20.056667",NA,"1637","1637",NA,NA,NA,NA,"SP051720","SP051720",NA,NA,NA
"25","2019-11-21 10:02:37-03","IBt","SP","44714","S","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme, W.Till, G.K.Br., J.R.Grant & Govaerts","Santos, AL","2012","01","30","Foster, M; Foster, R","615","1940","07","12","Brasil","Minas Gerais",NA,"Serra do Cipó, Vacaria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP051716","SP051716",NA,NA,NA
"26","2019-11-21 10:02:37-03","IBt","SP","245345","S","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme, W.Till, G.K.Br., J.R.Grant & Govaerts",NA,NA,NA,NA,"Wanderley, MGL; et al.","CFSC11564","1989","07","05","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 126","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto",NA,NA,"SP051718","SP051718",NA,NA,NA
"27","2019-11-21 10:02:37-03","IBt","SP","224873","S","Plantae",NA,NA,"Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme, W.Till, G.K.Br., J.R.Grant & Govaerts",NA,NA,NA,NA,"Wanderley, MGL","CFSC11096","1988","05","01","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 126 antigo","-43.7144012451172","-19.1688995361328",NA,NA,"26557",NA,NA,NA,"auto",NA,NA,"SP051719","SP051719",NA,NA,NA
