"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","scientificNameAuthorship","locality","occurrenceRemarks","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","order"
"32","2020-11-04 17:30:10-03","UEM","HUEM","22338","S","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Fábio de Barros","2013","05","28","Milaneze-Gutierre, MA; colaboradores","s.n.","2012","03","01","Brasil","Paraná","Telêmaco Borba","-50.583333","-24.35",NA,"HUEM000011448","HUEM000011448",NA,"(Lindl.) Docha Neto","Área de alagamento da UHE Mauá","Epífita ereta, cerca de 19cm; botões florais de coloração amarelas amarronzadas.",NA,"-50.583333","-24.35",NA,NA,NA,NA,NA
"33","2020-11-12 16:58:07-03","UEL","FUEL","52807","PreservedSpecimen","Plantae","Tracheophyta","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Molina, JMP","2013","04",NA,"Molina, JMP","47","2013","03","13","Brasil","Paraná","Londrina","-51.1627998352051","-23.3103008270264","63728",NA,NA,"auto","(Lindl.) Docha Neto","Parque Estadual Mata dos Godoy",NA,NA,NA,NA,NA,NA,NA,NA,"Asparagales"
"34","2020-11-12 16:58:07-03","UEL","FUEL","52759","PreservedSpecimen","Plantae","Tracheophyta","Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Molina, JMP","2012","04","01","Molina, JMP","03","2012","03","01","Brasil","Paraná","São Jerônimo da Serra","-50.7411003112793","-23.7275009155273","30511",NA,NA,"auto","(Lindl.) Docha Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Asparagales"
"35","2020-11-12 16:58:10-03","UEL","FUEL","31075","PreservedSpecimen","Plantae","Tracheophyta","Orchidaceae","Oncidium","hians","Oncidium hians",NA,NA,NA,NA,"Ferrarezi, E","7","2001","02","06","Brasil","Paraná","Londrina","-51.1627998352051","-23.3103008270264","63728",NA,NA,"auto","Lindl.","Orquidário do CCA, Universidade Estadual de Londri",NA,NA,NA,NA,NA,NA,NA,NA,"Asparagales"
"36","2020-08-20 20:37:53-03","UFSC","FLOR","38635","PreservedSpecimen","Plantae",NA,"Orchidaceae","Grandiphyllum","hians","Grandiphyllum hians","Matos, J.Z. de","2008",NA,NA,"Matos, J.Z. de","143","2008","04","25","Brasil","Santa Catarina","Santo Amaro da Imperatriz","-48.7785987854004","-27.6881008148193","22435","FLOR0038635",NA,"auto","(Lindl.) Docha Neto","Área do Hotel Plaza Caldas da Imperatriz.","epifítico",NA,NA,NA,NA,NA,NA,NA,"Asparagales"
"37","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians",NA,NA,NA,NA,"Rollisson","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Ouro Preto","-43.5081","-20.2875","44599",NA,NA,"auto","Lindl.","Habitat in arboribus prope Ouro-Preto prov. Minas Geraes",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"38","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians",NA,NA,NA,NA,"Lietze","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","in Brasilia austro-orientali locis accuratis haud indicatis","Floret Julio","Southern America",NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians",NA,NA,NA,NA,"Pinel, N","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","in Brasilia austro-orientali locis accuratis haud indicatis",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians",NA,NA,NA,NA,"Rollisson","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Ouro Preto","-43.5081","-20.2875","44599",NA,NA,"auto","Lindl.","Habitat in arboribus prope Ouro-Preto prov. Minas Geraes",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians",NA,NA,NA,NA,"Pinel, N","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","in Brasilia austro-orientali locis accuratis haud indicatis",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","hians","Oncidium hians",NA,NA,NA,NA,"Lietze","s.n.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Lindl.","in Brasilia austro-orientali locis accuratis haud indicatis","Floret Julio","Southern America",NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","kraenzlinianum","Oncidium kraenzlinianum",NA,NA,NA,NA,"Sander","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Cogn.","Habitat in Brasilia loco accurato haud indicato","Floret Junio","Southern America",NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:12:06-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Orchidaceae","Oncidium","kraenzlinianum","Oncidium kraenzlinianum",NA,NA,NA,NA,"Sander","s.n.(Hort.",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"Cogn.","Habitat in Brasilia loco accurato haud indicato","Floret Junio","Southern America",NA,NA,NA,NA,NA,NA,NA
"45","2021-02-08 12:52:19-03","UFRGS","ICN","047272","S","Plantae","Monocotyledon","Orchidaceae","Oncidium","hians","Oncidium hians","Waechter, JL","1980",NA,NA,"Waechter, JL","1591","1980","04","13","Brasil","RS","Santa Cruz do Sul","-52.4258003234863","-29.7175006866455","38612","ICN00040671",NA,"auto","Lindl.","Trombudo","Epífito a cerca de 4-6 m de altura, sépalas e pétalas amarelo-esverdeadas com manchas pardo-avermelhadas. Labelo esbranquiçado com manchas purpúreo-pálidas na base, coluna verde clara com aurícolas brancas.; Interior de mata pluvial","América do Sul",NA,NA,NA,NA,NA,NA,NA
"46","2021-02-08 12:52:19-03","UFRGS","ICN","063694","S","Plantae","Monocotyledon","Orchidaceae","Oncidium","hians","Oncidium hians","Waechter, JL","1984","12","14","Hagelund, K","13328","1980","07","04","Brasil","RS","Arroio dos Ratos","-51.7291984558105","-30.0771999359131","29956","ICN00040673",NA,"auto","Lindl.","Fazenda Faxinal",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA
"47","2021-02-08 12:52:19-03","UFRGS","ICN","047266","S","Plantae","Monocotyledon","Orchidaceae","Oncidium","hians","Oncidium hians","Waechter, JL","1980",NA,NA,"Waechter, JL","1585","1980","04","03","Brasil","SC","Jacinto Machado","-49.763599395752","-28.9974994659424","23999","ICN00040672",NA,"auto","Lindl.","Fundão do Tigre Preto","Epífito com flores (fenecendo) amarelo-alaranjadas com manchas pardo-avermelhadas e labelo esbranquiçado.; Interior de mato","América do Sul",NA,NA,NA,NA,NA,NA,NA
