"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","typeStatus"
"11","2020-06-29 11:28:45-03","UFRJ","RFA","39680","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","Manão, C.Y'G.","2017","10","09","R.S. Candido","150","2013","09","14","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia.","-44.5633010864258","-22.4960994720459","19648",NA,"Erva, escapo avermelhado, flores vermelho alaranjado, interior amarelado com estrias vinosas, paraperigônio discreto anelar lacerado, tubo curto ca. 0,5 cm, estigma trífido, filetes e estilete seguem a coloração das tépalas levemente as","auto",NA,NA,"RFA24705",NA,"2000","2000",NA,NA,NA
"12","2020-06-29 11:28:45-03","UFRJ","RFA","42788","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","C.Y G. Manão",NA,NA,NA,"C.M. Sakuragui","2610","2017","12","10","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, parte alta","-44.5633010864258","-22.4960994720459","19648",NA,"Erva até 80 cm de altura. Flores vermelho-vináceas","auto",NA,NA,"RFA38451",NA,NA,NA,NA,NA,NA
"13","2020-01-20 14:40:07-03","UPM","MACK","2935","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","L. T. A. Vieira","2017","10","19","G. S. Santiago","1","2016","10","07","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242","12135",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-01-20 14:40:07-03","UPM","MACK","3242","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","L. T. A. Vieira","2016","11","17","L. T. A. Vieira","441","2016","10","07","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242","12135",NA,NA,"auto",NA,NA,"HMACK00003242-L.T.A.Vieira441-7/10/2016,ParqueEstadualdoJuquery,FrancodaRocha,SP,Brasil",NA,NA,NA,NA,NA,NA
"15","2020-01-20 14:40:07-03","UPM","MACK","2984","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","I. C. S. Mayor","2018","06","04","L. T. A. Vieira","427","2016","10","07","Brasil","SP","Franco da Rocha","Parque Estadual do Juquery","-46.7200012207031","-23.3199996948242","12135",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 10:59:02-03","ESALQ","ESA","3391","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","Dutilh, J.",NA,NA,NA,"Schmitz, M.C.",NA,"1987","10","12","Brasil","São Paulo","Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA003391","ESA003391",NA,NA,NA,NA,NA
"17","2020-11-04 10:59:02-03","ESALQ","ESA","8202","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem","Dutilh, J.",NA,NA,NA,"Souza, V.C. ; Sakuragui, C.M.","2055.0","1992","10","12","Brasil","Minas Gerais","Moeda",NA,"-44.0527992248535","-20.3330993652344","14750",NA,NA,"auto",NA,NA,"ESA008202","ESA008202",NA,NA,NA,NA,NA
"18","2021-01-14 15:19:29-03","MN","R","231586","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.",NA,NA,NA,NA,"Ghizi, A.C.","312","1999","12","21","Brasil","Minas Gerais","Mariana",NA,"-43.4160995483398","-20.377799987793","33524",NA,NA,"auto",NA,NA,"R010033510",NA,NA,NA,NA,NA,NA
"19","2015-07-02 14:55:13-03","JBP","HPL","302","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","aff. damazianum","Hippeastrum aff. damazianum",NA,"E.R. Salviani & H. Lorenzi","2000","08","20","E.R. Salviani & H. Lorenzi","1970","2000","08","20","Brasil","MG","Itamonte","Subida das Prateleiras, vegeta nas altitudes sobre as pedras.","-44.87","-22.2839","26914",NA,NA,"auto",NA,NA,NA,NA,"2500","2500",NA,NA,NA
"20","2015-07-02 14:00:13-03","JBP","HPL","325","S","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","H. Lorenzi","2001","08","06","H. Lorenzi","2803","2001","08","06","Brasil","SP","Biritiba-ussu","Morro do Garrafão, sobre pedras a pleno sol.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-20 21:15:20-03","UFV","VIC","025126","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.",NA,NA,NA,NA,"Caiafa, A. .N.; Paula, C.C. de","s.n.","2000","07",NA,"Brasil","Minas Gerais","Ouro Preto","PEI, Final da trilha do Baú a direita.","-43.5080986022949","-20.2875003814697","44599",NA,"Erva bulbosa crescendo sobre afloramento de arenito, nas frestas , escapos de 40 cm de altura com duas flores vermelhas com a região da nervura central verde amarelada, folhas ausentes.","auto",NA,NA,"VIC025126","VIC025126",NA,NA,NA,NA,NA
"22","2020-12-20 21:15:20-03","UFV","VIC","7061","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","Dutill, P.","2005","06","30","Leitão Filho, H.F.; et al.","s.n.","1980","12","10","Brasil","Minas Gerais","Lavras","Campo rupestre.","-44.999698638916","-21.2453002929688","20044",NA,"Herbáceo, com bulbos, folhas glaucas, flores creme com listras avermelhadas. ISÓTIPO.","auto",NA,NA,"VIC007061","VIC007061",NA,NA,NA,NA,"Isótipo"
"23","2020-12-20 21:15:20-03","UFV","VIC","019753","PreservedSpecimen","Plantae",NA,NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.",NA,NA,NA,NA,"De Souza Araújo, R.","s.n.","2007","08","09","Brasil","Minas Gerais","Ouro Preto","PEI, Platô do Pico.","-43.5080986022949","-20.2875003814697","44599",NA,"Planta se desenvolvendo entre rochas a pleno sol.","auto",NA,NA,"VIC019753","VIC019753",NA,NA,NA,NA,NA
"24","2019-11-21 14:30:02-03","UFJF","CESJ","64166","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.","J. Dutilh",NA,NA,NA,"J.H.C. Ribeiro; L.D. Santana; V.A.O. Dittrich; A.A. Vale","319","2014","05","11","Brasil","Minas Gerais","Aiuruoca","Parque Estadual da Serra do Papagaio, Subida para o Pico do Papagaio.","-44.603099822998","-21.9755992889404","27460",NA,"Erva no afloramento rochoso. Flores vermelhas com centro esverdeado. Fruto imaturo verde arroxeado.","auto","América do Sul",NA,"CESJ064166",NA,NA,NA,NA,NA,NA
"25","2019-11-21 14:30:02-03","UFJF","CESJ","72004","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","Lem.",NA,NA,NA,NA,"L.N. Gonçalves; P. Duffles","382","2017","05","13","Brasil","Minas Gerais","Marmelópolis","Pico dos Marins, 2º maciço","-45.123611","-22.496111",NA,NA,"Coleção viva;",NA,"América do Sul",NA,"CESJ072004",NA,"2223","2223","-45.123611","-22.496111",NA
"26","2019-09-30 10:29:01-03","UNICAMP","UEC","1741290","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Amaryllis","lavrensis","Amaryllis lavrensis","Ravenna","Oliveira, RS","2013","02",NA,"Dutilh, JHA","s.n.","2000","12","11","Brazil","Minas Gerais","Itutinga",NA,"-44.6577987670898","-21.2980995178223","24458",NA,"Flores verde claras com finas estrias vermelhas.","auto",NA,NA,"UEC089067","UEC089067",NA,NA,NA,NA,NA
"27","2019-08-20 09:58:56-03","UNICAMP","UEC","174129","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Amaryllis","lavrensis","Amaryllis lavrensis","Ravenna","Oliveira, RS","2013","02",NA,"Dutilh, JHA","s.n.","2000","12","11","Brazil","Minas Gerais","Itutinga",NA,"-44.6577987670898","-21.2980995178223","24458",NA,"Flores verde claras com finas estrias vermelhas.","auto",NA,NA,"UEC089067","UEC089067",NA,NA,NA,NA,NA
"28","2019-08-20 09:58:56-03","UNICAMP","UEC","172992","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Amaryllis","lavrensis","Amaryllis lavrensis","Ravenna",NA,NA,NA,NA,"Dutilh, JHA","215","1988","11","22","Brazil","Minas Gerais","Lavras",NA,"-44.999698638916","-21.2453002929688","20044",NA,NA,"auto",NA,NA,"UEC084206","UEC084206",NA,NA,NA,NA,NA
"29","2019-08-20 09:58:56-03","UNICAMP","UEC","172990","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Amaryllis","lavrensis","Amaryllis lavrensis","Ravenna",NA,NA,NA,NA,"Dutilh, JHA","217","1989","11","28","Brazil","Minas Gerais","Lavras",NA,"-44.999698638916","-21.2453002929688","20044",NA,NA,"auto",NA,NA,"UEC084204","UEC084204",NA,NA,NA,NA,NA
"30","2019-08-20 09:59:00-03","UNICAMP","UEC","112423","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Dutilh, JHA","2001","08",NA,"Souza, VC; Sakuragui, CM","2055","1992","10","12","Brazil","Minas Gerais",NA,"Serra da Moeda, Estrada que liga a BR040 a Moeda, a ca. 2km da BR040.",NA,NA,NA,NA,"flor, Erva, com bulbo globoso, subterrâneo ou semi-subterrâneo, tépalas vermelhas com base e centro verdes, filetes e estiletes vermelhos. Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:18:54-03","UNICAMP","UEC","155083","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2013","02",NA,"Kinoshita, LS; Mahmoud, C; Urbanetz, C; Galvão, JC","05-03","2005","05",NA,"Brazil","Minas Gerais","Extrema","Serra do Lopo, Coletada na pedra das flores.","-46","-22.9",NA,NA,"Hábito herbáceo.",NA,NA,NA,"UEC070542","UEC070542","1660","1660","-46","-22.9",NA
"32","2019-08-20 09:59:00-03","UNICAMP","UEC","167089","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2007","12",NA,"Oliveira, RS; Camargo, RP","111","2007","12","12","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia. Próximo ao abrigo Rebolças.","-44.678611","-22.385278",NA,NA,NA,NA,NA,NA,"UEC040128","UEC040128",NA,NA,"-44.678611","-22.385278",NA
"33","2021-03-01 16:18:54-03","UNICAMP","UEC","162146","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2012","03",NA,"Paula, JA; Grandi, TSM","1826","1987","06","06","Brazil","Minas Gerais","Caeté","Serra da Piedade","-43.666667","-19.816667",NA,NA,"Herb.; Campo rupestre.",NA,NA,NA,"UEC024532","UEC024532","1720","1720","-43.666667","-19.816667",NA
"34","2019-08-20 09:59:00-03","UNICAMP","UEC","170542","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau",NA,NA,NA,NA,"Dutilh, JHA","s.n.","1999","07","26","Brazil","Minas Gerais",NA,"Itatiaia, Parque Nacional do Itatiaia, Prateleiras.",NA,NA,NA,NA,NA,NA,NA,NA,"UEC010175","UEC010175",NA,NA,NA,NA,NA
"35","2021-03-01 16:18:54-03","UNICAMP","UEC","197827","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Monge, M",NA,NA,NA,"Monge, M; Molino, JL; Scatigna, AV","1324","2012","09","25","Brazil","Espírito Santo","Santa Teresa","Reserva Santa Lúcia. Trilha para afloramento do Observatório, após atravessar a ponte José Molino. Margem esquerda do Rio","-40.602778","-19.955556",NA,NA,"Erva, ereta, flores com corola laranja, com fauce verde.; Afloramento rochoso, moita de vegetação.",NA,NA,NA,"UEC154675","UEC154675",NA,NA,"-40.602778","-19.955556",NA
"36","2021-02-17 13:39:51-03","UNICAMP","UEC","81476","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2012","04",NA,"Semir, J","s.n.","2009","09","25","Brazil","Minas Gerais","Extrema",NA,"-46.331414","-22.892778",NA,NA,NA,NA,NA,NA,"UEC036233","UEC036233",NA,NA,"-46.331414","-22.892778",NA
"37","2019-08-20 09:59:00-03","UNICAMP","UEC","69874","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Dutilh, JHA","2001","08",NA,"Stehmann, JR","1405","1993","11","02","Brazil","Minas Gerais","Brumadinho","Retiro das Pedras","-44.1996994018555","-20.1432991027832","26639",NA,"flor, Em fenda de rocha; folha com bordo hialino.","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-01 16:18:54-03","UNICAMP","UEC","162149","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2012","03",NA,"Lombardi, JA; Toledo, FRN","251","1993","05","19","Brazil","Minas Gerais","Caeté","Serra da Piedade, Trilha abaixo do restaurante.","-43.6697006225586","-19.8799991607666","22051",NA,"Herva entre fendas na rocha, sem folha. Flor avermelhada no exterior, interior com estrias vermelho escuro e verdes.; Campo rupestre.","auto",NA,NA,"UEC024527","UEC024527",NA,NA,NA,NA,NA
"39","2019-08-20 09:59:00-03","UNICAMP","UEC","170599","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau",NA,NA,NA,NA,"Dutilh, JHA","s.n.","2000","08","10","Brazil","Minas Gerais","Caldas","Pedra Branca.","-46.386100769043","-21.9235992431641","25710",NA,NA,"auto",NA,NA,"UEC010163","UEC010163",NA,NA,NA,NA,NA
"40","2019-08-20 09:59:00-03","UNICAMP","UEC","120202","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Dutilh, JHA","2002",NA,NA,"Meireles, LD","349","2001","06","28","Brazil","Minas Gerais","Camanducaia","Monte Verde, Afloramento da Pedra do Selado","-46.1446990966797","-22.7553005218506","22140",NA,"Erva, flores vermelhas com estriações verdes, sob substrato","auto",NA,NA,"UEC087202","UEC087202",NA,NA,NA,NA,NA
"41","2019-08-20 09:59:00-03","UNICAMP","UEC","170480","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau",NA,NA,NA,NA,"Dutilh, JHA","s.n.","2001","07","02","Brazil","Minas Gerais","Camanducaia","Monte Verde, Pico do Selado.","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,"UEC010309","UEC010309",NA,NA,NA,NA,NA
"42","2019-08-20 09:59:00-03","UNICAMP","UEC","170480","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau",NA,NA,NA,NA,"Dutilh, JHA","s.n.","2001","07","02","Brazil","Minas Gerais","Camanducaia","Monte Verde Pico do Selado.","-46.1446990966797","-22.7553005218506","22140",NA,NA,"auto",NA,NA,"UEC010309","UEC010309",NA,NA,NA,NA,NA
"43","2019-08-20 09:59:00-03","UNICAMP","UEC","136062","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau",NA,"2013","02",NA,"Simões, AO; Belinello, R; Koehler, S","909","1999","10","03","Brazil","Minas Gerais","Carrancas","Alto da Serra de Bicas, afloramento a cerca de 1400 m de altitude","-44.6425018310547","-21.4874992370605","21143",NA,"flor, Erva, até 40 cm, haste verde a verde-arroxeada, brácteas vermelhas, flores vermelhas, com faixas longitudinais verdes e estrias vináceas.","auto",NA,NA,"UEC018625","UEC018625","1400","1400",NA,NA,NA
"44","2019-08-20 09:59:00-03","UNICAMP","UEC","136061","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2013","02",NA,"Simões, AO; Belinello, R; Koehler, S","884","1999","10","02","Brazil","Minas Gerais","Carrancas","Alto da Serra do Moleque","-44.6425018310547","-21.4874992370605","21143",NA,"flor, Erva, cerca de 40 cm, flores vermelhas, com estrias verdes, haste roxa","auto",NA,NA,"UEC018626","UEC018626",NA,NA,NA,NA,NA
"45","2019-08-20 09:59:00-03","UNICAMP","UEC","136065","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2013","02",NA,"Simões, AO; Belinello, R; Koehler, S; Singer, RB","972","1999","11","05","Brazil","Minas Gerais","Carrancas","Alto da Serra do Moleque, afloramento a cerca de 1400 m de altitude","-44.6425018310547","-21.4874992370605","21143",NA,"flor, Erva, cerca de 40 cm, escapo roxo-esverdeado, brácteas avermelhadas, flores vermelhas com linhas esverdeadas internamente","auto",NA,NA,"UEC090395","UEC090395","1400","1400",NA,NA,NA
"46","2019-08-20 09:59:00-03","UNICAMP","UEC","136063","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2013","02",NA,"Simões, AO; Belinello, R; Matsumoto, K; Singer, RB","508","1998","11","12","Brazil","Minas Gerais","Carrancas","Serra de Bicas","-44.6425018310547","-21.4874992370605","21143",NA,"flor, Erva, cerca de 1 m, perigônio verde-alaranjado com estrias vináceas, bulbo subterrâneo. Em interior de mata","auto",NA,NA,"UEC018624","UEC018624","1200","1200",NA,NA,NA
"47","2019-08-20 09:59:00-03","UNICAMP","UEC","136064","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2013","02",NA,"Simões, AO; Singer, RB; Lopes, CA","325","1998","09","22","Brazil","Minas Gerais","Carrancas","Serra de Bicas, Alfloramento no alto da serra","-44.6425018310547","-21.4874992370605","21143",NA,"flor, Rupícola, 60 cm, perianto vermelho-escuro com estrias vináceas.","auto",NA,NA,"UEC090398","UEC090398","1400","1400",NA,NA,NA
"48","2019-08-20 09:59:00-03","UNICAMP","UEC","174437","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Oliveira, RS","2012","04",NA,"Semir, J","s.n.","2009","09","28","Brazil","Minas Gerais","Extrema",NA,"-46.3182983398438","-22.854700088501","15223",NA,NA,"auto",NA,NA,"UEC036231","UEC036231",NA,NA,NA,NA,NA
"49","2021-03-01 16:18:54-03","UNICAMP","UEC","205209","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Streher, NS","2017","10","17","Streher, NS","NS89","2017","10","17","Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia. Estrada para o planalto, próximo à entrada do parque (posto Marcão)","-44.8699989318848","-22.283899307251","26914",NA,"Campos de Altitude","auto",NA,NA,"UEC166948","UEC166948",NA,NA,NA,NA,NA
"50","2021-03-01 16:18:54-03","UNICAMP","UEC","205981","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Streher, NS","2018","01","15","Streher, NS","NS127","2018","01","15","Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia. Parte alta do parque.","-44.8699989318848","-22.283899307251","26914",NA,"Campos de Altitude","auto",NA,NA,"UEC166812","UEC166812",NA,NA,NA,NA,NA
"51","2021-03-01 16:18:54-03","UNICAMP","UEC","205976","S","Plantae","Liliopsida",NA,NA,"Amaryllidaceae","Hippeastrum","morelianum","Hippeastrum morelianum","J.Beau","Streher, NS","2018","01","15","Streher, NS","NS128","2018","01","15","Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia. Próximo ao estacionamento do Posto Marcão, parte alta do parque.","-44.8699989318848","-22.283899307251","26914",NA,"Campos de Altitude","auto",NA,NA,"UEC166817","UEC166817",NA,NA,NA,NA,NA
