"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","month","day","coordinatePrecision","geoFlag","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem","dayIdentified"
"11","2015-09-04 14:16:48-03","MNHN","RECOLNAT_MNHN_P","P04008051","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen, P.","1838",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008051' target='other'> <mi>dwc_moreinfo</mi></a>","P04008051","P04008051_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-04 14:15:34-03","MNHN","RECOLNAT_MNHN_P","P04008511","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Widgren, J.F.",NA,NA,"[Brésil]",NA,NA,"s.l.",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008511' target='other'> <mi>dwc_moreinfo</mi></a>","P04008511","P04008511_01 P04008511_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"181","isotype",NA,NA,NA,NA
"13","2016-08-08 13:12:54-03","MNHN","RECOLNAT_MNHN_P","P04008512","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Widgren, J.F.",NA,NA,"[Brésil]",NA,NA,"s.l.",NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008512' target='other'> <mi>dwc_moreinfo</mi></a>","P04008512","P04008512_01 P04008512_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"181","isotype",NA,NA,NA,NA
"14","2015-09-04 14:15:58-03","MNHN","RECOLNAT_MNHN_P","P04008557","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008557' target='other'> <mi>dwc_moreinfo</mi></a>","P04008557","P04008557_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-04 14:15:58-03","MNHN","RECOLNAT_MNHN_P","P04008558","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008558' target='other'> <mi>dwc_moreinfo</mi></a>","P04008558","P04008558_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-09-04 14:14:34-03","MNHN","RECOLNAT_MNHN_P","P04008963","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen","1838",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008963' target='other'> <mi>dwc_moreinfo</mi></a>","P04008963","P04008963_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-09-04 14:14:34-03","MNHN","RECOLNAT_MNHN_P","P04008964","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen","1838",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008964' target='other'> <mi>dwc_moreinfo</mi></a>","P04008964","P04008964_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,"660",NA,NA,NA,NA,NA
"18","2015-09-04 14:14:34-03","MNHN","RECOLNAT_MNHN_P","P04008965","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Claussen","1838",NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04008965' target='other'> <mi>dwc_moreinfo</mi></a>","P04008965","P04008965_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-09-05 12:43:50-03","MNHN","RECOLNAT_MNHN_P","P06139954","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.",NA,NA,NA,"Brasil",NA,NA,"Brésil.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06139954' target='other'> <mi>dwc_moreinfo</mi></a>","P06139954","P06139954_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-05 12:43:50-03","MNHN","RECOLNAT_MNHN_P","P06139955","PreservedSpecimen",NA,NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Richard",NA,NA,"Brasil",NA,NA,"Brésil.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06139955' target='other'> <mi>dwc_moreinfo</mi></a>","P06139955","P06139955_01","Bruniera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-12-11 11:41:06-03","UFMG","BHCB","66192","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Vasconcelos, MF de","2001","Southern America","Brasil","Minas Gerais","Francisco Sá","Mata do Seu Nozim.",NA,"-16.466667",NA,"Caatinga arbórea. Arbustivo, corola branca",NA,NA,NA,NA,NA,"75",NA,"-16.466667",NA,NA,"11","01",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:41:06-03","UFMG","BHCB","21759","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Costa, LVC","1989","Southern America","Brasil","Minas Gerais","Manga","Distrito de Irrigação do Jaíba (DIJ)","-43.932201385498","-14.7558002471924",NA,"Caatinga. Arbusto. Flores brancas aromáticas. Ficha do Herbário DIJ - Magna (MG). Distrito de Irrigação de Jaíba. Nº 110",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"12","01","51351","auto",NA,NA,NA,NA,NA,NA
"23","2020-12-11 11:41:06-03","UFMG","BHCB","21758","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Horta, MB","1991","Southern America","Brasil","Minas Gerais","Manga","Distrito de Irrigação do Jaíba (DIJ)","-43.932201385498","-14.7558002471924",NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"02","25","51351","auto",NA,NA,NA,NA,NA,NA
"24","2020-12-11 11:41:06-03","UFMG","BHCB","21758","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Horta, MB","1991","Southern America","Brasil","Minas Gerais","Manga","Distrito de Irrigação do Jaíba (DIJ)","-43.932201385498","-14.7558002471924",NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"02","25","51351","auto",NA,NA,NA,NA,NA,NA
"25","2020-12-11 11:41:06-03","UFMG","BHCB","21759","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Costa, LVC","1989","Southern America","Brasil","Minas Gerais","Manga","Distrito de Irrigação do Jaíba (DIJ)","-43.932201385498","-14.7558002471924",NA,"Caatinga. Arbusto. Flores brancas aromáticas. Ficha do Herbário DIJ - Magna (MG). Distrito de Irrigação de Jaíba. Nº 110",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"12","01","51351","auto",NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:41:06-03","UFMG","BHCB","50855","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Vasconcelos, MF de; D'Angelo Neto, S","2000","Southern America","Brasil","Minas Gerais","Francisco Sá","Fazenda Baixa Lasca.","-43.4883003234863","-16.4757995605469",NA,"Arbustivo; caatinga arbórea; frutos laranja.",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"03","06","45875","auto",NA,NA,NA,NA,NA,NA
"27","2020-12-11 11:41:06-03","UFMG","BHCB","7440","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Teixeira, MCB; et al.","1984","Southern America","Brasil","Minas Gerais","Jaíba","Ometo.","-43.6744003295898","-15.3382997512817",NA,"Mata;arbóreo;não espinhosa;estames e estiletes exclusos;folha membranosa;simples;alternada;espiga;",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"11","27","47016","auto",NA,NA,NA,NA,NA,NA
"28","2021-02-11 17:21:36-03","UFPR","UPCB","3209","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","clausseniana","Rudgea clausseniana","Benth.","Braga, R.","1961",NA,"Brasil","Paraná","Ivaté","Interior mata ciliar do Rio Ivaí","-53.3692016601562","-23.409200668335",NA,"Arbusto, 3m, flor alva..",NA,NA,"Smith, L.B.","1961","08","1554",NA,NA,NA,NA,"01","27","29611","auto",NA,NA,NA,NA,NA,NA
"29","2017-07-05 17:26:00-03","MO","MOBOT","100986192","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","C.P. Bruniera","2012","South America","Brazil","Minas Gerais",NA,"Município de Matozinhos. Mocambeiro, Hotel Fazenda Jagoara Velha.","-43.9636111","-19.4583333",NA,NA,NA,NA,"C.P. Bruniera",NA,NA,"Bruniera 608",NA,NA,"665.00000000",NA,"1","29",NA,NA,NA,NA,"1",NA,NA,NA
"30","2015-09-17 11:35:00-03","MO","MOBOT","3233633","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","FIASCHI","2004","South America","Brazil","Bahia",NA,"Potiraguá: Fazenda Independência. Rod. Itaimbé-Potiraguá, ca. 15 km a partir da BR 101. Mata alterada pela extracão de madeira.","-39.57527","-15.70333",NA,NA,NA,NA,"C.M. Taylor",NA,NA,"FIASCHI 2278",NA,NA,NA,NA,"6","2",NA,NA,NA,NA,NA,NA,NA,NA
"31","2012-12-27 12:54:00-02","MO","MOBOT","3239111","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","* VASCONCELOS","2001","South America","Brazil","Minas Gerais","Francisco Sá","Mata do Seu Nozim.","-43.4833333","-16.4666667",NA,NA,NA,NA,"C.P. Bruniera (SPFR)",NA,NA,"VASCONCELOS 75",NA,NA,NA,NA,"11","1",NA,NA,NA,NA,"1",NA,NA,NA
"32","2013-01-12 05:18:00-02","MO","MOBOT","3253982","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","Peter Clausen",NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,"D. Zappi, K",NA,NA,"Clausen 660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-07-10 09:49:12-03","MBML","MBML-HERBARIO","25781",NA,"Plantae",NA,NA,"Rubiaceae","Rudgea","aff. corymbulosa","Rudgea aff. corymbulosa","Benth.","L. Kollmann","2005",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389",NA,"Arbusto 1,5m no sol. Solo arenoso, flores brancas.","MBML025781",NA,"C.P. Bruniera/2014",NA,NA,"8211","40W31'49","19S58'17",NA,NA,"08","12",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-07-10 09:49:12-03","MBML","MBML-HERBARIO","10012",NA,"Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth","L. Kollmann; E. Bausen & W. Pizziolo","1999",NA,"Brasil","Espírito Santo","Santa Teresa","Santo Antônio","-40.589167","-19.922222",NA,"Mata baixa. Arbusto 3m. Frutos laranjas.","MBML010012",NA,"D. Zappi/Nov.-1999",NA,NA,"2343","40W35'21","19S55'20",NA,NA,"03","31",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-09-12 05:00:02-03","US","US","1390217","PreservedSpecimen","Plantae",NA,"Rubiales","Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa","Benth.","A. Regnell","1846","South America - Neotropics","Brazil","Minas Gerais",NA,"Brasilia",NA,NA,NA,NA,"US02742769","US02742769_01",NA,NA,NA,"113",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,"1","Dicotyledonae",NA,NA
"36","2019-09-04 18:14:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea",NA,"A. F. Regnell","1854","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"III.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA
"37","2019-01-23 11:12:16-02","F","FMNH-SEEDPLANTS","V0070961F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","celastrinea","Rudgea celastrinea",NA,"A. F. Regnell","1854","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0070961F","V0070961F_01",NA,NA,NA,"III.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA
"38","2019-09-04 18:26:13-03","F","FMNH-SEEDPLANTS","V0070962F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","clausseniana","Rudgea clausseniana",NA,"P. H. Claussen","1839","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0070962F","V0070962F_01",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA
"39","2019-09-04 18:14:26-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"J. F. Widgren","1845","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA
"40","2019-01-23 11:12:17-02","F","FMNH-SEEDPLANTS","V0070967F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"J. F. Widgren","1845","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0070967F","V0070967F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA
"41","2019-01-23 11:12:17-02","F","FMNH-SEEDPLANTS","V0070966F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"J. F. Widgren","1845","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0070966F","V0070966F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype",NA,"Dicotyledoneae",NA,NA
"42","2015-04-09 13:26:46-03","F","FMNH-SEEDPLANTS","V0293511F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0293511F","V0293511F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"43","2015-04-09 13:26:47-03","F","FMNH-SEEDPLANTS","V0293512F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0293512F","V0293512F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"44","2019-09-04 19:53:20-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","nettoana","Rudgea nettoana",NA,"C. F. P. von Martius",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,"806",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA,NA
"45","2019-09-04 19:57:42-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Rubiaceae","Rudgea","ypanemensis","Rudgea ypanemensis",NA,"C. F. P. von Martius",NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA,NA
"46","2020-07-23 12:21:21-03","CEPLAC","CEPEC","104344","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"Fiaschi, P.","2005",NA,"Brasil","Bahia","arataca","Serra das Lontras, ca. 7 km no ramal que liga o povoado de Itatiguí à Serra das Lontras.","-39.408056","-15.202778",NA,"EXSICATA NÃO ENCONTRADA NO ACERVO!",NA,NA,"SpeciesLink/lacunas",NA,NA,"2833","39W24'29","15S12'10","600","600","03","17",NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-07-23 12:21:21-03","CEPLAC","CEPEC","109310","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"Amorim, A. M.","2005",NA,"Brasil","Bahia","arataca","Serra do Peito de Moça. Estrada que liga Arataca à Una, ramal ca. 22,4 km de Arataca com entrada no assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.341667","-15.173611",NA,NA,NA,NA,"SpeciesLink/lacunas",NA,NA,"5025","39W20'30","15S10'25","1000","1000","05","14",NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-07-23 12:21:21-03","CEPLAC","CEPEC","114029","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"Jardim, J. G.","2005",NA,"Brasil","Bahia","arataca","RPPN Caminho das Pedras. Serra do Peito-de-Moça, entrada a 9,5km no Assent. Santo Antônio, mais 8,9km até a sede da RPPN. Coletas na trilha para o topo, 2-4km da sede.","-39.339444","-15.174167",NA,NA,NA,NA,"SpeciesLink/lacunas",NA,NA,"4700","39W20'22","15S10'27","450","450","07","21",NA,NA,NA,NA,NA,NA,NA,NA
"49","2020-07-23 12:21:21-03","CEPLAC","CEPEC","128307","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"D. Rocha","2010",NA,"Brasil","Bahia","CAMACAN","RPPN Serra Bonita, área da fitossociologia.","-39.566111","-15.395833",NA,"EXSICATA NÃO ENCONTRADA NO ACERVO!",NA,NA,"SpeciesLink/lacunas",NA,NA,"1055","39W33'58","15S23'45","500","500","05","18",NA,NA,NA,NA,NA,NA,NA,NA
"50","2020-07-23 12:21:21-03","CEPLAC","CEPEC","39435","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"T. S. dos Santos","1986",NA,"Brasil","Bahia","UNA","Ramal com entrada no KM 5 da Rod. São José/Uma, 1Km ao S.","-38.3","-15.066667",NA,NA,NA,NA,"SpeciesLink/lacunas",NA,NA,"4023","38W18'","15S4'",NA,NA,"02","26",NA,NA,NA,NA,NA,NA,"30/07/1986",NA
"51","2020-07-23 12:21:21-03","CEPLAC","CEPEC","39465","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Rudgea","corymbulosa","Rudgea corymbulosa",NA,"T. S. dos Santos","1986",NA,"Brasil","Bahia","UNA","Rodovia BR-101, trecho São João/Camacan, 9Km ao S de São João (Km 550), 5,5Km a E da BR-101 na estrada a Fazenda Cascavel.","-38.333333","-15.133333",NA,NA,NA,NA,"SpeciesLink/lacunas",NA,NA,"4212","38W20'","15S8'",NA,NA,"03","10",NA,NA,NA,NA,NA,NA,"30/07/1986",NA
