"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","typeStatus"
"13","2021-03-15 16:37:00-03","NY","NYBG","502301","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","J. H. Kirkbride Jr.",NA,NA,NA,"H. C. de Lima","2372","1984","11","12","Brazil","Rio de Janeiro","Magé","Paraiso. Centro de Primatología do RJ. Serra dos porcos. Quadrat III","-43.0406","-22.6531",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589266' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502301","NY00502301_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","501330","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.",NA,NA,NA,NA,"P. G. Delprete","6977","1998","12","02","Brazil","Santa Catarina","Ilhota","Parque Botânico do Morro Baú. Trilha a lado da Cachoeira Central","-48.95","-26.8",NA,NA,"200","250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589267' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501330","NY00501330_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","885476","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","J. M. A. Braga",NA,NA,NA,"J. M. A. Braga","7196","2003","05","23","Brazil","Rio de Janeiro","Rio de Janeiro","Campus do Jardim Botânico do Rio de Janeiro, caminho da Mata Atlântica.","-43.2075","-22.9031",NA,NA,"30","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=995235' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885476","NY00885476_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","502300","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","J. H. Kirkbride Jr.",NA,NA,NA,"H. C. de Lima","2464","1984","11","30","Brazil","Rio de Janeiro","Magé","Paraiso. Floresta secundaria próximo ao Centro de Primatología. Quadrat IV","-43.0406","-22.6531",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502300","NY00502300_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","501395","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.",NA,NA,NA,NA,"P. G. Delprete","7045","1998","12","10","Brazil","Santa Catarina","Florianópolis","Ilha de Santa Catarina, Unidade de Conservaçao Ambiental Desterro (Universidade Federal de Santa Catarina). Trilha do Jacatirao","-48.5","-27.52",NA,NA,"50","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501395","NY00501395_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","501392","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.",NA,NA,NA,NA,"P. G. Delprete","7042","1998","12","10","Brazil","Santa Catarina","Florianópolis","Ilha de Santa Catarina, Unidade de Conservaçao Ambiental Desterro (Universidade Federal de Santa Catarina). Trilha do Jacatirao","-48.5","-27.52",NA,NA,"50","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=589269' target='other'> <mi>dwc_moreinfo</mi></a>","NY00501392","NY00501392_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","799412","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","P. G. Delprete",NA,NA,NA,"R. Reitz","9557","1960","03","17","Brazil","Santa Catarina","Sombrio","Pirao Frio","-49.6167","-29.1142",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799412","NY00799412_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","799415","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","P. G. Delprete",NA,NA,NA,"G. G. Hatschbach","19014","1968","04","11","Brazil","Paraná","Guaraqueçaba","Rio do Cedro","-48.3289","-25.3069",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794759' target='other'> <mi>dwc_moreinfo</mi></a>","NY00799415","NY00799415_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","885778","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","J. M. A. Braga",NA,NA,NA,"J. M. A. Braga","7411","2004","03","23","Brazil","Rio de Janeiro","Rio de Janeiro","Horto, entorno do Jardim Botânico do Rio de Janeiro, trecho que se estende até 500 m acima do Solar da Imperatriz.","-43.2075","-22.9031",NA,NA,"80","150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008365' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885778","NY00885778_01","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-13 09:20:51-03","UFRJ","RFA","24622","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","M.Gomes","2000","08","17","A. Quinet","319 (22/16)","2000","06","04","Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.455556","-22.919722","43º27'20''W","22º55'11''S","200","200","Arbusto, 2m de altura, folha discolor verde, comum no local","RFA29230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-06-29 11:32:25-03","UFRJ","RFA","40879","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","stenocalyx","Psychotria stenocalyx","Müll.Arg.","Mario Gomes","2016","10","26","Mario Gomes; L. Valente; R. Barbosa. V. Freitas","1128","2016","10","26","Brasil","Rio de Janeiro","Rio de Janeiro","Próximo ao Jardim Botânico, próximo ao Jequitibá","-43.229722","-22.968611","43º13'47''W","22º58'7''S","35","35","Arbusto umbrófilo, 0,5-3 m de altura. Ramos verde-acinzentados. Folhas membranáceas, discolores; brácteas verdes; flores brancas, fauce da corola amarela. frequente","RFA36298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-24 17:11:00-03","UTFPR","DVPR","508","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Ferreira, DA","2007",NA,NA,"Santos, DB; et al.","s.n.","2002","10","19","Brasil","Paraná","Londrina","Parque Estadual Mata Godoy","-51.1627998352051","-23.3103008270264",NA,NA,NA,NA,"Arbusto 2m, fruto maduro roxo, fruto imaturo verde.; Interior da mata.","DVPR000508","DVPR000508","Magnoliophyta",NA,NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA
"25","2020-11-24 17:11:00-03","UTFPR","DVPR","6215","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.",NA,NA,NA,NA,"Schwirkowski, P","1054","2015","02","16","Brasil","Santa Catarina","São Bento do Sul","Após túnel, interior da mata.","-49.3786010742188","-26.2502994537354",NA,NA,"575","575","Rabo do macaco.","DVPR006215",NA,"Magnoliophyta",NA,NA,NA,"23090","auto",NA,NA,NA,NA,NA,NA
"26","2020-02-08 09:27:10-03","NBC","NL-BOTANY","L.2950406","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L.B.Sm. & Downs",NA,NA,NA,NA,"Reitz R; Klein RM",NA,"1960","03","17","Brazil",NA,NA,"Santa Catarina, Pirão Frio, Sombrio, Mata.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2950406 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2950406","NL-L2950406",NA,"Gentianales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"27","2020-11-04 11:18:47-03","ESALQ","ESA","31968","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","L.B. Sm. & Downs","Souza, V.C.",NA,NA,NA,"Leitão Filho, H.F. et al.","33537.0","1995","02","15","Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,NA,"ESA031968","ESA031968","Magnoliophyta",NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA,NA
"28","2019-12-19 08:15:30-03","FPS","FPS","794","MachineObservation","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Schwirkowski, P.","2015","02","16","Schwirkowski, P.","1054","2015","02","16","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Trilhos, Rabo do Macaco.","-49.311265","-26.341096","-49.311265","-26.341096",NA,NA,"<ll>dwc_commonname:</ll> Erva-de-anta","FPS00794,FURB48429","FPS00794_v01 FPS00794_v02 FPS00794_v03 FPS00794_v04 FPS00794_v05 FURB48429",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 48429",NA,NA,NA
"29","2019-12-19 08:15:30-03","FPS","FPS","4130","MachineObservation","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Schwirkowski, P.","2019","10","19","Schwirkowski, P.","3553","2019","10","19","Brasil","Santa Catarina","São Bento do Sul","Centro. Fundos do Hotel Serra Alta","-49.382244","-26.243041","-49.382244","-26.243041",NA,NA,"<ll>dwc_commonname:</ll> Erva-de-anta","FPS04130,FURB65425","FPS04130_v01 FPS04130_v02 FPS04130_v03 FPS04130_v04 FPS04130_v05 FPS04130_v06 FPS04130_v07 FURB65425",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 65425",NA,NA,NA
"30","2019-12-19 08:15:30-03","FPS","FPS","1188","MachineObservation","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Schwirkowski, P.","2010","11","28","Schwirkowski, P.",NA,"2010","11","28","Brasil","Santa Catarina","São Bento do Sul","Recanto Buger Strasse, em, trilha.","-49.366298","-26.325219","-49.366298","-26.325219",NA,NA,"<ll>dwc_commonname:</ll> Erva-de-anta","FPS01188","FPS01188_v01 FPS01188_v02 FPS01188_v03 FPS01188_v04 FPS01188_v05 FPS01188_v06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-19 08:15:30-03","FPS","FPS","1551","MachineObservation","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Schwirkowski, P.","2011","02","13","Schwirkowski, P.",NA,"2011","02","13","Brasil","Santa Catarina","São Bento do Sul","Sertãozinho, Recanto Buger Strasse","-49.366298","-26.325219","-49.366298","-26.325219",NA,NA,"<ll>dwc_commonname:</ll> Erva-de-anta","FPS01551","FPS01551_v01 FPS01551_v02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-19 08:15:30-03","FPS","FPS","3377","MachineObservation","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","Schwirkowski, P.","2018","06","18","Schwirkowski, P.","2803","2018","06","18","Brasil","Santa Catarina","São Bento do Sul","Em capão de FOM, atrás do Hotel Serra Alta","-49.383292","-26.241274","-49.383292","-26.241274",NA,NA,"<ll>dwc_commonname:</ll> Erva-de-anta","FPS03377,FURB59264","FPS03377_v01 FPS03377_v02 FPS03377_v03 FPS03377_v04 FURB59264",NA,NA,NA,NA,NA,NA,NA,"voucher","FURB 59264",NA,NA,NA
"33","2019-08-27 13:32:27-03","IAP","PACA-AGP","49746","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","L. B. Smith","1954","09","14","Rambo, B.",NA,"1951","01","18","Brasil","RS","Lagoa das Malvas",NA,NA,NA,NA,NA,NA,NA,"fl. Habitat: in silva riparia","PACA049746",NA,"Magnoliophyta","Rubiales",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
"34","2019-08-27 13:32:27-03","IAP","PACA-AGP","55661","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","L. B. Smith","1953",NA,NA,"Reitz, R.","3864","1951","03","25","Brasil","SC","Blumenau",NA,"-49.0661010742188","-26.9193992614746",NA,NA,NA,NA,"HBR 5971; mata; flor amarela, cálice vermelho. Habitat: in silva Fenofase: flor amarela","PACA055661",NA,"Magnoliophyta","Rubiales",NA,NA,"34291","auto","Magnoliatae",NA,NA,NA,NA,NA
"35","2019-08-27 13:32:27-03","IAP","PACA-AGP","6473","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","Emrich-Rambo","1954","09","14","Sehnem, A.",NA,"1941","02","20","Brasil","SC","Florianópolis",NA,"-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"fl. Habitat: in silva","PACA006473",NA,"Magnoliophyta","Rubiales",NA,NA,"27000","auto","Magnoliatae",NA,NA,NA,NA,NA
"36","2019-08-27 13:32:27-03","IAP","PACA-AGP","65760","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","L. B. Smith","1957",NA,NA,"Reitz & Klein","2974","1956","04","05","Brasil","SC","Palhoça",NA,"-48.6678009033203","-27.645299911499",NA,NA,NA,NA,"HBR 14428; arbusto; altit. 350 msm, alt. 2 m; flor branca. Habitat: mata Fenofase: flor branca","PACA065760",NA,"Magnoliophyta","Rubiales",NA,NA,"31105","auto","Magnoliatae",NA,NA,NA,NA,NA
"37","2019-08-27 13:32:27-03","IAP","PACA-AGP","102733","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","Elsa Cabral","1986","01",NA,"L. A. C. Rodas",NA,"1985","05","30","Brasil","PR","Londrina","Mata do Godoy","-51.1627998352051","-23.3103008270264",NA,NA,NA,NA,"Arvoreta com 3 metros de altura; frutos imaturos.","PACA102733",NA,"Magnoliophyta","Rubiales",NA,NA,"63728","auto","Magnoliatae",NA,NA,NA,NA,NA
"38","2019-08-27 13:32:27-03","IAP","PACA-AGP","63684","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","Emrich-Rambo","1958","09","16","Camargo, O. R.",NA,"1958","04","08","Brasil","SC","Blumenau",NA,"-49.0661010742188","-26.9193992614746",NA,NA,NA,NA,"fl.","PACA063684",NA,"Magnoliophyta","Rubiales",NA,NA,"34291","auto","Magnoliatae",NA,NA,NA,NA,NA
"39","2019-08-27 13:32:27-03","IAP","PACA-AGP","67523","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","L. B. Smith","1968",NA,NA,"R. M. Klein","7276","1967","03","14","Brasil","SC","Florianópolis","Morro do Ribeirão","-48.5491981506348","-27.596700668335",NA,NA,NA,NA,"flor branca; altit. 300 m; altura 3 m. Habitat: mata Fenofase: flor branca","PACA067523",NA,"Magnoliophyta","Rubiales",NA,NA,"27000","auto","Magnoliatae",NA,NA,NA,NA,NA
"40","2019-08-27 13:32:27-03","IAP","PACA-AGP","66090","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","C. R. Dillenburg, UFRGS","1977",NA,NA,"R. Klein","1204","1955","03","10","Brasil","SC","Itajaí","Cunhas","-48.6618995666504","-26.9078006744385",NA,NA,NA,NA,"HBR 9759 Habitat: mata","PACA066090",NA,"Magnoliophyta","Rubiales",NA,NA,"27253","auto","Magnoliatae",NA,NA,NA,NA,NA
"41","2019-08-27 13:32:27-03","IAP","PACA-AGP","65948","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","L. B. Smith","1954",NA,NA,"Reitz & Klein","410","1953","03","12","Brasil","SC","Palhoça","Campo do Massiambu","-48.6678009033203","-27.645299911499",NA,NA,NA,NA,"HBR 7397; arbusto; altit. 3 msm; alt. 2 m; flor azul. Habitat: mata Fenofase: Flor azul Hábito: arbusto Ecossistema: MATA","PACA065948",NA,"Magnoliophyta","Rubiales",NA,NA,"31105","auto","Magnoliatae",NA,NA,NA,NA,NA
"42","2019-08-27 13:32:27-03","IAP","PACA-AGP","31547","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","kleinii","Psychotria kleinii","L. B. Sm. & Downs.","Emrich-Rambo","1954","09","14","Rambo, B.",NA,"1946","02","03","Brasil","SC","Sombrio",NA,"-49.61669921875","-29.113899230957",NA,NA,NA,NA,"fl. Habitat: in silva primaeva","PACA031547",NA,"Magnoliophyta","Rubiales",NA,NA,"16515","auto","Magnoliatae",NA,NA,NA,NA,NA
"43","2020-12-21 16:37:26-03","IAP","PACA-AGP","109893","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","M. Sobral","2010","08","15","Korte & Kniess","2126","2010","03","15","Brasil","SC","Ascurra","Guaricanas.","-49.41","-27","49°24'36W","27°00'00S","281","281","FURB 29955 Habitat: interior do fragmento Fenofase: fruto imaturo Hábito: arbustiva Ecossistema: floresta ombrófila densa","PACA109893",NA,"Magnoliophyta","Rubiales",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA
"44","2019-11-21 14:44:37-03","UFJF","CESJ","59378","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","M. Sobral","2010","08","15","M. Verdi; N.L.Souza; G.Klems; D.H. Klettenberg","4384","2010","04","12","Brasil","Santa Catarina","São Bonifácio","Rio Sete, Lat.:28º04'50,00S; Lon.:48º57'39,00O; Alt.: 332m.","-48.960833","-28.080556","-48.960833","-28.080556","332","332","Floresta Ombrófila Densa; estádio suces. médio de regeneração. Arbusto, 3,5m alt., em interior de fragmento. Flor: sépalas amarelas.","CESJ059378",NA,"Angiosperma",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 14:44:37-03","UFJF","CESJ","59379","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","laciniata","Psychotria laciniata","Vell.","M. Sobral","2010","08","15","M. Verdi; N.L.Souza; G.Klems; D.H. Klettenberg","4201","2010","04","06","Brasil","Santa Catarina","Armazém","Areião, Lat.:28º15'34,00S; Lon.:49º02'57,00O; Alt.: 187m.","-49.049167","-28.259444","-49.049167","-28.259444","187","187","Floresta Ombrófila Densa; estádio suces. avançado. Arbusto, 3m alt., em interior de fragmento. Fruto roxo.","CESJ059379",NA,"Angiosperma",NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA
