"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","typeStatus","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","1005089","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","H. S. Irwin","20774","1968","02","24","Brazil","Minas Gerais",NA,"-43.55","-18.55",NA,NA,"NY01005089","NY01005089_01",NA,NA,NA,"Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075279' target='other'> <mi>dwc_moreinfo</mi></a>","1200","1200",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1005095","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","G. M. Magalhaes","2836","1943","02","01","Brazil","Minas Gerais","Santa Bárbara","-43.4153","-19.9594",NA,NA,"NY01005095","NY01005095_01",NA,NA,NA,"Fonseca-15 kls. alem de Catas Altas","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","1005092","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","H. S. Irwin","28855","1971","01","22","Brazil","Minas Gerais",NA,"-43.4927778","-20.1263",NA,NA,"NY01005092","NY01005092_01",NA,NA,NA,"Serra do Espinhaço, lower cut over slopes of Serra da Caraça, sandy slopes near riacho, ca. 10 km W. of Barão de Cocais.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075284' target='other'> <mi>dwc_moreinfo</mi></a>","1400","1400",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","1005088","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","H. S. Irwin","20711a","1968","02","23","Brazil","Minas Gerais",NA,"-43.55","-18.55",NA,NA,"NY01005088","NY01005088_01",NA,NA,NA,"Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075277' target='other'> <mi>dwc_moreinfo</mi></a>","1200","1200",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1005096","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","A. Macedo","2735","1950","12","23","Brazil","Minas Gerais","Ouro Preto","-43.5081","-20.2878",NA,NA,"NY01005096","NY01005096_01",NA,NA,NA,"Saramenha","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075387' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","1005091","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","H. S. Irwin","28187","1970","03","23","Brazil","Minas Gerais",NA,"-43.7833","-18.0833",NA,NA,"NY01005091","NY01005091_01",NA,NA,NA,"Serra do Espinhaço, ca. 4 km N. of São João da Chapada","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075283' target='other'> <mi>dwc_moreinfo</mi></a>","1200","1200",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","1005101","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","W. R. Anderson","35960","1972","02","13","Brazil","Minas Gerais",NA,"-43.3919444","-18.43185",NA,NA,"NY01005101","NY01005101_01",NA,NA,NA,"Serra do Espinhaço, eastern slopes of Pico do Itambé","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075439' target='other'> <mi>dwc_moreinfo</mi></a>","1310","1310",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","1005090","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","H. S. Irwin","20892","1968","02","25","Brazil","Minas Gerais",NA,"-43.58","-18.55",NA,NA,"NY01005090","NY01005090_01",NA,NA,NA,"Serra do Espinhaço, at Lapinha, ca. 21 km N. of Sêrro on road (MG 2) to Diamantina.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075280' target='other'> <mi>dwc_moreinfo</mi></a>","1200","1200",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","1017433","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","A. Gehrt","25255","1930","12","09","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY01017433","NY01017433_01",NA,NA,NA,"Pinheiros.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1207331' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","1005099","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","H. S. Irwin","29384","1971","01","30","Brazil","Minas Gerais","Ouro Preto","-43.5057","-20.3874",NA,NA,"NY01005099","NY01005099_01",NA,NA,NA,"Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 2 km S. of Ouro Preto","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075431' target='other'> <mi>dwc_moreinfo</mi></a>","1600","1600",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1005100","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","W. R. Anderson","35959","1972","02","13","Brazil","Minas Gerais",NA,"-43.3919444","-18.43185",NA,NA,"NY01005100","NY01005100_01",NA,NA,NA,"Serra do Espinhaço, eastern slopes of Pico do Itambé","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1075435' target='other'> <mi>dwc_moreinfo</mi></a>","1310","1310",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01807099","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","tetraphylla","Palicourea tetraphylla","Cham. & Schltdl.","C. M. Taylor","G. E. L. de Macedo","2099","2011","02","17","Brazil","Bahia","Jequié","-40.0835990905762","-13.8575000762939",NA,NA,"NY01807099","NY01807099_01",NA,NA,NA,"Comunidade Estreito, Fazenda Artur Pereira, subindo pelo lado direito da Barragem Criciúma sentido Jequié - Ipaú.a 8 km da BR 330.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2480907' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales","49443","auto",NA,NA,NA,NA,NA,NA,NA
"23","2016-09-29 21:50:00-03","NY","NYBG","885494","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","brasiliensis","Psychotria brasiliensis",NA,NA,"J. C. Lindeman","5688","1967","07","25","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00885494",NA,NA,NA,NA,"Forest on atlantic slope of Serra do Mar above Bella Vista, on old road from Curitiba to Morretes.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997749' target='other'> <mi>dwc_moreinfo</mi></a>","550","550",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","110713","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","brasiliensis","Psychotria brasiliensis","Vell.","S. F. Smith","W. W. Thomas","11210","1996","11","11","Brazil","Bahia","Una","-39.07","-15.17",NA,NA,"NY00110713","NY00110713_01",NA,NA,NA,"Forest NW of Rio Maruim, across river from Reserve.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=157443' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","885495","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","brasiliensis","Psychotria brasiliensis","Vell.",NA,"J. C. Lindeman","2587","1966","09","29","Brazil","Paraná",NA,"-48.887212","-25.350515",NA,NA,"NY00885495",NA,NA,NA,NA,"Serra do Mar, above Bela Vista, by old road from Curitiba to Morretes.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997769' target='other'> <mi>dwc_moreinfo</mi></a>","550","550",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-11-01 12:16:00-02","NY","NYBG","799398","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda",NA,"L. B. Smith","R. Reitz","3989","1957","05","25","Brazil","Santa Catarina","Sao Francisco do Sul","-48.6381","-26.2433",NA,NA,"NY00799398","NY00799398_01",NA,NA,NA,"Tres Barras, Garuva","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794694' target='other'> <mi>dwc_moreinfo</mi></a>","150","150",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","502107","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra",NA,"P. von Luetzelburg","13045","1917","07",NA,"Brazil","Espírito Santo",NA,NA,NA,NA,NA,"NY00502107","NY00502107_01",NA,NA,NA,"Serra dos Veados","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383148' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02642159","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra",NA,"E. G. A. Martins","192","2011","10","08","Brazil","São Paulo","Cubatão","-46.42978","-23.8272",NA,NA,"NY02642159","NY02642159_01",NA,NA,NA,"Parque Ecológico do Perequê. Na trilha principal, antes de atravessar o rio Perequê, na borda da trilha do lado direito.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962806' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-11-08 14:10:00-02","NY","NYBG","1579481","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda",NA,"C. M. Taylor","J. R. Pirani","3567","1995","02","20","Brazil","Rio de Janeiro","Mangaratiba","-44.0406","-22.9597",NA,NA,"NY01579481","NY01579481_01",NA,NA,NA,"BR-101 cerca de 1,5 km W da entrada para Muriqui.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1764599' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-11-01 12:11:00-02","NY","NYBG","813665","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda",NA,NA,"E. Richter","s.n.","1961","08","20","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00813665","NY00813665_01",NA,NA,NA,"Guanabara, Serra da Carioca, estr. do Redentor.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805375' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","02687684","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra",NA,"E. G. A. Martins","171","2010","04","13","Brazil","São Paulo","Cubatão","-46.41625","-23.84869",NA,NA,"NY02687684","NY02687684_01",NA,NA,NA,"Parque Ecológico do Perequê. 20 m na margem direita após inicio da trilha da cachoeira.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2966879' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","799393","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","L. B. Smith","J. P. P. Carauta","1272","1971","01","03","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00799393","NY00799393_01",NA,NA,NA,"Serra dos Orgaos, caminho para o Campo das Antas","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794679' target='other'> <mi>dwc_moreinfo</mi></a>","1150","1250",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-11-01 12:16:00-02","NY","NYBG","799396","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda",NA,"L. B. Smith","R. Reitz","3864","1951","03","25","Brazil","Santa Catarina","Blumenau","-49.0658","-26.9194",NA,NA,"NY00799396","NY00799396_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794687' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","502106","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","C. M. Taylor","G. Gardner","451",NA,NA,NA,"Brazil",NA,NA,"-43.073169","-22.496706",NA,NA,"NY00502106","NY00502106_01",NA,NA,NA,"Organ Mts.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383142' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-11-01 12:16:00-02","NY","NYBG","799400","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda",NA,"L. B. Smith","R. M. Klein","1230","1955","03","17","Brazil","Santa Catarina","Itajaí","-48.6617","-26.9081",NA,NA,"NY00799400","NY00799400_01",NA,NA,NA,"Morro da Fazenda","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794699' target='other'> <mi>dwc_moreinfo</mi></a>","50","50",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","779085","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","C. B. Costa","G. L. Esteves","2724","2000","08","10","Brazil","São Paulo","Caraguatatuba","-45.4097","-23.6203",NA,NA,"NY00779085","NY00779085_01",NA,NA,NA,"Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, trilha do Mococa.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=8344' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-11-01 12:11:00-02","NY","NYBG","813662","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda",NA,NA,"A. L. Peixoto","6209","1991","04","08","Brazil","Rio de Janeiro","Piraí","-43.8981","-22.6294",NA,NA,"NY00813662","NY00813662_01",NA,NA,NA,"Represa de Ribeirão das Lages.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805356' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","813664","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","J. H. Kirkbride Jr.","P. H. Davis","59770","1976","08","20","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00813664","NY00813664_01",NA,NA,NA,"Serra do Mar above Ubatuba","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805362' target='other'> <mi>dwc_moreinfo</mi></a>","20","40",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-11-01 12:16:00-02","NY","NYBG","799399","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda",NA,"L. B. Smith","R. Reitz","3868","1951","03","25","Brazil","Santa Catarina","Blumenau","-49.0658","-26.9194",NA,NA,"NY00799399","NY00799399_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794697' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-11-01 12:59:00-02","NY","NYBG","502104","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda",NA,"J. H. Kirkbride Jr.","A. Chautems","86","1983","04","08","Brazil","Paraná","Antonina","-48.7117","-25.4286",NA,NA,"NY00502104","NY00502104_01",NA,NA,NA,"Mergulhao","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=383144' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","813666","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","J. H. Kirkbride Jr.","G. Eiten","7827","1966","11","19","Brazil","Rio de Janeiro","Mangaratiba","-43.9916667","-22.93",NA,NA,"NY00813666","NY00813666_01",NA,NA,NA,"Praia de João Gago","From same population as G. Gottsberger 16191166. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=805377' target='other'> <mi>dwc_moreinfo</mi></a>","50","50",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","799401","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","nuda","Psychotria nuda","(Cham. & Schltdl.) Wawra","G. G. Hatschbach","L. R. Landrum","2889","1977","12","14","Brazil","Paraná","Guaraqueçaba","-48.5","-25.25",NA,NA,"NY00799401","NY00799401_01",NA,NA,NA,"ca. 30 - 40 km along road to Antonina","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=794701' target='other'> <mi>dwc_moreinfo</mi></a>","10","200",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA
