"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","infraspecificEpithet","scientificNameAuthorship","identifiedBy","county","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem"
"893","2012-04-13 12:55:00-03","MO","MOBOT","2923591","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Gert G. Hatschbach|Larry R. Noblick","Hatschbach 57062","1992","5","17","South America","Brazil","Paraná","Mun. Campo Mourão: Aeroporto, arredores.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","2009-12-04 21:27:00-02","MO","MOBOT","2923669","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Gert G. Hatschbach|Aurelio Schinini|J.M. Silva","Hatschbach 58675","1993","2","8","South America","Brazil","Mato Grosso do Sul","Mun. Fazenda Santa Paula: Rod. MG-295, 18 km. O de Tacuru.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"895","2010-04-13 13:52:00-03","MO","MOBOT","2923815","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Aurelio Schinini|Massimiliano Dematteis","Schinini Cacace 33435","1997","12","7","South America","Paraguay","Amambay","Mun. Chiriguelo: En cerraodo graminoso, con algunos árboles aislados, lomada arenosa.","-55.83333","-22.66666",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","G. Seijo",NA,"553.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"896","2009-05-15 13:24:00-03","MO","MOBOT","2924336","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Pedro Jörgensen","Jörgensen 3625","1929","1","6","South America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Fortunato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"897","2008-07-08 03:32:00-03","MO","MOBOT","3471422","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","M. Silvia Ferrucci","Ferrucci 2208","2004","12","28","South America","Argentina","Corrientes","Parque Nacional Mburucuyá.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Vanni","Mburucuyá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"898","2008-05-27 22:02:00-03","MO","MOBOT","90259","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Elsa M. Zardini|et al.","Zardini 4179","1988","1","7","South America","Paraguay","Amambay","Parque Nacional Cerro Corá. Cerrado en límite Oeste del Parque.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby (NY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88-6","2",NA
"899","2008-05-27 22:02:00-03","MO","MOBOT","91474","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","William J. Hahn","Hahn 1571","1983","8","8","South America","Paraguay","Chaco","Parque Nacional Defensores del Chaco, Cerro León. Transition zone between forest and bald zone. Dense shrubby vegetation to 3 m tall.","-60.33333","-20.35",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Barneby (NY)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83-40","5",NA
"900","2008-05-27 22:02:00-03","MO","MOBOT","2919776","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Nélida Soria","Soria Rey 003837","1989","5","17","South America","Paraguay","Caazapá","Mun. Tavai: 5 km. del destacamento.","-55.28333","-26.16666",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby","R. Fortunato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"901","2015-12-14 21:23:00-02","MO","MOBOT","2217925","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra subsericea","Belén Jiménez","Jiménez 1876",NA,NA,NA,"South America","Paraguay","Canindeyú","Reserva Natural del Bosque Mbaracayu. Nandurokai. Cerrado.","-55.33333","-23.98333",NA,NA,NA,NA,NA,NA,NA,NA,"subsericea","(Benth.) Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"902","2020-05-19 17:00:00-03","MO","MOBOT","101194498","PreservedSpecimen","Plantae","Fabaceae","Mimosa","xanthocentra","Mimosa xanthocentra tremula","J.B.E. Pohl","Pohl s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tremula","(Benth.) Barneby",NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,NA,"1",NA
