"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","class","locality","identifiedBy","relatedCatalogItem","infraspecificEpithet","verbatimLongitude","verbatimLatitude","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","monthIdentified","dayIdentified","individualCount","fieldNumber","typeStatus","sex"
"11","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1312307","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens pubescens",NA,"Pierotti SA",NA,"1942","11","21","Southern America","Argentina","Formosa",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1312307 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1312307","NL-U1312307",NA,"Magnoliopsidae","Formosa, Guayacan, 20 km al noreste de Pirané.","Windler DR","U 0253709","pubescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:10:30-03","NBC","NL-BOTANY","U.1312308","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Neptunia","pubescens","Neptunia pubescens pubescens",NA,"Pedersen TM",NA,"1950","11","21","Southern America","Argentina","Corrientes",NA,"-58.216667","-28.05",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1312308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1312308","NL-U1312308",NA,"Magnoliopsidae","Estancia 'Santa Teresa'. Dep. Mburucuyá. Prov. Corrientes.","Windler DR","U 0253706","pubescens","-58.216667","-28.05",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:10:12-03","ESALQ","ESA","83832","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Seijo, J.G. et al.","2726.0","2002","01","15",NA,"Argentina","Salta","Dep. Rivadavia",NA,NA,NA,NA,NA,"ESA083832","ESA083832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:10:12-03","ESALQ","ESA","107722","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens",NA,"Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","6972.0","2007","01","11",NA,"Argentina","Corrientes","Bella Vista",NA,NA,NA,NA,"Rastejante, flores amarelas, frutos imaturos verdes","ESA107722","ESA107722",NA,NA,"Ruta 12 em direção a Mercedes, 200m antes da ponte do Rio Santa Luzia. Palmar com Butia, solo arenoso inundável","Vanni, R.",NA,NA,NA,NA,"2008","70","70",NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:10:12-03","ESALQ","ESA","83829","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Seijo, J.G. et al.","2794.0","2002","01","21",NA,"Argentina","Salta","Dep. Capital",NA,NA,NA,NA,NA,"ESA083829","ESA083829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:10:12-03","ESALQ","ESA","107738","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens",NA,"Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","6907.0","2007","01","10",NA,"Argentina","Corrientes","Berón de Astrada",NA,NA,NA,NA,"Rastejante, flores creme-amareladas, frutos imaturos verdes","ESA107738","ESA107738",NA,NA,"Pt. Yahape, arredores do povoado, beira de estrada. Solo arenoso","Vanni, R.",NA,NA,NA,NA,"2008","55","55",NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:10:12-03","ESALQ","ESA","83830","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Seijo, J.G.","2827.0","2001","12","29",NA,"Argentina","Chaco","Colonia Benitez",NA,NA,NA,NA,NA,"ESA083830","ESA083830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:10:12-03","ESALQ","ESA","107732","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens",NA,"Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","7082.0","2007","01","12",NA,"Argentina","Corrientes","Monte Caseros",NA,NA,NA,NA,"Erva rastejante, flores alaranjadas, frutos imaturos verdes","ESA107732","ESA107732",NA,NA,"Caminho para Puerto El Ceibo. Espinal","Vanni, R.",NA,NA,NA,NA,"2008","30","30",NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:30:02-03","MN","R","68602","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Curtis, A.H.","s.n.",NA,NA,NA,NA,"Estados Unidos","Florida",NA,NA,NA,NA,NA,"North American Plants nr. 726 Herbarium Field Columbian Museum nr 111606",NA,NA,NA,NA,NA,"Windler, D.R.",NA,NA,NA,NA,"1999",NA,NA,"05","24",NA,NA,NA,NA
"20","2020-11-19 10:23:50-03","CPAP","CPAP","12857","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Pott, A.","6883","1994","03","06",NA,"Brasil","MS","Porto Murtinho","-57.866667","-21.7",NA,NA,"Erva prostado-ascendente. FLOR: amarela. FRUTO: . INTERESSE: Forrageira. FREQUÊNCIA: . AMBIENTE: Campo secundário em área de floresta de chaco úmido. SUBSTRATO: solo argiloso (gley pouco húmico eutrófico). RELEVO: plano.",NA,NA,NA,NA,"Aeroporto",NA,NA,NA,"57°52' W","21°42' S",NA,"90","90",NA,NA,NA,NA,NA,NA
"21","2020-11-19 10:23:50-03","CPAP","CPAP","14544","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Pott, A.","7508","1995","10","02",NA,"Brasil","MS","Caracol","-57.254722","-21.936389",NA,NA,"Erva prostrado-ascendente com xilopódio. FLOR: amarela. FRUTO: imaturo. INTERESSE: Forrageira. FREQUÊNCIA: Esparsa. AMBIENTE: Floresta semidecidual de galeria. SUBSTRATO: solo areno-argiloso. RELEVO: várzea.",NA,NA,NA,NA,"Rio Taquarucu, 26Km na estrada Porto Murtinho-Caracol (MS-467) desde a BR-267",NA,NA,NA,"57°15'17'' W","21°56'11'' S",NA,"85","85",NA,NA,NA,NA,NA,NA
"22","2020-11-19 10:23:50-03","CPAP","CPAP","23852","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Pott, A.","11424","2003","09","04",NA,"Brasil","MS","Porto Murtinho","-57.577778","-21.808333",NA,NA,"Erva prostrada com ramos basais lenhosas e xilopódio. Flor amarela. Forrageira.. Esparsa.. Pastagem em área de savana inundável e xilopódio. argiloso. vértico. Relevo: Plano.",NA,NA,NA,NA,"Retiro Primavera, fazenda Quebracho, 23 Km Sul da Rodovia BR-267 (acesso 10 Km N de Porto Murtinho","A. Pott",NA,NA,"57°34'40 W","21°48'30 S","2003","90","90","09",NA,NA,NA,NA,NA
"23","2020-11-19 10:23:50-03","CPAP","CPAP","4083","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Pott, A.","3504","1987","09","29",NA,"Brasil","MS","Corumbá","-57.05","-19.7",NA,NA,"Subarbusto decumbente. FLOR: amarela. FRUTO: não visto. INTERESSE: Forrageira. FREQUÊNCIA: Ocasional. AMBIENTE: Rudereto viaáio, xerofítico, não alagável. SUBSTRATO: solo argiloso calcimórfico com cascalho calcário quartzoso. RELEVO: inclinado.",NA,NA,NA,NA,"Defronte a sede do Retiro Mutum, estrada do Carandazal (MS-352), Fazenda Acurizal; Sub-região do Nabileque; Pantanal","A. Pott",NA,NA,"57°03' W","19°42' S",NA,"90","90",NA,NA,NA,NA,NA,NA
"24","2020-11-19 10:23:50-03","CPAP","CPAP","6060","PreserverdSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Pott, A.","4745","1989","05","01",NA,"Brasil","MS","Corumbá","-57.6533012390137","-19.0091991424561","295160",NA,"Subarbusto prostrado, folhas algo pratéadas. FLOR: amarela. FRUTO: castanho. INTERESSE: Apícola; forrageira. FREQUÊNCIA: Frequente. AMBIENTE: Carandazal (carandazal = savana de Copernicia australis) ralo, alagável 5-30 cm (pico da cheia). SUBSTRATO: solo",NA,NA,"auto",NA,"Estrada inacabada a Forte Coimbra, a 2.5 km da BR-262, lagoa do Jacadigo, Pantanal - Beira da lagoa do Jacadigo, com espécies do chaco oriental","A. Pott; V. J. Pott",NA,NA,NA,NA,NA,"90","90",NA,NA,NA,NA,NA,NA
"25","2019-08-27 13:29:53-03","IAP","PACA-AGP","25852","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Rambo, B.",NA,"1944","01",NA,NA,"Brasil","RS","São Gabriel","-54.3199996948242","-30.3363990783691","56206",NA,"PROVAVELMENTE EXTINTO Habitat: in paludosis dumetosis Fenofase: flor e fruto submaturo","PACA025852",NA,"auto","Magnoliatae","Fazenda Santa Cecília","Emrich-Rambo",NA,NA,NA,NA,"1954",NA,NA,"08","11",NA,NA,NA,NA
"26","2019-08-27 13:29:53-03","IAP","PACA-AGP","26890","PreservedSpecimen","Plantae","Magnoliophyta","Fagales","Mimosaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","Rambo, B.",NA,"1944","01",NA,NA,"Brasil","RS","São Gabriel","-54.3199996948242","-30.3363990783691","56206",NA,"PROVAVELMENTE EXTINTO Habitat: in paludosis Fenofase: flor e fruto submaturo","PACA026890",NA,"auto","Magnoliatae","Fazenda Santa Cecília","Emrich-Rambo",NA,NA,NA,NA,"1954",NA,NA,"08","12",NA,NA,NA,NA
"27","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0036676","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","G. Hatschbach; M. Hatschbach, E. Barbosa","77207","2004","3","15",NA,"Brazil","Mato Grosso do Sul",NA,"-57.866667","-21.7",NA,NA,"Ascendente, flor amarela.",NA,NA,NA,NA,"Parque Municipal Cachoeirao do Apa (Mun. Porto Murtinho).","O. S. Ribas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 14:36:55-03","UFJF","CESJ","44592A","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","G. Seijo; V.G. Solis Neffa; D. Hojsgaard; J. Chilian","2726","2002","01","15","América do Sul","Argentina","Rivadavia","Salta","-62.671389","-23.558889",NA,NA,"Zona inundable. Suelo arcilloso. Flores amarillas. Tallos radicantes.","CESJ44592A",NA,NA,NA,"Ruta 81, Km 1721.","G. Seijo",NA,NA,"-62.671389","-23.558889","2002","198","198",NA,NA,NA,NA,NA,NA
"29","2019-11-21 14:36:55-03","UFJF","CESJ","45969","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","G. Seijo; V.G. Solis Neffa; D. Hojsgaard; J.Chilian","2794","2002","01","21","América do Sul","Argentina","Salta","Capital",NA,NA,NA,NA,"Tierra negra gredosa. Hierba de tallos apoyantes. Flores amarillas.","CESJ045969",NA,NA,NA,"Camino de Salta a San Lorenzo, frente al entrada al B°  El Tipal. Lat: 24°45'9 S. Lon: 65°28'14 W. 1353 m.s.m.","G. Seijo",NA,NA,NA,NA,"2002",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-04-07 11:44:34-03","UFMS","CGMS","22354","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens pubescens",NA,"F. Matos-Alves; A.L.B. Sartori; A.C.M. Cristaldo; J.S. Garcia","9","2007","02","16",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.6880555","-21.6930555",NA,NA,"Mimosoideae. Fruto maduro acastanhado. Tolerante a alagamento de áreas periodicamente inundadas. Estames brancos e flores inferiores com estames petalóides amarelos. Habitat: Chaco (Savana Estépica Arbórea, senso IBGE) Habito: Erva p","CGMS1051765",NA,NA,NA,"Fazenda Agro-Comercial Aubi (ex-São Roque)..","F. Matos-Alves",NA,"pubescens","-57,6880555","-21,6930555","2008",NA,NA,"10","15",NA,NA,NA,NA
"31","2021-04-07 11:44:34-03","UFMS","CGMS","22361","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens pubescens",NA,"F. Matos-Alves; A.L.B. Sartori; G.M. Silva","351","2007","05","08",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.6880555","-21.6930555",NA,NA,"Mimosoideae. Flor verde. Fruto imaturo verde, maduro acastanhado. Tolerante a alagamento de áreas periodicamente inundadas. Estames brancos e flores inferiores com estames petalóides amarelos. Habitat: Chaco (Savana Estépica Arbórea,","CGMS1051772",NA,NA,NA,"Fazenda Agro-Comercial Aubi (ex-São Roque)..","F. Matos-Alves",NA,"pubescens","-57,6880555","-21,6930555","2008",NA,NA,"10","15",NA,NA,NA,NA
"32","2021-04-07 11:44:34-03","UFMS","CGMS","5950","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","A. Pott","6883","1994","03","06",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.8666667","-21.7",NA,NA,"Mimosoideae. Flor amarela. CPAP - 12857. Habitat: Campo Secundario Em Area De Floresta De Chaco Úmido. Solo argiloso gley pouco humico. Relevo plano. Habito: Erva prostado-ascendente.","CGMS1111101",NA,NA,NA,"Aeroporto.",NA,NA,NA,"-57,8666667","-21,7",NA,"90","90",NA,NA,NA,NA,NA,NA
"33","2021-04-07 11:44:34-03","UFMS","CGMS","5955","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","V.J. Pott; A. Pott, A. Arantes, D. Soleto & E. Lopes","2288","1994","05","11",NA,"Brasil","Mato Grosso do Sul","Corumbá","-56.65","-18.9833333",NA,NA,"Mimosoideae. Flor amarela. Planta Sensitiva, Cobrindo Vasta Extensão Da Lagoa. Fruto na Carpoteca. CPAP - 12154. Habitat: Borda úmida De Lagoa Quase Seca. Solo arenoso com matéria orgânica. Relevo plano. Habito: Erva aquática flutuan","CGMS1111116",NA,NA,NA,"Fazenda Nhumirim, Nhecolândia, Pantanal - (Baia 36, Invernada 19).","V. J. Pott & U. Resende",NA,NA,"-56,65","-18,9833333","1996","90","90","04","12",NA,NA,NA,NA
"34","2021-04-07 11:44:34-03","UFMS","CGMS","22359","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens pubescens",NA,"F. Matos-Alves; A.L.B. Sartori","475","2007","12","04",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.6880555","-21.6930555",NA,NA,"Mimosoideae. Flor verde. Estames brancos e flores inferiores com estames petalóides amarelos. Habitat: Chaco (Savana Estépica Arbórea, senso IBGE) Habito: Erva. 0,50m de altura.","CGMS1051770",NA,NA,NA,"Fazenda Agro-Comercial Aubi (ex-São Roque)..","F. Matos-Alves",NA,"pubescens","-57,6880555","-21,6930555","2008",NA,NA,"10","15",NA,NA,NA,NA
"35","2021-04-07 11:44:34-03","UFMS","CGMS","15870","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","L.E.A.M. Lescano; G.P. Nunes; D.K. Noguchi","135","2005","01","16",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.7822223","-21.7055556",NA,NA,"Mimosoideae. Flor vermelha. Fruto ausente. Folíolos pequenos. Habitat: Mata aberta. não muito frequente no local. Habito: Arbusto.","CGMS1045375",NA,NA,NA,"Estrada 12.","G.P. Nunes",NA,NA,"-57,7822223","-21,7055556",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-04-07 11:44:34-03","UFMS","CGMS","48636","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","T. S. Yule; C. O. Dourado, M. T. Oliveira, T. E. Lima",NA,"2010","11","17",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.7641667","-21.7055556",NA,NA,"Mimosoideae. Flor branca. Habitat: Remanescente de Chaco. Solo argiloso. Relevo plano. Habito: Erva.","CGMS1078582",NA,NA,NA,"Fazenda flores.","A. Sartori",NA,NA,"-57,7641667","-21,7055556","2015","107","107","03","10",NA,NA,NA,NA
"37","2021-04-07 11:44:34-03","UFMS","CGMS","18932","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","F. Matos-Alves; G.M. Silva; A.L.B. Sartori","351","2007","05","08",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.6880555","-21.7011111",NA,NA,"Mimosoideae. Flor inflorescência amarela. Imaturo Verde; Maduro Acastanhado Tolerante em ambiente alagado Habitat: Chaco. Solo argiloso - Branco. Relevo plano. Habito: Subarbusto de 0,5 m.","CGMS1048231",NA,NA,NA,"Fazenda Agro Comercial Aubi.",NA,NA,NA,"-57,6880555","-21,7011111",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-04-07 11:44:34-03","UFMS","CGMS","53367","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","V.S.Santos; T.H.Stefanello, A.C.Brito","12","2010","11","17",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.7997222","-21.6908333",NA,NA,"Mimosoideae. Flor amarela. Habitat: Savana Estépica Arborizada. Chaco. Habito: Subarbusto. 0,20m de altura.","CGMS1083330",NA,NA,NA,"Fazenda Retiro Conceição.","A.L.B. Sartori",NA,NA,"-57,7997222","-21,6908333","2015","103","103",NA,NA,NA,NA,NA,NA
"39","2021-04-07 11:44:34-03","UFMS","CGMS","56401","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","A. Pott; V.J. Pott; G. Hatschbach; J. Silva; A.C.M. Cristaldo","10624","2002","11","10",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.1169445","-20.9966666",NA,NA,"Mimosoideae. Flor amarela. Habitat: Savana mal drenada de Tabebuia aurea e Machaerium hirtum. Solo siltoso. Relevo plano entre morros. Abundante. Habito: Erva prostrada.","CGMS1086357",NA,NA,NA,"KmW de Bonito na rodovia MS-382.","A. Pott; V.J. Pott",NA,NA,"-57,1169445","-20,9966666",NA,"130","130",NA,NA,NA,NA,NA,NA
"40","2021-04-07 11:44:34-03","UFMS","CGMS","29677","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","A.K.D. Salomão; F.M. Alves","376","2008","11","20",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.8975","-21.7175",NA,NA,"Mimosoideae. Inflorescência amarela. Habitat: Chaco. ChacoFlorestado. Habito: Erva.","CGMS1059062",NA,NA,NA,"Fazenda flores.","F.M. Alves",NA,NA,"-57,8975","-21,7175",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-04-07 11:44:34-03","UFMS","CGMS","30764","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Neptunia","pubescens","Neptunia pubescens","Benth.","M.V. Martins; C.A. Polido; V.A. Assunção","202","2010","11","17",NA,"Brasil","Mato Grosso do Sul","Porto Murtinho","-57.7833333","-21.6908333",NA,NA,"Mimosoideae. Flor amarela. Habitat: Chaco florestado. Habito: Subarbusto decumbente. 0,60m de altura.","CGMS1060176",NA,NA,NA,"Estrada, Fazenda Retiro Conceição.","A.L.B. Sartori",NA,NA,"-57,7833333","-21,6908333","2014","103","103","11","09",NA,NA,NA,NA
