"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","fieldNumber","individualCount"
"17","2021-03-30 12:43:08-03","EAO","IAN","99569","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Fróes, RL","33337","1957","08","22","Southern America","Brasil","Minas Gerais",NA,"Roodvia Belo Horizonte, serra do Cipó. Várzea do rio das Velhas (restaurante da represa) tipo de vegetação cerrada.",NA,NA,NA,NA,NA,"Cipó, flor e fruto.","IAN099569",NA,NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:43:08-03","EAO","IAN","99586","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Fróes, RL","33354","1957","08","24","Southern America","Brasil","Minas Gerais",NA,"Região do rio Paraopebas, encontrado em pequena mancha de mata secundária nas quebradas de um barranco.",NA,NA,NA,NA,NA,"Cipó.","IAN099586",NA,NA,NA,NA,"1967",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:43:08-03","EAO","IAN","130616","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Irwin, HS; Maxwell, HS","19481","1968","02","03","Southern America","Brasil","Distrito Federal","Brasilia","In trees at margin of creek. Wooded creek valley, Parque Municipal do Gama, ca. 25km W of Brasília.","-47.9296989440918","-15.7797002792358","1100","1100",NA,"Liana ca. 6m high. Flowers cream.","IAN130616",NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:43:08-03","EAO","IAN","138142","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff, BA","Irwin, HS; Maxwell, HS","19481","1968","02","03","Southern America","Brasil","Distrito Federal","Brasilia","In trees at margin of creek. Wooded creek valley, Parque Municipal do Gama, ca. 25km W of Brasília.","-47.9296989440918","-15.7797002792358","1100","1100",NA,"Liana ca. 6m high. Flowers cream.","IAN138142",NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA
"21","2020-02-08 09:21:48-03","NBC","NL-BOTANY","L.1067321","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Maguire B; et al.",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1067321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1067321","NL-L1067321",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw16608",NA,NA,NA,NA
"22","2020-02-08 09:21:48-03","NBC","NL-BOTANY","L.1067322","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Maguire B; et al.",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1067322 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1067322","NL-L1067322",NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0053351 | Uw 16608",NA,NA,NA,NA
"23","2020-02-08 09:21:48-03","NBC","NL-BOTANY","U 0053352","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Maguire B; et al.",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200053352 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0053352",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw 16608",NA,NA,NA,NA
"24","2020-02-08 09:21:48-03","NBC","NL-BOTANY","U 0287852","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Maguire B; et al.",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200287852 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0287852",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","Uw16608",NA,NA,NA,NA
"25","2020-11-04 11:12:13-03","ESALQ","ESA","19438","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Prog.","Zappi, D.","Barreto, K.D. et al.","2861.0","1994","08","10",NA,"Brasil","São Paulo","São Pedro",NA,"-47.9099998474121","-22.5400009155273",NA,NA,NA,NA,"ESA019438","ESA019438",NA,NA,NA,NA,"19379","auto",NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:12:13-03","ESALQ","ESA","103186","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor",NA,"Lima, R.A.F.","Medeiros, D.A.","26429.0","2004","02","12",NA,"Brasil","São Paulo","Assis",NA,"-50.4099998474121","-22.6599998474121",NA,NA,NA,NA,"ESA103186","ESA103186",NA,NA,NA,"2014","23972","auto",NA,NA,"04","28",NA,NA
"27","2020-11-04 11:12:13-03","ESALQ","ESA","93047","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Prog.","Zappi, D.","Nogueira-Neto, P.",NA,"1964","07","01",NA,"Brasil","São Paulo","Bauru",NA,"-49.060001373291","-22.3099994659424",NA,NA,NA,NA,"ESA093047","ESA093047",NA,NA,NA,NA,"29186","auto",NA,NA,NA,NA,NA,NA
"28","2019-11-21 14:38:24-03","UFJF","CESJ","64795","PreservedSpecimen","Plantae","Angiosperma",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","D. Zappi","V.C. Souza; J. Paula-Souza; G.O. Romão; A.O. Araújo","25287","2001","07","06","América do Sul","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó, Entre a sede do IBAMA e o Canyon das Bandeirinhas.","-43.583333","-19.383333","985","985",NA,"Cerrado areno-pedregoso. Arbusto, ca. 1,5m alt,; flores creme.","CESJ064795",NA,NA,"-43.583333","-19.383333","2016",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-01 16:32:58-03","UNICAMP","UEC","203770","S","Plantae","Magnoliopsida",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Muniz, L; Ferreira, JP; Medeiros, A; Saragiotto, VP","5","2019","05","19",NA,"Brazil","Minas Gerais","Jaboticatubas","Trilha do Capão do Palmeira, lado esquerdo da trilha.","-43.618","-19.351806",NA,NA,NA,"Sem flor, fruto verde; Altitude do local de 798m, solo arenoso, indivíduo encontrado subindo sobre uma grande árvore na beira da trilha, área sombreada, com serra pilheira sob a árvore.","UEC163259","UEC163259",NA,"-43.618","-19.351806","2019",NA,NA,NA,NA,"05","28",NA,NA
"30","2021-03-01 16:32:58-03","UNICAMP","UEC","44849","S","Plantae","Magnoliopsida",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Bicudo, LRH; Campos, CJ; Amaral Jr, A","867","1986","04","01",NA,"Brazil","São Paulo","Botucatu","Margem da Rodovia municipal (estrada do Roberto), que liga victoriana ao Rio Bonito Campo e Nautica, a mais ou menos 5Km de Vitoriana, Fazaenda Gold Farm","-48.297222","-22.8",NA,NA,NA,"Trepadeira (cipó), maioria das flores sem corola, restando o ovário e estigmas verdes.","UEC079891","UEC079891",NA,"-48.297222","-22.8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-01 16:32:58-03","UNICAMP","UEC","139582","S","Plantae","Magnoliopsida",NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Zappi, DC","Cordeiro, I; Rossi, L; Ribeiro, EA","852","1991","03","12",NA,"Brazil","São Paulo","Luís Antônio","Area de cerrado protegido nas proximidades da entrada da cidade, via Anhanguera.","-47.7000007629395","-21.5499992370605",NA,NA,NA,"Arbusto escandente, flores alvas, odoriferas.","UEC079892","UEC079892",NA,NA,NA,NA,"26872","auto",NA,NA,NA,NA,NA,NA
"32","2021-04-05 11:06:06-03","UNESP-IBB","BOTUW","2145","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel.","Clemente","Fiamengui, M.B.",NA,"2007","10","17",NA,"Brasil","São Paulo","Botucatu","Brasil, Centro-Oeste de São Paulo, Rio Bonito.","-48.316667","-22.683333",NA,NA,NA,"Trepadeira lenhosa, folhas pilosas na superfície abaxial, presença de gavinhas lenhosas em formato de foice.","BOTUW002145",NA,NA,"48°19'W","22°41'S","2007",NA,NA,NA,NA,NA,NA,NA,NA
"33","2015-09-25 11:59:54-03","MNHN","RECOLNAT_MNHN_P","P00641250","PreservedSpecimen",NA,NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff","Glaziou, A.",NA,"1879","9","25",NA,"Brésil",NA,NA,"Aynruoca (Minas), dans le camps",NA,NA,"1800",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00641250' target='other'> <mi>dwc_moreinfo</mi></a>","P00641250","P00641250_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15239",NA
"34","2015-09-25 12:00:11-03","MNHN","RECOLNAT_MNHN_P","P00641251","PreservedSpecimen",NA,NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Krukoff","Glaziou, A.",NA,"1879","9","25",NA,"Brésil",NA,NA,"Aynruoca (Minas), dans le camps",NA,NA,"1800",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00641251' target='other'> <mi>dwc_moreinfo</mi></a>","P00641251","P00641251_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15239",NA
"35","2015-09-04 15:57:23-03","MNHN","RECOLNAT_MNHN_P","P04546194","PreservedSpecimen",NA,NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Barros, F.",NA,"1981","2","13",NA,"Brasil","São Paulo",NA,"Reserva Florestal de Moji-Mirim",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04546194' target='other'> <mi>dwc_moreinfo</mi></a>","P04546194","P04546194_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"636",NA
"36","2015-09-04 15:57:23-03","MNHN","RECOLNAT_MNHN_P","P04546193","PreservedSpecimen",NA,NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Irwin, H.S.|Wasshausen, D.C.|Maxwell, H.",NA,"1968","2","3",NA,"Brasil","Distrito Federal","Brasília","Gama, ca. 25km W. of Brasília","-47.9296989440918","-15.7797002792358","1100",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04546193' target='other'> <mi>dwc_moreinfo</mi></a>","P04546193","P04546193_01",NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,"19481",NA
"37","2010-02-22 12:47:00-03","MO","MOBOT","100254226","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","B.A. Krukoff","Howard S. Irwin","Irwin 31894","1971","3","16","South America","Brazil","Goiás",NA,"Gallery. Gallery forest and adjacent cerrado, ca. 3 km S of São João da Aliança, near riacho.",NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"38","2010-02-22 12:48:00-03","MO","MOBOT","100254228","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","B.A. Krukoff","Bassett Maguire","Maguire 57122","1963","10","18","South America","Brazil","Distrito Federal",NA,"Occasional in gallery forest, Parque do Gama.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"39","2011-03-22 12:00:00-03","MO","MOBOT","3402865","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Ludwig Riedel","Riedel 1972","1821",NA,NA,"South America","Brazil",NA,NA,"Iter Brasiliensis St. Ruzia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-09-12 05:00:02-03","US","US","2752759","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"H. S. Irwin, R. M. Harley & Geo. L. Smith","31894","1971","3","16","South America - Neotropics","Brazil","Goiás",NA,"Planalto do Brasil. Serra Geral do Paraná. Ca. 3 km S. of São João da Aliança, near riacho.",NA,NA,"850",NA,NA,NA,"US03160918","US03160918_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"41","2020-09-12 05:00:02-03","US","US","3428920","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"J. A. Carneiro","1049","2001","2","1","South America","Brazil","Paraná",NA,"Ribeirão do Pinhal, arredores.",NA,NA,NA,NA,NA,NA,"US03160917","US03160917_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"42","2020-09-12 05:00:02-03","US","US","2757884","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"H. S. Irwin, H. Maxwell & D. C. Wasshausen","19481","1968","2","3","South America - Neotropics","Brazil","Distrito Federal",NA,"Planalto do Brasil. Wooded creek valley, Parque Municipal do Gama, ca 25 km. W. of Brasília.",NA,NA,"1100",NA,NA,NA,"US03160919","US03160919_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"43","2020-09-12 05:00:02-03","US","US","2596609","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"M. Kuhlman","3512","1955","2","3","South America - Neotropics","Brazil","São Paulo",NA,"Mogí-Guaçú, Fazenda Campininha.",NA,NA,NA,NA,NA,NA,"US03160921","US03160921_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"44","2020-09-12 05:00:02-03","US","US","2861995","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"H. S. Irwin, J. W. Grear, R. Souza & R. Reis dos Santos","16445","1966","6","2","South America - Neotropics","Brazil","Mato Grosso",NA,"Planalto do Brasil. Serra do Roncador. Ca. 84 km. N. of Xavantina.",NA,NA,"550",NA,NA,NA,"US03160920","US03160920_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"45","2020-09-12 05:00:02-03","US","US","1340351","PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel",NA,"Riedel, --","1972",NA,NA,NA,"South America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,NA,NA,NA,"US03160922","US03160922_01",NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,"1"
"46","2020-09-02 16:30:36-03","Cenargen","CEN","24265","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","E. R. Simoni","Glocimar Pereira-Silva","1293","1993","03","25",NA,"Brasil","GO","IPAMERI","Margem esquerda do R. Corumbá, próximo a foz do Córrego Libolea (em frente S.O.3).","-48.1596984863281","-17.7219009399414","600","600","Exsicatas","Trepadeira decumbente sobre Hirtella.","CEN00024265","CEN00024265",NA,NA,NA,"2010","102542","auto",NA,NA,"11",NA,NA,"4"
"47","2020-09-02 16:30:36-03","Cenargen","CEN","20957","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","B. M. T. Walter","Hamilton Garboggini Pinho dos Santos","168","1993","07","27",NA,"Brasil","GO","PIRES DO RIO","Margem esquerda do Rio Peixe.","-48.2793998718262","-17.2996997833252",NA,NA,"Exsicatas","Frutos imaturos verde-amarelados e maduros amarelados.","CEN00020957","CEN00020957",NA,NA,NA,"2011","39113","auto",NA,NA,"01",NA,NA,"3"
"48","2020-09-02 16:30:36-03","Cenargen","CEN","20792","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","E. R. Simoni","Hamilton Garboggini Pinho dos Santos","3","1993","05","25",NA,"Brasil","GO","CORUMBAIBA","Margem esquerda do rio Corumbá, 1,5 km a montante do eixo da barragem, próximo a foz do Córrego Gameleira.","-48.5614013671875","-18.1424999237061",NA,NA,"Exsicatas",NA,"CEN00020792","CEN00020792",NA,NA,NA,"2010","40186","auto",NA,NA,"11",NA,NA,"4"
"49","2019-11-13 11:23:44-03","USP","SPF","172655","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Sasaki, D","Sasaki, D","995","2004","03","22",NA,"Brasil","Maranhão","Estreito",NA,"-47.277222","-20.157778","720","720",NA,NA,"SPF00172655",NA,NA,"-47.277222","-20.157778","2004",NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-11-13 11:23:44-03","USP","SPF","172653","PreservedSpecimen","Plantae",NA,NA,"Loganiaceae","Strychnos","bicolor","Strychnos bicolor","Progel","Sasaki, D","Sasaki, D","752","2003","09","28",NA,"Brasil","Maranhão","Estreito",NA,"-47.277222","-20.157778","720","720",NA,NA,"SPF00172653",NA,NA,"-47.277222","-20.157778","2004",NA,NA,NA,NA,NA,NA,NA,NA
