"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","continentOcean","preparationType","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount"
"11","2021-03-15 16:37:00-03","NY","NYBG","01021413","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","T. G. Yuncker",NA,NA,NA,"A. J. de Sampaio","7300","1934","03","17","Brazil","Minas Gerais","Belo Horizonte","Jardim Botanico.","-43.9378","-19.9208",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1099336' target='other'> <mi>dwc_moreinfo</mi></a>","NY01021413","Magnoliophyta","Piperales","South America","sheet","NY01021413_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 11:31:57-03","UFRJ","RFA","5731","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"Mendes Magalhães",NA,"1959","02",NA,"Brasil","Minas Gerais","Belo Horizonte","Serra do curral","-43.937801361084","-19.9207992553711",NA,NA,"Arbusto 1 - 2 m de altura","RFA47434",NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:46:56-03","EAO","IAN","104616","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Yuncker, TG",NA,NA,NA,"Magalhães, MG","3123","1942","07","25","Brasil","Minas Gerais","Belo Horizonte","Mata, serra do Curral, muito frequente.","-43.937801361084","-19.9207992553711",NA,NA,"Arbusto de 0,60m de altura.","IAN104616","Dicotiledônea",NA,"Southern America",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-30 12:46:56-03","EAO","IAN","14840","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Yuncker, TG",NA,NA,NA,"Magalhães, MG","3123","1942","07","25","Brasil","Minas Gerais","Belo Horizonte","Mata, serra do Curral, muito frequente.","-43.937801361084","-19.9207992553711",NA,NA,"Arbusto de 0,60m de altura.","IAN014840","Dicotiledônea",NA,"Southern America",NA,"IAN014840 IAN014840_e","17082","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:11:59-03","NBC","NL-BOTANY","L.1542549","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"Hatschbach GG; Duarte AP",NA,"1960","08","04","Brazil",NA,NA,"Est. Parana. Mun. Tibagi. Fda, Mte. Alegre, Antas.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1542549 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1542549",NA,"Piperales","Southern America",NA,"NL-L1542549",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"16","2020-02-08 10:11:59-03","NBC","NL-BOTANY","U.1483532","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"Prance GT; et al.",NA,"1968","07","10","Brazil","Amazonas",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1483532 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1483532",NA,"Piperales","Southern America",NA,"NL-U1483532",NA,NA,"Magnoliopsidae","U 0016389",NA,NA,NA,NA,NA
"17","2020-11-04 12:18:19-03","ESALQ","ESA","82356","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trelease","Mello Barreto",NA,NA,NA,"Mendes Magalhães","3123.0","1942","07","25","Brasil","Minas Gerais","Belo Horizonte","Serra do Curral","-43.937801361084","-19.9207992553711",NA,NA,NA,"ESA082356","Magnoliophyta",NA,NA,NA,"ESA082356","17082","auto",NA,NA,NA,NA,NA,NA,NA
"18","2020-11-04 12:18:19-03","ESALQ","ESA","113069","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium",NA,"Guimarães, E.F.","2009","08","02","Cotarelli, V.M.","223.0","2008","07","01","Brasil","Paraná","Lupionópolis",NA,"-51.6571998596191","-22.7553005218506",NA,NA,NA,"ESA113069","Magnoliophyta",NA,NA,NA,"ESA113069","11262","auto",NA,NA,NA,NA,NA,NA,NA
"19","2019-08-27 13:31:49-03","IAP","PACA-AGP","109786","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","E.F. Guimarães","2009","08","11","T.I.N. de Azevedo","157","2005","07","19","Brasil","PR","Telêmaco Borba",NA,"-50.534222","-24.336861","50°32'3,2W","24°20'12,7S","40 cm, inflorescência branca-esverdeada&nf;FUEL 38085 Habitat: beira do riacho Varanal, nascente","PACA109786","Magnoliophyta","Piperales",NA,NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:41:58-03","UFJF","CESJ","53355","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,"2009","06","05","D. Monteiro; N.L. Abreu; K.B.L. Baldini; A.C. Mezzonato; J.A. Oliveira","516","2009","02","04","Brasil","Minas Gerais","Rio Preto","Serra Negra, Trilha para a cachoeira do Marciano.","-43.8278007507324","-22.0891990661621",NA,NA,"Arbusto na mata borda de trilha ca. 2m alt. Espigas eretas amarronzadas.","CESJ053355","Angiosperma",NA,"América do Sul",NA,NA,"20815","auto",NA,NA,NA,NA,NA,NA,NA
"21","2019-11-21 14:41:58-03","UFJF","CESJ","61752","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","E.F.Guimarães","2009","08","11","V.M.Cotarelli; E.M.Francisco","238","2008","07","11","Brasil","Paraná","Londrina","Fazenda Santa Helena, Após mata dos Godoy. Lat:23º28'09S; Lon:51º15'25W; Alt.:606m.s.m.","-51.1627998352051","-23.3103008270264",NA,NA,"Herbácea, 40cm alt., inflorescência clara. Borda de mata.","CESJ061752","Angiosperma",NA,"América do Sul",NA,NA,"63728","auto",NA,NA,NA,NA,NA,NA,NA
"22","2019-11-21 14:41:58-03","UFJF","CESJ","62245","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","E.F.Guimarães","2009","08","11","E.M.Francisco; et al.","CESJs.n.","1999","06","15","Brasil","Paraná","Santa Cecília do Pavão","Sítio São João","-50.7835998535156","-23.5172004699707",NA,NA,"Arbusto, 2m alt; frutos verdes; borda de mata.","CESJ062245","Angiosperma",NA,"América do Sul",NA,NA,"10947","auto",NA,NA,NA,NA,NA,NA,NA
"23","2020-10-14 10:04:50-03","FURB","FURB","40515","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Funez, L.A.","2013","03","19","Funez, L.A.; Zermiani, A.E.","1801","2013","02","25","Brasil","Santa Catarina","Blumenau","Parque Ecológico Spitzkopf.","-49.1147222","-27.0219445","-49.1147222","-27.0219445",NA,"FURB04168",NA,NA,NA,NA,"FURB04168",NA,NA,NA,NA,"423","423",NA,NA,NA
"24","2019-11-29 19:18:19-03","UTFPR","HCF","29909","S","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","F.F.F. Mazziero","2018","12","01","F.F.F. Mazziero","3969","2018","11","17","Brasil","MG","Mariana",NA,"-43.346667","-20.243056","43°20'48 W","20°14'35 S","subarbusto/ arbusto, 0,8 m, crescendo no interior da floresta. Vegetação secundária média/ avançada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"657","657",NA,NA,NA
"25","2020-12-21 16:39:48-03","MBM","MBM","47197","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Callejas, R.",NA,NA,NA,"Hatschbach, G.","38819",NA,NA,NA,"Brazil","Goiás","Ipameri","Ipameri, 20km S","-48.1596984863281","-17.7219009399414",NA,NA,NA,"MBM047197",NA,NA,"Southern America",NA,"MBM047197","102542","auto",NA,NA,NA,NA,NA,NA,NA
"26","2020-12-21 16:39:48-03","MBM","MBM","420782","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Mazziero, F.F.F.","2018","12","01","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","3976","2018","11","18","Brazil","Minas Gerais","Mariana",NA,"-43.306389","-20.263333","-43.306389","-20.263333","Subarbusto/arbusto, 1 m, crescendo no interior da floresta.; Vegetação secundária média/avançada","MBM420782",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,"598","598",NA,NA,NA
"27","2020-12-21 16:39:48-03","MBM","MBM","420843","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Mazziero, F.F.F.","2018","12","01","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","3955","2018","11","16","Brazil","Minas Gerais","Mariana","Camargos","-43.407222","-20.266389","-43.407222","-20.266389","Vegetação secundária média/avançada","MBM420843",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,"730","730",NA,NA,NA
"28","2020-12-21 16:39:48-03","MBM","MBM","421133","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Mazziero, F.F.F.","2018","12","01","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","3969","2018","11","17","Brazil","Minas Gerais","Mariana",NA,"-43.346667","-20.243056","-43.346667","-20.243056","Subarbusto/arbusto, 0,8 m, crescendo no interior da floresta.; Vegetação secundária média/avançada","MBM421133",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,"657","657",NA,NA,NA
"29","2020-12-21 16:39:48-03","MBM","MBM","405035","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Guimarães, E.F.","2014",NA,NA,"Marquete, R.; Medeiros, E.S.; Guimarães, E.F.; Medeiros, E.S.; Guimarães, E.F.","4365","2013","11","09","Brazil","Minas Gerais","Brumadinho","Pousada Dona Carmita, área próxima aos chalés","-44.1996994018555","-20.1432991027832",NA,NA,"Arbusto semi-heliófito ca. 1,5 m de altura. Tronco com casca verde, lisa, ramos com nós vinosos. Folhas membrano-papirácea, discolores, opacas nas duas faces, pecíolo e nervuras vinosas. Inflorescência imatura verde, madura creme.; F","MBM405035",NA,NA,"Southern America",NA,"MBM405035","26639","auto",NA,NA,"783","783",NA,NA,NA
"30","2020-12-21 16:39:48-03","MBM","MBM","210066","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Guimarães, E.F.","2009",NA,NA,"Chagas; Silva, F.","722","1985","05","30","Brazil","Paraná","Londrina","Floresta do Godoy","-51.1627998352051","-23.3103008270264",NA,NA,"Arbusto de floresta com 1,0m de alt.; inflorescência esverdeada, escasso na área","MBM210066",NA,NA,"Southern America",NA,"MBM210066","63728","auto",NA,NA,NA,NA,NA,NA,NA
"31","2020-12-21 16:39:48-03","MBM","MBM","44924","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Yuncker, T.G.",NA,NA,NA,"Hatschbach, G.; Duarte, A.P.; Duarte, A.P.","7148",NA,NA,NA,"Brazil","Paraná","Tibagi","Fazenda Monte Alegre, Antas","-50.4136009216309","-24.5093994140625",NA,NA,NA,"MBM044924",NA,NA,"Southern America",NA,"MBM044924","56988","auto",NA,NA,NA,NA,NA,NA,NA
"32","2016-03-09 17:11:55-03","MNHN","RECOLNAT_MNHN_P","P00806899","PreservedSpecimen",NA,"Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"Marquete, R.|Medeiros, E.S.|Guimarães, E.F.",NA,"2013","11","9","Brasil","Minas Gerais","Brumadinho","Pousada Dona Carmita, área próxima aos chalés","-44.1996994018555","-20.1432991027832",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00806899' target='other'> <mi>dwc_moreinfo</mi></a>","P00806899",NA,NA,NA,"hb","P00806899_01","26639","auto",NA,NA,NA,"783","4365",NA,NA
"33","2020-12-11 11:40:15-03","UFMG","BHCB","163935","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,"2019","10",NA,"Mendes, MS","s.n.","2011","12",NA,"Brasil","Minas Gerais","São Brás do Suaçuí","Área da CSN - Zona rural. Coordenadas aproximadas.","-44.643442","-21.021028","-44.643442","-21.021028","Arbustivo.; Floresta secundária.","BHCB052576","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,"960","960",NA,NA,NA
"34","2020-12-11 11:40:15-03","UFMG","BHCB","146150","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,"2019","10",NA,"Rezende, SG; Justo, AG; Vitório, MS","3984","2010","11","05","Brasil","Minas Gerais","Vespasiano","Fazenda Campestre","-43.9425","-19.752222","-43.9425","-19.752222","Arbustivo.; Florestas Estacionais Semideciduais Secundárias em Estágio Médio de Regeneração.","BHCB052574","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,"750","750",NA,NA,NA
"35","2020-12-11 11:40:15-03","UFMG","BHCB","146863","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,"2019","10",NA,"Costa, HES; Mota, RC da","H111","2009","12","05","Brasil","Minas Gerais","Brumadinho","Inhotim, Próxima à caixa d'água da Copasa.","-44.236944","-20.139167","-44.236944","-20.139167","Arbusto com inflorescências creme.; Interior de mata semidecídua.","BHCB052575","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,"870","870",NA,NA,NA
"36","2020-12-11 11:40:15-03","UFMG","BHCB","1309","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,NA,"s.n.","1958",NA,NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,"Variedade:grelease;arbusto",NA,"Dicotyledon",NA,"Southern America",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"37","2020-12-11 11:40:15-03","UFMG","BHCB","13291","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,NA,"s.n.","1958","03",NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,NA,NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"38","2020-12-11 11:40:15-03","UFMG","BHCB","23661","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,"Brasil","Minas Gerais","Bom Sucesso",NA,"-44.7580986022949","-21.0331001281738",NA,NA,NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,"22016","auto",NA,NA,NA,NA,NA,NA,NA
"39","2020-12-11 11:40:15-03","UFMG","BHCB","95384","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"Echternacht, LA; Dornas, T","6","2003","10","01","Brasil","Minas Gerais","Carmópolis de Minas","Estação Ecológica Estadual da Mata do Cedro.","-44.6349983215332","-20.5414009094238",NA,NA,"Erva em sub-bosque de Floresta Estacional Semidecídual.",NA,"Dicotyledon",NA,"Southern America",NA,NA,"18828","auto",NA,NA,NA,NA,NA,NA,NA
"40","2020-12-11 11:40:15-03","UFMG","BHCB","72265","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,"2017","11","06","Barreto, HLM","7248","1933","04","30","Brasil","Minas Gerais","Belo Horizonte","Jardim Botânico","-43.937801361084","-19.9207992553711",NA,NA,"Arbusto, 2 metros.; Mata","BHCB043462","Dicotyledon",NA,"Southern America",NA,"BHCB043462","17082","auto",NA,NA,NA,NA,NA,"Isotypus",NA
"41","2020-12-11 11:40:15-03","UFMG","BHCB","72267","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,"1934",NA,NA,"Sampaio, A","7300","1934","03","11","Brasil","Minas Gerais","Belo Horizonte","Jardim Botânico","-43.937801361084","-19.9207992553711",NA,NA,"Arbusto; 1,50 metros; muito frequente; Mata","BHCB044404","Dicotyledon",NA,"Southern America",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"42","2020-12-11 11:40:15-03","UFMG","BHCB","12279","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"Ferreira, CC; Júnia","94","1983","09","27","Brasil","Minas Gerais","Sabará","Mata José Vaz Sobradinho","-43.8067016601562","-19.8864002227783",NA,NA,NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,"18805","auto",NA,NA,NA,NA,NA,NA,NA
"43","2020-12-11 11:40:15-03","UFMG","BHCB","20234","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"Andrade, PM de","s.n.","1990","10","29","Brasil","Minas Gerais","Nova Lima","Reserva Biológica Mata do Jambreiro","-43.8466987609863","-19.9855995178223",NA,NA,NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA
"44","2020-12-11 11:40:15-03","UFMG","BHCB","72266","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,"1942",NA,NA,"Magalhães, GM","3123","1942","07","25","Brasil","Minas Gerais","Belo Horizonte","Serra do Curral","-43.937801361084","-19.9207992553711",NA,NA,"Arbusto; 0,60 metros; muito frequente; Mata","BHCB044405","Dicotyledon",NA,"Southern America",NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA
"45","2010-11-13 04:25:00-02","MO","MOBOT","2480930","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"Roberto M. Klein","Klein 8714","1970","8","18","Brazil","Santa Catarina",NA,"Florianópolis. Tapera, Ribeirão da Ilha",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,"150.00000000",NA,NA,NA,NA
"46","2009-12-04 16:52:00-02","MO","MOBOT","3101945","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","R. Callejas",NA,NA,NA,"Gert G. Hatschbach|O. V. Guimarães","Hatschbach 25539","1970","11","19","Brazil","Paraná",NA,"Rio Jaguariaiva (mun. S. José da Boa Vista).",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2008-05-27 22:02:00-03","MO","MOBOT","3101959","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","R. Callejas",NA,NA,NA,"Gert G. Hatschbach","Hatschbach 38819","1976","7","11","Brazil","Goiás",NA,"Ipameri, 20 km S. Local sombrio.",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2008-05-27 22:02:00-03","MO","MOBOT","3102142","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","R. Callejas",NA,NA,NA,"Ezechias P. Heringer","Heringer 17644","1979",NA,NA,"Brazil","Goiás",NA,"Caldas Novas. Vegeta na água corrente do rio quente.",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2008-05-27 22:02:00-03","MO","MOBOT","3102460","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.","Ricardo Callejas",NA,NA,NA,"Ghillean T. Prance","Prance 5823","1968","7","10","Brazil","Rondônia",NA,"Basin of Rio Madeira. Km. 216-219 Madeira-Mamoré railroad near Abuna. Savanna forest on periodically flooded ground.",NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-06-10 10:11:25-03","FZB-BH","BHZB","3250","S","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium",NA,"E.F. Guimarães","2015","09",NA,"Fernandes, F.M.","149","2001","12","11","Brasil","MG","Poços de Caldas","Fazenda da Família Carvalho Dias","-46.5614013671875","-21.7877998352051",NA,NA,"Altitude:1500m. Com duplicata.Doação de duplicata para herbário RB em fevereiro 2015. Anteriormente identificada como Piper sp.",NA,NA,NA,NA,NA,NA,"23696","auto",NA,NA,"1500","1500",NA,NA,NA
"51","2020-09-12 05:00:02-03","US","US","2124311","PreservedSpecimen","Plantae","Piperaceae","Piper","viminifolium","Piper viminifolium","Trel.",NA,NA,NA,NA,"M. Magalhães","3123","1942","7","25","Brazil","Minas Gerais","Belo Horizonte","Serra do Curral.","-43.937801361084","-19.9207992553711",NA,NA,NA,"US01331071",NA,"Piperales","South America - Neotropics",NA,"US01331071_01","17082","auto","Dicotyledonae",NA,NA,NA,NA,NA,"1"
