"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","county","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem","previousCatalogNumber"
"11","2019-08-20 10:00:41-03","UNICAMP","UEC","22017","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Bianchetti, LB; Patzernheim, M","Heringer, EP; Mendonça, RC; Paula, JE; Salles, AEH","16806","1978","02","20",NA,"Brazil","Distrito Federal","Plano Piloto, Cerrado seco, aberto, às vezes úmido.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Terrestre.","UEC064370","Brasília","UEC064370","70570","auto",NA,"1999","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-01 16:20:10-03","UNICAMP","UEC","133889","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Bianchetti, LB; Batista, JAN","Batista, JAN","1342","2002","12","21",NA,"Brazil","Distrito Federal","Plano Piloto, Final da Asa Norte. Área entre o Parque Ecológico Norte e o Parque Nacional de Brasília. Local do futuro setor Noroeste. Campo limpo e campo sujo seco. Solo argiloso, profundo, superficialmente marrom-avermelhado (latossolo avermelhado)","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Ocasional; todas as plantas observadas concentram-se em apenas dois pontos do campo. Pseudobulbos completamente enterrados, externamente brancos. Em plena floração. Inflorescência verde a verde-amarronzada. Ovário e pedicelo verde-amar","UEC064326","Brasília","UEC064326","70570","auto",NA,"2002","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-20 10:00:41-03","UNICAMP","UEC","118934","S","Plantae","Liliopsida",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista, JAN","Batista, JAN","1120","2001","01","04",NA,"Brazil","Distrito Federal","Setor de Mansões do Lago Norte, Área brejosa a esquerda da DF-005, em direção ao Paranoá, na altura da MI-10. Campo limpo seco e campo sujo de encosta. Solo areno-argiloso, superficialmente escuro e com alguns blocos de rocha.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Erva terrestre. Comum, observado grande número de plantas numa pequena área de campo sujo, em local plano, entre as encostas. Área aparentemente, anteriormente queimada. Pseudobulbos completamente enterrados, brancos com faixas róseas","UEC064367","Brasília","UEC064367","70570","auto",NA,"2001","01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:38:23-03","MBM","MBM","321635","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum lageanum","J.A.N.Bat. & Bianch.",NA,"Barboza, E.; Cunha, E.M.; Cunha, E.M.","1789","2006","10","28","Southern America","Brazil","Paraná","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,"Herbácea, 50cm, flor alvacenta, corola marrom.; Campo limpo, úmido.","MBM321635","Palmeira","MBM321635","35166","auto","lageanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-09-17 01:54:58-03","MNHN","RECOLNAT_MNHN_P","P00436889","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista","Glaziou, A.",NA,"1894","12","29",NA,"Brésil",NA,"Goyaz : entre Ciganos et As Brancos",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436889' target='other'> <mi>dwc_moreinfo</mi></a>","P00436889",NA,"P00436889_01",NA,NA,NA,NA,NA,NA,NA,NA,"22178",NA,NA,NA,NA,NA
"16","2015-09-04 12:34:39-03","MNHN","RECOLNAT_MNHN_P","P00436890","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista","Glaziou, A.",NA,"1894","12","29",NA,"Brésil",NA,"Goyaz : entre Ciganos et As Brancos",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436890' target='other'> <mi>dwc_moreinfo</mi></a>","P00436890",NA,"P00436890_01",NA,NA,NA,NA,NA,NA,NA,NA,"22178",NA,NA,NA,NA,NA
"17","2015-09-03 19:28:59-03","MNHN","RECOLNAT_MNHN_P","P00436891","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Prov. de St-Paul",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436891' target='other'> <mi>dwc_moreinfo</mi></a>","P00436891",NA,"P00436891_01",NA,NA,NA,NA,NA,NA,NA,NA,"C2 1440",NA,NA,NA,NA,NA
"18","2015-09-03 19:28:59-03","MNHN","RECOLNAT_MNHN_P","P00436892","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Prov. de St-Paul",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436892' target='other'> <mi>dwc_moreinfo</mi></a>","P00436892",NA,"P00436892_01",NA,NA,NA,NA,NA,NA,NA,NA,"C2 1440",NA,NA,NA,NA,NA
"19","2015-09-04 12:34:39-03","MNHN","RECOLNAT_MNHN_P","P00436893","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista","Saint-Hilaire, A. de",NA,"1816",NA,NA,NA,"Brésil",NA,"Prov. de St-Paul",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436893' target='other'> <mi>dwc_moreinfo</mi></a>","P00436893",NA,"P00436893_01",NA,NA,NA,NA,NA,NA,NA,NA,"C2 1440",NA,NA,NA,NA,NA
"20","2015-09-03 19:28:59-03","MNHN","RECOLNAT_MNHN_P","P00436894","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista","Dusén, P.",NA,"1910","1","23",NA,"Brésil",NA,"Parana : 23 Turma, in campo",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436894' target='other'> <mi>dwc_moreinfo</mi></a>","P00436894",NA,"P00436894_01",NA,NA,NA,NA,NA,NA,NA,NA,"9058 A",NA,NA,NA,NA,NA
"21","2015-09-04 12:23:05-03","MNHN","RECOLNAT_MNHN_P","P00436895","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Sanchez","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,"Lagoa Santa",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436895' target='other'> <mi>dwc_moreinfo</mi></a>","P00436895",NA,"P00436895_01 P00436895_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-09-16 00:18:18-03","MNHN","RECOLNAT_MNHN_P","P00436896","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista","Dusén, P.",NA,"1910","1","23",NA,"Brésil",NA,"Parana : 23 Turma, in campo",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436896' target='other'> <mi>dwc_moreinfo</mi></a>","P00436896",NA,"P00436896_01",NA,NA,NA,NA,NA,NA,NA,NA,"9058 A",NA,NA,NA,NA,NA
"23","2015-09-03 19:54:04-03","MNHN","RECOLNAT_MNHN_P","P00436902","PreservedSpecimen",NA,NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Sanchez","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,"Capinasy Campo",NA,NA,NA,NA,"hb","Batista scripsit :Not the pe. The holo is based on a collect. made by Barbosa Rodrigues (presumably lost) the original illust. by Barb? Rodr. is in iconographie des Orchid. Brésil, vol. 5 t. 207 : RB copy K <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00436902' target='other'> <mi>dwc_moreinfo</mi></a>","P00436902",NA,"P00436902_01 P00436902_02",NA,NA,NA,NA,NA,NA,NA,NA,"4762",NA,NA,NA,NA,NA
"24","2020-10-01 14:25:53-03","JBB","HEPH","20278","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Salles, AEH","Salles, AEH; Moreira, KRS; Jesus, FPR de","2915","2003","07","26","Southern America","Brasil","Distrito Federal","Estação Ecológica do Jardim Botânico de Brasília, Próximo a trilha de acesso a cascalheira","-47.85","-15.866667","1025","1025",NA,"Pouco frequente",NA,"Brasília",NA,NA,NA,NA,"2003","07","26","-47.85","-15.866667",NA,NA,NA,NA,NA,NA
"25","2020-10-01 14:25:53-03","JBB","HEPH","20321","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista, JAN","Salles, AEH; et al.","2960","2004","01","15","Southern America","Brasil","Distrito Federal","Margem a esquerda indo para Brazlândia",NA,NA,NA,NA,NA,NA,NA,"Brazlândia",NA,NA,NA,NA,"2004","06","23",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-10-01 14:25:53-03","JBB","HEPH","22295","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Bianchetti, LB","Salles, AEH; et al.","3950A,B","2006","01","02","Southern America","Brasil","Distrito Federal","Estação Ecológica do Jardim Botânico de Brasília, Próximo a trilha central","-47.85","-15.866667","1025","1025",NA,NA,NA,"Brasília",NA,NA,NA,NA,"2006","02","08","-47.85","-15.866667",NA,NA,NA,NA,NA,NA
"27","2020-10-01 14:25:53-03","JBB","HEPH","27778","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Oliveira, MS","Carvalho, FJ de; Moreira, HJC","432","2010","12","16","Southern America","Brasil","Distrito Federal","Núcleo rural Taquara",NA,NA,NA,NA,NA,NA,NA,"Planaltina",NA,NA,NA,NA,"2011","05","24",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-10-01 14:25:53-03","JBB","HEPH","28135","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Oliveira, MS","Paiva, VF; Soares, ACA; Oliveira, MS; Parralego, Y","788","2011","10","06","Southern America","Brasil","Distrito Federal","Estação Ecológica do Jardim Botânico de Brasília, Poção","-47.85","-15.866667","1025","1025",NA,"Pós fogo",NA,"Brasília",NA,NA,NA,NA,"2012","12","03","-47.85","-15.866667",NA,NA,NA,NA,NA,NA
"29","2020-10-01 14:25:53-03","JBB","HEPH","21356","S","Plantae","Monocotyledon","Asparagales","Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Salles, AEH","Salles, AEH; et al.","3556","2004","11","21","Southern America","Brasil","Distrito Federal","Rodovia 001, sentido Taguatinga-Brazlândia","-48.086667","-15.733333","1025","1025",NA,NA,NA,"Brazlândia",NA,NA,NA,NA,"2004","11","21","-48.086667","-15.733333",NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:44:26-03","UFMG","BHCB","120034","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.",NA,"Batista, JAN","2353","2007","12",NA,"Southern America","Brasil","Distrito Federal","Região Administrativa I - Brasília, final da Asa Norte, entre o Parque Ecológico Norte e o Parque Nacional de Brasília","-47.920361","-15.746722","1031","1031",NA,"Floração em cultivo na UMG, em Belo Horizonte, a partir de material coletado no local em 30/12/2000 (J.A.N. Batista 1114 - CEN 37106).; Erva terrestre.; campo limpo e campo sujo seco","BHCB001154","Brasília","BHCB001154",NA,NA,NA,NA,NA,NA,"-47.920361","-15.746722",NA,NA,NA,NA,NA,NA
"31","2020-12-11 11:44:26-03","UFMG","BHCB","120052","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.",NA,"Batista, JAN","2371","2007","12","29","Southern America","Brasil","Distrito Federal","Região Administrativa I - Brasília, Setor de Mansões do Lago Norte. Área a direita da pista no sentido para a barragem do Paranoá, entre o Varjão (após o cór. Urubu) e a MI 3. Local sendo ocupado por um condomínio irregular","-47.852833","-15.722611","1030","1030",NA,"Erva terrestre, em campo limpo e campo sujo secos. Solo argiloso, profundo, latossolo, superficialmente marrom. Local anteriormente queimado.",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,"-47.852833","-15.722611",NA,NA,NA,NA,NA,NA
"32","2020-12-11 11:44:26-03","UFMG","BHCB","120056","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.",NA,"Batista, JAN; Proite, K; Proite, P","2375","2008","01","02","Southern America","Brasil","Distrito Federal","Região Administrativa I - Brasília, Área entre o Parque Ecológico Norte e o P.N. de Brasília, área do futuro Setor Noroeste","-47.920361","-15.746722","1031","1031",NA,"Erva terrestre, em campo limpo e campo sujo secos. Solo argilo-arenoso, seco, superficialmente marrom-avermelhado. Local anteriormente queimado.",NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,"-47.920361","-15.746722",NA,NA,NA,NA,NA,NA
"33","2020-12-11 11:44:26-03","UFMG","BHCB","119902","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum lageanum","J.A.N.Bat. & Bianch.",NA,"Batista, JAN; Martins, CAN","2221","2007","11","13","Southern America","Brasil","Minas Gerais","Área à esquerda da BR 259 cerca de 7 km NE de Gouv","-43.695111","-18.417","1333","1333",NA,"Erva terrestre, em cerrado ralo. Latossolo, argiloso, superficialmente marrom. Área anteriormente queimada.",NA,"Gouveia",NA,NA,NA,"lageanum",NA,NA,NA,"-43.695111","-18.417",NA,NA,NA,NA,NA,NA
"34","2020-12-11 11:44:26-03","UFMG","BHCB","134869","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum lageanum","J.A.N.Bat. & Bianch.",NA,"Batista, JAN","1444","2003","11","04","Southern America","Brasil","Santa Catarina","Estação de Aquicultura (IBAMA) & Polícia de Prote, Na estrada para São Joaquim, ca. 7km do trevo de acesso para a BR-262","-50.326099395752","-27.8160991668701",NA,NA,NA,"Nas flores mais velhas o rosa vai desbotando e o labelo tende para quase completamente branco. Coletadas 3 plantas para cultivo no Cenargem em Brasília. Descrição completa da espécie na etiqueta.; Erva terrestre. Ocasional, observados","BHCB000361","Lages","BHCB000361","70701","auto","lageanum",NA,NA,NA,NA,NA,NA,"Isotypus",NA,NA,NA,NA
"35","2020-12-11 11:44:26-03","UFMG","BHCB","89458","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.",NA,"Batista, JAN","1342","2002","12","21","Southern America","Brasil","Distrito Federal","RA-I, Plano Piloto. Final da Asa Norte. Área entre","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Erva terrestre, em campo limpo e campo sujo seco. Solo argiloso, profundo, superficialmente marrom-avermelhado (latossolo avermelhado). Área queimada durante a seca. Ocasional; todas as plantas observadas concentravam-se em apenas dois pontos do camp",NA,"Brasília",NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-02-11 17:20:55-03","UFPR","UPCB","4914","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Batista, V.A.N.","Hatschbach, G.","12257","1965","01","19",NA,"Brasil","Paraná","Estrada Jaguariaíva-Arapoti","-49.8266983032227","-24.1578006744385",NA,NA,NA,"Flor alvascenta salpicada de bordô. Cerrado..",NA,"Arapoti",NA,"41852","auto",NA,"2002","03","19",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-02-11 17:20:55-03","UFPR","UPCB","26211","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb.Rodr.","Bianchetti, L.","Cervi, A.C.","7074","2000","10","27",NA,"Brasil","Paraná","Recanto do Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,"Terrestre, bulbosa, base do labelo róseo claro e ápice róseo escuro..",NA,"Palmeira",NA,"35166","auto",NA,"2001","12",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2015-01-25 12:34:00-02","MO","MOBOT","2480874","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb. Rodr.",NA,"Lyman B. Smith|et al.","Smith 14718",NA,NA,NA,"South America","Brazil","Paraná","Arapoti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2008-05-27 22:02:00-03","MO","MOBOT","2816492","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb. Rodr.","M.I. Sánchez","Per Dusén","Dusén 9058A","1910","1","23","South America","Brazil","Paraná","Purma, in campo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2008-05-27 22:02:00-03","MO","MOBOT","2816528","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb. Rodr.","J.T. Atwood","Timothy J. Killeen","Killeen 1524","1985","11","26","South America","Bolivia","Santa Cruz","Rancho Coralitos and bald granitic dome near Zapoco, 90 km SE of Concepción. Rolling plain of precambrian shield; mosaic of semideciduous forest, woode savanna and savanna wetland.","-61.01111","-16.00833","400.00000000","550.00000000",NA,NA,NA,"Nuflo de Chavez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2008-05-27 22:02:00-03","MO","MOBOT","2816624","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb. Rodr.","M.I. Sánchez","Ezechias P. Heringer","Heringer 6041","1981","1","26","South America","Brazil","Distrito Federal","Bacia de Rio São Bartolomeu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2013-05-24 05:54:00-03","MO","MOBOT","3497967","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","brandonianum","Cyrtopodium brandonianum","Barb. Rodr.",NA,"Roberto Vásquez|Darwin Ric|G. Coimbra S.","Vásquez C. 2578",NA,NA,NA,"South America","Bolivia","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"43","2014-11-06 16:18:19-02","UFPB","EAN","9238","S","Plantae",NA,NA,"Orchidaceae","Cyrtopodium","aff brandonianum","Cyrtopodium aff brandonianum","Barb. Rodr.","L. P. Felix",NA,NA,"1996","01","11",NA,"Brasil","Bahia",NA,"-41.8114","-13.5789",NA,NA,NA,"Pseudobulbos subterraneos; flores marrom-avermelhadas..Habitat: Terrestre.",NA,"Rio de Contas",NA,"49773","auto",NA,"1996","02","26",NA,NA,NA,NA,NA,NA,NA,NA
