"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"118","2019-11-21 10:10:01-03","IBt","SP","11751","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Luederwaldt, H; Schwebel, E","s.n.","1910",NA,NA,NA,"Brasil","São Paulo","Santo André","Alto da Serra, Parque Cajurú","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2019-11-21 10:10:01-03","IBt","SP","50918","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Kuhlmann, M","s.n.","1945","05",NA,NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2019-11-21 10:10:01-03","IBt","SP","56686","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Handro, O","963","1960","10","25",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","2019-11-21 10:10:01-03","IBt","SP","178697","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Rosa, NA; Murça Pires, J","3950","1980","11","27",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2019-11-21 10:10:01-03","IBt","SP","215588","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Chiea, SAC","438","1986","04","15",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2019-11-21 10:10:01-03","IBt","SP","246552","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Mazzoni Viveiros, SC","70","1990","11","14",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2020-04-15 17:20:08-03","IBt","SP","251646","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.",NA,"Gomes da Silva, SJ","272","1991","12","16",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,NA,NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2019-11-21 10:10:01-03","IBt","SP","50389","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Kuhlmann, M","s.n.","1944","12","11",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","2019-11-21 10:10:01-03","IBt","SP","246554","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Mazzoni Viveiros, SC","69","1990","11","14",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, Lado direito da estrada principal","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","2019-11-21 10:10:01-03","IBt","SP","252917","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Mazzoni Viveiros, SC; Chiea, SAC; Alves, ES; Truffem, SB","74","1991","02","15",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, Picada 15","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","2019-11-21 10:10:01-03","IBt","SP","246561","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Mazzoni Viveiros, SC","65","1990","11","14",NA,"Brasil","São Paulo","Santo André","E.B. do Alto da Serra de Paranapiacaba, Picada 3","-46.5299987792969","-23.6599998474121",NA,NA,NA,NA,"1998",NA,"27258","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","2021-02-25 09:38:41-03","IBt","SP","337215","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.",NA,"Honda, S","s.n.","1987","10","30",NA,"Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","2019-11-21 10:10:01-03","IBt","SP","28388","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Chiea, SAC","Hoehne, FC","s.n.","1931","10","19",NA,"Brasil","São Paulo","São Paulo","Nativa no Parque do Estado e Jd. Botânico. Mata. Planta viva nº 29","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"1979","12","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","2019-11-21 10:10:01-03","IBt","SP","180483","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Chiea, SAC","Chiea, SAC","30","1979","12","05",NA,"Brasil","São Paulo","São Paulo","Reserva Biológica, Parque Estadual das Fontes do Ipiranga","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","2019-11-21 10:10:01-03","IBt","SP","180563","S","Plantae",NA,NA,"Melastomataceae","Miconia","brunnea","Miconia brunnea","DC.","Goldenberg, R","Chiea, SAC; Melo, MMRF; Jung, SL; Silvestre, MSF; Plowman, T","120","1980","06","30",NA,"Brasil","São Paulo","São Paulo","Reserva Biológica, Parque Estatual das Fontes do Ipiranga","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"1997","01","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
